redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,1.233328970482e+00
3.000000000000e-02,1.311381275921e+00
5.000000000000e-02,1.306058883280e+00
7.000000000000e-02,1.085255551664e+00
9.000000000000e-02,8.740078929294e-01
1.100000000000e-01,8.527092120588e-01
1.300000000000e-01,8.547094075072e-01
1.500000000000e-01,8.246134320307e-01
1.700000000000e-01,8.947542001589e-01
1.900000000000e-01,9.121783986377e-01
2.100000000000e-01,8.731048331533e-01
2.300000000000e-01,1.017737413358e+00
2.500000000000e-01,1.105355532282e+00
2.700000000000e-01,1.190132667908e+00
2.900000000000e-01,1.189138324860e+00
3.100000000000e-01,1.252281933726e+00
3.300000000000e-01,1.373789331557e+00
3.500000000000e-01,1.344100141854e+00
3.700000000000e-01,1.305901100070e+00
3.900000000000e-01,1.231135580336e+00
4.100000000000e-01,1.216359876806e+00
4.300000000000e-01,1.200212244149e+00
4.500000000000e-01,1.220547707084e+00
4.700000000000e-01,1.259056239720e+00
4.900000000000e-01,1.251085809426e+00
5.100000000000e-01,1.236780889671e+00
5.300000000000e-01,1.236199275176e+00
5.500000000000e-01,1.225046259444e+00
5.700000000000e-01,1.254894357189e+00
5.900000000000e-01,1.272574972858e+00
6.100000000000e-01,1.266586639127e+00
6.300000000000e-01,1.283108395554e+00
6.500000000000e-01,1.276769067313e+00
6.700000000000e-01,1.288570152749e+00
6.900000000000e-01,1.325237661648e+00
7.100000000000e-01,1.310329953706e+00
7.300000000000e-01,1.444989368394e+00
7.500000000000e-01,1.334451407245e+00
7.700000000000e-01,1.476408067804e+00
7.900000000000e-01,1.490395713278e+00
8.100000000000e-01,1.608177888616e+00
8.300000000000e-01,1.761290464306e+00
8.500000000000e-01,1.804296027256e+00
8.700000000000e-01,1.945054653742e+00
8.900000000000e-01,1.978853464291e+00
9.100000000000e-01,2.099838154241e+00
9.300000000000e-01,2.144890876262e+00
9.500000000000e-01,2.076079524366e+00
9.700000000000e-01,2.316383958323e+00
9.900000000000e-01,2.239755263879e+00
1.010000000000e+00,2.211198931761e+00
1.030000000000e+00,2.306692920357e+00
1.050000000000e+00,2.229951587604e+00
1.070000000000e+00,2.294489980866e+00
1.090000000000e+00,2.245995556483e+00
1.110000000000e+00,2.318754821667e+00
1.130000000000e+00,2.308544669191e+00
1.150000000000e+00,2.239585654433e+00
1.170000000000e+00,2.364130904191e+00
1.190000000000e+00,2.423258242311e+00
1.210000000000e+00,2.432545791931e+00
1.230000000000e+00,2.549026272865e+00
1.250000000000e+00,2.606933448277e+00
1.270000000000e+00,2.534750064260e+00
1.290000000000e+00,2.757122266941e+00
1.310000000000e+00,2.864779223545e+00
1.330000000000e+00,2.816392244851e+00
1.350000000000e+00,2.842574078873e+00
1.370000000000e+00,2.952788274441e+00
1.390000000000e+00,3.040783758797e+00
1.410000000000e+00,3.123707696493e+00
1.430000000000e+00,3.300977902684e+00
1.450000000000e+00,3.177968756034e+00
1.470000000000e+00,3.401957925664e+00
1.490000000000e+00,3.398683780845e+00
1.510000000000e+00,3.553364773882e+00
1.530000000000e+00,3.559888290860e+00
1.550000000000e+00,3.576134074581e+00
1.570000000000e+00,3.856314144241e+00
1.590000000000e+00,3.719029141814e+00
1.610000000000e+00,3.715299488208e+00
1.630000000000e+00,4.018135883406e+00
1.650000000000e+00,3.786491484055e+00
1.670000000000e+00,4.027944590392e+00
1.690000000000e+00,3.885071376404e+00
1.710000000000e+00,3.982402788253e+00
1.730000000000e+00,3.919177234839e+00
1.750000000000e+00,4.242099538362e+00
1.770000000000e+00,4.158663594545e+00
1.790000000000e+00,3.953581790741e+00
1.810000000000e+00,4.207032390435e+00
1.830000000000e+00,3.894509176433e+00
1.850000000000e+00,4.173755160922e+00
1.870000000000e+00,3.832931526636e+00
1.890000000000e+00,4.397073828352e+00
1.910000000000e+00,3.789386747262e+00
1.930000000000e+00,4.154844813703e+00
1.950000000000e+00,4.002443077344e+00
1.970000000000e+00,4.270656301727e+00
1.990000000000e+00,4.215021298939e+00
2.010000000000e+00,4.167294294365e+00
2.030000000000e+00,4.189221984716e+00
2.050000000000e+00,3.812936178361e+00
2.070000000000e+00,4.086399289237e+00
2.090000000000e+00,4.034829217174e+00
2.110000000000e+00,4.088946144088e+00
2.130000000000e+00,4.170901089102e+00
2.150000000000e+00,4.161939468355e+00
2.170000000000e+00,4.174058433333e+00
2.190000000000e+00,3.987158436308e+00
2.210000000000e+00,4.193249150845e+00
