redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,2.209646648927e+01
3.000000000000e-02,2.190161026732e+01
5.000000000000e-02,2.213036473447e+01
7.000000000000e-02,2.190196495017e+01
9.000000000000e-02,2.205257614211e+01
1.100000000000e-01,2.235816355820e+01
1.300000000000e-01,2.275309156722e+01
1.500000000000e-01,2.314349409237e+01
1.700000000000e-01,2.391420981570e+01
1.900000000000e-01,2.411624962787e+01
2.100000000000e-01,2.406779012722e+01
2.300000000000e-01,2.438670811176e+01
2.500000000000e-01,2.498631188222e+01
2.700000000000e-01,2.516673412374e+01
2.900000000000e-01,2.538337610647e+01
3.100000000000e-01,2.560197193061e+01
3.300000000000e-01,2.590907356302e+01
3.500000000000e-01,2.623834173647e+01
3.700000000000e-01,2.637596302800e+01
3.900000000000e-01,2.631732385272e+01
4.100000000000e-01,2.626229206351e+01
4.300000000000e-01,2.704995561966e+01
4.500000000000e-01,2.719455872552e+01
4.700000000000e-01,2.795900130860e+01
4.900000000000e-01,2.774758796763e+01
5.100000000000e-01,2.864564374510e+01
5.300000000000e-01,2.880643864479e+01
5.500000000000e-01,2.877662192151e+01
5.700000000000e-01,2.969352164013e+01
5.900000000000e-01,2.930063106346e+01
6.100000000000e-01,3.028017906902e+01
6.300000000000e-01,3.027057809603e+01
6.500000000000e-01,3.045277375185e+01
6.700000000000e-01,3.093644210770e+01
6.900000000000e-01,3.094047669795e+01
7.100000000000e-01,3.106965428929e+01
7.300000000000e-01,3.116969064670e+01
7.500000000000e-01,3.232301770185e+01
7.700000000000e-01,3.242973776313e+01
7.900000000000e-01,3.268720445174e+01
8.100000000000e-01,3.391986995927e+01
8.300000000000e-01,3.462374790067e+01
8.500000000000e-01,3.507654759140e+01
8.700000000000e-01,3.585200237847e+01
8.900000000000e-01,3.572010519996e+01
9.100000000000e-01,3.655790817038e+01
9.300000000000e-01,3.680625732326e+01
9.500000000000e-01,3.688535213925e+01
9.700000000000e-01,3.726302780522e+01
9.900000000000e-01,3.709085939271e+01
1.010000000000e+00,3.748411226882e+01
1.030000000000e+00,3.789470265548e+01
1.050000000000e+00,3.748618002873e+01
1.070000000000e+00,3.825320749068e+01
1.090000000000e+00,3.877924855218e+01
1.110000000000e+00,3.864982169637e+01
1.130000000000e+00,3.997939343681e+01
1.150000000000e+00,3.916064377438e+01
1.170000000000e+00,4.076373930221e+01
1.190000000000e+00,4.047346776450e+01
1.210000000000e+00,4.098513589802e+01
1.230000000000e+00,4.102950326424e+01
1.250000000000e+00,4.139904333424e+01
1.270000000000e+00,4.224518347411e+01
1.290000000000e+00,4.233799144516e+01
1.310000000000e+00,4.275811783817e+01
1.330000000000e+00,4.293008098647e+01
1.350000000000e+00,4.253873202319e+01
1.370000000000e+00,4.324120689723e+01
1.390000000000e+00,4.405154774966e+01
1.410000000000e+00,4.427765437230e+01
1.430000000000e+00,4.409293194242e+01
1.450000000000e+00,4.437580281609e+01
1.470000000000e+00,4.468786069098e+01
1.490000000000e+00,4.487561824571e+01
1.510000000000e+00,4.481054812341e+01
1.530000000000e+00,4.521356227625e+01
1.550000000000e+00,4.405659320321e+01
1.570000000000e+00,4.531305605471e+01
1.590000000000e+00,4.467423739305e+01
