redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,1.673145746905e+01
3.000000000000e-02,1.658134737817e+01
5.000000000000e-02,1.675194174736e+01
7.000000000000e-02,1.655680019202e+01
9.000000000000e-02,1.665919350925e+01
1.100000000000e-01,1.689135752378e+01
1.300000000000e-01,1.719595691579e+01
1.500000000000e-01,1.749960161723e+01
1.700000000000e-01,1.810157627642e+01
1.900000000000e-01,1.825372735751e+01
2.100000000000e-01,1.821671422588e+01
2.300000000000e-01,1.846672551653e+01
2.500000000000e-01,1.891930052200e+01
2.700000000000e-01,1.907031122898e+01
2.900000000000e-01,1.921863107069e+01
3.100000000000e-01,1.937309630230e+01
3.300000000000e-01,1.959709990679e+01
3.500000000000e-01,1.982408781204e+01
3.700000000000e-01,1.992151673708e+01
3.900000000000e-01,1.986544819103e+01
4.100000000000e-01,1.980791490852e+01
4.300000000000e-01,2.041570571104e+01
4.500000000000e-01,2.054062056498e+01
4.700000000000e-01,2.110896325121e+01
4.900000000000e-01,2.096332552910e+01
5.100000000000e-01,2.163613622087e+01
5.300000000000e-01,2.176007360237e+01
5.500000000000e-01,2.174355119014e+01
5.700000000000e-01,2.242129489730e+01
5.900000000000e-01,2.211932013169e+01
6.100000000000e-01,2.286713331190e+01
6.300000000000e-01,2.283905806540e+01
6.500000000000e-01,2.297611334861e+01
6.700000000000e-01,2.333877266008e+01
6.900000000000e-01,2.332036629926e+01
7.100000000000e-01,2.340725837133e+01
7.300000000000e-01,2.348344608581e+01
7.500000000000e-01,2.435157018341e+01
7.700000000000e-01,2.444772425015e+01
7.900000000000e-01,2.462695935818e+01
8.100000000000e-01,2.556392543149e+01
8.300000000000e-01,2.611133512242e+01
8.500000000000e-01,2.646225055060e+01
8.700000000000e-01,2.703483806090e+01
8.900000000000e-01,2.696799616617e+01
9.100000000000e-01,2.758317642096e+01
9.300000000000e-01,2.778966499600e+01
9.500000000000e-01,2.783062204278e+01
9.700000000000e-01,2.813746967721e+01
9.900000000000e-01,2.800368130619e+01
1.010000000000e+00,2.831789716052e+01
1.030000000000e+00,2.862033306469e+01
1.050000000000e+00,2.830244694141e+01
1.070000000000e+00,2.889700796208e+01
1.090000000000e+00,2.929710297946e+01
1.110000000000e+00,2.916686930652e+01
1.130000000000e+00,3.020905749640e+01
1.150000000000e+00,2.957972348955e+01
1.170000000000e+00,3.077554120129e+01
1.190000000000e+00,3.057896154123e+01
1.210000000000e+00,3.096326448369e+01
1.230000000000e+00,3.098071122161e+01
1.250000000000e+00,3.127243906165e+01
1.270000000000e+00,3.188473782575e+01
1.290000000000e+00,3.200003025733e+01
1.310000000000e+00,3.229528439810e+01
1.330000000000e+00,3.243384026954e+01
1.350000000000e+00,3.212221841924e+01
1.370000000000e+00,3.265588697568e+01
1.390000000000e+00,3.327682726249e+01
1.410000000000e+00,3.345179030167e+01
1.430000000000e+00,3.333307568855e+01
1.450000000000e+00,3.353492078086e+01
1.470000000000e+00,3.377069103143e+01
1.490000000000e+00,3.394974591291e+01
1.510000000000e+00,3.388033585849e+01
1.530000000000e+00,3.420001443501e+01
1.550000000000e+00,3.333922967224e+01
1.570000000000e+00,3.430177008389e+01
1.590000000000e+00,3.378410524716e+01
1.610000000000e+00,3.449988476092e+01
1.630000000000e+00,3.372375288210e+01
1.650000000000e+00,3.440548506562e+01
1.670000000000e+00,3.398771090991e+01
1.690000000000e+00,3.403487316328e+01
1.710000000000e+00,3.416582255593e+01
1.730000000000e+00,3.451157861674e+01
1.750000000000e+00,3.431514774884e+01
1.770000000000e+00,3.409477745562e+01
1.790000000000e+00,3.442293500386e+01
1.810000000000e+00,3.432850582475e+01
1.830000000000e+00,3.428520358486e+01
1.850000000000e+00,3.445433826552e+01
1.870000000000e+00,3.382658526357e+01
1.890000000000e+00,3.470269488510e+01
1.910000000000e+00,3.344953321164e+01
1.930000000000e+00,3.353646095294e+01
1.950000000000e+00,3.405603115608e+01
1.970000000000e+00,3.377551106384e+01
1.990000000000e+00,3.361629088208e+01
2.010000000000e+00,3.430941367214e+01
2.030000000000e+00,3.342026664916e+01
2.050000000000e+00,3.279174807659e+01
2.070000000000e+00,3.300112279293e+01
2.090000000000e+00,3.292403507801e+01
2.110000000000e+00,3.244514601246e+01
2.130000000000e+00,3.321667225977e+01
2.150000000000e+00,3.269154158820e+01
2.170000000000e+00,3.240236819127e+01
2.190000000000e+00,3.195075988347e+01
2.210000000000e+00,3.225293150876e+01
2.230000000000e+00,3.168143187021e+01
2.250000000000e+00,3.156024768983e+01
2.270000000000e+00,3.112770035052e+01
2.290000000000e+00,3.080955962125e+01
2.310000000000e+00,3.134278712720e+01
2.330000000000e+00,2.985789312262e+01
2.350000000000e+00,3.038051141966e+01
2.370000000000e+00,2.999795785871e+01
2.390000000000e+00,2.977982011554e+01
2.410000000000e+00,2.931102508997e+01
2.430000000000e+00,2.952120113767e+01
2.450000000000e+00,2.951890591760e+01
2.470000000000e+00,2.886959023585e+01
2.490000000000e+00,2.875592707495e+01
2.510000000000e+00,2.819428476775e+01
2.530000000000e+00,2.828870738209e+01
2.550000000000e+00,2.829214873038e+01
2.570000000000e+00,2.843087599966e+01
2.590000000000e+00,2.783680275754e+01
2.610000000000e+00,2.816234020844e+01
2.630000000000e+00,2.759749255063e+01
2.650000000000e+00,2.767677473143e+01
2.670000000000e+00,2.700619073240e+01
2.690000000000e+00,2.752127023918e+01
2.710000000000e+00,2.676092335982e+01
2.730000000000e+00,2.685750253916e+01
2.750000000000e+00,2.695987801508e+01
2.770000000000e+00,2.641151250144e+01
2.790000000000e+00,2.701199047993e+01
2.810000000000e+00,2.656993887196e+01
2.830000000000e+00,2.619535934543e+01
2.850000000000e+00,2.649838635482e+01
2.870000000000e+00,2.602518329278e+01
2.890000000000e+00,2.611002334375e+01
2.910000000000e+00,2.567106901402e+01
2.930000000000e+00,2.613965924573e+01
2.950000000000e+00,2.550273515056e+01
2.970000000000e+00,2.557078142494e+01
2.990000000000e+00,2.575891457233e+01
3.010000000000e+00,2.602387185297e+01
3.030000000000e+00,2.498150384442e+01
3.050000000000e+00,2.527346356152e+01
3.070000000000e+00,2.504493876859e+01
3.090000000000e+00,2.515446958759e+01
3.110000000000e+00,2.527841547325e+01
3.130000000000e+00,2.510195611587e+01
3.150000000000e+00,2.462421701844e+01
