redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,3.530505250684e+01
3.000000000000e-02,3.520296697916e+01
5.000000000000e-02,3.581129736263e+01
7.000000000000e-02,3.571592364617e+01
9.000000000000e-02,3.592505527577e+01
1.100000000000e-01,3.636670072273e+01
1.300000000000e-01,3.682153462371e+01
1.500000000000e-01,3.728938102147e+01
1.700000000000e-01,3.832140177936e+01
1.900000000000e-01,3.869608276138e+01
2.100000000000e-01,3.879000263343e+01
2.300000000000e-01,3.922752484944e+01
2.500000000000e-01,4.038195488000e+01
2.700000000000e-01,4.075970156856e+01
2.900000000000e-01,4.136468395523e+01
3.100000000000e-01,4.191958207350e+01
3.300000000000e-01,4.259234049790e+01
3.500000000000e-01,4.370867704112e+01
3.700000000000e-01,4.397228632079e+01
3.900000000000e-01,4.410207901015e+01
4.100000000000e-01,4.442253984421e+01
4.300000000000e-01,4.546551519805e+01
4.500000000000e-01,4.541909375384e+01
4.700000000000e-01,4.674863056492e+01
4.900000000000e-01,4.634976507800e+01
5.100000000000e-01,4.782264811522e+01
5.300000000000e-01,4.806316123756e+01
5.500000000000e-01,4.797844302934e+01
5.700000000000e-01,4.955845070027e+01
5.900000000000e-01,4.917324578618e+01
6.100000000000e-01,5.054525200162e+01
6.300000000000e-01,5.078905401996e+01
6.500000000000e-01,5.150341814842e+01
6.700000000000e-01,5.214741266089e+01
6.900000000000e-01,5.268485200838e+01
7.100000000000e-01,5.310710705819e+01
7.300000000000e-01,5.330017736253e+01
7.500000000000e-01,5.523601903336e+01
7.700000000000e-01,5.540671131354e+01
7.900000000000e-01,5.606386799527e+01
8.100000000000e-01,5.810425341052e+01
8.300000000000e-01,5.903178530221e+01
8.500000000000e-01,5.973631961057e+01
8.700000000000e-01,6.134624318357e+01
8.900000000000e-01,6.053972090176e+01
9.100000000000e-01,6.247014694313e+01
9.300000000000e-01,6.271703362734e+01
9.500000000000e-01,6.334987148100e+01
9.700000000000e-01,6.385769748323e+01
9.900000000000e-01,6.366223633234e+01
1.010000000000e+00,6.421918196259e+01
1.030000000000e+00,6.510634919837e+01
1.050000000000e+00,6.493491042640e+01
1.070000000000e+00,6.589199263103e+01
1.090000000000e+00,6.675002833624e+01
1.110000000000e+00,6.740421627856e+01
1.130000000000e+00,6.890807981064e+01
1.150000000000e+00,6.776098284848e+01
1.170000000000e+00,7.111192601313e+01
1.190000000000e+00,7.042019964427e+01
1.210000000000e+00,7.122393484421e+01
1.230000000000e+00,7.173026662306e+01
1.250000000000e+00,7.232327679536e+01
1.270000000000e+00,7.397288924019e+01
1.290000000000e+00,7.366481790636e+01
1.310000000000e+00,7.469642873335e+01
1.330000000000e+00,7.503923224742e+01
1.350000000000e+00,7.442505806979e+01
1.370000000000e+00,7.588352125442e+01
1.390000000000e+00,7.689154288923e+01
1.410000000000e+00,7.715957109438e+01
1.430000000000e+00,7.654808851373e+01
1.450000000000e+00,7.756700561319e+01
1.470000000000e+00,7.807500072870e+01
1.490000000000e+00,7.731073924556e+01
1.510000000000e+00,7.816558484828e+01
1.530000000000e+00,7.805775780239e+01
1.550000000000e+00,7.679513698698e+01
1.570000000000e+00,7.809787612660e+01
1.590000000000e+00,7.751816020423e+01
1.610000000000e+00,7.822876698790e+01
1.630000000000e+00,7.650384818559e+01
1.650000000000e+00,7.775786666138e+01
1.670000000000e+00,7.631422982693e+01
1.690000000000e+00,7.645886935311e+01
1.710000000000e+00,7.720405788413e+01
1.730000000000e+00,7.651949781621e+01
1.750000000000e+00,7.655793221692e+01
1.770000000000e+00,7.568214302760e+01
1.790000000000e+00,7.600594345069e+01
1.810000000000e+00,7.581153663961e+01
1.830000000000e+00,7.608648382766e+01
1.850000000000e+00,7.567043823926e+01
1.870000000000e+00,7.432715438389e+01
1.890000000000e+00,7.557501438378e+01
1.910000000000e+00,7.255374047652e+01
1.930000000000e+00,7.350744927602e+01
1.950000000000e+00,7.408280839109e+01
1.970000000000e+00,7.299625310122e+01
1.990000000000e+00,7.229199071085e+01
2.010000000000e+00,7.378849654273e+01
2.030000000000e+00,7.129686407006e+01
2.050000000000e+00,7.073321463940e+01
2.070000000000e+00,7.071152114445e+01
2.090000000000e+00,7.049696341563e+01
2.110000000000e+00,6.873077594345e+01
2.130000000000e+00,7.032404178364e+01
2.150000000000e+00,6.933275949102e+01
2.170000000000e+00,6.790263688880e+01
2.190000000000e+00,6.722986715037e+01
2.210000000000e+00,6.720649777371e+01
2.230000000000e+00,6.691872284171e+01
2.250000000000e+00,6.555289094730e+01
2.270000000000e+00,6.504320642562e+01
2.290000000000e+00,6.393389067055e+01
2.310000000000e+00,6.470161306261e+01
2.330000000000e+00,6.214368341573e+01
2.350000000000e+00,6.235721981144e+01
2.370000000000e+00,6.132405240433e+01
2.390000000000e+00,6.093570054100e+01
2.410000000000e+00,6.016198109417e+01
2.430000000000e+00,5.992786594339e+01
2.450000000000e+00,5.964469593984e+01
2.470000000000e+00,5.885036856758e+01
2.490000000000e+00,5.782652153426e+01
