redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,3.290149666086e+01
3.000000000000e-02,3.455944017843e+01
5.000000000000e-02,3.621698015394e+01
7.000000000000e-02,3.773045244508e+01
9.000000000000e-02,3.951166184308e+01
1.100000000000e-01,4.154256536295e+01
1.300000000000e-01,4.324089171975e+01
1.500000000000e-01,4.535697019571e+01
1.700000000000e-01,4.713241299554e+01
1.900000000000e-01,4.884991849626e+01
2.100000000000e-01,5.084204381864e+01
2.300000000000e-01,5.312560008353e+01
2.500000000000e-01,5.465358889793e+01
2.700000000000e-01,5.729766837539e+01
2.900000000000e-01,5.935832529118e+01
3.100000000000e-01,6.115750558420e+01
3.300000000000e-01,6.311756537358e+01
3.500000000000e-01,6.519134287475e+01
3.700000000000e-01,6.712623885844e+01
3.900000000000e-01,6.904364537381e+01
4.100000000000e-01,7.158494209087e+01
4.300000000000e-01,7.330967212807e+01
4.500000000000e-01,7.535803025024e+01
4.700000000000e-01,7.774640708160e+01
4.900000000000e-01,7.984638176273e+01
5.100000000000e-01,8.247889634913e+01
5.300000000000e-01,8.472081429249e+01
5.500000000000e-01,8.676245649359e+01
5.700000000000e-01,8.857877746825e+01
5.900000000000e-01,9.124932319031e+01
6.100000000000e-01,9.402275938625e+01
6.300000000000e-01,9.549629128039e+01
6.500000000000e-01,9.806248806084e+01
6.700000000000e-01,1.005173399372e+02
6.900000000000e-01,1.020049413105e+02
7.100000000000e-01,1.044900519699e+02
7.300000000000e-01,1.064279616693e+02
7.500000000000e-01,1.090091448879e+02
7.700000000000e-01,1.109348640189e+02
7.900000000000e-01,1.135859744169e+02
8.100000000000e-01,1.153570270105e+02
8.300000000000e-01,1.174192244537e+02
8.500000000000e-01,1.203800845770e+02
8.700000000000e-01,1.220472958794e+02
8.900000000000e-01,1.240909853291e+02
9.100000000000e-01,1.264292961986e+02
9.300000000000e-01,1.283411324884e+02
9.500000000000e-01,1.298492815696e+02
9.700000000000e-01,1.329470788161e+02
9.900000000000e-01,1.346394760557e+02
1.010000000000e+00,1.367278714146e+02
1.030000000000e+00,1.383209176317e+02
1.050000000000e+00,1.398965267362e+02
1.070000000000e+00,1.421679166367e+02
1.090000000000e+00,1.435990920553e+02
1.110000000000e+00,1.450383888376e+02
1.130000000000e+00,1.466586636797e+02
1.150000000000e+00,1.478006379435e+02
1.170000000000e+00,1.495719212900e+02
1.190000000000e+00,1.512839580082e+02
1.210000000000e+00,1.520837983849e+02
1.230000000000e+00,1.531299261050e+02
1.250000000000e+00,1.547083037034e+02
1.270000000000e+00,1.556213594452e+02
1.290000000000e+00,1.562417827683e+02
1.310000000000e+00,1.577135063265e+02
1.330000000000e+00,1.583551460051e+02
1.350000000000e+00,1.587912095281e+02
1.370000000000e+00,1.591563431523e+02
1.390000000000e+00,1.600849659341e+02
1.410000000000e+00,1.602704877178e+02
1.430000000000e+00,1.614281896105e+02
1.450000000000e+00,1.611873757903e+02
1.470000000000e+00,1.620510121174e+02
1.490000000000e+00,1.618754614783e+02
1.510000000000e+00,1.619369192648e+02
1.530000000000e+00,1.614163765096e+02
1.550000000000e+00,1.612345023357e+02
1.570000000000e+00,1.612217493200e+02
1.590000000000e+00,1.612774726502e+02
1.610000000000e+00,1.605116458160e+02
1.630000000000e+00,1.600404450561e+02
1.650000000000e+00,1.600603968354e+02
1.670000000000e+00,1.586181350029e+02
1.690000000000e+00,1.583758065105e+02
1.710000000000e+00,1.565194511582e+02
1.730000000000e+00,1.562472622620e+02
1.750000000000e+00,1.549659247173e+02
1.770000000000e+00,1.536994751288e+02
1.790000000000e+00,1.523634007067e+02
1.810000000000e+00,1.518503947359e+02
1.830000000000e+00,1.501034113124e+02
1.850000000000e+00,1.484584174895e+02
1.870000000000e+00,1.468368670614e+02
1.890000000000e+00,1.452557865140e+02
1.910000000000e+00,1.430689752300e+02
1.930000000000e+00,1.418635217815e+02
1.950000000000e+00,1.408025051916e+02
1.970000000000e+00,1.376485247392e+02
1.990000000000e+00,1.364321906671e+02
2.010000000000e+00,1.348642961030e+02
2.030000000000e+00,1.320156356269e+02
2.050000000000e+00,1.308739314884e+02
2.070000000000e+00,1.279163141572e+02
2.090000000000e+00,1.261802108914e+02
2.110000000000e+00,1.246357805344e+02
2.130000000000e+00,1.217333973749e+02
2.150000000000e+00,1.210844557474e+02
2.170000000000e+00,1.184701595403e+02
2.190000000000e+00,1.157661375695e+02
2.210000000000e+00,1.145497383368e+02
2.230000000000e+00,1.121222626960e+02
2.250000000000e+00,1.091688713685e+02
2.270000000000e+00,1.081273427376e+02
2.290000000000e+00,1.069680142121e+02
2.310000000000e+00,1.082123452177e+02
2.330000000000e+00,1.053681339456e+02
2.350000000000e+00,1.032664935539e+02
2.370000000000e+00,9.990402038694e+01
2.390000000000e+00,9.964379857184e+01
2.410000000000e+00,9.711711826843e+01
2.430000000000e+00,9.198381904348e+01
2.450000000000e+00,8.760007836862e+01
2.470000000000e+00,8.459914183675e+01
2.490000000000e+00,8.227019233866e+01
2.510000000000e+00,8.029905708300e+01
2.530000000000e+00,7.784159692393e+01
2.550000000000e+00,7.584006777576e+01
2.570000000000e+00,7.419635942289e+01
2.590000000000e+00,7.213914497294e+01
2.610000000000e+00,6.986071836282e+01
2.630000000000e+00,6.883105494730e+01
2.650000000000e+00,6.775298968570e+01
2.670000000000e+00,6.524407020835e+01
2.690000000000e+00,6.340292698911e+01
2.710000000000e+00,6.180992370713e+01
2.730000000000e+00,6.027015821474e+01
2.750000000000e+00,5.877013327666e+01
2.770000000000e+00,5.739544976064e+01
2.790000000000e+00,5.578467724367e+01
2.810000000000e+00,5.428383173639e+01
2.830000000000e+00,5.346464253422e+01
2.850000000000e+00,5.210726852854e+01
2.870000000000e+00,5.101639785884e+01
2.890000000000e+00,4.983826773185e+01
2.910000000000e+00,4.830558771933e+01
2.930000000000e+00,4.705029366496e+01
2.950000000000e+00,4.549077343432e+01
2.970000000000e+00,4.454467276295e+01
2.990000000000e+00,4.326342932212e+01
3.010000000000e+00,4.265494709916e+01
3.030000000000e+00,4.170123585141e+01
3.050000000000e+00,4.059609673637e+01
3.070000000000e+00,3.987234834472e+01
3.090000000000e+00,3.873776593571e+01
3.110000000000e+00,3.791617084455e+01
3.130000000000e+00,3.738518752463e+01
3.150000000000e+00,3.620006506285e+01
3.170000000000e+00,3.602228610527e+01
3.190000000000e+00,3.476069267444e+01
3.210000000000e+00,3.409777441959e+01
3.230000000000e+00,3.318735024383e+01
3.250000000000e+00,3.265758415730e+01
3.270000000000e+00,3.218556487228e+01
3.290000000000e+00,3.132579194669e+01
3.310000000000e+00,3.056507855292e+01
3.330000000000e+00,3.025571310164e+01
3.350000000000e+00,2.943384130113e+01
3.370000000000e+00,2.936815032102e+01
3.390000000000e+00,2.855690996438e+01
3.410000000000e+00,2.819972522418e+01
3.430000000000e+00,2.749100655861e+01
3.450000000000e+00,2.715387348995e+01
3.470000000000e+00,2.684206874330e+01
3.490000000000e+00,2.636507134714e+01
3.510000000000e+00,2.594397245702e+01
3.530000000000e+00,2.540010509525e+01
3.550000000000e+00,2.481732602245e+01
3.570000000000e+00,2.459920994207e+01
3.590000000000e+00,2.447249864058e+01
3.610000000000e+00,2.436135560206e+01
3.630000000000e+00,2.348797120301e+01
3.650000000000e+00,2.356740589485e+01
3.670000000000e+00,2.298538244916e+01
3.690000000000e+00,2.255967804147e+01
3.710000000000e+00,2.250436519007e+01
3.730000000000e+00,2.185514054946e+01
3.750000000000e+00,2.144703151337e+01
3.770000000000e+00,2.134754422624e+01
3.790000000000e+00,2.097222744016e+01
3.810000000000e+00,2.074730663978e+01
3.830000000000e+00,2.047705392561e+01
3.850000000000e+00,2.038259676392e+01
3.870000000000e+00,1.972410556977e+01
3.890000000000e+00,1.985801284532e+01
3.910000000000e+00,1.949662916390e+01
3.930000000000e+00,1.917370439011e+01
3.950000000000e+00,1.914066356731e+01
3.970000000000e+00,1.892003340543e+01
3.990000000000e+00,1.846639967124e+01
4.010000000000e+00,1.866267700099e+01
4.030000000000e+00,1.817861926060e+01
4.050000000000e+00,1.818824901478e+01
4.070000000000e+00,1.792084037946e+01
4.090000000000e+00,1.776123887711e+01
4.110000000000e+00,1.758907240865e+01
4.130000000000e+00,1.758002369180e+01
4.150000000000e+00,1.712476760819e+01
4.170000000000e+00,1.704631460473e+01
4.190000000000e+00,1.681218167380e+01
4.210000000000e+00,1.654385917937e+01
4.230000000000e+00,1.661862502859e+01
4.250000000000e+00,1.621532271589e+01
4.270000000000e+00,1.607753593794e+01
4.290000000000e+00,1.607779764926e+01
4.310000000000e+00,1.573997866913e+01
4.330000000000e+00,1.569337071046e+01
4.350000000000e+00,1.547818556269e+01
4.370000000000e+00,1.557313429474e+01
4.390000000000e+00,1.546560460160e+01
4.410000000000e+00,1.520644721037e+01
4.430000000000e+00,1.485668698193e+01
4.450000000000e+00,1.468443587023e+01
4.470000000000e+00,1.470871676114e+01
4.490000000000e+00,1.479284061032e+01
4.510000000000e+00,1.441433007767e+01
4.530000000000e+00,1.462391146883e+01
4.550000000000e+00,1.412973020791e+01
4.570000000000e+00,1.416887067764e+01
4.590000000000e+00,1.390021459580e+01
4.610000000000e+00,1.385948792831e+01
4.630000000000e+00,1.380333788346e+01
4.650000000000e+00,1.362049702219e+01
4.670000000000e+00,1.344231386529e+01
4.690000000000e+00,1.344998595206e+01
4.710000000000e+00,1.301422039274e+01
4.730000000000e+00,1.327745145360e+01
4.750000000000e+00,1.308935318610e+01
4.770000000000e+00,1.289558612602e+01
4.790000000000e+00,1.256213930652e+01
4.810000000000e+00,1.273061853134e+01
4.830000000000e+00,1.269853554700e+01
4.850000000000e+00,1.249489597887e+01
4.870000000000e+00,1.233203119861e+01
4.890000000000e+00,1.221660007631e+01
4.910000000000e+00,1.200471507502e+01
4.930000000000e+00,1.224623842489e+01
4.950000000000e+00,1.179259770853e+01
4.970000000000e+00,1.173518275665e+01
4.990000000000e+00,1.192617007497e+01
5.010000000000e+00,1.144038623492e+01
5.030000000000e+00,1.158378576176e+01
5.050000000000e+00,1.135868117608e+01
5.070000000000e+00,1.128931342926e+01
5.090000000000e+00,1.114077048710e+01
5.110000000000e+00,1.122178168664e+01
5.130000000000e+00,1.117163903226e+01
5.150000000000e+00,1.100788662822e+01
5.170000000000e+00,1.083710925580e+01
5.190000000000e+00,1.081475141113e+01
5.210000000000e+00,1.067086968156e+01
5.230000000000e+00,1.047435750048e+01
5.250000000000e+00,1.082218310202e+01
5.270000000000e+00,1.035586089377e+01
5.290000000000e+00,1.036789687885e+01
5.310000000000e+00,1.022249124527e+01
5.330000000000e+00,1.034550063665e+01
5.350000000000e+00,1.014228843043e+01
5.370000000000e+00,9.955084565015e+00
5.390000000000e+00,9.905609523572e+00
5.410000000000e+00,9.883509887106e+00
5.430000000000e+00,9.864863009218e+00
5.450000000000e+00,9.542748987575e+00
5.470000000000e+00,9.648468673566e+00
5.490000000000e+00,9.516045917851e+00
5.510000000000e+00,9.348260429384e+00
5.530000000000e+00,9.400163786211e+00
5.550000000000e+00,9.219289712781e+00
5.570000000000e+00,9.271881986266e+00
5.590000000000e+00,9.077070171229e+00
5.610000000000e+00,9.131339456150e+00
5.630000000000e+00,8.879358038762e+00
5.650000000000e+00,8.818020432407e+00
5.670000000000e+00,8.660388111624e+00
5.690000000000e+00,8.668840985692e+00
5.710000000000e+00,8.637761159353e+00
5.730000000000e+00,8.621249887654e+00
5.750000000000e+00,8.546722079357e+00
5.770000000000e+00,8.425193767518e+00
5.790000000000e+00,8.316530797160e+00
5.810000000000e+00,8.264714440626e+00
5.830000000000e+00,8.194148549522e+00
5.850000000000e+00,8.419720498699e+00
5.870000000000e+00,8.043189977728e+00
5.890000000000e+00,7.911269832889e+00
5.910000000000e+00,8.102737672875e+00
5.930000000000e+00,7.877062061720e+00
5.950000000000e+00,7.960369149969e+00
5.970000000000e+00,8.077371223855e+00
5.990000000000e+00,7.637699591589e+00
6.010000000000e+00,7.537621316129e+00
6.030000000000e+00,7.506772592353e+00
6.050000000000e+00,7.595076363893e+00
6.070000000000e+00,7.353308837085e+00
6.090000000000e+00,7.558787604663e+00
6.110000000000e+00,7.324617750267e+00
6.130000000000e+00,7.085021583578e+00
6.150000000000e+00,7.227884299084e+00
6.170000000000e+00,7.034449466360e+00
6.190000000000e+00,7.134095553060e+00
6.210000000000e+00,7.089097337503e+00
6.230000000000e+00,6.920204279046e+00
6.250000000000e+00,6.869996457771e+00
6.270000000000e+00,6.838135514457e+00
6.290000000000e+00,6.855612546688e+00
6.310000000000e+00,6.734216170864e+00
6.330000000000e+00,6.744014841424e+00
6.350000000000e+00,6.633944152099e+00
6.370000000000e+00,6.619780899554e+00
6.390000000000e+00,6.450476373824e+00
6.410000000000e+00,6.502832810216e+00
6.430000000000e+00,6.528038579877e+00
6.450000000000e+00,6.401166464148e+00
6.470000000000e+00,6.476135909166e+00
6.490000000000e+00,6.490416554216e+00
6.510000000000e+00,6.325056728155e+00
6.530000000000e+00,6.310221588653e+00
6.550000000000e+00,6.231259697058e+00
6.570000000000e+00,6.236353743760e+00
6.590000000000e+00,6.028742977616e+00
6.610000000000e+00,6.017306559751e+00
6.630000000000e+00,6.208758015942e+00
6.650000000000e+00,5.909719947748e+00
6.670000000000e+00,5.854689231012e+00
6.690000000000e+00,6.055046372259e+00
6.710000000000e+00,6.023049730184e+00
6.730000000000e+00,5.894495431825e+00
6.750000000000e+00,5.847587700950e+00
