filename,model,population,alpha,alpha_value,series,compact_object,eos,spin_assumption,n_redshift_points,z_min,z_max
HG_optimistic_A0_5_BNS.csv,OPT,HG_optimistic,A0_5,5.000000000000e-01,BNS,BNS,,,750,1.000000000000e-02,1.499000000000e+01
HG_optimistic_A0_5_NSBH_uncut.csv,OPT,HG_optimistic,A0_5,5.000000000000e-01,NSBH,NSBH,,uncut,750,1.000000000000e-02,1.499000000000e+01
HG_optimistic_A0_5_NSBH_DD2_fixed_chi_0.csv,OPT,HG_optimistic,A0_5,5.000000000000e-01,NSBH DD2 fixed chi,NSBH,DD2,fixed_chi_0,750,1.000000000000e-02,1.499000000000e+01
HG_optimistic_A0_5_NSBH_DD2_uniform_chi_0_1.csv,OPT,HG_optimistic,A0_5,5.000000000000e-01,NSBH DD2 uniform chi,NSBH,DD2,uniform_chi_0_1,750,1.000000000000e-02,1.499000000000e+01
HG_optimistic_A0_5_NSBH_SFHo_fixed_chi_0.csv,OPT,HG_optimistic,A0_5,5.000000000000e-01,NSBH SFHo fixed chi,NSBH,SFHo,fixed_chi_0,750,1.000000000000e-02,1.499000000000e+01
HG_optimistic_A0_5_NSBH_SFHo_uniform_chi_0_1.csv,OPT,HG_optimistic,A0_5,5.000000000000e-01,NSBH SFHo uniform chi,NSBH,SFHo,uniform_chi_0_1,750,1.000000000000e-02,1.499000000000e+01
HG_optimistic_A1_0_BNS.csv,OPT,HG_optimistic,A1_0,1.000000000000e+00,BNS,BNS,,,750,1.000000000000e-02,1.499000000000e+01
HG_optimistic_A1_0_NSBH_uncut.csv,OPT,HG_optimistic,A1_0,1.000000000000e+00,NSBH,NSBH,,uncut,750,1.000000000000e-02,1.499000000000e+01
HG_optimistic_A1_0_NSBH_DD2_fixed_chi_0.csv,OPT,HG_optimistic,A1_0,1.000000000000e+00,NSBH DD2 fixed chi,NSBH,DD2,fixed_chi_0,750,1.000000000000e-02,1.499000000000e+01
HG_optimistic_A1_0_NSBH_DD2_uniform_chi_0_1.csv,OPT,HG_optimistic,A1_0,1.000000000000e+00,NSBH DD2 uniform chi,NSBH,DD2,uniform_chi_0_1,750,1.000000000000e-02,1.499000000000e+01
HG_optimistic_A1_0_NSBH_SFHo_fixed_chi_0.csv,OPT,HG_optimistic,A1_0,1.000000000000e+00,NSBH SFHo fixed chi,NSBH,SFHo,fixed_chi_0,750,1.000000000000e-02,1.499000000000e+01
HG_optimistic_A1_0_NSBH_SFHo_uniform_chi_0_1.csv,OPT,HG_optimistic,A1_0,1.000000000000e+00,NSBH SFHo uniform chi,NSBH,SFHo,uniform_chi_0_1,750,1.000000000000e-02,1.499000000000e+01
HG_optimistic_A3_0_BNS.csv,OPT,HG_optimistic,A3_0,3.000000000000e+00,BNS,BNS,,,750,1.000000000000e-02,1.499000000000e+01
HG_optimistic_A3_0_NSBH_uncut.csv,OPT,HG_optimistic,A3_0,3.000000000000e+00,NSBH,NSBH,,uncut,750,1.000000000000e-02,1.499000000000e+01
HG_optimistic_A3_0_NSBH_DD2_fixed_chi_0.csv,OPT,HG_optimistic,A3_0,3.000000000000e+00,NSBH DD2 fixed chi,NSBH,DD2,fixed_chi_0,750,1.000000000000e-02,1.499000000000e+01
HG_optimistic_A3_0_NSBH_DD2_uniform_chi_0_1.csv,OPT,HG_optimistic,A3_0,3.000000000000e+00,NSBH DD2 uniform chi,NSBH,DD2,uniform_chi_0_1,750,1.000000000000e-02,1.499000000000e+01
HG_optimistic_A3_0_NSBH_SFHo_fixed_chi_0.csv,OPT,HG_optimistic,A3_0,3.000000000000e+00,NSBH SFHo fixed chi,NSBH,SFHo,fixed_chi_0,750,1.000000000000e-02,1.499000000000e+01
HG_optimistic_A3_0_NSBH_SFHo_uniform_chi_0_1.csv,OPT,HG_optimistic,A3_0,3.000000000000e+00,NSBH SFHo uniform chi,NSBH,SFHo,uniform_chi_0_1,750,1.000000000000e-02,1.499000000000e+01
HG_optimistic_A5_0_BNS.csv,OPT,HG_optimistic,A5_0,5.000000000000e+00,BNS,BNS,,,750,1.000000000000e-02,1.499000000000e+01
HG_optimistic_A5_0_NSBH_uncut.csv,OPT,HG_optimistic,A5_0,5.000000000000e+00,NSBH,NSBH,,uncut,750,1.000000000000e-02,1.499000000000e+01
HG_optimistic_A5_0_NSBH_DD2_fixed_chi_0.csv,OPT,HG_optimistic,A5_0,5.000000000000e+00,NSBH DD2 fixed chi,NSBH,DD2,fixed_chi_0,750,1.000000000000e-02,1.499000000000e+01
HG_optimistic_A5_0_NSBH_DD2_uniform_chi_0_1.csv,OPT,HG_optimistic,A5_0,5.000000000000e+00,NSBH DD2 uniform chi,NSBH,DD2,uniform_chi_0_1,750,1.000000000000e-02,1.499000000000e+01
HG_optimistic_A5_0_NSBH_SFHo_fixed_chi_0.csv,OPT,HG_optimistic,A5_0,5.000000000000e+00,NSBH SFHo fixed chi,NSBH,SFHo,fixed_chi_0,750,1.000000000000e-02,1.499000000000e+01
HG_optimistic_A5_0_NSBH_SFHo_uniform_chi_0_1.csv,OPT,HG_optimistic,A5_0,5.000000000000e+00,NSBH SFHo uniform chi,NSBH,SFHo,uniform_chi_0_1,750,1.000000000000e-02,1.499000000000e+01
delayed_A0_5_BNS.csv,SND,delayed,A0_5,5.000000000000e-01,BNS,BNS,,,750,1.000000000000e-02,1.499000000000e+01
delayed_A0_5_NSBH_uncut.csv,SND,delayed,A0_5,5.000000000000e-01,NSBH,NSBH,,uncut,750,1.000000000000e-02,1.499000000000e+01
delayed_A0_5_NSBH_DD2_fixed_chi_0.csv,SND,delayed,A0_5,5.000000000000e-01,NSBH DD2 fixed chi,NSBH,DD2,fixed_chi_0,750,1.000000000000e-02,1.499000000000e+01
delayed_A0_5_NSBH_DD2_uniform_chi_0_1.csv,SND,delayed,A0_5,5.000000000000e-01,NSBH DD2 uniform chi,NSBH,DD2,uniform_chi_0_1,750,1.000000000000e-02,1.499000000000e+01
delayed_A0_5_NSBH_SFHo_fixed_chi_0.csv,SND,delayed,A0_5,5.000000000000e-01,NSBH SFHo fixed chi,NSBH,SFHo,fixed_chi_0,750,1.000000000000e-02,1.499000000000e+01
delayed_A0_5_NSBH_SFHo_uniform_chi_0_1.csv,SND,delayed,A0_5,5.000000000000e-01,NSBH SFHo uniform chi,NSBH,SFHo,uniform_chi_0_1,750,1.000000000000e-02,1.499000000000e+01
delayed_A1_0_BNS.csv,SND,delayed,A1_0,1.000000000000e+00,BNS,BNS,,,750,1.000000000000e-02,1.499000000000e+01
delayed_A1_0_NSBH_uncut.csv,SND,delayed,A1_0,1.000000000000e+00,NSBH,NSBH,,uncut,750,1.000000000000e-02,1.499000000000e+01
delayed_A1_0_NSBH_DD2_fixed_chi_0.csv,SND,delayed,A1_0,1.000000000000e+00,NSBH DD2 fixed chi,NSBH,DD2,fixed_chi_0,750,1.000000000000e-02,1.499000000000e+01
delayed_A1_0_NSBH_DD2_uniform_chi_0_1.csv,SND,delayed,A1_0,1.000000000000e+00,NSBH DD2 uniform chi,NSBH,DD2,uniform_chi_0_1,750,1.000000000000e-02,1.499000000000e+01
