redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,3.086860658718e+01
3.000000000000e-02,3.192762362253e+01
5.000000000000e-02,3.309875447312e+01
7.000000000000e-02,3.429917597466e+01
9.000000000000e-02,3.557119275506e+01
1.100000000000e-01,3.661439566484e+01
1.300000000000e-01,3.728405937405e+01
1.500000000000e-01,3.833545131628e+01
1.700000000000e-01,3.915392818632e+01
1.900000000000e-01,4.023898050770e+01
2.100000000000e-01,4.128279989769e+01
2.300000000000e-01,4.237868589996e+01
2.500000000000e-01,4.333111114577e+01
2.700000000000e-01,4.482856087731e+01
2.900000000000e-01,4.635984420507e+01
3.100000000000e-01,4.816943691333e+01
3.300000000000e-01,4.984048874557e+01
3.500000000000e-01,5.125587642700e+01
3.700000000000e-01,5.312610400873e+01
3.900000000000e-01,5.478499761705e+01
4.100000000000e-01,5.676674328482e+01
4.300000000000e-01,5.842613548328e+01
4.500000000000e-01,5.998859604534e+01
4.700000000000e-01,6.243669351840e+01
4.900000000000e-01,6.404661992336e+01
5.100000000000e-01,6.660983935556e+01
5.300000000000e-01,6.864421463281e+01
5.500000000000e-01,7.122386732649e+01
5.700000000000e-01,7.416769512187e+01
5.900000000000e-01,7.668446050665e+01
6.100000000000e-01,7.919047160470e+01
6.300000000000e-01,8.178569538914e+01
6.500000000000e-01,8.347557205456e+01
6.700000000000e-01,8.620684894972e+01
6.900000000000e-01,8.844721632162e+01
7.100000000000e-01,9.021894019790e+01
7.300000000000e-01,9.298781472561e+01
7.500000000000e-01,9.494454447851e+01
7.700000000000e-01,9.784840907477e+01
7.900000000000e-01,1.004118746534e+02
8.100000000000e-01,1.029839679546e+02
8.300000000000e-01,1.054478460833e+02
8.500000000000e-01,1.087168908490e+02
8.700000000000e-01,1.115610842539e+02
8.900000000000e-01,1.151197995430e+02
9.100000000000e-01,1.179171520930e+02
9.300000000000e-01,1.203048797252e+02
9.500000000000e-01,1.238963064700e+02
9.700000000000e-01,1.268061601873e+02
9.900000000000e-01,1.295503911021e+02
1.010000000000e+00,1.326795308681e+02
1.030000000000e+00,1.359042659402e+02
1.050000000000e+00,1.394278556566e+02
1.070000000000e+00,1.426104768595e+02
1.090000000000e+00,1.455648021922e+02
1.110000000000e+00,1.495035352400e+02
1.130000000000e+00,1.523035450015e+02
1.150000000000e+00,1.552620481168e+02
1.170000000000e+00,1.591356101200e+02
1.190000000000e+00,1.620940778977e+02
1.210000000000e+00,1.653209062013e+02
1.230000000000e+00,1.686185175817e+02
1.250000000000e+00,1.721153859537e+02
1.270000000000e+00,1.747749644982e+02
1.290000000000e+00,1.791745736761e+02
1.310000000000e+00,1.822813460469e+02
1.330000000000e+00,1.847132010759e+02
1.350000000000e+00,1.885547350979e+02
1.370000000000e+00,1.919160207197e+02
1.390000000000e+00,1.953999533583e+02
1.410000000000e+00,1.983904755989e+02
1.430000000000e+00,2.010568273568e+02
1.450000000000e+00,2.047797783175e+02
1.470000000000e+00,2.080136491300e+02
1.490000000000e+00,2.102950434018e+02
1.510000000000e+00,2.137797641940e+02
1.530000000000e+00,2.162130577592e+02
1.550000000000e+00,2.194879659444e+02
1.570000000000e+00,2.211839070489e+02
1.590000000000e+00,2.252301048777e+02
1.610000000000e+00,2.269214231559e+02
1.630000000000e+00,2.299123583580e+02
1.650000000000e+00,2.314159312831e+02
1.670000000000e+00,2.346303893070e+02
1.690000000000e+00,2.368209235023e+02
1.710000000000e+00,2.393078521720e+02
1.730000000000e+00,2.422171482038e+02
1.750000000000e+00,2.416977217454e+02
1.770000000000e+00,2.438405036078e+02
1.790000000000e+00,2.480022522571e+02
