redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,2.770960531512e+01
3.000000000000e-02,2.873385487289e+01
5.000000000000e-02,2.987585744076e+01
7.000000000000e-02,3.095955456938e+01
9.000000000000e-02,3.219858052019e+01
1.100000000000e-01,3.316191276502e+01
1.300000000000e-01,3.379221204447e+01
1.500000000000e-01,3.471518954183e+01
1.700000000000e-01,3.553295547006e+01
1.900000000000e-01,3.656546801077e+01
2.100000000000e-01,3.761418790102e+01
2.300000000000e-01,3.867531012225e+01
2.500000000000e-01,3.961855620302e+01
2.700000000000e-01,4.105932786592e+01
2.900000000000e-01,4.250267563290e+01
3.100000000000e-01,4.424788506350e+01
3.300000000000e-01,4.584281531636e+01
3.500000000000e-01,4.710001885149e+01
3.700000000000e-01,4.886692553721e+01
3.900000000000e-01,5.047467819063e+01
4.100000000000e-01,5.230859695049e+01
4.300000000000e-01,5.387906724217e+01
4.500000000000e-01,5.540036073206e+01
4.700000000000e-01,5.764996552972e+01
4.900000000000e-01,5.921742159764e+01
5.100000000000e-01,6.152819362192e+01
5.300000000000e-01,6.345292607738e+01
5.500000000000e-01,6.580022996181e+01
5.700000000000e-01,6.853596028291e+01
5.900000000000e-01,7.096113998645e+01
6.100000000000e-01,7.324837238800e+01
6.300000000000e-01,7.567974299291e+01
6.500000000000e-01,7.736047618255e+01
6.700000000000e-01,7.996495652075e+01
6.900000000000e-01,8.212986814486e+01
7.100000000000e-01,8.389910675483e+01
7.300000000000e-01,8.650185835878e+01
7.500000000000e-01,8.840459268673e+01
7.700000000000e-01,9.112888595107e+01
7.900000000000e-01,9.361687744561e+01
8.100000000000e-01,9.606055809164e+01
8.300000000000e-01,9.841677717754e+01
8.500000000000e-01,1.014552550620e+02
8.700000000000e-01,1.042823927476e+02
8.900000000000e-01,1.075895550223e+02
9.100000000000e-01,1.103140305728e+02
9.300000000000e-01,1.126778253564e+02
9.500000000000e-01,1.161031190233e+02
9.700000000000e-01,1.189047821321e+02
9.900000000000e-01,1.216514488776e+02
1.010000000000e+00,1.245812116772e+02
1.030000000000e+00,1.277212205144e+02
1.050000000000e+00,1.311437052813e+02
1.070000000000e+00,1.341939418075e+02
1.090000000000e+00,1.371111823820e+02
1.110000000000e+00,1.407957761412e+02
1.130000000000e+00,1.435359181312e+02
1.150000000000e+00,1.464134764184e+02
1.170000000000e+00,1.501118610185e+02
1.190000000000e+00,1.529585977641e+02
1.210000000000e+00,1.560918498036e+02
1.230000000000e+00,1.593169007014e+02
1.250000000000e+00,1.626603939790e+02
1.270000000000e+00,1.652368896636e+02
1.290000000000e+00,1.693742781623e+02
1.310000000000e+00,1.723761802933e+02
1.330000000000e+00,1.747225391319e+02
1.350000000000e+00,1.784495064987e+02
1.370000000000e+00,1.817554358492e+02
1.390000000000e+00,1.850298137972e+02
1.410000000000e+00,1.879387499905e+02
1.430000000000e+00,1.904666105838e+02
1.450000000000e+00,1.940582055676e+02
1.470000000000e+00,1.971559649044e+02
1.490000000000e+00,1.993772183030e+02
1.510000000000e+00,2.027678220007e+02
1.530000000000e+00,2.049787467395e+02
1.550000000000e+00,2.082180916740e+02
1.570000000000e+00,2.098445310401e+02
1.590000000000e+00,2.136969138019e+02
1.610000000000e+00,2.152901958847e+02
1.630000000000e+00,2.182192329198e+02
1.650000000000e+00,2.196996280221e+02
1.670000000000e+00,2.227476165773e+02
1.690000000000e+00,2.248642437574e+02
1.710000000000e+00,2.271499658284e+02
1.730000000000e+00,2.300700452590e+02
1.750000000000e+00,2.297407637267e+02
1.770000000000e+00,2.316103468922e+02
