redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,1.092455525726e+02
3.000000000000e-02,1.148530942725e+02
5.000000000000e-02,1.208475121683e+02
7.000000000000e-02,1.266209232875e+02
9.000000000000e-02,1.326473327348e+02
1.100000000000e-01,1.387646559677e+02
1.300000000000e-01,1.454241285019e+02
1.500000000000e-01,1.513113143035e+02
1.700000000000e-01,1.578116721149e+02
1.900000000000e-01,1.646903771747e+02
2.100000000000e-01,1.717965483667e+02
2.300000000000e-01,1.778582507909e+02
2.500000000000e-01,1.857198790784e+02
2.700000000000e-01,1.921937406246e+02
2.900000000000e-01,2.002916706321e+02
3.100000000000e-01,2.078957885847e+02
3.300000000000e-01,2.155302370329e+02
3.500000000000e-01,2.234675724601e+02
3.700000000000e-01,2.318469875074e+02
3.900000000000e-01,2.400161800450e+02
4.100000000000e-01,2.482847046085e+02
4.300000000000e-01,2.568578155774e+02
4.500000000000e-01,2.648449819805e+02
4.700000000000e-01,2.741118864775e+02
4.900000000000e-01,2.823652561002e+02
5.100000000000e-01,2.918354436117e+02
5.300000000000e-01,3.011887575437e+02
5.500000000000e-01,3.107225122113e+02
5.700000000000e-01,3.198787919179e+02
5.900000000000e-01,3.300406777856e+02
6.100000000000e-01,3.395417920358e+02
6.300000000000e-01,3.492969017537e+02
6.500000000000e-01,3.598240898858e+02
6.700000000000e-01,3.699913564136e+02
6.900000000000e-01,3.795518674913e+02
7.100000000000e-01,3.896511376192e+02
7.300000000000e-01,4.007747974168e+02
7.500000000000e-01,4.115123578988e+02
7.700000000000e-01,4.216552383853e+02
7.900000000000e-01,4.325423726425e+02
8.100000000000e-01,4.438256304296e+02
8.300000000000e-01,4.546399548809e+02
8.500000000000e-01,4.666745676841e+02
8.700000000000e-01,4.753398253442e+02
8.900000000000e-01,4.876016083303e+02
9.100000000000e-01,4.988410070414e+02
9.300000000000e-01,5.112458654382e+02
9.500000000000e-01,5.202828712607e+02
9.700000000000e-01,5.319949215255e+02
9.900000000000e-01,5.431419879351e+02
1.010000000000e+00,5.542155269720e+02
1.030000000000e+00,5.662848210610e+02
1.050000000000e+00,5.759329174033e+02
1.070000000000e+00,5.875372699398e+02
1.090000000000e+00,5.981940739222e+02
1.110000000000e+00,6.095236666658e+02
1.130000000000e+00,6.205242795539e+02
1.150000000000e+00,6.302582022062e+02
1.170000000000e+00,6.410549418616e+02
1.190000000000e+00,6.512648616886e+02
1.210000000000e+00,6.619927492739e+02
1.230000000000e+00,6.721500204944e+02
1.250000000000e+00,6.811922175318e+02
1.270000000000e+00,6.940039851563e+02
1.290000000000e+00,7.019205669259e+02
1.310000000000e+00,7.115074010653e+02
1.330000000000e+00,7.200930812018e+02
1.350000000000e+00,7.305904681306e+02
1.370000000000e+00,7.383532818737e+02
1.390000000000e+00,7.462190386146e+02
1.410000000000e+00,7.555389505265e+02
1.430000000000e+00,7.623764579860e+02
1.450000000000e+00,7.709109662941e+02
1.470000000000e+00,7.770004233003e+02
1.490000000000e+00,7.840627704149e+02
1.510000000000e+00,7.933692404846e+02
1.530000000000e+00,7.994144505618e+02
1.550000000000e+00,8.081823642577e+02
1.570000000000e+00,8.148159615985e+02
1.590000000000e+00,8.209901576162e+02
1.610000000000e+00,8.281373026319e+02
1.630000000000e+00,8.341286668934e+02
1.650000000000e+00,8.418497978511e+02
1.670000000000e+00,8.422378707548e+02
1.690000000000e+00,8.552003763566e+02
1.710000000000e+00,8.614824702724e+02
1.730000000000e+00,8.685188315591e+02
1.750000000000e+00,8.647596732398e+02
1.770000000000e+00,8.564683624667e+02
1.790000000000e+00,8.514159440400e+02
1.810000000000e+00,8.489891856124e+02
1.830000000000e+00,8.489833174472e+02
1.850000000000e+00,8.477701910124e+02
1.870000000000e+00,8.460930355515e+02
1.890000000000e+00,8.484084641211e+02
1.910000000000e+00,8.467257017233e+02
1.930000000000e+00,8.445565307489e+02
1.950000000000e+00,8.506608999312e+02
1.970000000000e+00,8.491548758254e+02
1.990000000000e+00,8.459454509830e+02
2.010000000000e+00,8.431635599572e+02
2.030000000000e+00,8.350199113349e+02
2.050000000000e+00,8.349434199556e+02
2.070000000000e+00,8.270952301633e+02
2.090000000000e+00,8.233363862639e+02
2.110000000000e+00,8.193189963581e+02
2.130000000000e+00,8.185639448821e+02
2.150000000000e+00,8.127197795836e+02
2.170000000000e+00,8.060000139203e+02
2.190000000000e+00,7.987067563785e+02
2.210000000000e+00,7.904493341089e+02
2.230000000000e+00,7.806930123615e+02
2.250000000000e+00,7.707143518872e+02
2.270000000000e+00,7.548705633870e+02
2.290000000000e+00,7.485225136451e+02
2.310000000000e+00,7.418552590938e+02
2.330000000000e+00,7.347704848590e+02
2.350000000000e+00,7.281769313285e+02
2.370000000000e+00,7.172537328934e+02
2.390000000000e+00,7.105451070969e+02
2.410000000000e+00,7.022572716807e+02
2.430000000000e+00,6.916601276348e+02
2.450000000000e+00,6.820209137715e+02
2.470000000000e+00,6.701431621396e+02
2.490000000000e+00,6.641499821635e+02
2.510000000000e+00,6.555315154945e+02
2.530000000000e+00,6.467437266106e+02
2.550000000000e+00,6.377541713408e+02
