redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,1.302944368334e+01
3.000000000000e-02,1.347071477610e+01
5.000000000000e-02,1.375841920180e+01
7.000000000000e-02,1.393214621468e+01
9.000000000000e-02,1.467135151619e+01
1.100000000000e-01,1.487280134506e+01
1.300000000000e-01,1.610399760024e+01
1.500000000000e-01,1.651582083480e+01
1.700000000000e-01,1.739372353207e+01
1.900000000000e-01,1.839393202069e+01
2.100000000000e-01,1.895790787388e+01
2.300000000000e-01,1.960373386449e+01
2.500000000000e-01,2.042386290009e+01
2.700000000000e-01,2.105397812134e+01
2.900000000000e-01,2.147545033548e+01
3.100000000000e-01,2.206042042721e+01
3.300000000000e-01,2.345401486685e+01
3.500000000000e-01,2.458690405778e+01
3.700000000000e-01,2.493994426359e+01
3.900000000000e-01,2.603078538586e+01
4.100000000000e-01,2.695626867530e+01
4.300000000000e-01,2.750165840851e+01
4.500000000000e-01,2.868674450732e+01
4.700000000000e-01,2.944485763569e+01
4.900000000000e-01,3.101958210945e+01
5.100000000000e-01,3.112880954043e+01
5.300000000000e-01,3.262190057779e+01
5.500000000000e-01,3.369788223442e+01
5.700000000000e-01,3.519843803459e+01
5.900000000000e-01,3.518830348432e+01
6.100000000000e-01,3.665017290531e+01
6.300000000000e-01,3.819667500704e+01
6.500000000000e-01,3.943149230745e+01
6.700000000000e-01,4.032593462061e+01
6.900000000000e-01,4.161625278883e+01
7.100000000000e-01,4.227691061156e+01
7.300000000000e-01,4.297148315030e+01
7.500000000000e-01,4.418206041138e+01
7.700000000000e-01,4.580112140531e+01
7.900000000000e-01,4.676487961770e+01
8.100000000000e-01,4.758527506407e+01
8.300000000000e-01,4.954527165411e+01
8.500000000000e-01,5.059743182811e+01
8.700000000000e-01,5.078499502012e+01
8.900000000000e-01,5.290039538431e+01
9.100000000000e-01,5.420210680192e+01
9.300000000000e-01,5.496765594206e+01
9.500000000000e-01,5.776084316027e+01
9.700000000000e-01,6.063988363182e+01
9.900000000000e-01,6.065525864595e+01
1.010000000000e+00,6.304402527407e+01
1.030000000000e+00,6.260073212539e+01
1.050000000000e+00,6.565973946244e+01
1.070000000000e+00,6.696328948460e+01
1.090000000000e+00,6.844906802859e+01
1.110000000000e+00,7.082785771730e+01
1.130000000000e+00,7.102621364247e+01
1.150000000000e+00,7.365098704470e+01
1.170000000000e+00,7.466312270018e+01
1.190000000000e+00,7.682619817215e+01
1.210000000000e+00,7.855515551789e+01
1.230000000000e+00,7.997235904295e+01
1.250000000000e+00,8.183402960123e+01
1.270000000000e+00,8.443834149036e+01
1.290000000000e+00,8.600710621863e+01
1.310000000000e+00,8.577845477030e+01
1.330000000000e+00,9.080463758978e+01
1.350000000000e+00,8.896971367608e+01
1.370000000000e+00,9.132312619104e+01
1.390000000000e+00,9.408635439858e+01
1.410000000000e+00,9.596860508135e+01
1.430000000000e+00,9.637278773416e+01
1.450000000000e+00,9.803162838802e+01
1.470000000000e+00,1.005080948321e+02
1.490000000000e+00,1.012736236438e+02
1.510000000000e+00,1.024660750473e+02
1.530000000000e+00,1.053672489139e+02
1.550000000000e+00,1.056271161195e+02
1.570000000000e+00,1.059813574177e+02
1.590000000000e+00,1.096823851566e+02
1.610000000000e+00,1.092566847379e+02
1.630000000000e+00,1.105990331692e+02
1.650000000000e+00,1.127200981030e+02
1.670000000000e+00,1.128161100223e+02
1.690000000000e+00,1.144775196420e+02
1.710000000000e+00,1.153259037516e+02
1.730000000000e+00,1.171213150441e+02
1.750000000000e+00,1.179157636963e+02
1.770000000000e+00,1.186063902752e+02
1.790000000000e+00,1.199191930225e+02
1.810000000000e+00,1.217408559728e+02
1.830000000000e+00,1.218057325681e+02
1.850000000000e+00,1.222573416737e+02
1.870000000000e+00,1.223150992261e+02
1.890000000000e+00,1.236590988600e+02
1.910000000000e+00,1.254675910434e+02
1.930000000000e+00,1.257809440638e+02
1.950000000000e+00,1.262353864061e+02
1.970000000000e+00,1.272955929487e+02
1.990000000000e+00,1.272765027608e+02
2.010000000000e+00,1.276097050074e+02
2.030000000000e+00,1.282529486544e+02
2.050000000000e+00,1.270480295214e+02
2.070000000000e+00,1.277175419026e+02
2.090000000000e+00,1.281550529016e+02
2.110000000000e+00,1.276577376061e+02
2.130000000000e+00,1.291599361430e+02
2.150000000000e+00,1.283096258429e+02
2.170000000000e+00,1.287827342898e+02
2.190000000000e+00,1.285702476088e+02
2.210000000000e+00,1.269152208210e+02
2.230000000000e+00,1.290643193717e+02
2.250000000000e+00,1.273353250853e+02
2.270000000000e+00,1.286797097770e+02
2.290000000000e+00,1.257000294523e+02
2.310000000000e+00,1.259918712646e+02
2.330000000000e+00,1.250512204801e+02
2.350000000000e+00,1.261224874470e+02
2.370000000000e+00,1.239785187817e+02
2.390000000000e+00,1.238771069111e+02
2.410000000000e+00,1.239610105144e+02
2.430000000000e+00,1.232803663195e+02
2.450000000000e+00,1.206829307521e+02
2.470000000000e+00,1.197137314814e+02
2.490000000000e+00,1.200283865053e+02
2.510000000000e+00,1.200487818010e+02
2.530000000000e+00,1.183797941652e+02
2.550000000000e+00,1.158723457394e+02
2.570000000000e+00,1.157097951251e+02
2.590000000000e+00,1.138523301016e+02
2.610000000000e+00,1.135515737909e+02
2.630000000000e+00,1.120456968412e+02
2.650000000000e+00,1.114711276232e+02
2.670000000000e+00,1.098995479755e+02
2.690000000000e+00,1.095333544634e+02
2.710000000000e+00,1.076058040003e+02
2.730000000000e+00,1.071613256849e+02
2.750000000000e+00,1.055489503749e+02
2.770000000000e+00,1.047928248667e+02
2.790000000000e+00,1.022751658812e+02
