redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,1.183664780523e+01
3.000000000000e-02,1.249275296675e+01
5.000000000000e-02,1.270548817447e+01
7.000000000000e-02,1.359862305876e+01
9.000000000000e-02,1.362447938118e+01
1.100000000000e-01,1.438025504081e+01
1.300000000000e-01,1.434684133586e+01
1.500000000000e-01,1.413665677531e+01
1.700000000000e-01,1.450175943509e+01
1.900000000000e-01,1.488054519918e+01
2.100000000000e-01,1.535606163750e+01
2.300000000000e-01,1.530110684856e+01
2.500000000000e-01,1.552539339073e+01
2.700000000000e-01,1.576949389401e+01
2.900000000000e-01,1.583429900264e+01
3.100000000000e-01,1.629358118637e+01
3.300000000000e-01,1.594349202806e+01
3.500000000000e-01,1.637164613008e+01
3.700000000000e-01,1.647434796076e+01
3.900000000000e-01,1.663557452956e+01
4.100000000000e-01,1.710268146283e+01
4.300000000000e-01,1.777410272242e+01
4.500000000000e-01,1.753312461210e+01
4.700000000000e-01,1.801232647812e+01
4.900000000000e-01,1.849988363519e+01
5.100000000000e-01,1.943787862877e+01
5.300000000000e-01,1.991224316733e+01
5.500000000000e-01,2.094295617813e+01
5.700000000000e-01,2.078013517730e+01
5.900000000000e-01,2.211461926742e+01
6.100000000000e-01,2.226626850219e+01
6.300000000000e-01,2.307100205739e+01
6.500000000000e-01,2.389318854328e+01
6.700000000000e-01,2.435556277761e+01
6.900000000000e-01,2.483305149502e+01
7.100000000000e-01,2.461346285055e+01
7.300000000000e-01,2.537977274425e+01
7.500000000000e-01,2.537517963027e+01
7.700000000000e-01,2.590122935137e+01
7.900000000000e-01,2.616717770505e+01
8.100000000000e-01,2.593165262997e+01
8.300000000000e-01,2.640388145943e+01
8.500000000000e-01,2.677052572881e+01
8.700000000000e-01,2.591595697349e+01
8.900000000000e-01,2.703395480334e+01
9.100000000000e-01,2.722343869189e+01
9.300000000000e-01,2.764240563600e+01
9.500000000000e-01,2.731519015521e+01
9.700000000000e-01,2.813208633692e+01
9.900000000000e-01,2.841070267070e+01
1.010000000000e+00,3.009013906288e+01
1.030000000000e+00,2.934518089223e+01
1.050000000000e+00,3.061386859711e+01
1.070000000000e+00,3.088279474386e+01
1.090000000000e+00,3.122347346892e+01
1.110000000000e+00,3.130288333972e+01
1.130000000000e+00,3.200872878300e+01
1.150000000000e+00,3.268484937506e+01
1.170000000000e+00,3.240356320312e+01
1.190000000000e+00,3.306798267151e+01
1.210000000000e+00,3.412240933474e+01
1.230000000000e+00,3.388779693663e+01
1.250000000000e+00,3.464643146674e+01
1.270000000000e+00,3.530168337326e+01
1.290000000000e+00,3.603688896942e+01
1.310000000000e+00,3.624099054066e+01
1.330000000000e+00,3.712155920092e+01
1.350000000000e+00,3.718340343219e+01
1.370000000000e+00,3.828318177741e+01
1.390000000000e+00,3.894976643294e+01
1.410000000000e+00,3.908946327021e+01
1.430000000000e+00,4.006235544729e+01
1.450000000000e+00,3.902994613821e+01
1.470000000000e+00,3.990302879773e+01
1.490000000000e+00,4.117361044340e+01
1.510000000000e+00,4.228614281407e+01
1.530000000000e+00,4.218672064267e+01
1.550000000000e+00,4.296650676374e+01
1.570000000000e+00,4.317242350486e+01
1.590000000000e+00,4.378609618336e+01
1.610000000000e+00,4.506880460482e+01
1.630000000000e+00,4.520102508836e+01
1.650000000000e+00,4.572381122760e+01
1.670000000000e+00,4.712758623007e+01
1.690000000000e+00,4.671061675217e+01
1.710000000000e+00,4.771192625927e+01
1.730000000000e+00,4.883995701449e+01
1.750000000000e+00,4.895448286224e+01
1.770000000000e+00,4.989138865449e+01
1.790000000000e+00,5.143154151316e+01
1.810000000000e+00,5.152472265024e+01
1.830000000000e+00,5.220038743934e+01
1.850000000000e+00,5.288338743845e+01
1.870000000000e+00,5.440263669229e+01
1.890000000000e+00,5.446686922852e+01
1.910000000000e+00,5.343626722686e+01
1.930000000000e+00,5.565740389164e+01
1.950000000000e+00,5.645753980308e+01
1.970000000000e+00,5.659482167684e+01
1.990000000000e+00,5.735271186322e+01
2.010000000000e+00,5.848312297953e+01
2.030000000000e+00,5.769588682460e+01
2.050000000000e+00,5.843002665043e+01
2.070000000000e+00,5.908183718073e+01
2.090000000000e+00,5.882735887907e+01
2.110000000000e+00,6.049916538803e+01
2.130000000000e+00,6.102369464998e+01
2.150000000000e+00,6.042427803977e+01
2.170000000000e+00,6.142604908377e+01
2.190000000000e+00,6.189192594847e+01
2.210000000000e+00,6.304395451220e+01
2.230000000000e+00,6.351524238318e+01
2.250000000000e+00,6.336309048443e+01
2.270000000000e+00,6.410144114485e+01
2.290000000000e+00,6.333715554159e+01
2.310000000000e+00,6.541737574889e+01
2.330000000000e+00,6.463281364740e+01
2.350000000000e+00,6.544289001752e+01
2.370000000000e+00,6.642589155061e+01
2.390000000000e+00,6.574718781099e+01
2.410000000000e+00,6.731691980227e+01
2.430000000000e+00,6.665560567243e+01
2.450000000000e+00,6.637141360096e+01
2.470000000000e+00,6.729257393086e+01
2.490000000000e+00,6.699867860562e+01
2.510000000000e+00,6.640505235647e+01
2.530000000000e+00,6.799913965106e+01
2.550000000000e+00,6.707548819939e+01
2.570000000000e+00,6.847189686880e+01
2.590000000000e+00,6.823331799562e+01
2.610000000000e+00,6.821839262855e+01
2.630000000000e+00,6.786222696774e+01
2.650000000000e+00,6.953379317359e+01
2.670000000000e+00,6.766091892570e+01
2.690000000000e+00,6.830538936843e+01
2.710000000000e+00,6.858444405359e+01
2.730000000000e+00,6.824534399824e+01
2.750000000000e+00,6.815023114618e+01
2.770000000000e+00,6.871185795052e+01
2.790000000000e+00,6.761781641860e+01
2.810000000000e+00,6.831992882168e+01
2.830000000000e+00,6.808327743159e+01
2.850000000000e+00,6.825028858593e+01
2.870000000000e+00,6.814381653362e+01
2.890000000000e+00,6.767870269628e+01
2.910000000000e+00,6.823662382882e+01
2.930000000000e+00,6.700904967833e+01
2.950000000000e+00,6.833032732146e+01
2.970000000000e+00,6.720056639861e+01
2.990000000000e+00,6.753547279662e+01
3.010000000000e+00,6.724291413601e+01
3.030000000000e+00,6.718334930331e+01
3.050000000000e+00,6.656442381057e+01
3.070000000000e+00,6.649581431125e+01
