redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,3.298352432300e+00
3.000000000000e-02,3.511935531614e+00
5.000000000000e-02,3.692427184902e+00
7.000000000000e-02,3.739921567788e+00
9.000000000000e-02,3.960506341837e+00
1.100000000000e-01,4.194111459847e+00
1.300000000000e-01,4.464602205673e+00
1.500000000000e-01,4.522959564552e+00
1.700000000000e-01,4.363732388835e+00
1.900000000000e-01,4.687235334914e+00
2.100000000000e-01,4.528681718052e+00
2.300000000000e-01,4.627102817073e+00
2.500000000000e-01,4.446959071888e+00
2.700000000000e-01,4.729261001255e+00
2.900000000000e-01,4.820875040491e+00
3.100000000000e-01,4.715610749005e+00
3.300000000000e-01,5.056780994839e+00
3.500000000000e-01,5.184823912593e+00
3.700000000000e-01,5.395870491511e+00
3.900000000000e-01,5.209147322466e+00
4.100000000000e-01,5.451844473491e+00
4.300000000000e-01,5.461604865658e+00
4.500000000000e-01,5.478184664347e+00
4.700000000000e-01,5.789909062361e+00
4.900000000000e-01,6.069868720155e+00
5.100000000000e-01,6.080465662390e+00
5.300000000000e-01,6.716394548889e+00
5.500000000000e-01,6.405632067722e+00
5.700000000000e-01,6.533078640006e+00
5.900000000000e-01,6.827548314846e+00
6.100000000000e-01,6.827682379564e+00
6.300000000000e-01,7.163601575785e+00
6.500000000000e-01,7.410657418520e+00
6.700000000000e-01,7.480559619966e+00
6.900000000000e-01,7.590804364833e+00
7.100000000000e-01,7.531870471865e+00
7.300000000000e-01,7.556689784030e+00
7.500000000000e-01,7.727031001426e+00
7.700000000000e-01,7.991292861377e+00
7.900000000000e-01,8.114112431789e+00
8.100000000000e-01,8.255057964797e+00
8.300000000000e-01,8.159297211333e+00
8.500000000000e-01,8.729513004160e+00
8.700000000000e-01,9.344038637674e+00
8.900000000000e-01,8.880470483830e+00
9.100000000000e-01,9.639919249177e+00
9.300000000000e-01,9.962512180374e+00
9.500000000000e-01,9.992868772534e+00
9.700000000000e-01,1.038285165842e+01
9.900000000000e-01,1.065329178418e+01
1.010000000000e+00,1.082222717691e+01
1.030000000000e+00,1.139148471995e+01
1.050000000000e+00,1.166459429792e+01
1.070000000000e+00,1.174221551013e+01
1.090000000000e+00,1.210642596311e+01
1.110000000000e+00,1.296618634938e+01
1.130000000000e+00,1.300701414174e+01
1.150000000000e+00,1.266601251315e+01
1.170000000000e+00,1.359234067323e+01
1.190000000000e+00,1.402292097189e+01
1.210000000000e+00,1.458571143290e+01
1.230000000000e+00,1.424433466071e+01
1.250000000000e+00,1.521765222256e+01
1.270000000000e+00,1.546078035372e+01
1.290000000000e+00,1.558029536807e+01
1.310000000000e+00,1.543086755742e+01
1.330000000000e+00,1.662831917126e+01
1.350000000000e+00,1.596342125566e+01
1.370000000000e+00,1.615769464060e+01
1.390000000000e+00,1.729775773565e+01
1.410000000000e+00,1.717444835365e+01
1.430000000000e+00,1.726342802811e+01
1.450000000000e+00,1.784233805618e+01
1.470000000000e+00,1.857247672916e+01
1.490000000000e+00,1.777584759284e+01
1.510000000000e+00,1.928631875394e+01
1.530000000000e+00,1.891488143336e+01
1.550000000000e+00,1.876560039941e+01
1.570000000000e+00,1.944528480625e+01
1.590000000000e+00,1.884619167047e+01
1.610000000000e+00,2.017898682926e+01
1.630000000000e+00,1.994328081416e+01
1.650000000000e+00,2.023277207713e+01
1.670000000000e+00,2.058894990411e+01
1.690000000000e+00,2.146684705775e+01
1.710000000000e+00,2.039874629958e+01
1.730000000000e+00,2.177590559000e+01
1.750000000000e+00,2.229525393969e+01
1.770000000000e+00,2.215541373087e+01
1.790000000000e+00,2.203052503809e+01
1.810000000000e+00,2.222981293741e+01
1.830000000000e+00,2.387429936889e+01
1.850000000000e+00,2.259408340728e+01
1.870000000000e+00,2.332530024933e+01
1.890000000000e+00,2.342278627861e+01
1.910000000000e+00,2.360995369292e+01
1.930000000000e+00,2.375725141069e+01
1.950000000000e+00,2.401333414624e+01
1.970000000000e+00,2.494747795219e+01
1.990000000000e+00,2.436186148806e+01
2.010000000000e+00,2.414712555320e+01
2.030000000000e+00,2.528363833425e+01
2.050000000000e+00,2.565646719064e+01
2.070000000000e+00,2.565547163878e+01
2.090000000000e+00,2.527900185235e+01
2.110000000000e+00,2.563650925014e+01
2.130000000000e+00,2.613075905996e+01
2.150000000000e+00,2.589923011795e+01
2.170000000000e+00,2.620836657782e+01
2.190000000000e+00,2.608205311743e+01
2.210000000000e+00,2.627571436807e+01
2.230000000000e+00,2.620396787628e+01
2.250000000000e+00,2.675824036680e+01
2.270000000000e+00,2.709706542177e+01
2.290000000000e+00,2.636404875677e+01
2.310000000000e+00,2.655285595717e+01
2.330000000000e+00,2.671000244721e+01
2.350000000000e+00,2.699459378720e+01
2.370000000000e+00,2.691267114311e+01
2.390000000000e+00,2.706001032690e+01
2.410000000000e+00,2.719275750250e+01
2.430000000000e+00,2.711182153008e+01
2.450000000000e+00,2.639887578591e+01
2.470000000000e+00,2.748276263468e+01
2.490000000000e+00,2.737202605766e+01
2.510000000000e+00,2.719911400510e+01
2.530000000000e+00,2.746052165544e+01
2.550000000000e+00,2.706933779324e+01
2.570000000000e+00,2.727959239633e+01
2.590000000000e+00,2.769450881428e+01
2.610000000000e+00,2.686325280423e+01
2.630000000000e+00,2.710312002302e+01
2.650000000000e+00,2.679718705062e+01
2.670000000000e+00,2.747336361912e+01
2.690000000000e+00,2.733812236923e+01
2.710000000000e+00,2.697985014016e+01
2.730000000000e+00,2.674854730385e+01
2.750000000000e+00,2.649114638956e+01
2.770000000000e+00,2.699308076145e+01
2.790000000000e+00,2.658164351778e+01
2.810000000000e+00,2.616059333140e+01
2.830000000000e+00,2.675699791867e+01
2.850000000000e+00,2.544877028632e+01
2.870000000000e+00,2.554299401860e+01
2.890000000000e+00,2.658711584176e+01
2.910000000000e+00,2.593298723879e+01
2.930000000000e+00,2.528504450426e+01
2.950000000000e+00,2.503946112405e+01
2.970000000000e+00,2.553068542107e+01
2.990000000000e+00,2.494768653059e+01
3.010000000000e+00,2.443443363532e+01
3.030000000000e+00,2.470998047893e+01
3.050000000000e+00,2.424422520174e+01
3.070000000000e+00,2.423584810695e+01
3.090000000000e+00,2.417030261437e+01
3.110000000000e+00,2.395744259315e+01
3.130000000000e+00,2.402940452586e+01
3.150000000000e+00,2.386963309141e+01
3.170000000000e+00,2.376197038426e+01
3.190000000000e+00,2.308943282007e+01
3.210000000000e+00,2.338012158888e+01
3.230000000000e+00,2.257811473249e+01
3.250000000000e+00,2.298677776652e+01
3.270000000000e+00,2.256932733331e+01
3.290000000000e+00,2.214615660203e+01
3.310000000000e+00,2.222005854283e+01
3.330000000000e+00,2.178807975325e+01
3.350000000000e+00,2.115858967263e+01
3.370000000000e+00,2.179011666116e+01
3.390000000000e+00,2.122671933021e+01
3.410000000000e+00,2.133001511125e+01
3.430000000000e+00,2.071059884180e+01
3.450000000000e+00,2.089762530066e+01
3.470000000000e+00,2.057465124723e+01
3.490000000000e+00,2.020776837796e+01
3.510000000000e+00,1.995314355258e+01
3.530000000000e+00,2.012177592693e+01
3.550000000000e+00,1.993784465297e+01
3.570000000000e+00,1.950997100754e+01
3.590000000000e+00,1.909707357324e+01
3.610000000000e+00,1.893941861130e+01
3.630000000000e+00,1.867879613194e+01
3.650000000000e+00,1.844541464401e+01
3.670000000000e+00,1.868474099529e+01
3.690000000000e+00,1.848819150481e+01
3.710000000000e+00,1.775950322732e+01
3.730000000000e+00,1.793786918655e+01
3.750000000000e+00,1.762456229445e+01
3.770000000000e+00,1.759084249965e+01
3.790000000000e+00,1.729173058901e+01
3.810000000000e+00,1.723499152873e+01
3.830000000000e+00,1.685020874089e+01
3.850000000000e+00,1.686812079238e+01
3.870000000000e+00,1.594859660868e+01
3.890000000000e+00,1.619594871731e+01
3.910000000000e+00,1.623441888531e+01
3.930000000000e+00,1.599341976904e+01
3.950000000000e+00,1.561803550252e+01
3.970000000000e+00,1.582073230994e+01
3.990000000000e+00,1.506129431178e+01
4.010000000000e+00,1.519816410642e+01
4.030000000000e+00,1.532586502308e+01
4.050000000000e+00,1.486453946925e+01
4.070000000000e+00,1.452922975122e+01
4.090000000000e+00,1.485676076818e+01
4.110000000000e+00,1.406178066855e+01
4.130000000000e+00,1.435497193269e+01
4.150000000000e+00,1.372173937100e+01
4.170000000000e+00,1.384175715755e+01
4.190000000000e+00,1.357917962432e+01
4.210000000000e+00,1.332026570140e+01
4.230000000000e+00,1.344492802934e+01
4.250000000000e+00,1.293834300950e+01
4.270000000000e+00,1.289034889542e+01
4.290000000000e+00,1.305425926238e+01
4.310000000000e+00,1.291970149799e+01
4.330000000000e+00,1.240973125447e+01
4.350000000000e+00,1.217706484052e+01
4.370000000000e+00,1.210265191920e+01
4.390000000000e+00,1.226482173094e+01
4.410000000000e+00,1.190062449069e+01
4.430000000000e+00,1.155131049539e+01
4.450000000000e+00,1.174661825020e+01
4.470000000000e+00,1.133882877813e+01
4.490000000000e+00,1.118077677198e+01
4.510000000000e+00,1.130991260006e+01
4.530000000000e+00,1.091968691311e+01
4.550000000000e+00,1.069810933712e+01
4.570000000000e+00,1.077824455595e+01
4.590000000000e+00,1.048831492997e+01
4.610000000000e+00,1.042460711872e+01
4.630000000000e+00,1.037097898893e+01
4.650000000000e+00,1.016393665281e+01
4.670000000000e+00,9.958601884186e+00
4.690000000000e+00,9.944408123231e+00
4.710000000000e+00,1.002750228949e+01
4.730000000000e+00,9.778020066316e+00
4.750000000000e+00,9.606131616271e+00
4.770000000000e+00,9.544359122097e+00
4.790000000000e+00,9.689626799239e+00
4.810000000000e+00,9.261073232895e+00
4.830000000000e+00,9.345698602636e+00
4.850000000000e+00,9.032831775774e+00
4.870000000000e+00,8.840280056549e+00
4.890000000000e+00,8.936266538025e+00
4.910000000000e+00,8.878096428005e+00
4.930000000000e+00,8.905058133059e+00
4.950000000000e+00,8.636476732496e+00
4.970000000000e+00,8.498236178829e+00
4.990000000000e+00,8.463814647201e+00
5.010000000000e+00,8.409282063490e+00
5.030000000000e+00,8.063626394824e+00
5.050000000000e+00,8.084175629634e+00
5.070000000000e+00,8.049569370904e+00
5.090000000000e+00,8.011748098965e+00
5.110000000000e+00,7.940937581280e+00
5.130000000000e+00,7.698266083499e+00
5.150000000000e+00,7.629788180212e+00
