redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,1.634382794297e+01
3.000000000000e-02,1.656644845183e+01
5.000000000000e-02,1.664285082579e+01
7.000000000000e-02,1.622644874950e+01
9.000000000000e-02,1.631433447963e+01
1.100000000000e-01,1.670137868441e+01
1.300000000000e-01,1.680448473302e+01
1.500000000000e-01,1.708052404827e+01
1.700000000000e-01,1.759355892550e+01
1.900000000000e-01,1.801849907169e+01
2.100000000000e-01,1.781658581072e+01
2.300000000000e-01,1.855588718936e+01
2.500000000000e-01,1.919755221650e+01
2.700000000000e-01,1.934485429012e+01
2.900000000000e-01,1.974679255034e+01
3.100000000000e-01,2.020318295871e+01
3.300000000000e-01,2.050142913063e+01
3.500000000000e-01,2.102091904797e+01
3.700000000000e-01,2.076641092389e+01
3.900000000000e-01,2.086017250840e+01
4.100000000000e-01,2.085198718815e+01
4.300000000000e-01,2.128092577600e+01
4.500000000000e-01,2.127063838876e+01
4.700000000000e-01,2.223706645574e+01
4.900000000000e-01,2.186211455704e+01
5.100000000000e-01,2.280249801616e+01
5.300000000000e-01,2.300277883374e+01
5.500000000000e-01,2.292051504571e+01
5.700000000000e-01,2.377627016283e+01
5.900000000000e-01,2.321326611770e+01
6.100000000000e-01,2.379845294099e+01
6.300000000000e-01,2.395952190874e+01
6.500000000000e-01,2.360272556692e+01
6.700000000000e-01,2.406693205561e+01
6.900000000000e-01,2.375711909893e+01
7.100000000000e-01,2.364203131183e+01
7.300000000000e-01,2.378409166469e+01
7.500000000000e-01,2.421637859138e+01
7.700000000000e-01,2.481609380774e+01
7.900000000000e-01,2.488924457024e+01
8.100000000000e-01,2.590469915831e+01
8.300000000000e-01,2.599504698266e+01
8.500000000000e-01,2.664812391019e+01
8.700000000000e-01,2.702968418085e+01
8.900000000000e-01,2.692301561481e+01
9.100000000000e-01,2.730937696736e+01
9.300000000000e-01,2.734311928285e+01
9.500000000000e-01,2.731193573361e+01
9.700000000000e-01,2.750596919468e+01
9.900000000000e-01,2.725034577732e+01
1.010000000000e+00,2.750222249003e+01
1.030000000000e+00,2.745195886096e+01
1.050000000000e+00,2.759159022609e+01
1.070000000000e+00,2.735464565501e+01
1.090000000000e+00,2.786393488800e+01
1.110000000000e+00,2.742737190234e+01
1.130000000000e+00,2.845183392258e+01
1.150000000000e+00,2.764893419686e+01
1.170000000000e+00,2.842405374355e+01
1.190000000000e+00,2.848391531608e+01
1.210000000000e+00,2.861565424814e+01
1.230000000000e+00,2.833326452854e+01
1.250000000000e+00,2.856358259586e+01
1.270000000000e+00,2.873219872353e+01
1.290000000000e+00,2.860725520421e+01
1.310000000000e+00,2.904876829589e+01
1.330000000000e+00,2.935405008527e+01
1.350000000000e+00,2.865570593361e+01
1.370000000000e+00,2.933296411071e+01
1.390000000000e+00,2.944550111840e+01
1.410000000000e+00,2.957934171765e+01
1.430000000000e+00,2.969730040241e+01
1.450000000000e+00,2.966138661819e+01
1.470000000000e+00,3.003368838458e+01
1.490000000000e+00,3.034159261432e+01
1.510000000000e+00,2.972386718106e+01
1.530000000000e+00,3.035325235832e+01
1.550000000000e+00,2.947258053406e+01
1.570000000000e+00,3.019487998970e+01
1.590000000000e+00,2.977987988408e+01
1.610000000000e+00,3.013338461886e+01
1.630000000000e+00,2.961367506853e+01
1.650000000000e+00,3.036383539220e+01
1.670000000000e+00,2.958237888427e+01
1.690000000000e+00,3.019474458915e+01
1.710000000000e+00,3.011842898368e+01
1.730000000000e+00,3.010285753004e+01
1.750000000000e+00,3.005746270164e+01
1.770000000000e+00,3.010195184683e+01
1.790000000000e+00,3.042821452648e+01
1.810000000000e+00,2.996121437149e+01
1.830000000000e+00,3.005511846796e+01
1.850000000000e+00,3.084464902193e+01
1.870000000000e+00,2.967757300469e+01
1.890000000000e+00,3.015511431335e+01
1.910000000000e+00,2.947501846106e+01
1.930000000000e+00,3.006343721724e+01
1.950000000000e+00,2.984657306334e+01
1.970000000000e+00,2.980099024237e+01
1.990000000000e+00,2.973550729128e+01
2.010000000000e+00,3.028172630755e+01
2.030000000000e+00,2.990325328554e+01
2.050000000000e+00,2.946878218603e+01
2.070000000000e+00,2.972918409412e+01
2.090000000000e+00,3.000550750904e+01
2.110000000000e+00,2.933603273381e+01
2.130000000000e+00,3.020245280494e+01
2.150000000000e+00,2.956860156363e+01
2.170000000000e+00,2.936708261871e+01
2.190000000000e+00,2.946994216234e+01
2.210000000000e+00,2.971564876646e+01
2.230000000000e+00,2.933855510874e+01
2.250000000000e+00,2.954079212370e+01
2.270000000000e+00,2.860687019803e+01
2.290000000000e+00,2.892388573657e+01
2.310000000000e+00,2.919794644698e+01
