redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,7.173019556517e+00
3.000000000000e-02,7.084586630146e+00
5.000000000000e-02,7.129138945175e+00
7.000000000000e-02,7.415276362727e+00
9.000000000000e-02,7.473146977190e+00
1.100000000000e-01,7.857464372596e+00
1.300000000000e-01,7.961901560420e+00
1.500000000000e-01,8.279218450111e+00
1.700000000000e-01,8.485446622554e+00
1.900000000000e-01,8.521993559937e+00
2.100000000000e-01,8.655436664988e+00
2.300000000000e-01,9.223523050866e+00
2.500000000000e-01,9.443719041887e+00
2.700000000000e-01,9.557554702518e+00
2.900000000000e-01,9.557843905366e+00
3.100000000000e-01,9.997120516449e+00
3.300000000000e-01,9.998172285187e+00
3.500000000000e-01,1.010405691396e+01
3.700000000000e-01,1.018232642519e+01
3.900000000000e-01,9.951092748931e+00
4.100000000000e-01,1.022861316760e+01
4.300000000000e-01,1.037748251607e+01
4.500000000000e-01,1.047516131317e+01
4.700000000000e-01,1.049735001252e+01
4.900000000000e-01,1.064014543930e+01
5.100000000000e-01,1.055132182730e+01
5.300000000000e-01,1.049418967902e+01
5.500000000000e-01,1.069997614305e+01
5.700000000000e-01,1.087446334868e+01
5.900000000000e-01,1.074007576741e+01
6.100000000000e-01,1.130293236477e+01
6.300000000000e-01,1.143451371469e+01
6.500000000000e-01,1.153551779498e+01
6.700000000000e-01,1.137487089196e+01
6.900000000000e-01,1.157878470910e+01
7.100000000000e-01,1.141501331425e+01
7.300000000000e-01,1.134717447132e+01
7.500000000000e-01,1.152550990180e+01
7.700000000000e-01,1.168115140336e+01
7.900000000000e-01,1.204663692167e+01
8.100000000000e-01,1.171519632345e+01
8.300000000000e-01,1.237827297125e+01
8.500000000000e-01,1.219581846910e+01
8.700000000000e-01,1.250305581809e+01
8.900000000000e-01,1.209348249520e+01
9.100000000000e-01,1.256940370766e+01
9.300000000000e-01,1.271822019103e+01
9.500000000000e-01,1.316587057536e+01
9.700000000000e-01,1.321910597970e+01
