redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,1.424288845083e+01
3.000000000000e-02,1.420918204023e+01
5.000000000000e-02,1.415872171944e+01
7.000000000000e-02,1.465835267482e+01
9.000000000000e-02,1.480924816699e+01
1.100000000000e-01,1.536267846260e+01
1.300000000000e-01,1.563798794089e+01
1.500000000000e-01,1.625603747359e+01
1.700000000000e-01,1.666557345490e+01
1.900000000000e-01,1.687013833696e+01
2.100000000000e-01,1.699224663457e+01
2.300000000000e-01,1.808220332830e+01
2.500000000000e-01,1.831599692727e+01
2.700000000000e-01,1.871043603062e+01
2.900000000000e-01,1.868625942529e+01
3.100000000000e-01,1.960418171479e+01
3.300000000000e-01,1.982791781166e+01
3.500000000000e-01,2.009600196943e+01
3.700000000000e-01,2.032477754232e+01
3.900000000000e-01,1.999727697453e+01
4.100000000000e-01,2.068364816272e+01
4.300000000000e-01,2.084095973525e+01
4.500000000000e-01,2.103613170432e+01
4.700000000000e-01,2.108975783399e+01
4.900000000000e-01,2.138559503614e+01
5.100000000000e-01,2.141099437037e+01
5.300000000000e-01,2.104536577948e+01
5.500000000000e-01,2.167848299406e+01
5.700000000000e-01,2.209724333365e+01
5.900000000000e-01,2.176290486468e+01
6.100000000000e-01,2.310763086617e+01
6.300000000000e-01,2.315068219980e+01
6.500000000000e-01,2.362965372151e+01
6.700000000000e-01,2.312368267871e+01
6.900000000000e-01,2.368427617632e+01
7.100000000000e-01,2.346558973893e+01
7.300000000000e-01,2.344899580630e+01
7.500000000000e-01,2.365992558757e+01
7.700000000000e-01,2.406597363873e+01
7.900000000000e-01,2.476291722179e+01
8.100000000000e-01,2.440430950270e+01
8.300000000000e-01,2.536783111679e+01
8.500000000000e-01,2.515849188894e+01
8.700000000000e-01,2.565033460987e+01
8.900000000000e-01,2.479199746520e+01
9.100000000000e-01,2.591842090775e+01
9.300000000000e-01,2.624046189601e+01
9.500000000000e-01,2.685397251537e+01
9.700000000000e-01,2.714366410457e+01
9.900000000000e-01,2.766519055796e+01
1.010000000000e+00,2.932387475492e+01
1.030000000000e+00,2.833653494148e+01
1.050000000000e+00,2.892869287981e+01
1.070000000000e+00,2.930631221328e+01
1.090000000000e+00,2.850071585367e+01
1.110000000000e+00,2.862504452158e+01
1.130000000000e+00,2.842732369240e+01
1.150000000000e+00,2.998434940505e+01
1.170000000000e+00,2.952154422584e+01
1.190000000000e+00,2.951105414021e+01
1.210000000000e+00,3.046466032577e+01
1.230000000000e+00,2.969185154995e+01
1.250000000000e+00,3.031265117794e+01
1.270000000000e+00,2.948375408319e+01
1.290000000000e+00,3.071309012223e+01
1.310000000000e+00,3.014048276472e+01
1.330000000000e+00,3.102324017402e+01
1.350000000000e+00,3.095148669286e+01
1.370000000000e+00,3.150266717324e+01
1.390000000000e+00,3.043920901183e+01
1.410000000000e+00,3.174089690126e+01
1.430000000000e+00,3.202745553817e+01
1.450000000000e+00,3.212340190609e+01
1.470000000000e+00,3.197074748559e+01
1.490000000000e+00,3.230955739556e+01
1.510000000000e+00,3.275881207517e+01
1.530000000000e+00,3.179353393959e+01
1.550000000000e+00,3.246746696882e+01
1.570000000000e+00,3.307946888911e+01
1.590000000000e+00,3.208365364767e+01
1.610000000000e+00,3.296335063123e+01
1.630000000000e+00,3.287039601800e+01
