redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,2.737686978462e-01
3.000000000000e-02,3.577536226837e-01
5.000000000000e-02,3.898963918640e-01
7.000000000000e-02,3.615909426969e-01
9.000000000000e-02,4.822021507740e-01
1.100000000000e-01,5.320574347222e-01
1.300000000000e-01,5.415276797259e-01
1.500000000000e-01,5.664197808165e-01
1.700000000000e-01,5.031178031814e-01
1.900000000000e-01,4.722615103107e-01
2.100000000000e-01,4.258039799771e-01
2.300000000000e-01,3.518843730084e-01
2.500000000000e-01,4.078235336101e-01
2.700000000000e-01,3.970432653656e-01
2.900000000000e-01,4.571959681162e-01
3.100000000000e-01,5.316050421998e-01
3.300000000000e-01,5.766162136431e-01
3.500000000000e-01,5.064667325357e-01
3.700000000000e-01,4.742718939811e-01
3.900000000000e-01,4.971676947712e-01
4.100000000000e-01,4.779525849065e-01
4.300000000000e-01,4.834812338561e-01
4.500000000000e-01,4.648404979953e-01
4.700000000000e-01,4.181857953494e-01
4.900000000000e-01,4.745077746803e-01
5.100000000000e-01,4.429113638587e-01
5.300000000000e-01,4.581748142165e-01
5.500000000000e-01,4.433264338881e-01
5.700000000000e-01,4.792916991643e-01
5.900000000000e-01,4.672868082446e-01
6.100000000000e-01,5.199001317594e-01
6.300000000000e-01,5.460051519103e-01
6.500000000000e-01,5.250384798864e-01
6.700000000000e-01,5.542322437665e-01
6.900000000000e-01,6.022876334368e-01
7.100000000000e-01,6.470340027759e-01
7.300000000000e-01,5.936585453979e-01
7.500000000000e-01,5.523846514270e-01
7.700000000000e-01,5.203154444485e-01
7.900000000000e-01,5.797557119352e-01
8.100000000000e-01,5.522053413719e-01
8.300000000000e-01,5.890553894066e-01
8.500000000000e-01,5.060365271163e-01
8.700000000000e-01,4.624943486324e-01
8.900000000000e-01,4.718823965784e-01
9.100000000000e-01,5.112048210511e-01
9.300000000000e-01,5.027728963795e-01
9.500000000000e-01,4.339384295441e-01
9.700000000000e-01,4.300988165374e-01
9.900000000000e-01,5.584630163753e-01
1.010000000000e+00,4.008989348492e-01
1.030000000000e+00,4.410479717804e-01
1.050000000000e+00,3.791577463432e-01
1.070000000000e+00,5.092654287259e-01
1.090000000000e+00,3.985407764398e-01
1.110000000000e+00,4.682345456090e-01
1.130000000000e+00,5.481925950945e-01
1.150000000000e+00,5.073512496049e-01
1.170000000000e+00,5.184440220831e-01
1.190000000000e+00,5.549057375588e-01
1.210000000000e+00,6.598086987008e-01
1.230000000000e+00,6.287129868245e-01
1.250000000000e+00,7.262354984499e-01
1.270000000000e+00,6.872043736568e-01
1.290000000000e+00,7.779862157654e-01
1.310000000000e+00,7.513192464673e-01
1.330000000000e+00,7.117420761949e-01
1.350000000000e+00,9.501823667750e-01
1.370000000000e+00,7.808339934028e-01
1.390000000000e+00,7.096099946881e-01
1.410000000000e+00,8.419558776303e-01
1.430000000000e+00,7.065734505058e-01
1.450000000000e+00,7.977375043905e-01
1.470000000000e+00,8.019318696541e-01
1.490000000000e+00,7.091385990795e-01
1.510000000000e+00,8.037266921798e-01
1.530000000000e+00,8.511399663649e-01
1.550000000000e+00,7.248020540236e-01
1.570000000000e+00,8.574422909006e-01
1.590000000000e+00,7.360668364649e-01
1.610000000000e+00,8.748149278014e-01
1.630000000000e+00,8.193695734691e-01
1.650000000000e+00,7.528516799953e-01
1.670000000000e+00,8.754281866144e-01
1.690000000000e+00,8.462904766426e-01
1.710000000000e+00,1.019320194648e+00
1.730000000000e+00,9.915047687689e-01
1.750000000000e+00,1.000378930642e+00
1.770000000000e+00,1.041718713678e+00
1.790000000000e+00,1.188539288547e+00
1.810000000000e+00,1.065933647280e+00
1.830000000000e+00,1.254566499776e+00
1.850000000000e+00,1.158672846578e+00
1.870000000000e+00,1.198032269966e+00
1.890000000000e+00,1.219921138831e+00
1.910000000000e+00,1.377515078044e+00
1.930000000000e+00,1.309098537500e+00
1.950000000000e+00,1.300770196027e+00
1.970000000000e+00,1.276693056753e+00
1.990000000000e+00,1.534428578443e+00
2.010000000000e+00,1.343942715023e+00
2.030000000000e+00,1.414104091757e+00
2.050000000000e+00,1.420318742811e+00
2.070000000000e+00,1.335623498992e+00
2.090000000000e+00,1.390231948425e+00
2.110000000000e+00,1.310946511610e+00
2.130000000000e+00,1.582351479163e+00
2.150000000000e+00,1.259664502825e+00
2.170000000000e+00,1.400049510187e+00
2.190000000000e+00,1.410263676297e+00
2.210000000000e+00,1.369911082000e+00
2.230000000000e+00,1.402703472061e+00
2.250000000000e+00,1.370711962375e+00
2.270000000000e+00,1.675836671354e+00
2.290000000000e+00,1.496814804973e+00
2.310000000000e+00,1.378819961309e+00
2.330000000000e+00,1.492939483966e+00
2.350000000000e+00,1.386289127619e+00
2.370000000000e+00,1.469953351235e+00
2.390000000000e+00,1.462294776602e+00
2.410000000000e+00,1.537924472052e+00
2.430000000000e+00,1.389328078117e+00
2.450000000000e+00,1.455050111715e+00
2.470000000000e+00,1.460010075782e+00
2.490000000000e+00,1.375318108591e+00
2.510000000000e+00,1.661260936783e+00
2.530000000000e+00,1.460833716349e+00
2.550000000000e+00,1.426035311568e+00
2.570000000000e+00,1.521189732078e+00
2.590000000000e+00,1.410698903874e+00
2.610000000000e+00,1.434915384552e+00
2.630000000000e+00,1.363176148692e+00
2.650000000000e+00,1.490975515536e+00
2.670000000000e+00,1.410741929878e+00
2.690000000000e+00,1.463803079146e+00
2.710000000000e+00,1.700460890406e+00
2.730000000000e+00,1.351127097443e+00
2.750000000000e+00,1.537643998911e+00
2.770000000000e+00,1.461264452486e+00
2.790000000000e+00,1.341231839981e+00
2.810000000000e+00,1.444623025677e+00
2.830000000000e+00,1.322295256934e+00
2.850000000000e+00,1.323261090613e+00
2.870000000000e+00,1.495970125104e+00
2.890000000000e+00,1.486224764813e+00
2.910000000000e+00,1.523422758632e+00
2.930000000000e+00,1.313741331676e+00
2.950000000000e+00,1.419765807736e+00
2.970000000000e+00,1.551100573561e+00
2.990000000000e+00,1.373669077748e+00
3.010000000000e+00,1.305329347989e+00
3.030000000000e+00,1.439997241536e+00
3.050000000000e+00,1.329826536730e+00
3.070000000000e+00,1.594795982683e+00
3.090000000000e+00,1.403559962434e+00
3.110000000000e+00,1.300581249041e+00
3.130000000000e+00,1.418917631107e+00
3.150000000000e+00,1.394245595217e+00
3.170000000000e+00,1.400982633231e+00
3.190000000000e+00,1.330432017451e+00
3.210000000000e+00,1.467403762445e+00
3.230000000000e+00,1.498709721850e+00
3.250000000000e+00,1.430154169032e+00
3.270000000000e+00,1.327959600584e+00
3.290000000000e+00,1.354261525842e+00
3.310000000000e+00,1.355937081106e+00
3.330000000000e+00,1.446498960431e+00
3.350000000000e+00,1.466399425813e+00
3.370000000000e+00,1.280168473445e+00
3.390000000000e+00,1.462097296140e+00
3.410000000000e+00,1.444924020736e+00
3.430000000000e+00,1.282604346985e+00
3.450000000000e+00,1.255609754118e+00
3.470000000000e+00,1.294889486232e+00
3.490000000000e+00,1.381883410520e+00
3.510000000000e+00,1.255006293098e+00
3.530000000000e+00,1.313581691139e+00
3.550000000000e+00,1.288548450420e+00
3.570000000000e+00,1.222680050466e+00
3.590000000000e+00,1.276174029716e+00
3.610000000000e+00,1.241511123987e+00
3.630000000000e+00,1.169102664230e+00
3.650000000000e+00,1.227630912583e+00
3.670000000000e+00,1.237616541957e+00
3.690000000000e+00,1.181527127270e+00
3.710000000000e+00,1.145537059923e+00
3.730000000000e+00,1.178455638120e+00
3.750000000000e+00,1.190431066689e+00
3.770000000000e+00,1.152260795871e+00
3.790000000000e+00,1.111335426106e+00
3.810000000000e+00,1.078779727266e+00
3.830000000000e+00,1.082264217121e+00
3.850000000000e+00,1.195921020731e+00
3.870000000000e+00,1.018927360078e+00
3.890000000000e+00,1.005148101262e+00
3.910000000000e+00,1.015807284895e+00
3.930000000000e+00,1.012450048934e+00
3.950000000000e+00,9.773296709774e-01
3.970000000000e+00,9.369653447960e-01
3.990000000000e+00,1.020316337997e+00
4.010000000000e+00,8.947366647308e-01
4.030000000000e+00,8.644265731376e-01
4.050000000000e+00,9.342563687893e-01
4.070000000000e+00,8.796346925111e-01
4.090000000000e+00,9.110448337548e-01
4.110000000000e+00,7.924269792450e-01
4.130000000000e+00,9.318149397151e-01
4.150000000000e+00,7.837912287826e-01
4.170000000000e+00,7.628696957160e-01
4.190000000000e+00,7.344477460293e-01
4.210000000000e+00,7.951442641057e-01
4.230000000000e+00,6.740759240972e-01
4.250000000000e+00,7.364637300651e-01
4.270000000000e+00,7.109225493946e-01
4.290000000000e+00,6.609298738828e-01
4.310000000000e+00,6.753125719155e-01
4.330000000000e+00,6.555865163902e-01
4.350000000000e+00,6.364161539633e-01
4.370000000000e+00,6.683089020429e-01
4.390000000000e+00,6.416233755716e-01
4.410000000000e+00,6.338730595064e-01
4.430000000000e+00,5.677645673940e-01
4.450000000000e+00,6.002339444192e-01
4.470000000000e+00,5.973911273118e-01
4.490000000000e+00,5.595474533087e-01
4.510000000000e+00,6.502914889715e-01
4.530000000000e+00,5.333463387219e-01
4.550000000000e+00,5.570599397908e-01
4.570000000000e+00,5.344489439564e-01
4.590000000000e+00,5.335758636567e-01
4.610000000000e+00,5.043954475233e-01
4.630000000000e+00,5.154446657053e-01
4.650000000000e+00,5.275978279330e-01
4.670000000000e+00,5.069335802199e-01
4.690000000000e+00,4.804934335500e-01
4.710000000000e+00,4.701585504088e-01
4.730000000000e+00,5.340727585075e-01
4.750000000000e+00,4.662833161877e-01
4.770000000000e+00,4.654121462220e-01
4.790000000000e+00,4.687693046361e-01
4.810000000000e+00,4.272251750692e-01
4.830000000000e+00,5.464455714569e-01
4.850000000000e+00,4.076837113035e-01
4.870000000000e+00,5.040506847763e-01
4.890000000000e+00,3.732368607501e-01
4.910000000000e+00,4.449095518216e-01
4.930000000000e+00,5.281989038437e-01
4.950000000000e+00,3.889220501050e-01
4.970000000000e+00,4.402842213360e-01
4.990000000000e+00,4.413200386782e-01
5.010000000000e+00,4.754461139377e-01
5.030000000000e+00,4.259514787810e-01
5.050000000000e+00,3.689650400532e-01
5.070000000000e+00,5.011058506124e-01
5.090000000000e+00,4.223970548131e-01
5.110000000000e+00,4.602597062315e-01
5.130000000000e+00,4.150012735585e-01
5.150000000000e+00,4.554282149712e-01
5.170000000000e+00,4.249870021000e-01
5.190000000000e+00,4.775309107467e-01
5.210000000000e+00,3.933277021172e-01
5.230000000000e+00,4.306278780833e-01
5.250000000000e+00,4.335515898116e-01
5.270000000000e+00,4.374458351969e-01
5.290000000000e+00,4.314622470032e-01
5.310000000000e+00,4.279664814910e-01
5.330000000000e+00,4.284936897094e-01
5.350000000000e+00,3.855566607022e-01
5.370000000000e+00,4.814690795165e-01
5.390000000000e+00,3.712155001812e-01
5.410000000000e+00,4.562405502665e-01
5.430000000000e+00,3.905369513746e-01
5.450000000000e+00,3.815750013296e-01
5.470000000000e+00,4.007717315044e-01
5.490000000000e+00,4.418814611543e-01
5.510000000000e+00,4.381646019606e-01
5.530000000000e+00,3.773209801754e-01
5.550000000000e+00,4.446130236739e-01
5.570000000000e+00,4.111888215639e-01
5.590000000000e+00,4.659857812677e-01
5.610000000000e+00,3.751244111821e-01
5.630000000000e+00,4.669676664346e-01
5.650000000000e+00,4.108892999947e-01
5.670000000000e+00,4.047364678300e-01
5.690000000000e+00,4.082543893740e-01
5.710000000000e+00,4.976222553060e-01
5.730000000000e+00,3.674644711528e-01
5.750000000000e+00,4.408362218344e-01
5.770000000000e+00,4.244810395551e-01
5.790000000000e+00,4.357781003136e-01
5.810000000000e+00,4.491845643126e-01
5.830000000000e+00,4.296043509673e-01
5.850000000000e+00,4.827102309686e-01
5.870000000000e+00,4.346667738637e-01
5.890000000000e+00,4.302764685929e-01
5.910000000000e+00,4.324228086324e-01
5.930000000000e+00,4.338487330058e-01
5.950000000000e+00,4.654691907258e-01
5.970000000000e+00,4.715097302032e-01
5.990000000000e+00,4.255777380324e-01
6.010000000000e+00,4.998035706461e-01
6.030000000000e+00,4.446420200333e-01
6.050000000000e+00,4.438023583280e-01
6.070000000000e+00,4.568925373239e-01
6.090000000000e+00,4.523417889932e-01
6.110000000000e+00,4.302091131374e-01
6.130000000000e+00,5.328406270278e-01
6.150000000000e+00,4.600171374339e-01
6.170000000000e+00,5.148542262431e-01
6.190000000000e+00,4.507917034783e-01
6.210000000000e+00,4.553519829632e-01
6.230000000000e+00,4.658458322539e-01
6.250000000000e+00,4.741003669051e-01
6.270000000000e+00,5.153448527893e-01
6.290000000000e+00,5.390970274804e-01
6.310000000000e+00,5.195690802619e-01
6.330000000000e+00,4.939682724851e-01
6.350000000000e+00,4.857226547005e-01
6.370000000000e+00,4.696834066071e-01
6.390000000000e+00,5.258374994653e-01
6.410000000000e+00,5.688850534402e-01
6.430000000000e+00,5.036200520466e-01
6.450000000000e+00,5.781186918316e-01
6.470000000000e+00,5.179808947733e-01
6.490000000000e+00,5.121390577581e-01
6.510000000000e+00,5.245897973750e-01
6.530000000000e+00,6.085039897900e-01
6.550000000000e+00,6.076583940823e-01
6.570000000000e+00,5.248649827124e-01
6.590000000000e+00,5.873438985929e-01
6.610000000000e+00,5.294066380507e-01
6.630000000000e+00,5.594752664921e-01
6.650000000000e+00,5.543069498943e-01
6.670000000000e+00,5.938520044727e-01
6.690000000000e+00,5.656853566249e-01
6.710000000000e+00,5.687716834759e-01
6.730000000000e+00,5.793199547808e-01
6.750000000000e+00,5.757374297436e-01
6.770000000000e+00,5.617038295142e-01
6.790000000000e+00,6.068704364483e-01
6.810000000000e+00,5.870059301566e-01
6.830000000000e+00,5.257644580310e-01
6.850000000000e+00,5.762267725789e-01
6.870000000000e+00,6.186182257418e-01
6.890000000000e+00,5.828551920458e-01
6.910000000000e+00,5.126829709490e-01
6.930000000000e+00,5.735662880459e-01
6.950000000000e+00,5.797286303404e-01
6.970000000000e+00,5.520965889040e-01
6.990000000000e+00,6.254942191801e-01
7.010000000000e+00,5.347421946191e-01
7.030000000000e+00,5.377474947382e-01
7.050000000000e+00,5.275490527203e-01
7.070000000000e+00,5.671560845001e-01
7.090000000000e+00,5.725181464960e-01
7.110000000000e+00,5.424953536213e-01
7.130000000000e+00,5.312942613486e-01
7.150000000000e+00,5.309998729449e-01
7.170000000000e+00,5.242776539298e-01
7.190000000000e+00,5.230143608172e-01
7.210000000000e+00,5.397535201448e-01
7.230000000000e+00,5.397531747442e-01
7.250000000000e+00,5.210430048302e-01
7.270000000000e+00,5.128899740110e-01
7.290000000000e+00,4.825751358320e-01
7.310000000000e+00,5.020989557932e-01
7.330000000000e+00,5.423113711162e-01
7.350000000000e+00,4.868187681753e-01
7.370000000000e+00,4.982046261522e-01
7.390000000000e+00,4.620715922632e-01
7.410000000000e+00,4.836114505829e-01
7.430000000000e+00,4.951629578810e-01
7.450000000000e+00,4.686770076712e-01
7.470000000000e+00,4.598370948892e-01
7.490000000000e+00,5.017118381447e-01
7.510000000000e+00,5.356240359318e-01
7.530000000000e+00,4.435696367986e-01
7.550000000000e+00,4.447330884497e-01
7.570000000000e+00,4.650223211666e-01
7.590000000000e+00,4.636254283919e-01
7.610000000000e+00,4.392154432546e-01
7.630000000000e+00,4.516892268081e-01
7.650000000000e+00,4.897145911834e-01
7.670000000000e+00,4.568053815208e-01
7.690000000000e+00,4.732726382369e-01
7.710000000000e+00,4.302372332652e-01
7.730000000000e+00,4.550408926538e-01
7.750000000000e+00,4.294255037628e-01
7.770000000000e+00,4.463992744399e-01
7.790000000000e+00,4.531396247091e-01
7.810000000000e+00,4.335338738426e-01
7.830000000000e+00,4.845546846037e-01
7.850000000000e+00,4.586602816404e-01
7.870000000000e+00,4.809985823262e-01
7.890000000000e+00,4.668638132334e-01
7.910000000000e+00,4.271827841836e-01
7.930000000000e+00,4.929257401679e-01
7.950000000000e+00,4.678992888871e-01
