redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,1.302605160007e+02
3.000000000000e-02,1.324770379661e+02
5.000000000000e-02,1.367558458487e+02
7.000000000000e-02,1.403611706012e+02
9.000000000000e-02,1.420150242017e+02
1.100000000000e-01,1.451019610719e+02
1.300000000000e-01,1.462016912056e+02
1.500000000000e-01,1.487977914701e+02
1.700000000000e-01,1.485964467095e+02
1.900000000000e-01,1.511268308084e+02
2.100000000000e-01,1.525861368867e+02
2.300000000000e-01,1.556803455334e+02
2.500000000000e-01,1.569912118078e+02
2.700000000000e-01,1.609517390248e+02
2.900000000000e-01,1.646705671241e+02
3.100000000000e-01,1.665927512875e+02
3.300000000000e-01,1.696674705693e+02
3.500000000000e-01,1.732788329140e+02
3.700000000000e-01,1.804208526250e+02
3.900000000000e-01,1.801714074089e+02
4.100000000000e-01,1.855105243518e+02
4.300000000000e-01,1.884695984968e+02
4.500000000000e-01,1.907151263465e+02
4.700000000000e-01,1.955494252017e+02
4.900000000000e-01,1.954558004298e+02
5.100000000000e-01,1.976702133640e+02
5.300000000000e-01,2.008363017480e+02
5.500000000000e-01,2.036930116410e+02
5.700000000000e-01,2.047102767447e+02
5.900000000000e-01,2.096907103100e+02
6.100000000000e-01,2.126909589458e+02
6.300000000000e-01,2.148336259797e+02
6.500000000000e-01,2.181214502358e+02
6.700000000000e-01,2.201304947837e+02
6.900000000000e-01,2.233716176286e+02
7.100000000000e-01,2.258174516890e+02
7.300000000000e-01,2.270588096444e+02
7.500000000000e-01,2.284542818944e+02
7.700000000000e-01,2.326386903036e+02
7.900000000000e-01,2.351793699799e+02
8.100000000000e-01,2.346411384251e+02
8.300000000000e-01,2.388805775121e+02
8.500000000000e-01,2.415351036338e+02
8.700000000000e-01,2.435524011256e+02
8.900000000000e-01,2.433897267303e+02
9.100000000000e-01,2.477128559479e+02
9.300000000000e-01,2.495805865166e+02
9.500000000000e-01,2.518112642271e+02
9.700000000000e-01,2.560765508259e+02
9.900000000000e-01,2.568898690643e+02
1.010000000000e+00,2.593038032252e+02
1.030000000000e+00,2.623067358309e+02
1.050000000000e+00,2.644984842514e+02
1.070000000000e+00,2.659217642132e+02
1.090000000000e+00,2.665067122484e+02
1.110000000000e+00,2.702726520726e+02
1.130000000000e+00,2.704161359326e+02
1.150000000000e+00,2.726470089184e+02
1.170000000000e+00,2.748158876901e+02
1.190000000000e+00,2.744116897490e+02
1.210000000000e+00,2.752871579070e+02
1.230000000000e+00,2.777632495883e+02
1.250000000000e+00,2.785415954708e+02
1.270000000000e+00,2.797289844174e+02
1.290000000000e+00,2.814001647889e+02
1.310000000000e+00,2.823596083940e+02
1.330000000000e+00,2.833418326849e+02
1.350000000000e+00,2.848932611403e+02
1.370000000000e+00,2.875570761836e+02
1.390000000000e+00,2.869742847274e+02
1.410000000000e+00,2.878151795603e+02
1.430000000000e+00,2.882600620282e+02
1.450000000000e+00,2.897183064071e+02
1.470000000000e+00,2.930657174699e+02
1.490000000000e+00,2.912824215339e+02
1.510000000000e+00,2.892362458920e+02
1.530000000000e+00,2.936649560816e+02
1.550000000000e+00,2.908061143324e+02
1.570000000000e+00,2.916591106826e+02
1.590000000000e+00,2.917789094229e+02
1.610000000000e+00,2.922725338770e+02
1.630000000000e+00,2.948135127107e+02
1.650000000000e+00,2.935218330584e+02
1.670000000000e+00,2.945747295728e+02
1.690000000000e+00,2.903674718255e+02
1.710000000000e+00,2.914757500989e+02
1.730000000000e+00,2.890704873897e+02
1.750000000000e+00,2.914060231728e+02
1.770000000000e+00,2.876872840003e+02
1.790000000000e+00,2.878016939483e+02
1.810000000000e+00,2.884235600962e+02
1.830000000000e+00,2.867944827241e+02
1.850000000000e+00,2.856669210910e+02
1.870000000000e+00,2.817160004895e+02
1.890000000000e+00,2.819516892202e+02
1.910000000000e+00,2.786971479593e+02
1.930000000000e+00,2.799290079762e+02
1.950000000000e+00,2.769915943542e+02
1.970000000000e+00,2.744429542707e+02
1.990000000000e+00,2.718413265493e+02
2.010000000000e+00,2.728744640347e+02
2.030000000000e+00,2.684202592718e+02
2.050000000000e+00,2.663452711474e+02
2.070000000000e+00,2.654521552966e+02
2.090000000000e+00,2.628634834324e+02
2.110000000000e+00,2.592528142298e+02
2.130000000000e+00,2.579246190130e+02
2.150000000000e+00,2.553157378862e+02
2.170000000000e+00,2.524743429664e+02
2.190000000000e+00,2.519028456941e+02
2.210000000000e+00,2.485319006783e+02
2.230000000000e+00,2.456112702416e+02
2.250000000000e+00,2.420840243575e+02
2.270000000000e+00,2.405195744716e+02
2.290000000000e+00,2.392559604769e+02
2.310000000000e+00,2.338902048726e+02
2.330000000000e+00,2.331017872262e+02
2.350000000000e+00,2.293256414151e+02
2.370000000000e+00,2.284374921025e+02
2.390000000000e+00,2.235496284501e+02
2.410000000000e+00,2.219180902153e+02
2.430000000000e+00,2.175752202754e+02
2.450000000000e+00,2.186681439697e+02
2.470000000000e+00,2.131726069492e+02
2.490000000000e+00,2.100330350239e+02
2.510000000000e+00,2.070571038305e+02
2.530000000000e+00,2.035511471382e+02
2.550000000000e+00,2.027042162114e+02
2.570000000000e+00,1.994007090351e+02
2.590000000000e+00,1.967204464848e+02
2.610000000000e+00,1.934278740667e+02
2.630000000000e+00,1.913253331892e+02
2.650000000000e+00,1.917943290953e+02
2.670000000000e+00,1.843358898836e+02
2.690000000000e+00,1.828826102536e+02
2.710000000000e+00,1.816656576109e+02
2.730000000000e+00,1.788399472943e+02
2.750000000000e+00,1.763846435296e+02
2.770000000000e+00,1.759889733643e+02
2.790000000000e+00,1.710253673641e+02
2.810000000000e+00,1.697141830228e+02
2.830000000000e+00,1.666657562215e+02
2.850000000000e+00,1.647901805207e+02
2.870000000000e+00,1.619462329976e+02
2.890000000000e+00,1.591331176087e+02
2.910000000000e+00,1.585022134147e+02
2.930000000000e+00,1.556898322576e+02
2.950000000000e+00,1.528205656537e+02
2.970000000000e+00,1.506067866838e+02
2.990000000000e+00,1.492145513581e+02
3.010000000000e+00,1.479594601500e+02
3.030000000000e+00,1.449991380767e+02
3.050000000000e+00,1.441344312395e+02
3.070000000000e+00,1.405644741810e+02
3.090000000000e+00,1.405303776541e+02
3.110000000000e+00,1.396875082581e+02
3.130000000000e+00,1.365001135461e+02
3.150000000000e+00,1.334352030175e+02
3.170000000000e+00,1.325281118145e+02
3.190000000000e+00,1.299731135614e+02
3.210000000000e+00,1.289012920442e+02
3.230000000000e+00,1.264297178472e+02
3.250000000000e+00,1.258755353554e+02
3.270000000000e+00,1.236354354441e+02
3.290000000000e+00,1.219866281938e+02
3.310000000000e+00,1.202661876416e+02
3.330000000000e+00,1.188738763328e+02
3.350000000000e+00,1.179740877105e+02
3.370000000000e+00,1.159493676661e+02
3.390000000000e+00,1.147079148496e+02
3.410000000000e+00,1.121692439347e+02
3.430000000000e+00,1.122288017543e+02
3.450000000000e+00,1.083085809355e+02
