redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,2.439154326229e+01
3.000000000000e-02,2.547968336710e+01
5.000000000000e-02,2.668283314540e+01
7.000000000000e-02,2.783550548210e+01
9.000000000000e-02,2.892666097013e+01
1.100000000000e-01,3.027443713985e+01
1.300000000000e-01,3.159353250436e+01
1.500000000000e-01,3.294793474101e+01
1.700000000000e-01,3.448443173189e+01
1.900000000000e-01,3.583035952694e+01
2.100000000000e-01,3.727440228187e+01
2.300000000000e-01,3.877544297795e+01
2.500000000000e-01,4.039994817612e+01
2.700000000000e-01,4.174522456035e+01
2.900000000000e-01,4.340503000803e+01
3.100000000000e-01,4.490973142406e+01
3.300000000000e-01,4.647907895900e+01
3.500000000000e-01,4.807877570740e+01
3.700000000000e-01,4.972515275403e+01
3.900000000000e-01,5.128945526935e+01
4.100000000000e-01,5.317669233787e+01
4.300000000000e-01,5.480395841064e+01
4.500000000000e-01,5.650752529815e+01
4.700000000000e-01,5.835987925052e+01
4.900000000000e-01,5.999749515157e+01
5.100000000000e-01,6.192777332790e+01
5.300000000000e-01,6.349585606518e+01
5.500000000000e-01,6.552078620338e+01
5.700000000000e-01,6.736419514392e+01
5.900000000000e-01,6.928115849651e+01
6.100000000000e-01,7.125923229222e+01
6.300000000000e-01,7.309260383114e+01
6.500000000000e-01,7.495403221093e+01
6.700000000000e-01,7.709805925051e+01
6.900000000000e-01,7.903120784905e+01
7.100000000000e-01,8.091051222114e+01
7.300000000000e-01,8.314754865166e+01
7.500000000000e-01,8.499308354287e+01
7.700000000000e-01,8.710871570946e+01
7.900000000000e-01,8.935235269152e+01
8.100000000000e-01,9.120234114920e+01
8.300000000000e-01,9.355842912353e+01
8.500000000000e-01,9.532771203322e+01
8.700000000000e-01,9.734106446908e+01
8.900000000000e-01,9.934276956002e+01
9.100000000000e-01,1.015166797968e+02
9.300000000000e-01,1.034141684059e+02
9.500000000000e-01,1.053843328864e+02
9.700000000000e-01,1.072869633953e+02
9.900000000000e-01,1.094519268144e+02
1.010000000000e+00,1.116521164642e+02
1.030000000000e+00,1.137130144378e+02
1.050000000000e+00,1.154706213037e+02
1.070000000000e+00,1.173386646126e+02
1.090000000000e+00,1.195940973102e+02
1.110000000000e+00,1.215930857158e+02
1.130000000000e+00,1.232459806315e+02
1.150000000000e+00,1.251279247467e+02
1.170000000000e+00,1.268299466930e+02
1.190000000000e+00,1.291833955248e+02
1.210000000000e+00,1.307500302616e+02
1.230000000000e+00,1.322444807000e+02
1.250000000000e+00,1.341333691805e+02
1.270000000000e+00,1.359252646069e+02
1.290000000000e+00,1.384056271395e+02
1.310000000000e+00,1.395075236206e+02
1.330000000000e+00,1.411470648401e+02
1.350000000000e+00,1.429975360080e+02
1.370000000000e+00,1.441597658523e+02
1.390000000000e+00,1.456482070094e+02
1.410000000000e+00,1.475757674713e+02
1.430000000000e+00,1.480704795467e+02
1.450000000000e+00,1.491625791907e+02
1.470000000000e+00,1.508807262874e+02
1.490000000000e+00,1.516449090615e+02
1.510000000000e+00,1.536062175656e+02
1.530000000000e+00,1.542054033605e+02
1.550000000000e+00,1.551631258621e+02
1.570000000000e+00,1.558190092771e+02
1.590000000000e+00,1.562645231958e+02
1.610000000000e+00,1.574110106442e+02
1.630000000000e+00,1.579200112098e+02
1.650000000000e+00,1.587179762670e+02
1.670000000000e+00,1.589355563481e+02
1.690000000000e+00,1.588397207925e+02
1.710000000000e+00,1.593806470621e+02
1.730000000000e+00,1.593502297922e+02
1.750000000000e+00,1.596249880769e+02
1.770000000000e+00,1.596368382619e+02
1.790000000000e+00,1.608521811238e+02
1.810000000000e+00,1.609715080591e+02
1.830000000000e+00,1.591751267793e+02
1.850000000000e+00,1.588340259869e+02
1.870000000000e+00,1.588571635068e+02
1.890000000000e+00,1.589358019647e+02
1.910000000000e+00,1.582393999834e+02
1.930000000000e+00,1.578099758400e+02
1.950000000000e+00,1.565198427813e+02
1.970000000000e+00,1.552721629770e+02
1.990000000000e+00,1.550327202693e+02
2.010000000000e+00,1.544556968459e+02
2.030000000000e+00,1.535576581346e+02
2.050000000000e+00,1.521010026113e+02
2.070000000000e+00,1.513168252701e+02
