redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,4.565850058727e-01
3.000000000000e-02,4.771231864296e-01
5.000000000000e-02,4.786448366205e-01
7.000000000000e-02,4.864274953362e-01
9.000000000000e-02,4.568924059766e-01
1.100000000000e-01,4.661689576529e-01
1.300000000000e-01,5.423909368490e-01
1.500000000000e-01,5.608271679151e-01
1.700000000000e-01,6.151880639025e-01
1.900000000000e-01,5.989038990107e-01
2.100000000000e-01,6.372855147060e-01
2.300000000000e-01,6.723353198419e-01
2.500000000000e-01,6.776661911898e-01
2.700000000000e-01,7.042336349130e-01
2.900000000000e-01,6.898830072505e-01
3.100000000000e-01,6.883912660613e-01
3.300000000000e-01,6.916976926460e-01
3.500000000000e-01,6.973701719632e-01
3.700000000000e-01,7.286158378073e-01
3.900000000000e-01,7.629398935457e-01
4.100000000000e-01,7.727164622396e-01
4.300000000000e-01,7.920331356874e-01
4.500000000000e-01,7.507109436582e-01
4.700000000000e-01,7.727675658426e-01
4.900000000000e-01,7.891289512721e-01
5.100000000000e-01,7.389476231805e-01
5.300000000000e-01,7.456650130422e-01
5.500000000000e-01,7.338085928350e-01
5.700000000000e-01,7.694846312243e-01
5.900000000000e-01,7.522695114259e-01
6.100000000000e-01,8.059298300453e-01
6.300000000000e-01,7.824838155149e-01
6.500000000000e-01,7.752175948120e-01
6.700000000000e-01,7.611564089239e-01
6.900000000000e-01,7.366582977052e-01
7.100000000000e-01,6.756110055329e-01
7.300000000000e-01,7.338775792923e-01
7.500000000000e-01,6.630672885908e-01
7.700000000000e-01,6.700346586583e-01
7.900000000000e-01,6.557132600865e-01
8.100000000000e-01,6.524303467844e-01
8.300000000000e-01,6.585613291269e-01
8.500000000000e-01,6.538728414524e-01
8.700000000000e-01,6.555317400618e-01
8.900000000000e-01,7.063680274019e-01
9.100000000000e-01,7.688778550936e-01
9.300000000000e-01,7.631690044266e-01
9.500000000000e-01,7.644489134897e-01
9.700000000000e-01,8.416079569503e-01
9.900000000000e-01,8.460494237476e-01
1.010000000000e+00,8.641242524988e-01
1.030000000000e+00,8.946566006058e-01
1.050000000000e+00,9.289297259569e-01
1.070000000000e+00,9.630687706370e-01
1.090000000000e+00,9.743098475935e-01
1.110000000000e+00,1.004890703811e+00
1.130000000000e+00,1.034516483406e+00
1.150000000000e+00,9.756114942582e-01
1.170000000000e+00,1.007060158209e+00
1.190000000000e+00,9.740611355133e-01
1.210000000000e+00,1.036799531170e+00
1.230000000000e+00,1.038585220832e+00
1.250000000000e+00,9.699144846887e-01
1.270000000000e+00,1.035256482429e+00
1.290000000000e+00,1.038434346191e+00
1.310000000000e+00,1.080530083642e+00
1.330000000000e+00,1.048526194870e+00
1.350000000000e+00,1.071676327274e+00
1.370000000000e+00,1.002296979464e+00
1.390000000000e+00,1.024776706438e+00
1.410000000000e+00,1.051602409648e+00
1.430000000000e+00,1.028624729286e+00
1.450000000000e+00,1.045039138689e+00
1.470000000000e+00,1.067897975442e+00
1.490000000000e+00,1.037027461593e+00
1.510000000000e+00,1.116666646558e+00
1.530000000000e+00,1.131052853586e+00
1.550000000000e+00,1.114921343674e+00
1.570000000000e+00,1.104016535398e+00
1.590000000000e+00,1.177226559970e+00
1.610000000000e+00,1.120386546635e+00
1.630000000000e+00,1.145216763618e+00
1.650000000000e+00,1.178956564512e+00
1.670000000000e+00,1.171627552492e+00
1.690000000000e+00,1.146967075385e+00
1.710000000000e+00,1.226695195834e+00
1.730000000000e+00,1.211517702496e+00
1.750000000000e+00,1.213026979892e+00
1.770000000000e+00,1.147874952756e+00
1.790000000000e+00,1.224003237714e+00
1.810000000000e+00,1.221749725700e+00
1.830000000000e+00,1.262612859984e+00
1.850000000000e+00,1.225675959796e+00
1.870000000000e+00,1.285254384373e+00
1.890000000000e+00,1.368137435847e+00
1.910000000000e+00,1.303133316975e+00
1.930000000000e+00,1.276719237842e+00
1.950000000000e+00,1.329817727309e+00
1.970000000000e+00,1.340605179843e+00
1.990000000000e+00,1.369852034366e+00
2.010000000000e+00,1.371006913362e+00
2.030000000000e+00,1.405800031829e+00
2.050000000000e+00,1.382109002254e+00
2.070000000000e+00,1.446985668575e+00
2.090000000000e+00,1.379278125571e+00
2.110000000000e+00,1.431003238445e+00
2.130000000000e+00,1.412887929904e+00
2.150000000000e+00,1.481185023922e+00
2.170000000000e+00,1.417199118244e+00
2.190000000000e+00,1.481554171898e+00
2.210000000000e+00,1.474051989186e+00
2.230000000000e+00,1.472592930268e+00
2.250000000000e+00,1.444425142613e+00
2.270000000000e+00,1.519085930068e+00
2.290000000000e+00,1.500199279175e+00
2.310000000000e+00,1.488853040512e+00
2.330000000000e+00,1.584454188396e+00
2.350000000000e+00,1.504231926478e+00
2.370000000000e+00,1.576097978279e+00
2.390000000000e+00,1.518818436200e+00
2.410000000000e+00,1.547108832628e+00
2.430000000000e+00,1.512015143724e+00
2.450000000000e+00,1.541429921184e+00
2.470000000000e+00,1.668148034720e+00
2.490000000000e+00,1.599397258427e+00
2.510000000000e+00,1.607384232204e+00
2.530000000000e+00,1.561710332016e+00
2.550000000000e+00,1.656726730690e+00
2.570000000000e+00,1.555051686131e+00
2.590000000000e+00,1.660200569666e+00
2.610000000000e+00,1.657540727072e+00
2.630000000000e+00,1.673397409326e+00
2.650000000000e+00,1.664912044069e+00
2.670000000000e+00,1.669901836748e+00
2.690000000000e+00,1.669785848674e+00
2.710000000000e+00,1.653747644780e+00
2.730000000000e+00,1.718578556498e+00
2.750000000000e+00,1.730251977453e+00
2.770000000000e+00,1.692734241650e+00
2.790000000000e+00,1.731299153997e+00
2.810000000000e+00,1.806619064262e+00
2.830000000000e+00,1.757469638905e+00
2.850000000000e+00,1.759331116162e+00
2.870000000000e+00,1.776337043501e+00
2.890000000000e+00,1.725256159193e+00
2.910000000000e+00,1.807373978689e+00
2.930000000000e+00,1.732462114927e+00
2.950000000000e+00,1.741832963457e+00
2.970000000000e+00,1.848046869240e+00
2.990000000000e+00,1.734023408257e+00
3.010000000000e+00,1.738818841747e+00
3.030000000000e+00,1.752925577259e+00
3.050000000000e+00,1.766138786290e+00
3.070000000000e+00,1.732350873390e+00
3.090000000000e+00,1.741954602421e+00
3.110000000000e+00,1.783845299955e+00
3.130000000000e+00,1.766397240169e+00
3.150000000000e+00,1.757688858551e+00
3.170000000000e+00,1.743994966933e+00
3.190000000000e+00,1.783099680145e+00
3.210000000000e+00,1.719623127252e+00
3.230000000000e+00,1.741198496211e+00
3.250000000000e+00,1.776502767814e+00
3.270000000000e+00,1.673720137647e+00
3.290000000000e+00,1.760912442504e+00
3.310000000000e+00,1.713666783575e+00
3.330000000000e+00,1.729491430323e+00
3.350000000000e+00,1.665427448948e+00
3.370000000000e+00,1.710311576590e+00
3.390000000000e+00,1.648251775516e+00
3.410000000000e+00,1.618549627297e+00
3.430000000000e+00,1.596294075356e+00
3.450000000000e+00,1.679208451643e+00
3.470000000000e+00,1.594504341483e+00
3.490000000000e+00,1.636215876813e+00
3.510000000000e+00,1.568762550399e+00
3.530000000000e+00,1.592310810592e+00
3.550000000000e+00,1.517250975221e+00
3.570000000000e+00,1.532199853959e+00
3.590000000000e+00,1.504016823416e+00
3.610000000000e+00,1.519996237676e+00
3.630000000000e+00,1.550594596043e+00
3.650000000000e+00,1.462901262940e+00
3.670000000000e+00,1.516272928417e+00
3.690000000000e+00,1.434224316172e+00
3.710000000000e+00,1.436468531048e+00
3.730000000000e+00,1.423109816706e+00
3.750000000000e+00,1.500402456451e+00
3.770000000000e+00,1.376464736496e+00
3.790000000000e+00,1.433440496893e+00
3.810000000000e+00,1.366066171075e+00
3.830000000000e+00,1.421877934227e+00
3.850000000000e+00,1.388619580343e+00
3.870000000000e+00,1.348828163388e+00
3.890000000000e+00,1.322125301250e+00
3.910000000000e+00,1.398086020399e+00
3.930000000000e+00,1.302210027926e+00
3.950000000000e+00,1.378662971125e+00
3.970000000000e+00,1.345269161119e+00
3.990000000000e+00,1.330555707360e+00
4.010000000000e+00,1.328078418559e+00
4.030000000000e+00,1.290313318219e+00
4.050000000000e+00,1.316386379014e+00
4.070000000000e+00,1.323883409143e+00
4.090000000000e+00,1.299266853091e+00
4.110000000000e+00,1.269529814069e+00
4.130000000000e+00,1.297716303867e+00
4.150000000000e+00,1.306180722648e+00
4.170000000000e+00,1.311979417649e+00
4.190000000000e+00,1.274399403949e+00
4.210000000000e+00,1.338406731498e+00
4.230000000000e+00,1.340167987617e+00
4.250000000000e+00,1.301789868277e+00
4.270000000000e+00,1.344691927232e+00
4.290000000000e+00,1.324261460320e+00
4.310000000000e+00,1.362786976094e+00
4.330000000000e+00,1.384307345200e+00
4.350000000000e+00,1.384998440335e+00
4.370000000000e+00,1.369892909283e+00
4.390000000000e+00,1.453673009301e+00
4.410000000000e+00,1.409568291393e+00
4.430000000000e+00,1.476793869737e+00
4.450000000000e+00,1.541963090209e+00
4.470000000000e+00,1.523494116290e+00
4.490000000000e+00,1.536584212459e+00
4.510000000000e+00,1.585985794293e+00
4.530000000000e+00,1.644103820371e+00
4.550000000000e+00,1.646098920717e+00
4.570000000000e+00,1.738503553445e+00
4.590000000000e+00,1.772193869917e+00
4.610000000000e+00,1.799047181104e+00
4.630000000000e+00,1.844032527952e+00
4.650000000000e+00,1.899510530870e+00
4.670000000000e+00,1.929413863144e+00
4.690000000000e+00,2.010943059161e+00
4.710000000000e+00,2.027107998671e+00
4.730000000000e+00,2.099411810558e+00
4.750000000000e+00,2.165128180819e+00
4.770000000000e+00,2.185004917157e+00
4.790000000000e+00,2.297022835983e+00
4.810000000000e+00,2.321222227223e+00
4.830000000000e+00,2.383265444534e+00
4.850000000000e+00,2.474374856886e+00
4.870000000000e+00,2.534251886038e+00
4.890000000000e+00,2.631244304806e+00
4.910000000000e+00,2.704303552153e+00
4.930000000000e+00,2.800489170226e+00
4.950000000000e+00,2.847982088439e+00
4.970000000000e+00,2.892316635928e+00
4.990000000000e+00,3.032998132357e+00
5.010000000000e+00,3.094009783164e+00
5.030000000000e+00,3.161848351957e+00
5.050000000000e+00,3.276376975929e+00
5.070000000000e+00,3.373555840197e+00
5.090000000000e+00,3.426395672243e+00
5.110000000000e+00,3.495623298183e+00
5.130000000000e+00,3.619913478722e+00
5.150000000000e+00,3.710240267353e+00
5.170000000000e+00,3.753539932789e+00
5.190000000000e+00,3.887634236768e+00
5.210000000000e+00,3.956940037020e+00
5.230000000000e+00,4.025790106399e+00
5.250000000000e+00,4.116445401950e+00
5.270000000000e+00,4.207456264687e+00
5.290000000000e+00,4.289608024729e+00
5.310000000000e+00,4.409794515701e+00
5.330000000000e+00,4.445681558078e+00
5.350000000000e+00,4.537307642250e+00
5.370000000000e+00,4.662664476446e+00
5.390000000000e+00,4.747415565898e+00
5.410000000000e+00,4.847308792171e+00
5.430000000000e+00,4.906075994286e+00
5.450000000000e+00,4.950459493172e+00
5.470000000000e+00,5.047067262424e+00
5.490000000000e+00,5.118198935572e+00
5.510000000000e+00,5.224535866739e+00
5.530000000000e+00,5.255786742522e+00
5.550000000000e+00,5.368952621825e+00
5.570000000000e+00,5.396627563306e+00
5.590000000000e+00,5.480785753902e+00
5.610000000000e+00,5.535778314804e+00
5.630000000000e+00,5.611823125259e+00
5.650000000000e+00,5.675438809590e+00
5.670000000000e+00,5.766618480283e+00
5.690000000000e+00,5.750562928747e+00
5.710000000000e+00,5.803694133403e+00
5.730000000000e+00,5.867769909732e+00
5.750000000000e+00,5.900133511262e+00
5.770000000000e+00,6.037705461783e+00
5.790000000000e+00,6.047093351203e+00
5.810000000000e+00,6.042639068679e+00
5.830000000000e+00,6.136786099445e+00
5.850000000000e+00,6.184561929712e+00
5.870000000000e+00,6.156654046181e+00
5.890000000000e+00,6.230858604415e+00
5.910000000000e+00,6.203696456677e+00
5.930000000000e+00,6.233534053543e+00
5.950000000000e+00,6.179869399642e+00
5.970000000000e+00,6.118082051491e+00
5.990000000000e+00,6.119745358847e+00
6.010000000000e+00,6.159163803152e+00
6.030000000000e+00,6.132962070160e+00
6.050000000000e+00,6.129863985515e+00
6.070000000000e+00,6.052823958315e+00
6.090000000000e+00,5.994093959046e+00
6.110000000000e+00,5.925109114299e+00
6.130000000000e+00,5.937193508627e+00
6.150000000000e+00,5.847360743859e+00
6.170000000000e+00,5.818904760672e+00
6.190000000000e+00,5.759359606098e+00
6.210000000000e+00,5.785115913415e+00
6.230000000000e+00,5.675379464338e+00
6.250000000000e+00,5.559537301447e+00
6.270000000000e+00,5.626277884389e+00
6.290000000000e+00,5.516991747879e+00
6.310000000000e+00,5.443926636305e+00
6.330000000000e+00,5.403252639341e+00
6.350000000000e+00,5.317635709772e+00
6.370000000000e+00,5.236182773564e+00
6.390000000000e+00,5.128228076057e+00
6.410000000000e+00,5.158667678049e+00
6.430000000000e+00,5.053073415794e+00
6.450000000000e+00,4.984365441565e+00
6.470000000000e+00,4.928537237740e+00
6.490000000000e+00,4.850145303776e+00
6.510000000000e+00,4.757920584936e+00
6.530000000000e+00,4.628043790321e+00
6.550000000000e+00,4.586829463787e+00
6.570000000000e+00,4.493599327104e+00
6.590000000000e+00,4.452891829073e+00
6.610000000000e+00,4.287957523442e+00
6.630000000000e+00,4.276071883895e+00
6.650000000000e+00,4.160583794925e+00
6.670000000000e+00,4.075075592582e+00
6.690000000000e+00,3.959812808354e+00
6.710000000000e+00,3.880038593481e+00
6.730000000000e+00,3.747555739561e+00
6.750000000000e+00,3.701667926169e+00
6.770000000000e+00,3.611099913347e+00
6.790000000000e+00,3.547273551605e+00
6.810000000000e+00,3.443010724468e+00
6.830000000000e+00,3.423676029182e+00
6.850000000000e+00,3.275297031577e+00
6.870000000000e+00,3.195273148354e+00
6.890000000000e+00,3.120314239579e+00
6.910000000000e+00,3.020791372603e+00
6.930000000000e+00,2.917115482525e+00
6.950000000000e+00,2.867562179852e+00
6.970000000000e+00,2.758644411650e+00
6.990000000000e+00,2.716790988927e+00
7.010000000000e+00,2.605894669479e+00
7.030000000000e+00,2.634212621286e+00
7.050000000000e+00,2.467832912617e+00
7.070000000000e+00,2.395754761304e+00
7.090000000000e+00,2.324753255506e+00
7.110000000000e+00,2.280202129544e+00
7.130000000000e+00,2.196287516416e+00
7.150000000000e+00,2.135825278573e+00
7.170000000000e+00,2.076937688926e+00
7.190000000000e+00,2.015636927818e+00
7.210000000000e+00,1.960556439761e+00
7.230000000000e+00,1.887203006292e+00
7.250000000000e+00,1.871062338807e+00
7.270000000000e+00,1.788120327776e+00
7.290000000000e+00,1.746263449263e+00
7.310000000000e+00,1.676405940274e+00
7.330000000000e+00,1.625411550744e+00
7.350000000000e+00,1.596703775676e+00
7.370000000000e+00,1.536408420820e+00
7.390000000000e+00,1.535488527531e+00
7.410000000000e+00,1.472955575143e+00
7.430000000000e+00,1.403687489093e+00
7.450000000000e+00,1.394064769168e+00
7.470000000000e+00,1.366482687170e+00
7.490000000000e+00,1.311510025138e+00
7.510000000000e+00,1.305317834006e+00
7.530000000000e+00,1.271643202022e+00
7.550000000000e+00,1.234753590141e+00
7.570000000000e+00,1.190054427100e+00
7.590000000000e+00,1.193636427249e+00
7.610000000000e+00,1.119156644547e+00
7.630000000000e+00,1.114446095747e+00
7.650000000000e+00,1.097662412088e+00
7.670000000000e+00,1.053282843101e+00
7.690000000000e+00,1.042093498382e+00
7.710000000000e+00,1.024174108500e+00
7.730000000000e+00,9.670956511916e-01
7.750000000000e+00,9.658524971594e-01
7.770000000000e+00,9.295707422378e-01
7.790000000000e+00,9.334244335162e-01
7.810000000000e+00,9.077744779590e-01
7.830000000000e+00,8.939816175387e-01
