redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,9.976646713904e+00
3.000000000000e-02,1.026694924076e+01
5.000000000000e-02,1.035308449406e+01
7.000000000000e-02,1.056850117358e+01
9.000000000000e-02,1.069402438718e+01
1.100000000000e-01,1.098276871112e+01
1.300000000000e-01,1.118839319343e+01
1.500000000000e-01,1.151437500795e+01
1.700000000000e-01,1.172324881249e+01
1.900000000000e-01,1.211558271727e+01
2.100000000000e-01,1.228224702853e+01
2.300000000000e-01,1.242244640109e+01
2.500000000000e-01,1.273984120865e+01
2.700000000000e-01,1.279331857123e+01
2.900000000000e-01,1.289665755712e+01
3.100000000000e-01,1.311501572786e+01
3.300000000000e-01,1.344357115613e+01
3.500000000000e-01,1.368846581645e+01
3.700000000000e-01,1.376769349071e+01
3.900000000000e-01,1.389589089562e+01
4.100000000000e-01,1.423145190162e+01
4.300000000000e-01,1.455025279873e+01
4.500000000000e-01,1.458319586225e+01
4.700000000000e-01,1.477677703262e+01
4.900000000000e-01,1.488753083828e+01
5.100000000000e-01,1.500729532433e+01
5.300000000000e-01,1.527004694356e+01
5.500000000000e-01,1.541653745036e+01
5.700000000000e-01,1.554149086182e+01
5.900000000000e-01,1.577827500546e+01
6.100000000000e-01,1.595895168422e+01
6.300000000000e-01,1.605311596473e+01
6.500000000000e-01,1.604918351798e+01
6.700000000000e-01,1.615387916211e+01
6.900000000000e-01,1.632227656347e+01
7.100000000000e-01,1.634950901193e+01
7.300000000000e-01,1.652982895154e+01
7.500000000000e-01,1.645634386924e+01
7.700000000000e-01,1.693142974073e+01
7.900000000000e-01,1.709651527302e+01
8.100000000000e-01,1.758143557909e+01
8.300000000000e-01,1.732342530733e+01
8.500000000000e-01,1.781334217959e+01
8.700000000000e-01,1.790760629616e+01
8.900000000000e-01,1.816158786605e+01
9.100000000000e-01,1.835653636691e+01
9.300000000000e-01,1.857904481341e+01
9.500000000000e-01,1.864468799876e+01
9.700000000000e-01,1.869105648706e+01
9.900000000000e-01,1.893518700260e+01
1.010000000000e+00,1.911095764366e+01
1.030000000000e+00,1.927410630149e+01
1.050000000000e+00,1.952547870549e+01
1.070000000000e+00,1.952152615468e+01
1.090000000000e+00,1.990317314782e+01
1.110000000000e+00,2.007097185338e+01
1.130000000000e+00,2.007303674028e+01
1.150000000000e+00,1.999491728921e+01
1.170000000000e+00,2.050039123192e+01
1.190000000000e+00,2.026061655406e+01
1.210000000000e+00,2.048302376681e+01
1.230000000000e+00,2.068831243857e+01
1.250000000000e+00,2.079027394216e+01
1.270000000000e+00,2.118527104887e+01
1.290000000000e+00,2.118827368481e+01
1.310000000000e+00,2.128770353392e+01
1.330000000000e+00,2.164043851803e+01
1.350000000000e+00,2.164808784938e+01
1.370000000000e+00,2.198024535169e+01
1.390000000000e+00,2.199245563366e+01
1.410000000000e+00,2.210320266687e+01
1.430000000000e+00,2.221497541221e+01
1.450000000000e+00,2.235359607532e+01
1.470000000000e+00,2.229577164287e+01
1.490000000000e+00,2.256451339691e+01
1.510000000000e+00,2.248788675442e+01
1.530000000000e+00,2.294035677615e+01
1.550000000000e+00,2.255699718912e+01
1.570000000000e+00,2.279367695849e+01
1.590000000000e+00,2.314601808728e+01
1.610000000000e+00,2.284524127682e+01
1.630000000000e+00,2.299456509502e+01
1.650000000000e+00,2.306105292298e+01
1.670000000000e+00,2.316985026368e+01
1.690000000000e+00,2.331332176570e+01
1.710000000000e+00,2.325005183126e+01
1.730000000000e+00,2.323462320496e+01
1.750000000000e+00,2.370301243831e+01
1.770000000000e+00,2.346916147064e+01
1.790000000000e+00,2.340331766409e+01
1.810000000000e+00,2.361097120379e+01
1.830000000000e+00,2.366264586365e+01
1.850000000000e+00,2.393830565489e+01
1.870000000000e+00,2.368058514555e+01
1.890000000000e+00,2.383247114166e+01
1.910000000000e+00,2.385933239735e+01
1.930000000000e+00,2.404679271571e+01
1.950000000000e+00,2.396038557064e+01
1.970000000000e+00,2.398017643847e+01
1.990000000000e+00,2.396703259731e+01
2.010000000000e+00,2.428032064269e+01
2.030000000000e+00,2.394381209053e+01
2.050000000000e+00,2.400393902926e+01
2.070000000000e+00,2.451922307509e+01
2.090000000000e+00,2.405427070775e+01
2.110000000000e+00,2.439579921376e+01
2.130000000000e+00,2.424362425272e+01
2.150000000000e+00,2.419687240318e+01
2.170000000000e+00,2.440608253507e+01
2.190000000000e+00,2.444898324719e+01
2.210000000000e+00,2.435465372153e+01
2.230000000000e+00,2.459514069847e+01
2.250000000000e+00,2.467667465781e+01
2.270000000000e+00,2.461032412389e+01
2.290000000000e+00,2.442170727597e+01
2.310000000000e+00,2.482359047116e+01
2.330000000000e+00,2.462896486147e+01
2.350000000000e+00,2.470740643091e+01
2.370000000000e+00,2.490135990414e+01
2.390000000000e+00,2.438726873412e+01
2.410000000000e+00,2.457649131129e+01
2.430000000000e+00,2.468283175847e+01
2.450000000000e+00,2.470752704090e+01
2.470000000000e+00,2.474072617720e+01
2.490000000000e+00,2.483974331501e+01
2.510000000000e+00,2.435549944058e+01
2.530000000000e+00,2.461241775103e+01
2.550000000000e+00,2.458163767734e+01
2.570000000000e+00,2.451606429374e+01
2.590000000000e+00,2.453892909003e+01
2.610000000000e+00,2.466290040012e+01
2.630000000000e+00,2.434113842010e+01
2.650000000000e+00,2.443486687002e+01
2.670000000000e+00,2.462151232936e+01
2.690000000000e+00,2.457024683629e+01
2.710000000000e+00,2.448728654488e+01
2.730000000000e+00,2.427843662751e+01
2.750000000000e+00,2.447678370369e+01
2.770000000000e+00,2.417803907650e+01
2.790000000000e+00,2.435078213020e+01
2.810000000000e+00,2.441443582276e+01
2.830000000000e+00,2.440774619935e+01
2.850000000000e+00,2.405872313743e+01
2.870000000000e+00,2.395726623460e+01
2.890000000000e+00,2.410750563021e+01
2.910000000000e+00,2.419222006445e+01
2.930000000000e+00,2.372806510400e+01
2.950000000000e+00,2.378002574400e+01
2.970000000000e+00,2.396615851669e+01
2.990000000000e+00,2.386667212571e+01
3.010000000000e+00,2.352901426106e+01
3.030000000000e+00,2.353478226766e+01
3.050000000000e+00,2.355298350624e+01
3.070000000000e+00,2.335160846894e+01
3.090000000000e+00,2.332302674128e+01
3.110000000000e+00,2.338785351807e+01
3.130000000000e+00,2.313076377644e+01
3.150000000000e+00,2.342927777303e+01
3.170000000000e+00,2.308394434632e+01
3.190000000000e+00,2.304777648155e+01
3.210000000000e+00,2.288873599181e+01
3.230000000000e+00,2.277695181477e+01
3.250000000000e+00,2.301706415238e+01
3.270000000000e+00,2.259719107296e+01
3.290000000000e+00,2.277771398648e+01
3.310000000000e+00,2.258260648221e+01
3.330000000000e+00,2.269280469822e+01
3.350000000000e+00,2.219736653929e+01
3.370000000000e+00,2.242574363104e+01
3.390000000000e+00,2.233250735933e+01
3.410000000000e+00,2.206513562567e+01
3.430000000000e+00,2.209006031901e+01
3.450000000000e+00,2.217671085942e+01
3.470000000000e+00,2.180908349655e+01
3.490000000000e+00,2.188612009935e+01
3.510000000000e+00,2.175144727569e+01
3.530000000000e+00,2.169560134865e+01
3.550000000000e+00,2.156050593009e+01
3.570000000000e+00,2.145545296333e+01
3.590000000000e+00,2.163228680517e+01
3.610000000000e+00,2.132519486672e+01
3.630000000000e+00,2.114374054532e+01
3.650000000000e+00,2.115956680949e+01
3.670000000000e+00,2.122706808142e+01
3.690000000000e+00,2.096647842813e+01
3.710000000000e+00,2.102481010789e+01
3.730000000000e+00,2.081235537762e+01
3.750000000000e+00,2.096046187380e+01
3.770000000000e+00,2.060607918211e+01
3.790000000000e+00,2.078542531146e+01
3.810000000000e+00,2.057063507536e+01
3.830000000000e+00,2.064116871565e+01
3.850000000000e+00,2.045554762744e+01
3.870000000000e+00,2.059084449766e+01
3.890000000000e+00,2.024745214702e+01
3.910000000000e+00,2.033367345957e+01
3.930000000000e+00,2.040049190146e+01
3.950000000000e+00,2.016001702626e+01
3.970000000000e+00,2.022527157073e+01
3.990000000000e+00,2.018841923853e+01
4.010000000000e+00,2.011080861831e+01
4.030000000000e+00,1.995996858313e+01
4.050000000000e+00,2.020014420196e+01
4.070000000000e+00,2.002847128314e+01
4.090000000000e+00,2.004136851480e+01
4.110000000000e+00,1.983370219333e+01
4.130000000000e+00,2.000532682073e+01
4.150000000000e+00,2.001053869695e+01
4.170000000000e+00,1.999144400400e+01
4.190000000000e+00,2.004272437730e+01
4.210000000000e+00,2.005093711860e+01
4.230000000000e+00,1.999590763346e+01
4.250000000000e+00,2.006443329214e+01
4.270000000000e+00,2.016862929094e+01
4.290000000000e+00,2.021084946579e+01
4.310000000000e+00,2.014652755291e+01
4.330000000000e+00,2.040258423716e+01
4.350000000000e+00,2.039938266369e+01
4.370000000000e+00,2.043550234448e+01
4.390000000000e+00,2.068396136664e+01
4.410000000000e+00,2.055857824218e+01
4.430000000000e+00,2.089916865491e+01
4.450000000000e+00,2.089403590355e+01
4.470000000000e+00,2.110046994201e+01
4.490000000000e+00,2.121894643693e+01
4.510000000000e+00,2.137647159431e+01
4.530000000000e+00,2.170457805058e+01
4.550000000000e+00,2.172140680426e+01
4.570000000000e+00,2.214641496173e+01
4.590000000000e+00,2.232798460929e+01
4.610000000000e+00,2.251709672577e+01
4.630000000000e+00,2.286519639119e+01
4.650000000000e+00,2.301547836592e+01
4.670000000000e+00,2.323339264209e+01
4.690000000000e+00,2.344483910107e+01
4.710000000000e+00,2.384434829654e+01
4.730000000000e+00,2.409355362161e+01
4.750000000000e+00,2.436712914826e+01
4.770000000000e+00,2.478763211869e+01
4.790000000000e+00,2.510886060982e+01
4.810000000000e+00,2.538273418330e+01
4.830000000000e+00,2.565524988027e+01
4.850000000000e+00,2.603110255963e+01
4.870000000000e+00,2.659927312907e+01
4.890000000000e+00,2.685436340674e+01
4.910000000000e+00,2.712424876971e+01
4.930000000000e+00,2.760786076760e+01
4.950000000000e+00,2.801879674420e+01
4.970000000000e+00,2.850256992675e+01
4.990000000000e+00,2.907072462598e+01
5.010000000000e+00,2.935915680662e+01
5.030000000000e+00,2.972500927717e+01
5.050000000000e+00,3.032209331768e+01
5.070000000000e+00,3.086616919078e+01
5.090000000000e+00,3.120805841346e+01
5.110000000000e+00,3.168358691411e+01
5.130000000000e+00,3.220607471966e+01
5.150000000000e+00,3.260449169882e+01
5.170000000000e+00,3.316590807444e+01
5.190000000000e+00,3.369911398547e+01
5.210000000000e+00,3.419336680654e+01
5.230000000000e+00,3.458616373914e+01
5.250000000000e+00,3.506347101823e+01
5.270000000000e+00,3.548675139127e+01
5.290000000000e+00,3.597921939097e+01
5.310000000000e+00,3.663560328939e+01
5.330000000000e+00,3.688974360755e+01
5.350000000000e+00,3.738183425851e+01
5.370000000000e+00,3.793871857575e+01
5.390000000000e+00,3.843668126695e+01
5.410000000000e+00,3.867700573076e+01
5.430000000000e+00,3.942587616386e+01
5.450000000000e+00,3.956850338463e+01
5.470000000000e+00,3.998833919476e+01
5.490000000000e+00,4.052067354301e+01
5.510000000000e+00,4.096318493670e+01
5.530000000000e+00,4.118164147268e+01
5.550000000000e+00,4.167583903961e+01
5.570000000000e+00,4.216647645372e+01
5.590000000000e+00,4.238314265719e+01
5.610000000000e+00,4.274606124938e+01
5.630000000000e+00,4.294211863138e+01
5.650000000000e+00,4.318346889570e+01
5.670000000000e+00,4.362818956721e+01
5.690000000000e+00,4.379111918799e+01
5.710000000000e+00,4.428990278473e+01
5.730000000000e+00,4.432086681842e+01
5.750000000000e+00,4.456855830619e+01
5.770000000000e+00,4.499412623036e+01
5.790000000000e+00,4.533494068595e+01
5.810000000000e+00,4.567141595301e+01
5.830000000000e+00,4.573195798035e+01
5.850000000000e+00,4.629944975847e+01
5.870000000000e+00,4.623075172135e+01
5.890000000000e+00,4.620174337385e+01
5.910000000000e+00,4.619457850042e+01
5.930000000000e+00,4.607433279884e+01
5.950000000000e+00,4.611045992203e+01
5.970000000000e+00,4.591048315717e+01
5.990000000000e+00,4.575117419874e+01
6.010000000000e+00,4.598030665644e+01
6.030000000000e+00,4.579045708640e+01
6.050000000000e+00,4.568080695454e+01
6.070000000000e+00,4.571318399362e+01
6.090000000000e+00,4.534960474613e+01
6.110000000000e+00,4.523420034905e+01
6.130000000000e+00,4.474603156957e+01
6.150000000000e+00,4.446787952003e+01
6.170000000000e+00,4.443407844214e+01
6.190000000000e+00,4.407635477283e+01
6.210000000000e+00,4.404698455787e+01
6.230000000000e+00,4.360481087014e+01
6.250000000000e+00,4.311074325206e+01
6.270000000000e+00,4.300508279912e+01
6.290000000000e+00,4.246638699146e+01
6.310000000000e+00,4.231874124429e+01
6.330000000000e+00,4.184773815882e+01
6.350000000000e+00,4.152023265701e+01
6.370000000000e+00,4.101837242883e+01
6.390000000000e+00,4.080262616335e+01
6.410000000000e+00,4.054177832657e+01
6.430000000000e+00,4.009825487773e+01
6.450000000000e+00,3.970062881551e+01
6.470000000000e+00,3.936069523317e+01
6.490000000000e+00,3.890318546380e+01
6.510000000000e+00,3.858698112810e+01
6.530000000000e+00,3.810623305803e+01
6.550000000000e+00,3.755446245146e+01
6.570000000000e+00,3.728791039177e+01
6.590000000000e+00,3.669436658115e+01
6.610000000000e+00,3.600679785395e+01
6.630000000000e+00,3.579250551206e+01
6.650000000000e+00,3.510803220273e+01
6.670000000000e+00,3.473336015528e+01
6.690000000000e+00,3.422919083895e+01
6.710000000000e+00,3.358561579325e+01
6.730000000000e+00,3.318638314407e+01
6.750000000000e+00,3.274058642888e+01
6.770000000000e+00,3.235905343127e+01
6.790000000000e+00,3.184582080577e+01
6.810000000000e+00,3.110354215703e+01
6.830000000000e+00,3.083554783712e+01
6.850000000000e+00,3.029639867002e+01
6.870000000000e+00,2.962564418310e+01
6.890000000000e+00,2.903285243322e+01
6.910000000000e+00,2.868880713121e+01
6.930000000000e+00,2.805945358823e+01
6.950000000000e+00,2.745720692824e+01
6.970000000000e+00,2.708210929233e+01
6.990000000000e+00,2.652003308203e+01
7.010000000000e+00,2.608571021412e+01
7.030000000000e+00,2.564753170109e+01
7.050000000000e+00,2.510554446915e+01
7.070000000000e+00,2.473784179813e+01
7.090000000000e+00,2.401762637340e+01
7.110000000000e+00,2.369561061311e+01
7.130000000000e+00,2.328162843874e+01
7.150000000000e+00,2.288043402215e+01
7.170000000000e+00,2.241306974511e+01
7.190000000000e+00,2.198295787568e+01
7.210000000000e+00,2.151233409522e+01
7.230000000000e+00,2.122908436894e+01
7.250000000000e+00,2.070466870673e+01
7.270000000000e+00,2.048548032785e+01
7.290000000000e+00,1.997557750113e+01
7.310000000000e+00,1.950445401241e+01
7.330000000000e+00,1.933139291159e+01
7.350000000000e+00,1.888502991798e+01
7.370000000000e+00,1.846278880680e+01
7.390000000000e+00,1.825641490415e+01
7.410000000000e+00,1.792717360876e+01
7.430000000000e+00,1.750106545489e+01
7.450000000000e+00,1.734450194052e+01
7.470000000000e+00,1.708774677612e+01
7.490000000000e+00,1.662604585894e+01
7.510000000000e+00,1.650867565425e+01
7.530000000000e+00,1.616246794159e+01
7.550000000000e+00,1.589271157939e+01
7.570000000000e+00,1.560403887323e+01
7.590000000000e+00,1.531188185431e+01
7.610000000000e+00,1.507459155894e+01
7.630000000000e+00,1.481514162852e+01
7.650000000000e+00,1.451256124012e+01
7.670000000000e+00,1.423646821766e+01
7.690000000000e+00,1.402590800335e+01
7.710000000000e+00,1.388300518251e+01
7.730000000000e+00,1.351040171035e+01
7.750000000000e+00,1.335898075565e+01
7.770000000000e+00,1.310999077294e+01
7.790000000000e+00,1.297649577803e+01
7.810000000000e+00,1.287186584794e+01
7.830000000000e+00,1.252406359652e+01
7.850000000000e+00,1.248206739438e+01
7.870000000000e+00,1.219565953615e+01
7.890000000000e+00,1.195058249872e+01
7.910000000000e+00,1.179798401068e+01
7.930000000000e+00,1.164796873579e+01
7.950000000000e+00,1.149752084067e+01
7.970000000000e+00,1.136796813203e+01
7.990000000000e+00,1.120869205070e+01
8.010000000000e+00,1.104284171273e+01
8.030000000000e+00,1.083134687673e+01
8.050000000000e+00,1.075818289512e+01
8.070000000000e+00,1.054710316441e+01
8.090000000000e+00,1.040439297966e+01
8.110000000000e+00,1.031219131202e+01
8.130000000000e+00,1.015877906522e+01
8.150000000000e+00,1.005596781346e+01
8.170000000000e+00,9.906279959454e+00
8.190000000000e+00,9.720411084309e+00
8.210000000000e+00,9.631207055276e+00
8.230000000000e+00,9.507558573325e+00
8.250000000000e+00,9.370859355673e+00
8.270000000000e+00,9.282477290167e+00
8.290000000000e+00,9.167902978813e+00
8.310000000000e+00,8.989185556968e+00
8.330000000000e+00,8.882572780546e+00
8.350000000000e+00,8.843463960613e+00
8.370000000000e+00,8.656819639927e+00
8.390000000000e+00,8.549338115477e+00
8.410000000000e+00,8.457368991759e+00
8.430000000000e+00,8.337761765516e+00
8.450000000000e+00,8.200815064261e+00
8.470000000000e+00,8.105644716242e+00
8.490000000000e+00,7.986690573948e+00
8.510000000000e+00,7.836259174440e+00
8.530000000000e+00,7.744203416593e+00
8.550000000000e+00,7.605576095163e+00
8.570000000000e+00,7.565713151555e+00
8.590000000000e+00,7.422331159031e+00
8.610000000000e+00,7.322987729180e+00
8.630000000000e+00,7.180106254316e+00
8.650000000000e+00,7.105117250735e+00
8.670000000000e+00,7.003621916479e+00
8.690000000000e+00,6.921806083250e+00
8.710000000000e+00,6.811787381549e+00
8.730000000000e+00,6.703971408782e+00
8.750000000000e+00,6.594722194794e+00
8.770000000000e+00,6.540294960662e+00
8.790000000000e+00,6.433989085739e+00
8.810000000000e+00,6.341811752590e+00
8.830000000000e+00,6.209381965574e+00
8.850000000000e+00,6.142299122130e+00
8.870000000000e+00,6.042698902155e+00
