redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,1.495112427662e+01
3.000000000000e-02,1.544903437202e+01
5.000000000000e-02,1.569285141284e+01
7.000000000000e-02,1.604893194111e+01
9.000000000000e-02,1.631345687878e+01
1.100000000000e-01,1.680923773782e+01
1.300000000000e-01,1.714081000741e+01
1.500000000000e-01,1.766280514977e+01
1.700000000000e-01,1.797823434612e+01
1.900000000000e-01,1.860905569866e+01
2.100000000000e-01,1.879975585975e+01
2.300000000000e-01,1.900296983327e+01
2.500000000000e-01,1.952799143255e+01
2.700000000000e-01,1.958712136472e+01
2.900000000000e-01,1.975391524395e+01
3.100000000000e-01,2.001379263071e+01
3.300000000000e-01,2.048122052416e+01
3.500000000000e-01,2.078916238074e+01
3.700000000000e-01,2.092722784759e+01
3.900000000000e-01,2.117228278356e+01
4.100000000000e-01,2.162394436669e+01
4.300000000000e-01,2.222394548686e+01
4.500000000000e-01,2.224908178569e+01
4.700000000000e-01,2.260939858061e+01
4.900000000000e-01,2.280294154203e+01
5.100000000000e-01,2.296340825040e+01
5.300000000000e-01,2.340328702802e+01
5.500000000000e-01,2.357467429624e+01
5.700000000000e-01,2.373544965299e+01
5.900000000000e-01,2.409895132088e+01
6.100000000000e-01,2.437197384600e+01
6.300000000000e-01,2.447170001000e+01
6.500000000000e-01,2.449720414745e+01
6.700000000000e-01,2.470281420270e+01
6.900000000000e-01,2.497866244239e+01
7.100000000000e-01,2.504584014132e+01
7.300000000000e-01,2.533991060171e+01
7.500000000000e-01,2.532557198975e+01
7.700000000000e-01,2.600789230605e+01
7.900000000000e-01,2.619383770630e+01
8.100000000000e-01,2.699979971128e+01
8.300000000000e-01,2.662036071659e+01
8.500000000000e-01,2.729031564029e+01
8.700000000000e-01,2.754139290712e+01
8.900000000000e-01,2.785138335686e+01
9.100000000000e-01,2.821188006000e+01
9.300000000000e-01,2.855010764971e+01
9.500000000000e-01,2.867165143690e+01
9.700000000000e-01,2.873252993017e+01
9.900000000000e-01,2.911421204089e+01
1.010000000000e+00,2.934220685447e+01
1.030000000000e+00,2.971060466019e+01
1.050000000000e+00,2.994012087871e+01
