redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,5.305053734204e+00
3.000000000000e-02,5.408575309050e+00
5.000000000000e-02,5.444731450563e+00
7.000000000000e-02,5.594842242646e+00
9.000000000000e-02,5.673214969360e+00
1.100000000000e-01,5.783572744134e+00
1.300000000000e-01,5.865498773873e+00
1.500000000000e-01,6.017795625964e+00
1.700000000000e-01,6.129538136982e+00
1.900000000000e-01,6.247050836504e+00
2.100000000000e-01,6.214238500266e+00
2.300000000000e-01,6.307978574908e+00
2.500000000000e-01,6.297580019672e+00
2.700000000000e-01,6.346551076337e+00
2.900000000000e-01,6.504015188318e+00
3.100000000000e-01,6.522445595535e+00
3.300000000000e-01,6.631418850588e+00
3.500000000000e-01,6.772432261356e+00
3.700000000000e-01,6.935889746700e+00
3.900000000000e-01,7.039108446873e+00
4.100000000000e-01,7.280963766279e+00
4.300000000000e-01,7.499868141343e+00
4.500000000000e-01,7.619488823261e+00
4.700000000000e-01,7.475357211658e+00
4.900000000000e-01,7.765061440984e+00
5.100000000000e-01,7.831835483318e+00
5.300000000000e-01,7.965387183836e+00
5.500000000000e-01,8.093441677315e+00
5.700000000000e-01,8.153108691005e+00
5.900000000000e-01,8.086009077131e+00
6.100000000000e-01,8.410621263128e+00
6.300000000000e-01,8.132854537665e+00
6.500000000000e-01,8.381274831102e+00
6.700000000000e-01,8.252908488901e+00
6.900000000000e-01,8.504007210704e+00
7.100000000000e-01,8.671293874260e+00
7.300000000000e-01,8.685259703518e+00
7.500000000000e-01,8.861260730825e+00
7.700000000000e-01,9.026953791408e+00
7.900000000000e-01,9.036667626082e+00
8.100000000000e-01,9.221184185131e+00
8.300000000000e-01,9.267190298648e+00
8.500000000000e-01,9.526778368220e+00
8.700000000000e-01,9.464325012279e+00
8.900000000000e-01,9.583287540615e+00
9.100000000000e-01,9.799747183524e+00
9.300000000000e-01,9.857223860784e+00
9.500000000000e-01,9.940694689807e+00
9.700000000000e-01,9.914550836949e+00
9.900000000000e-01,1.022205350942e+01
1.010000000000e+00,1.025259013514e+01
1.030000000000e+00,1.036726143139e+01
1.050000000000e+00,1.057491031664e+01
1.070000000000e+00,1.056127627599e+01
1.090000000000e+00,1.071231580582e+01
1.110000000000e+00,1.066626846770e+01
1.130000000000e+00,1.083334937695e+01
1.150000000000e+00,1.085382009734e+01
1.170000000000e+00,1.088630442401e+01
1.190000000000e+00,1.095638291509e+01
1.210000000000e+00,1.098357748987e+01
1.230000000000e+00,1.102658097669e+01
1.250000000000e+00,1.101339225508e+01
1.270000000000e+00,1.105720722975e+01
1.290000000000e+00,1.135752731539e+01
1.310000000000e+00,1.125962747165e+01
1.330000000000e+00,1.150068000143e+01
1.350000000000e+00,1.160908396222e+01
1.370000000000e+00,1.153431656038e+01
1.390000000000e+00,1.164967821861e+01
1.410000000000e+00,1.169991654015e+01
1.430000000000e+00,1.185920246532e+01
1.450000000000e+00,1.171350316952e+01
1.470000000000e+00,1.198232853914e+01
1.490000000000e+00,1.188070804369e+01
1.510000000000e+00,1.212646040647e+01
1.530000000000e+00,1.205749828356e+01
1.550000000000e+00,1.207327805532e+01
1.570000000000e+00,1.217244009194e+01
1.590000000000e+00,1.205019949536e+01
1.610000000000e+00,1.213577854807e+01
1.630000000000e+00,1.223953866894e+01
1.650000000000e+00,1.219767083442e+01
1.670000000000e+00,1.220701543196e+01
1.690000000000e+00,1.223148632432e+01
1.710000000000e+00,1.223964170761e+01
1.730000000000e+00,1.227397015322e+01
1.750000000000e+00,1.222532765626e+01
1.770000000000e+00,1.237698932695e+01
1.790000000000e+00,1.247634393106e+01
1.810000000000e+00,1.236543528208e+01
1.830000000000e+00,1.237024051243e+01
1.850000000000e+00,1.259635044613e+01
1.870000000000e+00,1.232332942045e+01
1.890000000000e+00,1.254846533136e+01
1.910000000000e+00,1.258132901551e+01
1.930000000000e+00,1.264116508140e+01
1.950000000000e+00,1.241004786956e+01
1.970000000000e+00,1.293680776941e+01
1.990000000000e+00,1.254725762667e+01
2.010000000000e+00,1.272073879192e+01
2.030000000000e+00,1.270145662118e+01
2.050000000000e+00,1.277665500126e+01
2.070000000000e+00,1.287742459758e+01
2.090000000000e+00,1.265405666554e+01
2.110000000000e+00,1.285229677453e+01
2.130000000000e+00,1.280549800259e+01
2.150000000000e+00,1.263231155042e+01
2.170000000000e+00,1.268174937993e+01
2.190000000000e+00,1.278919396729e+01
2.210000000000e+00,1.263250693682e+01
2.230000000000e+00,1.272739757431e+01
2.250000000000e+00,1.276876431318e+01
2.270000000000e+00,1.270944810198e+01
2.290000000000e+00,1.255919642329e+01
2.310000000000e+00,1.261133547510e+01
2.330000000000e+00,1.267962501934e+01
2.350000000000e+00,1.259476700837e+01
2.370000000000e+00,1.269163188214e+01
2.390000000000e+00,1.255462790777e+01
2.410000000000e+00,1.255585457308e+01
2.430000000000e+00,1.250453905138e+01
2.450000000000e+00,1.277538732582e+01
2.470000000000e+00,1.253703950121e+01
2.490000000000e+00,1.258038504006e+01
2.510000000000e+00,1.245568641889e+01
2.530000000000e+00,1.244951224709e+01
2.550000000000e+00,1.232919044463e+01
2.570000000000e+00,1.230228297938e+01
2.590000000000e+00,1.234062847296e+01
2.610000000000e+00,1.229686378855e+01
2.630000000000e+00,1.216405029898e+01
2.650000000000e+00,1.231944340439e+01
2.670000000000e+00,1.216163664966e+01
2.690000000000e+00,1.231329802313e+01
2.710000000000e+00,1.206487897990e+01
2.730000000000e+00,1.198096128027e+01
2.750000000000e+00,1.203312537787e+01
2.770000000000e+00,1.194789595890e+01
2.790000000000e+00,1.198355522837e+01
2.810000000000e+00,1.193853945883e+01
2.830000000000e+00,1.176941620702e+01
2.850000000000e+00,1.181410608323e+01
2.870000000000e+00,1.173748154965e+01
2.890000000000e+00,1.161569336326e+01
2.910000000000e+00,1.168912348208e+01
2.930000000000e+00,1.159364762600e+01
2.950000000000e+00,1.151589860089e+01
2.970000000000e+00,1.142350389998e+01
2.990000000000e+00,1.137426841757e+01
3.010000000000e+00,1.126254852452e+01
3.030000000000e+00,1.130744096685e+01
3.050000000000e+00,1.124815775702e+01
3.070000000000e+00,1.106499593709e+01
3.090000000000e+00,1.089303521484e+01
3.110000000000e+00,1.102570364494e+01
3.130000000000e+00,1.085315866187e+01
3.150000000000e+00,1.092456498338e+01
3.170000000000e+00,1.091184883006e+01
3.190000000000e+00,1.071320252999e+01
3.210000000000e+00,1.058208297416e+01
3.230000000000e+00,1.047214841753e+01
3.250000000000e+00,1.065290476453e+01
3.270000000000e+00,1.039651882350e+01
3.290000000000e+00,1.044181577625e+01
3.310000000000e+00,1.038185326266e+01
3.330000000000e+00,1.024329406602e+01
3.350000000000e+00,1.015189796652e+01
3.370000000000e+00,1.018046554024e+01
3.390000000000e+00,1.005297337531e+01
3.410000000000e+00,9.988172775037e+00
3.430000000000e+00,9.922530885419e+00
3.450000000000e+00,9.936084064895e+00
3.470000000000e+00,9.800783230292e+00
3.490000000000e+00,9.820351756745e+00
3.510000000000e+00,9.722224675500e+00
3.530000000000e+00,9.535120076572e+00
3.550000000000e+00,9.644707206619e+00
3.570000000000e+00,9.556929482988e+00
3.590000000000e+00,9.482709257428e+00
3.610000000000e+00,9.363083911032e+00
3.630000000000e+00,9.268694420111e+00
3.650000000000e+00,9.289003346798e+00
3.670000000000e+00,9.275517252161e+00
3.690000000000e+00,9.217944650972e+00
3.710000000000e+00,9.113836805261e+00
3.730000000000e+00,9.160816460416e+00
3.750000000000e+00,8.941451658652e+00
3.770000000000e+00,8.871203352000e+00
3.790000000000e+00,8.829415724396e+00
3.810000000000e+00,8.897589856941e+00
3.830000000000e+00,8.869966455497e+00
3.850000000000e+00,8.713790105244e+00
3.870000000000e+00,8.791038159950e+00
3.890000000000e+00,8.629099454938e+00
3.910000000000e+00,8.633850873585e+00
3.930000000000e+00,8.603997919578e+00
3.950000000000e+00,8.477454216739e+00
3.970000000000e+00,8.554856701549e+00
3.990000000000e+00,8.375185454933e+00
4.010000000000e+00,8.423443132363e+00
4.030000000000e+00,8.366013276233e+00
4.050000000000e+00,8.306188577415e+00
4.070000000000e+00,8.360853835723e+00
4.090000000000e+00,8.162033662426e+00
4.110000000000e+00,8.179013806171e+00
4.130000000000e+00,8.211492149473e+00
4.150000000000e+00,8.193630860334e+00
4.170000000000e+00,8.047926500720e+00
4.190000000000e+00,8.082010331908e+00
4.210000000000e+00,8.109752946702e+00
4.230000000000e+00,7.973933050872e+00
4.250000000000e+00,7.985959406677e+00
4.270000000000e+00,7.870544358933e+00
4.290000000000e+00,7.877377162950e+00
4.310000000000e+00,7.844650153056e+00
4.330000000000e+00,7.894738540101e+00
4.350000000000e+00,7.822276709709e+00
4.370000000000e+00,7.761680458544e+00
4.390000000000e+00,7.826568203469e+00
4.410000000000e+00,7.709284036795e+00
4.430000000000e+00,7.786769955998e+00
4.450000000000e+00,7.639493138121e+00
4.470000000000e+00,7.713914320377e+00
