redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,2.382158365967e+01
3.000000000000e-02,2.483304573481e+01
5.000000000000e-02,2.607778973303e+01
7.000000000000e-02,2.714625260541e+01
9.000000000000e-02,2.842388144428e+01
1.100000000000e-01,2.965253233965e+01
1.300000000000e-01,3.093905809623e+01
1.500000000000e-01,3.213635986635e+01
1.700000000000e-01,3.345356274303e+01
1.900000000000e-01,3.487536985368e+01
2.100000000000e-01,3.634718731876e+01
2.300000000000e-01,3.793722710263e+01
2.500000000000e-01,3.935128343442e+01
2.700000000000e-01,4.093267434017e+01
2.900000000000e-01,4.240195829054e+01
3.100000000000e-01,4.389732568730e+01
3.300000000000e-01,4.535760956242e+01
3.500000000000e-01,4.689956972273e+01
3.700000000000e-01,4.860586565723e+01
3.900000000000e-01,5.039652373697e+01
4.100000000000e-01,5.197712000261e+01
4.300000000000e-01,5.375771600504e+01
4.500000000000e-01,5.527290204121e+01
4.700000000000e-01,5.696019505603e+01
4.900000000000e-01,5.879945397451e+01
5.100000000000e-01,6.053665462538e+01
5.300000000000e-01,6.268150253007e+01
5.500000000000e-01,6.448147881011e+01
5.700000000000e-01,6.631156458299e+01
5.900000000000e-01,6.811875034395e+01
6.100000000000e-01,6.995371127915e+01
6.300000000000e-01,7.197632202667e+01
6.500000000000e-01,7.398501910076e+01
6.700000000000e-01,7.593087097084e+01
6.900000000000e-01,7.789129781548e+01
7.100000000000e-01,7.990544437439e+01
7.300000000000e-01,8.178995253202e+01
7.500000000000e-01,8.448086785655e+01
7.700000000000e-01,8.587265025410e+01
7.900000000000e-01,8.826145881917e+01
8.100000000000e-01,9.047841482508e+01
8.300000000000e-01,9.220469185127e+01
8.500000000000e-01,9.440440523155e+01
8.700000000000e-01,9.642191931657e+01
8.900000000000e-01,9.819346587638e+01
9.100000000000e-01,1.006384961824e+02
9.300000000000e-01,1.023168580138e+02
9.500000000000e-01,1.044085319570e+02
9.700000000000e-01,1.063495389533e+02
9.900000000000e-01,1.085339973849e+02
1.010000000000e+00,1.100940094540e+02
1.030000000000e+00,1.123051879048e+02
1.050000000000e+00,1.145628364230e+02
1.070000000000e+00,1.164631747337e+02
1.090000000000e+00,1.184038208606e+02
1.110000000000e+00,1.199022060650e+02
1.130000000000e+00,1.226061164629e+02
1.150000000000e+00,1.242720719448e+02
1.170000000000e+00,1.252986740669e+02
1.190000000000e+00,1.274674870135e+02
1.210000000000e+00,1.304747491199e+02
1.230000000000e+00,1.315397080944e+02
1.250000000000e+00,1.332846071106e+02
1.270000000000e+00,1.344296460584e+02
1.290000000000e+00,1.362675052689e+02
1.310000000000e+00,1.380679861140e+02
1.330000000000e+00,1.399450773800e+02
1.350000000000e+00,1.408803268182e+02
1.370000000000e+00,1.422488116646e+02
1.390000000000e+00,1.444108197277e+02
1.410000000000e+00,1.465109036415e+02
1.430000000000e+00,1.458011014281e+02
1.450000000000e+00,1.479437328413e+02
1.470000000000e+00,1.495209702777e+02
1.490000000000e+00,1.497754769735e+02
1.510000000000e+00,1.519466901654e+02
1.530000000000e+00,1.525275250471e+02
1.550000000000e+00,1.528722876009e+02
1.570000000000e+00,1.534127916641e+02
1.590000000000e+00,1.543147687748e+02
1.610000000000e+00,1.550889183210e+02
1.630000000000e+00,1.552780471259e+02
1.650000000000e+00,1.552377749684e+02
1.670000000000e+00,1.563299528088e+02
1.690000000000e+00,1.561142768129e+02
1.710000000000e+00,1.555447046122e+02
1.730000000000e+00,1.567735980427e+02
1.750000000000e+00,1.564347873142e+02
1.770000000000e+00,1.573604202560e+02
1.790000000000e+00,1.575754834954e+02
1.810000000000e+00,1.580737217729e+02
1.830000000000e+00,1.569269447064e+02
1.850000000000e+00,1.552296444169e+02
1.870000000000e+00,1.556839855756e+02
1.890000000000e+00,1.556241552134e+02
1.910000000000e+00,1.553065067014e+02
1.930000000000e+00,1.529792857018e+02
1.950000000000e+00,1.526896833909e+02
1.970000000000e+00,1.526675035061e+02
1.990000000000e+00,1.523975123759e+02
2.010000000000e+00,1.512581625960e+02
2.030000000000e+00,1.496355357919e+02
2.050000000000e+00,1.487115339310e+02
2.070000000000e+00,1.468437904761e+02
2.090000000000e+00,1.465211550217e+02
2.110000000000e+00,1.461806817814e+02
2.130000000000e+00,1.422488424698e+02
2.150000000000e+00,1.419917176848e+02
2.170000000000e+00,1.408774044196e+02
2.190000000000e+00,1.397053131833e+02
2.210000000000e+00,1.381649314444e+02
2.230000000000e+00,1.368723309110e+02
2.250000000000e+00,1.345049352646e+02
2.270000000000e+00,1.333697179648e+02
2.290000000000e+00,1.331071391935e+02
2.310000000000e+00,1.321744649692e+02
2.330000000000e+00,1.309883611100e+02
2.350000000000e+00,1.288147340518e+02
2.370000000000e+00,1.260237728307e+02
2.390000000000e+00,1.247152477467e+02
2.410000000000e+00,1.223669442834e+02
2.430000000000e+00,1.213984807609e+02
2.450000000000e+00,1.195211253698e+02
2.470000000000e+00,1.175692597688e+02
2.490000000000e+00,1.161868326054e+02
2.510000000000e+00,1.165994405341e+02
2.530000000000e+00,1.144846930619e+02
2.550000000000e+00,1.119290151695e+02
2.570000000000e+00,1.097505919632e+02
2.590000000000e+00,1.087716593953e+02
2.610000000000e+00,1.056587943419e+02
2.630000000000e+00,1.048693075344e+02
2.650000000000e+00,1.027706582378e+02
2.670000000000e+00,1.014277508047e+02
2.690000000000e+00,9.869695918738e+01
2.710000000000e+00,9.721129540291e+01
2.730000000000e+00,9.509583267930e+01
2.750000000000e+00,9.334006468101e+01
2.770000000000e+00,9.166127014248e+01
2.790000000000e+00,8.979807800882e+01
2.810000000000e+00,8.834748504565e+01
2.830000000000e+00,8.732105130994e+01
2.850000000000e+00,8.510809677059e+01
2.870000000000e+00,8.443611061630e+01
2.890000000000e+00,8.183699137172e+01
2.910000000000e+00,8.073382769023e+01
2.930000000000e+00,7.924325558296e+01
2.950000000000e+00,7.782159897670e+01
2.970000000000e+00,7.650272915761e+01
2.990000000000e+00,7.532002749222e+01
3.010000000000e+00,7.320992640625e+01
3.030000000000e+00,7.230245068096e+01
3.050000000000e+00,7.070255623004e+01
3.070000000000e+00,6.928507438428e+01
3.090000000000e+00,6.845784398372e+01
3.110000000000e+00,6.711307643755e+01
3.130000000000e+00,6.546611617780e+01
3.150000000000e+00,6.507665885320e+01
3.170000000000e+00,6.311116283035e+01
3.190000000000e+00,6.223662417018e+01
3.210000000000e+00,6.098819536890e+01
3.230000000000e+00,6.069853804099e+01
3.250000000000e+00,6.004111966358e+01
3.270000000000e+00,5.866103599673e+01
3.290000000000e+00,5.687402268736e+01
3.310000000000e+00,5.656368246237e+01
3.330000000000e+00,5.569632505615e+01
3.350000000000e+00,5.485573029363e+01
3.370000000000e+00,5.378171866745e+01
3.390000000000e+00,5.231029749413e+01
3.410000000000e+00,5.134297137107e+01
3.430000000000e+00,5.031143856947e+01
3.450000000000e+00,4.906414655345e+01
3.470000000000e+00,4.848476459344e+01
3.490000000000e+00,4.879608499401e+01
3.510000000000e+00,4.760402790470e+01
3.530000000000e+00,4.630694220981e+01
3.550000000000e+00,4.555923999483e+01
3.570000000000e+00,4.507058046330e+01
3.590000000000e+00,4.386231572386e+01
3.610000000000e+00,4.419876667511e+01
3.630000000000e+00,4.295637452836e+01
3.650000000000e+00,4.224484115025e+01
3.670000000000e+00,4.195767381834e+01
3.690000000000e+00,4.123688540584e+01
3.710000000000e+00,4.034052098407e+01
3.730000000000e+00,3.960715461001e+01
3.750000000000e+00,3.912033960686e+01
3.770000000000e+00,3.843550729280e+01
3.790000000000e+00,3.810491326737e+01
3.810000000000e+00,3.791227191250e+01
3.830000000000e+00,3.710995467488e+01
3.850000000000e+00,3.663183829902e+01
3.870000000000e+00,3.631662399924e+01
3.890000000000e+00,3.549862552049e+01
3.910000000000e+00,3.491799678638e+01
3.930000000000e+00,3.465651436484e+01
3.950000000000e+00,3.455573732877e+01
3.970000000000e+00,3.414911257697e+01
3.990000000000e+00,3.360176187107e+01
4.010000000000e+00,3.347393356047e+01
4.030000000000e+00,3.295712531721e+01
4.050000000000e+00,3.255008780837e+01
4.070000000000e+00,3.241725268466e+01
4.090000000000e+00,3.191192558034e+01
4.110000000000e+00,3.204693776704e+01
4.130000000000e+00,3.178455092737e+01
4.150000000000e+00,3.163666813894e+01
4.170000000000e+00,3.158121393674e+01
4.190000000000e+00,3.134993682026e+01
4.210000000000e+00,3.151324782588e+01
4.230000000000e+00,3.112187271084e+01
4.250000000000e+00,3.056962210617e+01
4.270000000000e+00,2.993640719866e+01
4.290000000000e+00,3.011555622988e+01
4.310000000000e+00,2.960376100234e+01
4.330000000000e+00,2.963808962496e+01
4.350000000000e+00,2.989466900316e+01
4.370000000000e+00,2.928066955603e+01
4.390000000000e+00,2.908165167385e+01
4.410000000000e+00,2.881392894909e+01
4.430000000000e+00,2.861641931761e+01
4.450000000000e+00,2.838262894463e+01
4.470000000000e+00,2.807901732810e+01
4.490000000000e+00,2.817820375460e+01
4.510000000000e+00,2.836168002908e+01
4.530000000000e+00,2.797698069343e+01
4.550000000000e+00,2.795285946802e+01
4.570000000000e+00,2.730253668945e+01
4.590000000000e+00,2.716577910766e+01
4.610000000000e+00,2.693602980838e+01
4.630000000000e+00,2.672854754038e+01
4.650000000000e+00,2.690360870695e+01
4.670000000000e+00,2.680755572817e+01
4.690000000000e+00,2.645381461941e+01
4.710000000000e+00,2.665299770912e+01
4.730000000000e+00,2.647319318678e+01
4.750000000000e+00,2.601216408528e+01
4.770000000000e+00,2.568760041193e+01
4.790000000000e+00,2.586900746365e+01
4.810000000000e+00,2.596841498315e+01
4.830000000000e+00,2.603675159611e+01
4.850000000000e+00,2.553206192015e+01
4.870000000000e+00,2.520086212446e+01
4.890000000000e+00,2.520172089349e+01
4.910000000000e+00,2.507280046879e+01
4.930000000000e+00,2.525039772008e+01
4.950000000000e+00,2.527183716114e+01
4.970000000000e+00,2.526006560400e+01
4.990000000000e+00,2.504246042074e+01
5.010000000000e+00,2.467104020770e+01
5.030000000000e+00,2.418121499177e+01
5.050000000000e+00,2.433426658395e+01
5.070000000000e+00,2.401041779412e+01
5.090000000000e+00,2.396439298273e+01
5.110000000000e+00,2.381812171440e+01
5.130000000000e+00,2.392094610884e+01
5.150000000000e+00,2.348078284200e+01
5.170000000000e+00,2.329973132775e+01
5.190000000000e+00,2.325992396548e+01
5.210000000000e+00,2.290001118529e+01
5.230000000000e+00,2.297477801462e+01
5.250000000000e+00,2.288670169149e+01
5.270000000000e+00,2.266720883717e+01
5.290000000000e+00,2.281355580073e+01
5.310000000000e+00,2.279286126728e+01
5.330000000000e+00,2.269394952052e+01
5.350000000000e+00,2.255884050122e+01
5.370000000000e+00,2.206905527507e+01
5.390000000000e+00,2.197233058113e+01
5.410000000000e+00,2.181986005264e+01
5.430000000000e+00,2.171290442144e+01
5.450000000000e+00,2.148697612469e+01
5.470000000000e+00,2.131131416294e+01
5.490000000000e+00,2.157520265799e+01
5.510000000000e+00,2.128635805023e+01
5.530000000000e+00,2.097381084788e+01
5.550000000000e+00,2.125410251210e+01
5.570000000000e+00,2.107718320455e+01
5.590000000000e+00,2.099566383232e+01
5.610000000000e+00,2.097535959034e+01
5.630000000000e+00,2.064919835860e+01
5.650000000000e+00,2.053274491600e+01
5.670000000000e+00,1.997037852134e+01
5.690000000000e+00,1.973887404015e+01
5.710000000000e+00,1.929524652377e+01
5.730000000000e+00,1.919925971863e+01
5.750000000000e+00,1.941731080389e+01
5.770000000000e+00,1.905188977520e+01
5.790000000000e+00,1.883774344235e+01
5.810000000000e+00,1.841370438593e+01
5.830000000000e+00,1.833280499813e+01
5.850000000000e+00,1.797777196477e+01
5.870000000000e+00,1.782276958084e+01
5.890000000000e+00,1.758844449005e+01
5.910000000000e+00,1.752266034878e+01
5.930000000000e+00,1.721799214270e+01
5.950000000000e+00,1.732569532759e+01
5.970000000000e+00,1.692079616173e+01
5.990000000000e+00,1.706301569118e+01
6.010000000000e+00,1.656131478608e+01
6.030000000000e+00,1.660514039739e+01
6.050000000000e+00,1.615486097311e+01
6.070000000000e+00,1.598140269933e+01
6.090000000000e+00,1.571386003090e+01
6.110000000000e+00,1.574808613054e+01
6.130000000000e+00,1.583140514802e+01
6.150000000000e+00,1.515805137564e+01
6.170000000000e+00,1.501670109321e+01
6.190000000000e+00,1.477314352088e+01
6.210000000000e+00,1.458326555168e+01
6.230000000000e+00,1.402468946278e+01
6.250000000000e+00,1.386148630616e+01
6.270000000000e+00,1.355048501089e+01
6.290000000000e+00,1.328750210345e+01
6.310000000000e+00,1.336515826294e+01
6.330000000000e+00,1.277479751764e+01
6.350000000000e+00,1.274049084025e+01
6.370000000000e+00,1.236199668853e+01
6.390000000000e+00,1.203165270439e+01
6.410000000000e+00,1.184718003686e+01
6.430000000000e+00,1.181796216141e+01
6.450000000000e+00,1.159428773190e+01
6.470000000000e+00,1.118509829579e+01
6.490000000000e+00,1.086421230191e+01
6.510000000000e+00,1.073137612900e+01
6.530000000000e+00,1.032604779613e+01
6.550000000000e+00,1.014353387460e+01
6.570000000000e+00,9.980423696358e+00
6.590000000000e+00,9.821538926789e+00
6.610000000000e+00,9.586351090002e+00
6.630000000000e+00,9.405057258120e+00
6.650000000000e+00,9.038088086186e+00
6.670000000000e+00,8.884494447783e+00
6.690000000000e+00,8.540087047157e+00
6.710000000000e+00,8.433338184304e+00
6.730000000000e+00,8.192791878249e+00
6.750000000000e+00,7.768476441087e+00
6.770000000000e+00,7.672931517997e+00
6.790000000000e+00,7.423857179505e+00
6.810000000000e+00,7.264747067968e+00
6.830000000000e+00,7.148542230117e+00
6.850000000000e+00,7.036783565239e+00
6.870000000000e+00,6.686598610329e+00
6.890000000000e+00,6.536949315346e+00
6.910000000000e+00,6.442863523590e+00
6.930000000000e+00,6.393364838157e+00
6.950000000000e+00,6.272562147151e+00
6.970000000000e+00,6.219983895861e+00
6.990000000000e+00,5.793200724300e+00
7.010000000000e+00,5.680492646946e+00
7.030000000000e+00,5.468564709809e+00
7.050000000000e+00,5.310316416560e+00
7.070000000000e+00,5.287643380438e+00
7.090000000000e+00,4.956667810645e+00
7.110000000000e+00,4.961867741417e+00
7.130000000000e+00,4.746783698830e+00
7.150000000000e+00,4.584395645247e+00
7.170000000000e+00,4.539950256265e+00
7.190000000000e+00,4.398847303975e+00
7.210000000000e+00,4.250587692856e+00
7.230000000000e+00,4.172753027421e+00
7.250000000000e+00,4.098748032202e+00
7.270000000000e+00,3.973929519742e+00
7.290000000000e+00,3.868376471673e+00
7.310000000000e+00,3.889139621582e+00
7.330000000000e+00,3.669759525244e+00
7.350000000000e+00,3.606557105333e+00
7.370000000000e+00,3.606674165318e+00
7.390000000000e+00,3.677353873773e+00
7.410000000000e+00,3.573345843335e+00
7.430000000000e+00,3.777473655134e+00
7.450000000000e+00,3.564218295720e+00
7.470000000000e+00,3.247263113403e+00
7.490000000000e+00,3.242369368302e+00
7.510000000000e+00,3.122588429411e+00
7.530000000000e+00,3.133627581269e+00
7.550000000000e+00,3.059718707421e+00
7.570000000000e+00,2.954504394413e+00
7.590000000000e+00,2.933597184261e+00
7.610000000000e+00,2.888270052347e+00
7.630000000000e+00,2.861416598258e+00
7.650000000000e+00,2.768150774797e+00
7.670000000000e+00,2.762024587047e+00
7.690000000000e+00,2.742064684434e+00
7.710000000000e+00,2.719092290171e+00
7.730000000000e+00,2.623258737225e+00
7.750000000000e+00,2.625172977275e+00
7.770000000000e+00,2.591683277087e+00
7.790000000000e+00,2.552557264373e+00
7.810000000000e+00,2.634657161460e+00
7.830000000000e+00,2.564350842783e+00
7.850000000000e+00,2.661180438231e+00
7.870000000000e+00,2.575341654167e+00
7.890000000000e+00,2.423661643815e+00
7.910000000000e+00,2.389256323730e+00
7.930000000000e+00,2.318094223069e+00
7.950000000000e+00,2.289739787945e+00
7.970000000000e+00,2.239963217690e+00
7.990000000000e+00,2.214647994681e+00
8.010000000000e+00,2.151077240680e+00
8.030000000000e+00,2.232273762482e+00
8.050000000000e+00,2.117352069482e+00
8.070000000000e+00,2.044168477236e+00
8.090000000000e+00,2.134642003289e+00
8.110000000000e+00,2.103512353205e+00
8.130000000000e+00,2.040380852842e+00
8.150000000000e+00,2.020609555155e+00
8.170000000000e+00,1.980975667272e+00
8.190000000000e+00,1.953018078595e+00
8.210000000000e+00,2.008206103760e+00
8.230000000000e+00,1.969702644702e+00
8.250000000000e+00,1.963635986794e+00
8.270000000000e+00,1.931491668723e+00
8.290000000000e+00,1.825160813232e+00
8.310000000000e+00,1.798208950644e+00
8.330000000000e+00,1.733232141400e+00
8.350000000000e+00,1.697942413403e+00
8.370000000000e+00,1.708467106805e+00
8.390000000000e+00,1.695863858574e+00
8.410000000000e+00,1.685876951065e+00
8.430000000000e+00,1.616274575309e+00
8.450000000000e+00,1.628835871450e+00
8.470000000000e+00,1.559528024524e+00
8.490000000000e+00,1.591628712763e+00
8.510000000000e+00,1.534935661475e+00
8.530000000000e+00,1.469257008086e+00
8.550000000000e+00,1.427677725644e+00
8.570000000000e+00,1.393533834389e+00
8.590000000000e+00,1.424020069069e+00
8.610000000000e+00,1.415984562806e+00
8.630000000000e+00,1.366428128156e+00
8.650000000000e+00,1.279984627008e+00
8.670000000000e+00,1.324399680348e+00
8.690000000000e+00,1.291563561770e+00
8.710000000000e+00,1.250105754491e+00
8.730000000000e+00,1.202302715072e+00
8.750000000000e+00,1.196268458109e+00
8.770000000000e+00,1.178597471202e+00
8.790000000000e+00,1.124699881376e+00
8.810000000000e+00,1.123437469828e+00
8.830000000000e+00,1.056610411869e+00
8.850000000000e+00,1.030311711752e+00
8.870000000000e+00,1.021425561350e+00
8.890000000000e+00,1.002209791590e+00
8.910000000000e+00,9.559358381781e-01
8.930000000000e+00,9.714145467522e-01
8.950000000000e+00,9.637961480644e-01
8.970000000000e+00,9.468034836419e-01
8.990000000000e+00,8.921946024630e-01
9.010000000000e+00,8.622343802860e-01
9.030000000000e+00,8.479338737573e-01
9.050000000000e+00,8.135619164127e-01
9.070000000000e+00,8.040073053265e-01
9.090000000000e+00,7.708009906019e-01
