redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,7.203898631803e+00
3.000000000000e-02,7.423995333663e+00
5.000000000000e-02,7.667734725222e+00
7.000000000000e-02,7.541207703068e+00
9.000000000000e-02,7.730046971963e+00
1.100000000000e-01,7.564439227770e+00
1.300000000000e-01,7.577425171437e+00
1.500000000000e-01,7.479408161927e+00
1.700000000000e-01,7.852553355598e+00
1.900000000000e-01,7.961789569255e+00
2.100000000000e-01,7.656010379087e+00
2.300000000000e-01,7.896695849084e+00
2.500000000000e-01,8.091452643994e+00
2.700000000000e-01,8.589909268731e+00
2.900000000000e-01,8.690771291989e+00
3.100000000000e-01,8.701294134113e+00
3.300000000000e-01,8.823199189208e+00
3.500000000000e-01,8.972604329850e+00
3.700000000000e-01,9.286520903549e+00
3.900000000000e-01,9.146208573627e+00
4.100000000000e-01,9.044830220002e+00
4.300000000000e-01,9.793979695307e+00
4.500000000000e-01,9.669168960743e+00
4.700000000000e-01,9.782975830560e+00
4.900000000000e-01,9.863102231185e+00
5.100000000000e-01,1.018580415894e+01
5.300000000000e-01,1.022942917251e+01
5.500000000000e-01,1.003781066892e+01
5.700000000000e-01,1.064880749819e+01
5.900000000000e-01,1.045609659693e+01
6.100000000000e-01,1.096208005840e+01
6.300000000000e-01,1.112052662746e+01
6.500000000000e-01,1.098104586118e+01
6.700000000000e-01,1.145285750501e+01
6.900000000000e-01,1.189014503000e+01
7.100000000000e-01,1.159785001721e+01
7.300000000000e-01,1.193144762570e+01
7.500000000000e-01,1.223314289105e+01
7.700000000000e-01,1.221312339605e+01
7.900000000000e-01,1.306683550925e+01
8.100000000000e-01,1.278729551922e+01
8.300000000000e-01,1.312586140720e+01
8.500000000000e-01,1.286664094556e+01
8.700000000000e-01,1.330866712518e+01
8.900000000000e-01,1.315569370586e+01
9.100000000000e-01,1.332302065382e+01
9.300000000000e-01,1.372674905893e+01
9.500000000000e-01,1.376291650709e+01
9.700000000000e-01,1.343956570101e+01
9.900000000000e-01,1.372666303778e+01
1.010000000000e+00,1.371673531868e+01
1.030000000000e+00,1.382749376006e+01
1.050000000000e+00,1.412861370805e+01
1.070000000000e+00,1.417170259921e+01
1.090000000000e+00,1.420837782341e+01
1.110000000000e+00,1.441105768606e+01
1.130000000000e+00,1.437167553642e+01
1.150000000000e+00,1.459446111538e+01
1.170000000000e+00,1.456116676822e+01
1.190000000000e+00,1.475153286416e+01
1.210000000000e+00,1.444694067160e+01
1.230000000000e+00,1.482032993233e+01
1.250000000000e+00,1.468720382037e+01
1.270000000000e+00,1.480159620549e+01
1.290000000000e+00,1.525127955058e+01
1.310000000000e+00,1.492735336330e+01
1.330000000000e+00,1.495286733102e+01
1.350000000000e+00,1.507211772406e+01
1.370000000000e+00,1.551507668834e+01
1.390000000000e+00,1.521216106742e+01
1.410000000000e+00,1.548814307998e+01
1.430000000000e+00,1.505923031850e+01
1.450000000000e+00,1.583446402200e+01
1.470000000000e+00,1.485881494980e+01
1.490000000000e+00,1.524961044183e+01
1.510000000000e+00,1.564845174765e+01
1.530000000000e+00,1.568335555493e+01
1.550000000000e+00,1.546810552720e+01
1.570000000000e+00,1.520161850744e+01
1.590000000000e+00,1.573131851068e+01
1.610000000000e+00,1.566927532417e+01
1.630000000000e+00,1.597680800374e+01
1.650000000000e+00,1.558785380917e+01
1.670000000000e+00,1.602072009855e+01
1.690000000000e+00,1.633652046867e+01
1.710000000000e+00,1.654401189636e+01
1.730000000000e+00,1.615337435752e+01
1.750000000000e+00,1.630930261826e+01
1.770000000000e+00,1.680555391194e+01
1.790000000000e+00,1.660475550960e+01
1.810000000000e+00,1.703181490958e+01
1.830000000000e+00,1.635241004217e+01
1.850000000000e+00,1.732525664712e+01
1.870000000000e+00,1.711033624925e+01
1.890000000000e+00,1.680840824260e+01
1.910000000000e+00,1.682753533524e+01
1.930000000000e+00,1.798341959493e+01
1.950000000000e+00,1.729850198834e+01
1.970000000000e+00,1.743955145440e+01
1.990000000000e+00,1.758660813699e+01
2.010000000000e+00,1.788788458800e+01
2.030000000000e+00,1.799416019825e+01
2.050000000000e+00,1.777454340667e+01
2.070000000000e+00,1.790377141069e+01
2.090000000000e+00,1.865949286367e+01
2.110000000000e+00,1.806887169514e+01
2.130000000000e+00,1.864201153781e+01
2.150000000000e+00,1.782245193866e+01
