redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,5.464983675007e+00
3.000000000000e-02,5.640858818764e+00
5.000000000000e-02,5.831380223504e+00
7.000000000000e-02,5.729775765180e+00
9.000000000000e-02,5.892463819405e+00
1.100000000000e-01,5.773444553587e+00
1.300000000000e-01,5.782872069131e+00
1.500000000000e-01,5.716634083152e+00
1.700000000000e-01,5.997845029957e+00
1.900000000000e-01,6.077503190037e+00
2.100000000000e-01,5.843407828074e+00
2.300000000000e-01,6.023554181927e+00
2.500000000000e-01,6.180103337372e+00
2.700000000000e-01,6.565108319005e+00
2.900000000000e-01,6.649760905144e+00
3.100000000000e-01,6.661804833343e+00
3.300000000000e-01,6.753282358009e+00
3.500000000000e-01,6.859852508521e+00
3.700000000000e-01,7.099078789834e+00
3.900000000000e-01,6.994154089515e+00
4.100000000000e-01,6.918781887906e+00
4.300000000000e-01,7.489626556514e+00
4.500000000000e-01,7.397116820641e+00
4.700000000000e-01,7.474883311496e+00
4.900000000000e-01,7.549750430354e+00
5.100000000000e-01,7.780593066698e+00
5.300000000000e-01,7.816376465014e+00
5.500000000000e-01,7.665650605313e+00
5.700000000000e-01,8.127055507518e+00
5.900000000000e-01,7.975940905598e+00
6.100000000000e-01,8.361634689526e+00
6.300000000000e-01,8.477203098233e+00
6.500000000000e-01,8.361314616560e+00
6.700000000000e-01,8.720740142359e+00
6.900000000000e-01,9.061445275982e+00
7.100000000000e-01,8.837184167378e+00
7.300000000000e-01,9.084016364339e+00
7.500000000000e-01,9.315408663331e+00
7.700000000000e-01,9.287315741498e+00
7.900000000000e-01,9.941968266882e+00
8.100000000000e-01,9.733431260816e+00
8.300000000000e-01,9.993369648770e+00
8.500000000000e-01,9.789399164497e+00
8.700000000000e-01,1.012697066033e+01
8.900000000000e-01,1.000728499342e+01
9.100000000000e-01,1.013220151023e+01
9.300000000000e-01,1.045217217066e+01
9.500000000000e-01,1.046947583831e+01
9.700000000000e-01,1.021595322422e+01
9.900000000000e-01,1.045406154967e+01
1.010000000000e+00,1.043156403606e+01
1.030000000000e+00,1.051573753830e+01
1.050000000000e+00,1.074628533189e+01
1.070000000000e+00,1.078436498258e+01
1.090000000000e+00,1.080414627782e+01
1.110000000000e+00,1.096041087528e+01
1.130000000000e+00,1.094319241231e+01
1.150000000000e+00,1.109780633004e+01
1.170000000000e+00,1.107608000364e+01
1.190000000000e+00,1.121057106989e+01
1.210000000000e+00,1.099577393197e+01
1.230000000000e+00,1.127770410750e+01
1.250000000000e+00,1.116902454857e+01
1.270000000000e+00,1.125966248844e+01
