redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,1.113257652652e+01
3.000000000000e-02,1.133720110014e+01
5.000000000000e-02,1.169955085619e+01
7.000000000000e-02,1.152072044641e+01
9.000000000000e-02,1.167365926229e+01
1.100000000000e-01,1.133441384624e+01
1.300000000000e-01,1.132032580086e+01
1.500000000000e-01,1.105086150509e+01
1.700000000000e-01,1.149476400384e+01
1.900000000000e-01,1.170769121904e+01
2.100000000000e-01,1.124767154527e+01
2.300000000000e-01,1.165193266575e+01
2.500000000000e-01,1.191042435914e+01
2.700000000000e-01,1.262213817284e+01
2.900000000000e-01,1.273954283893e+01
3.100000000000e-01,1.279855024476e+01
3.300000000000e-01,1.310797293092e+01
3.500000000000e-01,1.325658210844e+01
3.700000000000e-01,1.368159839770e+01
3.900000000000e-01,1.347518504115e+01
4.100000000000e-01,1.314310873089e+01
4.300000000000e-01,1.407566106211e+01
4.500000000000e-01,1.386311781313e+01
4.700000000000e-01,1.397947838599e+01
4.900000000000e-01,1.401288583085e+01
5.100000000000e-01,1.462049072997e+01
5.300000000000e-01,1.459680902080e+01
5.500000000000e-01,1.447729233588e+01
5.700000000000e-01,1.533218747466e+01
5.900000000000e-01,1.514090745590e+01
6.100000000000e-01,1.598530415529e+01
6.300000000000e-01,1.610530217484e+01
6.500000000000e-01,1.615921858013e+01
6.700000000000e-01,1.675579564693e+01
6.900000000000e-01,1.733970141999e+01
7.100000000000e-01,1.692290571891e+01
7.300000000000e-01,1.764808995203e+01
7.500000000000e-01,1.780376985603e+01
7.700000000000e-01,1.812917850800e+01
7.900000000000e-01,1.914828114964e+01
8.100000000000e-01,1.878298417506e+01
8.300000000000e-01,1.918411753553e+01
8.500000000000e-01,1.889965547562e+01
8.700000000000e-01,1.951866895876e+01
8.900000000000e-01,1.929005335234e+01
9.100000000000e-01,1.968371404758e+01
9.300000000000e-01,2.006500102016e+01
9.500000000000e-01,2.023301545108e+01
9.700000000000e-01,1.988540443578e+01
9.900000000000e-01,2.025423013975e+01
1.010000000000e+00,2.026054695778e+01
1.030000000000e+00,2.044150039927e+01
1.050000000000e+00,2.094537500212e+01
1.070000000000e+00,2.088456754824e+01
1.090000000000e+00,2.109476935057e+01
1.110000000000e+00,2.137198239306e+01
1.130000000000e+00,2.136957618234e+01
1.150000000000e+00,2.181107463905e+01
1.170000000000e+00,2.172947739924e+01
1.190000000000e+00,2.201108528491e+01
1.210000000000e+00,2.148560622808e+01
1.230000000000e+00,2.206066048209e+01
1.250000000000e+00,2.199056603910e+01
1.270000000000e+00,2.218282606691e+01
1.290000000000e+00,2.278596392021e+01
1.310000000000e+00,2.227411346354e+01
1.330000000000e+00,2.226317673116e+01
1.350000000000e+00,2.244319961563e+01
1.370000000000e+00,2.312493840954e+01
1.390000000000e+00,2.271299747158e+01
1.410000000000e+00,2.317938403812e+01
1.430000000000e+00,2.264044247251e+01
1.450000000000e+00,2.344678936235e+01
1.470000000000e+00,2.220008521723e+01
1.490000000000e+00,2.267676120286e+01
1.510000000000e+00,2.325408234737e+01
1.530000000000e+00,2.328181906400e+01
1.550000000000e+00,2.303590059531e+01
1.570000000000e+00,2.266404605176e+01
1.590000000000e+00,2.333220253690e+01
1.610000000000e+00,2.347685378309e+01
1.630000000000e+00,2.359344082984e+01
1.650000000000e+00,2.296123104146e+01
1.670000000000e+00,2.379562373190e+01
1.690000000000e+00,2.403553823027e+01
1.710000000000e+00,2.434320062093e+01
1.730000000000e+00,2.364391149858e+01
1.750000000000e+00,2.399808270935e+01
1.770000000000e+00,2.472981869960e+01
1.790000000000e+00,2.415025935154e+01
