redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,1.476259173909e+01
3.000000000000e-02,1.508846087044e+01
5.000000000000e-02,1.524219044334e+01
7.000000000000e-02,1.534030970933e+01
9.000000000000e-02,1.551380963758e+01
1.100000000000e-01,1.564754253507e+01
1.300000000000e-01,1.561806071649e+01
1.500000000000e-01,1.580657872469e+01
1.700000000000e-01,1.564055462942e+01
1.900000000000e-01,1.560563265006e+01
2.100000000000e-01,1.512068202991e+01
2.300000000000e-01,1.518552981002e+01
2.500000000000e-01,1.563652187792e+01
2.700000000000e-01,1.529305047978e+01
2.900000000000e-01,1.574078743163e+01
3.100000000000e-01,1.574104715246e+01
3.300000000000e-01,1.556755928187e+01
3.500000000000e-01,1.563097707122e+01
3.700000000000e-01,1.609298991177e+01
3.900000000000e-01,1.628035468633e+01
4.100000000000e-01,1.650148900415e+01
4.300000000000e-01,1.667375592786e+01
4.500000000000e-01,1.684488550674e+01
4.700000000000e-01,1.645423493806e+01
4.900000000000e-01,1.700860523691e+01
5.100000000000e-01,1.724909452653e+01
5.300000000000e-01,1.789179130706e+01
5.500000000000e-01,1.803811439795e+01
5.700000000000e-01,1.924883567493e+01
5.900000000000e-01,1.913962850938e+01
6.100000000000e-01,1.952322774703e+01
6.300000000000e-01,1.992979536575e+01
6.500000000000e-01,2.038191814391e+01
6.700000000000e-01,2.075630248146e+01
6.900000000000e-01,2.043010580620e+01
7.100000000000e-01,2.082572020302e+01
7.300000000000e-01,2.107443430401e+01
7.500000000000e-01,2.097240695225e+01
7.700000000000e-01,2.127295656597e+01
7.900000000000e-01,2.101479594986e+01
8.100000000000e-01,2.117726599062e+01
8.300000000000e-01,2.084495447955e+01
8.500000000000e-01,2.182281739092e+01
8.700000000000e-01,2.149275176727e+01
8.900000000000e-01,2.194471887219e+01
9.100000000000e-01,2.193495165482e+01
9.300000000000e-01,2.227972948101e+01
9.500000000000e-01,2.241772737760e+01
9.700000000000e-01,2.248679963438e+01
9.900000000000e-01,2.261393964651e+01
1.010000000000e+00,2.256913491634e+01
1.030000000000e+00,2.253283249358e+01
1.050000000000e+00,2.242680954009e+01
1.070000000000e+00,2.205519765926e+01
1.090000000000e+00,2.276054144701e+01
1.110000000000e+00,2.208709859507e+01
1.130000000000e+00,2.281809263347e+01
1.150000000000e+00,2.268631921301e+01
1.170000000000e+00,2.302300923726e+01
1.190000000000e+00,2.308339480460e+01
1.210000000000e+00,2.324016144487e+01
1.230000000000e+00,2.252862506432e+01
1.250000000000e+00,2.311384170704e+01
1.270000000000e+00,2.319282801228e+01
1.290000000000e+00,2.337698156053e+01
1.310000000000e+00,2.344370925589e+01
1.330000000000e+00,2.346206578983e+01
1.350000000000e+00,2.376273370877e+01
1.370000000000e+00,2.402690228448e+01
1.390000000000e+00,2.404299820137e+01
1.410000000000e+00,2.381768360915e+01
1.430000000000e+00,2.480343295734e+01
1.450000000000e+00,2.483629248068e+01
1.470000000000e+00,2.445112309294e+01
1.490000000000e+00,2.527086366149e+01
1.510000000000e+00,2.508181571580e+01
1.530000000000e+00,2.507606832332e+01
1.550000000000e+00,2.503700594133e+01
1.570000000000e+00,2.511981215036e+01
1.590000000000e+00,2.580027919679e+01
1.610000000000e+00,2.491967357499e+01
1.630000000000e+00,2.585589439046e+01
1.650000000000e+00,2.483589062806e+01
1.670000000000e+00,2.611309024870e+01
1.690000000000e+00,2.564147223153e+01
1.710000000000e+00,2.609835067183e+01
1.730000000000e+00,2.647899123897e+01
1.750000000000e+00,2.610461172748e+01
1.770000000000e+00,2.620170842062e+01
1.790000000000e+00,2.700271560861e+01
1.810000000000e+00,2.661570794115e+01
1.830000000000e+00,2.684775980044e+01
1.850000000000e+00,2.712014571895e+01
1.870000000000e+00,2.621591820627e+01
1.890000000000e+00,2.718079120616e+01
1.910000000000e+00,2.744189594717e+01
1.930000000000e+00,2.672955909771e+01
1.950000000000e+00,2.677423334770e+01
1.970000000000e+00,2.725921781645e+01
1.990000000000e+00,2.709754009656e+01
2.010000000000e+00,2.674447086553e+01
2.030000000000e+00,2.698520548425e+01
2.050000000000e+00,2.669923474210e+01
2.070000000000e+00,2.610393072835e+01
2.090000000000e+00,2.575402167328e+01
2.110000000000e+00,2.705316788666e+01
2.130000000000e+00,2.544993057242e+01
2.150000000000e+00,2.616855187460e+01
2.170000000000e+00,2.560671133800e+01
2.190000000000e+00,2.587599637470e+01
2.210000000000e+00,2.533744183613e+01
2.230000000000e+00,2.535472431199e+01
2.250000000000e+00,2.489627403131e+01
2.270000000000e+00,2.501054771406e+01
2.290000000000e+00,2.452450779803e+01
2.310000000000e+00,2.473298640991e+01
2.330000000000e+00,2.442251593430e+01
2.350000000000e+00,2.415594819845e+01
2.370000000000e+00,2.476518032523e+01
2.390000000000e+00,2.342603173831e+01
2.410000000000e+00,2.429356060674e+01
2.430000000000e+00,2.347294327740e+01
2.450000000000e+00,2.377867291999e+01
2.470000000000e+00,2.365526339422e+01
2.490000000000e+00,2.383079898826e+01
2.510000000000e+00,2.326263511587e+01
2.530000000000e+00,2.300614980573e+01
2.550000000000e+00,2.369451172966e+01
2.570000000000e+00,2.305960186541e+01
2.590000000000e+00,2.315866491830e+01
2.610000000000e+00,2.281643605838e+01
2.630000000000e+00,2.285974034004e+01
2.650000000000e+00,2.321181365972e+01
2.670000000000e+00,2.373879962478e+01
2.690000000000e+00,2.225396101242e+01
2.710000000000e+00,2.304673369760e+01
2.730000000000e+00,2.306560645164e+01
2.750000000000e+00,2.230653463714e+01
2.770000000000e+00,2.263607372691e+01
2.790000000000e+00,2.261826048679e+01
2.810000000000e+00,2.218667021433e+01
2.830000000000e+00,2.218032206941e+01
2.850000000000e+00,2.210957999880e+01
2.870000000000e+00,2.221669585883e+01
2.890000000000e+00,2.213906163834e+01
2.910000000000e+00,2.231285527301e+01
2.930000000000e+00,2.227545878428e+01
2.950000000000e+00,2.177837249944e+01
2.970000000000e+00,2.184532368786e+01
2.990000000000e+00,2.199347413939e+01
3.010000000000e+00,2.189080801352e+01
3.030000000000e+00,2.193883017830e+01
3.050000000000e+00,2.235772677817e+01
3.070000000000e+00,2.193022523259e+01
3.090000000000e+00,2.136391171747e+01
3.110000000000e+00,2.230321898670e+01
3.130000000000e+00,2.219272203277e+01
3.150000000000e+00,2.197993542853e+01
3.170000000000e+00,2.196032842476e+01
3.190000000000e+00,2.240343781879e+01
3.210000000000e+00,2.222136745612e+01
3.230000000000e+00,2.242855673661e+01
3.250000000000e+00,2.257472315738e+01
3.270000000000e+00,2.264309344448e+01
3.290000000000e+00,2.255446377658e+01
3.310000000000e+00,2.276362174098e+01
3.330000000000e+00,2.271383550516e+01
3.350000000000e+00,2.271979020534e+01
3.370000000000e+00,2.308603260439e+01
3.390000000000e+00,2.299921829507e+01
3.410000000000e+00,2.313204094627e+01
3.430000000000e+00,2.300159879813e+01
3.450000000000e+00,2.354576920199e+01
3.470000000000e+00,2.362545973210e+01
3.490000000000e+00,2.355847550114e+01
3.510000000000e+00,2.350041052818e+01
3.530000000000e+00,2.369192589929e+01
3.550000000000e+00,2.429243957528e+01
3.570000000000e+00,2.388063309739e+01
3.590000000000e+00,2.352010964319e+01
3.610000000000e+00,2.423755939796e+01
3.630000000000e+00,2.423258361865e+01
3.650000000000e+00,2.463220979198e+01
3.670000000000e+00,2.453744590477e+01
3.690000000000e+00,2.395395844928e+01
3.710000000000e+00,2.481060217496e+01
3.730000000000e+00,2.483358577224e+01
3.750000000000e+00,2.448273640271e+01
3.770000000000e+00,2.508802265532e+01
3.790000000000e+00,2.496752341160e+01
3.810000000000e+00,2.478943040161e+01
3.830000000000e+00,2.485246936416e+01
3.850000000000e+00,2.488304654332e+01
3.870000000000e+00,2.495031710652e+01
3.890000000000e+00,2.541466812174e+01
3.910000000000e+00,2.508963895062e+01
3.930000000000e+00,2.522720588765e+01
3.950000000000e+00,2.517200272126e+01
3.970000000000e+00,2.525570514560e+01
3.990000000000e+00,2.533325657850e+01
4.010000000000e+00,2.556440436945e+01
4.030000000000e+00,2.524995979626e+01
4.050000000000e+00,2.543197080084e+01
4.070000000000e+00,2.549615149696e+01
4.090000000000e+00,2.524524731638e+01
4.110000000000e+00,2.551122029731e+01
4.130000000000e+00,2.546656214354e+01
4.150000000000e+00,2.546407318498e+01
4.170000000000e+00,2.529668116974e+01
4.190000000000e+00,2.536511419346e+01
4.210000000000e+00,2.527715847228e+01
4.230000000000e+00,2.508100844411e+01
4.250000000000e+00,2.549387415606e+01
4.270000000000e+00,2.484724188575e+01
4.290000000000e+00,2.491830670440e+01
4.310000000000e+00,2.472008282427e+01
4.330000000000e+00,2.536985158922e+01
4.350000000000e+00,2.471300730250e+01
4.370000000000e+00,2.501706577065e+01
4.390000000000e+00,2.469843866472e+01
4.410000000000e+00,2.496495307228e+01
4.430000000000e+00,2.451046408427e+01
4.450000000000e+00,2.420966997884e+01
4.470000000000e+00,2.472027776415e+01
4.490000000000e+00,2.429604313463e+01
4.510000000000e+00,2.466678241170e+01
4.530000000000e+00,2.424699006570e+01
4.550000000000e+00,2.388001470627e+01
4.570000000000e+00,2.435465939801e+01
4.590000000000e+00,2.419638629371e+01
4.610000000000e+00,2.406092608846e+01
4.630000000000e+00,2.370626867959e+01
4.650000000000e+00,2.386045444782e+01
4.670000000000e+00,2.375260582090e+01
4.690000000000e+00,2.373461280591e+01
4.710000000000e+00,2.376260077439e+01
4.730000000000e+00,2.353438357114e+01
4.750000000000e+00,2.315911667128e+01
4.770000000000e+00,2.376471940088e+01
4.790000000000e+00,2.328579802227e+01
4.810000000000e+00,2.316367835154e+01
4.830000000000e+00,2.330887769918e+01
4.850000000000e+00,2.301629209914e+01
4.870000000000e+00,2.341830340734e+01
4.890000000000e+00,2.289740755859e+01
4.910000000000e+00,2.290571008198e+01
4.930000000000e+00,2.299566975827e+01
4.950000000000e+00,2.270736243887e+01
4.970000000000e+00,2.256349843037e+01
4.990000000000e+00,2.297266989825e+01
5.010000000000e+00,2.238352574286e+01
5.030000000000e+00,2.237395477969e+01
5.050000000000e+00,2.275020901160e+01
5.070000000000e+00,2.205920465798e+01
5.090000000000e+00,2.222574513911e+01
5.110000000000e+00,2.224832812376e+01
5.130000000000e+00,2.195229675750e+01
5.150000000000e+00,2.207328567099e+01
5.170000000000e+00,2.173380201565e+01
5.190000000000e+00,2.157502650317e+01
5.210000000000e+00,2.170225932483e+01
5.230000000000e+00,2.139382010300e+01
5.250000000000e+00,2.152498479526e+01
5.270000000000e+00,2.172765930367e+01
5.290000000000e+00,2.075605425692e+01
5.310000000000e+00,2.125341515091e+01
5.330000000000e+00,2.054308712297e+01
5.350000000000e+00,2.110625300701e+01
5.370000000000e+00,2.085079581165e+01
5.390000000000e+00,2.018044828389e+01
5.410000000000e+00,2.022096189877e+01
5.430000000000e+00,1.999711372495e+01
5.450000000000e+00,1.987342882708e+01
5.470000000000e+00,1.975533349998e+01
5.490000000000e+00,1.970831853436e+01
5.510000000000e+00,1.957762862692e+01
5.530000000000e+00,1.941406740715e+01
5.550000000000e+00,1.929586779177e+01
5.570000000000e+00,1.931972512249e+01
5.590000000000e+00,1.900905452176e+01
5.610000000000e+00,1.860504970870e+01
5.630000000000e+00,1.794054115468e+01
5.650000000000e+00,1.810926254440e+01
5.670000000000e+00,1.801112051608e+01
5.690000000000e+00,1.778607448493e+01
5.710000000000e+00,1.771824379648e+01
5.730000000000e+00,1.769505310769e+01
5.750000000000e+00,1.767411336699e+01
5.770000000000e+00,1.692150001819e+01
5.790000000000e+00,1.703502495112e+01
5.810000000000e+00,1.668351818685e+01
5.830000000000e+00,1.615755331829e+01
5.850000000000e+00,1.634640180871e+01
5.870000000000e+00,1.590932397702e+01
5.890000000000e+00,1.556685324638e+01
5.910000000000e+00,1.537107848364e+01
5.930000000000e+00,1.553903510752e+01
5.950000000000e+00,1.495619979471e+01
5.970000000000e+00,1.524649736824e+01
5.990000000000e+00,1.444704008813e+01
6.010000000000e+00,1.420669147039e+01
6.030000000000e+00,1.447516444803e+01
6.050000000000e+00,1.372487027506e+01
6.070000000000e+00,1.356255327056e+01
6.090000000000e+00,1.345440126340e+01
6.110000000000e+00,1.313453009233e+01
6.130000000000e+00,1.298371465876e+01
6.150000000000e+00,1.269962740682e+01
6.170000000000e+00,1.227936310933e+01
6.190000000000e+00,1.224431276041e+01
6.210000000000e+00,1.192565583486e+01
6.230000000000e+00,1.173070480743e+01
6.250000000000e+00,1.131777185789e+01
6.270000000000e+00,1.129602521599e+01
6.290000000000e+00,1.123247166147e+01
6.310000000000e+00,1.065705960999e+01
6.330000000000e+00,1.057902119832e+01
6.350000000000e+00,1.053762392434e+01
6.370000000000e+00,1.009884566391e+01
6.390000000000e+00,9.862280603681e+00
6.410000000000e+00,9.528285129747e+00
6.430000000000e+00,9.552458414115e+00
6.450000000000e+00,9.155935864103e+00
6.470000000000e+00,9.053584117146e+00
6.490000000000e+00,8.838332276976e+00
6.510000000000e+00,8.703858498683e+00
6.530000000000e+00,8.426395016723e+00
6.550000000000e+00,8.490078347076e+00
6.570000000000e+00,8.030510704007e+00
6.590000000000e+00,7.927412515196e+00
6.610000000000e+00,7.588668442314e+00
6.630000000000e+00,7.487283989779e+00
6.650000000000e+00,7.363961797651e+00
6.670000000000e+00,7.145848652664e+00
6.690000000000e+00,7.048697698662e+00
6.710000000000e+00,6.836046553250e+00
6.730000000000e+00,6.695058300630e+00
6.750000000000e+00,6.451434248105e+00
6.770000000000e+00,6.547486980570e+00
6.790000000000e+00,6.232326251625e+00
6.810000000000e+00,6.070320058929e+00
6.830000000000e+00,5.911599793111e+00
6.850000000000e+00,5.765904269178e+00
6.870000000000e+00,5.714793333616e+00
6.890000000000e+00,5.567769724780e+00
6.910000000000e+00,5.344120576727e+00
6.930000000000e+00,5.356543674114e+00
6.950000000000e+00,5.139864457674e+00
6.970000000000e+00,5.006688597848e+00
6.990000000000e+00,4.967265342619e+00
7.010000000000e+00,4.899283218628e+00
7.030000000000e+00,4.718362563091e+00
7.050000000000e+00,4.744734826820e+00
7.070000000000e+00,4.437702308162e+00
7.090000000000e+00,4.611020803865e+00
7.110000000000e+00,4.284638612715e+00
7.130000000000e+00,4.321771350572e+00
7.150000000000e+00,4.219575551450e+00
7.170000000000e+00,3.997548687819e+00
7.190000000000e+00,3.930134844372e+00
7.210000000000e+00,3.826022060572e+00
7.230000000000e+00,3.804676838999e+00
7.250000000000e+00,3.892848033422e+00
7.270000000000e+00,3.663332646282e+00
7.290000000000e+00,3.685359268439e+00
7.310000000000e+00,3.431747352237e+00
7.330000000000e+00,3.502898910592e+00
7.350000000000e+00,3.372933868579e+00
7.370000000000e+00,3.317816398250e+00
7.390000000000e+00,3.235147522843e+00
7.410000000000e+00,3.251944351172e+00
7.430000000000e+00,3.050369981645e+00
7.450000000000e+00,3.093988799609e+00
7.470000000000e+00,3.034609535227e+00
7.490000000000e+00,2.916059763610e+00
7.510000000000e+00,2.921139984005e+00
7.530000000000e+00,2.799990182342e+00
7.550000000000e+00,2.794331700912e+00
7.570000000000e+00,2.686573272019e+00
7.590000000000e+00,2.640029737136e+00
7.610000000000e+00,2.609805851872e+00
7.630000000000e+00,2.557293526038e+00
7.650000000000e+00,2.492313667741e+00
7.670000000000e+00,2.496235137041e+00
7.690000000000e+00,2.410418030041e+00
7.710000000000e+00,2.332262820276e+00
7.730000000000e+00,2.349482645273e+00
7.750000000000e+00,2.221630915493e+00
7.770000000000e+00,2.186220027267e+00
7.790000000000e+00,2.182546843030e+00
7.810000000000e+00,2.093156745590e+00
7.830000000000e+00,2.086796218802e+00
7.850000000000e+00,2.013829549784e+00
7.870000000000e+00,1.951481077281e+00
7.890000000000e+00,1.932442170719e+00
7.910000000000e+00,1.915703171869e+00
7.930000000000e+00,1.869557037166e+00
7.950000000000e+00,1.788151033466e+00
7.970000000000e+00,1.778379847216e+00
7.990000000000e+00,1.717474923592e+00
8.010000000000e+00,1.761798748850e+00
8.030000000000e+00,1.667572180855e+00
8.050000000000e+00,1.632893689214e+00
8.070000000000e+00,1.554159892764e+00
8.090000000000e+00,1.559934816079e+00
8.110000000000e+00,1.531463161823e+00
8.130000000000e+00,1.470011840124e+00
8.150000000000e+00,1.432950047910e+00
8.170000000000e+00,1.382332921372e+00
8.190000000000e+00,1.353282701069e+00
8.210000000000e+00,1.393050370405e+00
8.230000000000e+00,1.333091727430e+00
8.250000000000e+00,1.305146087970e+00
8.270000000000e+00,1.261953024258e+00
8.290000000000e+00,1.241820222617e+00
8.310000000000e+00,1.225290039171e+00
8.330000000000e+00,1.241781044157e+00
8.350000000000e+00,1.168332066154e+00
8.370000000000e+00,1.141383759152e+00
8.390000000000e+00,1.087028027962e+00
8.410000000000e+00,1.122006505345e+00
8.430000000000e+00,1.091927801079e+00
8.450000000000e+00,1.076837963540e+00
8.470000000000e+00,1.030500327361e+00
8.490000000000e+00,1.026820982527e+00
8.510000000000e+00,1.020309219768e+00
8.530000000000e+00,9.818501299074e-01
8.550000000000e+00,1.020521216396e+00
8.570000000000e+00,9.618449544205e-01
8.590000000000e+00,9.726576249873e-01
8.610000000000e+00,9.195931353978e-01
8.630000000000e+00,9.337663231673e-01
8.650000000000e+00,9.256198884281e-01
8.670000000000e+00,8.713320600734e-01
8.690000000000e+00,9.158618849160e-01
8.710000000000e+00,8.916442351219e-01
8.730000000000e+00,8.320635340781e-01
8.750000000000e+00,8.552073579575e-01
8.770000000000e+00,8.525136582389e-01
8.790000000000e+00,8.374118240230e-01
8.810000000000e+00,8.001358325859e-01
8.830000000000e+00,8.253168585478e-01
8.850000000000e+00,8.224841387300e-01
8.870000000000e+00,7.796258489738e-01
8.890000000000e+00,7.888946477597e-01
8.910000000000e+00,7.934664021158e-01
8.930000000000e+00,7.784016433331e-01
8.950000000000e+00,7.496482897212e-01
8.970000000000e+00,7.627749608942e-01
8.990000000000e+00,7.537993502591e-01
9.010000000000e+00,7.594798996944e-01
9.030000000000e+00,7.537999114780e-01
9.050000000000e+00,7.527542480484e-01
9.070000000000e+00,7.390690231765e-01
9.090000000000e+00,7.395149054601e-01
9.110000000000e+00,7.230869750109e-01
9.130000000000e+00,7.252409679881e-01
9.150000000000e+00,7.273068115065e-01
9.170000000000e+00,7.044142351026e-01
9.190000000000e+00,7.261755506871e-01
9.210000000000e+00,7.105006666072e-01
9.230000000000e+00,7.115264384219e-01
9.250000000000e+00,7.293995524343e-01
9.270000000000e+00,6.869111380087e-01
9.290000000000e+00,6.986020152415e-01
9.310000000000e+00,6.874961571196e-01
9.330000000000e+00,7.025206299059e-01
9.350000000000e+00,6.996324844698e-01
