redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,3.234289622776e-01
3.000000000000e-02,2.929840206434e-01
5.000000000000e-02,2.538306998052e-01
7.000000000000e-02,1.957384382766e-01
9.000000000000e-02,2.077794780082e-01
1.100000000000e-01,2.465380464646e-01
1.300000000000e-01,2.528508887602e-01
1.500000000000e-01,1.998966182731e-01
1.700000000000e-01,1.495193148206e-01
1.900000000000e-01,9.795779601917e-02
2.100000000000e-01,1.036381089844e-01
2.300000000000e-01,7.200515142303e-02
2.500000000000e-01,7.948372796110e-02
2.700000000000e-01,6.909793178567e-02
2.900000000000e-01,7.947381714312e-02
3.100000000000e-01,1.299964389726e-01
3.300000000000e-01,9.724092179006e-02
3.500000000000e-01,7.419038379311e-02
3.700000000000e-01,9.742782145474e-02
3.900000000000e-01,1.431210080555e-01
4.100000000000e-01,2.347371535580e-01
4.300000000000e-01,2.529065843376e-01
4.500000000000e-01,2.854712799541e-01
4.700000000000e-01,2.286628627137e-01
4.900000000000e-01,2.284932630217e-01
5.100000000000e-01,2.911629540815e-01
5.300000000000e-01,3.108571836966e-01
5.500000000000e-01,3.421994978377e-01
5.700000000000e-01,3.514041202923e-01
5.900000000000e-01,4.651225278690e-01
6.100000000000e-01,4.990975811161e-01
6.300000000000e-01,6.049485172180e-01
6.500000000000e-01,6.620428512522e-01
6.700000000000e-01,6.463271984001e-01
6.900000000000e-01,6.686085774073e-01
7.100000000000e-01,5.771250171030e-01
7.300000000000e-01,5.751028265748e-01
7.500000000000e-01,5.137012563711e-01
7.700000000000e-01,4.723417171984e-01
7.900000000000e-01,5.919041017913e-01
8.100000000000e-01,5.470120727408e-01
8.300000000000e-01,5.845208995930e-01
8.500000000000e-01,6.263994997183e-01
8.700000000000e-01,6.942372113644e-01
8.900000000000e-01,5.707214986070e-01
9.100000000000e-01,6.243261731551e-01
9.300000000000e-01,6.115399995683e-01
9.500000000000e-01,6.136292678366e-01
9.700000000000e-01,5.823091461457e-01
9.900000000000e-01,4.891166324574e-01
1.010000000000e+00,5.437285430957e-01
1.030000000000e+00,4.942383576047e-01
1.050000000000e+00,5.268397359681e-01
1.070000000000e+00,5.072433148385e-01
1.090000000000e+00,5.721626340426e-01
1.110000000000e+00,4.820642042988e-01
1.130000000000e+00,5.322982825767e-01
1.150000000000e+00,4.871310832573e-01
1.170000000000e+00,4.880779055630e-01
1.190000000000e+00,4.879500035252e-01
1.210000000000e+00,4.475206281841e-01
1.230000000000e+00,5.126416433541e-01
1.250000000000e+00,5.154411823036e-01
1.270000000000e+00,5.758492254677e-01
1.290000000000e+00,5.799024714409e-01
1.310000000000e+00,5.434125022550e-01
1.330000000000e+00,6.854379070501e-01
1.350000000000e+00,6.053321738263e-01
1.370000000000e+00,6.689115266456e-01
1.390000000000e+00,6.986312728496e-01
1.410000000000e+00,7.572337174794e-01
1.430000000000e+00,6.977558584250e-01
1.450000000000e+00,6.271096048407e-01
1.470000000000e+00,6.051376729011e-01
1.490000000000e+00,5.295799465243e-01
1.510000000000e+00,5.789643283448e-01
1.530000000000e+00,5.230120283168e-01
1.550000000000e+00,4.456294091450e-01
1.570000000000e+00,5.287942661300e-01
1.590000000000e+00,5.105859195624e-01
1.610000000000e+00,5.204636131872e-01
1.630000000000e+00,4.283743950906e-01
1.650000000000e+00,5.226119781558e-01
1.670000000000e+00,5.349096916424e-01
1.690000000000e+00,5.197283083681e-01
1.710000000000e+00,4.418643161178e-01
1.730000000000e+00,5.430991022730e-01
1.750000000000e+00,5.558210403028e-01
1.770000000000e+00,5.369092357318e-01
1.790000000000e+00,6.418065223415e-01
1.810000000000e+00,4.427898348418e-01
1.830000000000e+00,5.449364197171e-01
1.850000000000e+00,5.345175319463e-01
1.870000000000e+00,5.348140751661e-01
1.890000000000e+00,5.387720117926e-01
1.910000000000e+00,5.325099357814e-01
1.930000000000e+00,5.427311501862e-01
1.950000000000e+00,5.490638364111e-01
1.970000000000e+00,5.569429920181e-01
1.990000000000e+00,5.667949634691e-01
2.010000000000e+00,7.100038011278e-01
2.030000000000e+00,5.843173962880e-01
2.050000000000e+00,6.044419488731e-01
2.070000000000e+00,6.008617959402e-01
2.090000000000e+00,7.682696873493e-01
2.110000000000e+00,6.094746085673e-01
2.130000000000e+00,6.142235678256e-01
2.150000000000e+00,6.321340493411e-01
2.170000000000e+00,6.123745641186e-01
2.190000000000e+00,6.671521036093e-01
2.210000000000e+00,6.365474054434e-01
2.230000000000e+00,6.297091945258e-01
2.250000000000e+00,6.503557893174e-01
2.270000000000e+00,6.751244367165e-01
2.290000000000e+00,6.727645524684e-01
2.310000000000e+00,6.819602334982e-01
2.330000000000e+00,7.136245219514e-01
2.350000000000e+00,8.999203713630e-01
2.370000000000e+00,7.313249597224e-01
2.390000000000e+00,7.545657782666e-01
2.410000000000e+00,7.814954842786e-01
2.430000000000e+00,7.661998343421e-01
2.450000000000e+00,7.861161307265e-01
2.470000000000e+00,8.134651757212e-01
2.490000000000e+00,8.602036710831e-01
2.510000000000e+00,7.945880739271e-01
2.530000000000e+00,8.165261448394e-01
2.550000000000e+00,8.785929911273e-01
2.570000000000e+00,8.046388536974e-01
2.590000000000e+00,1.020322123973e+00
2.610000000000e+00,8.064802720150e-01
2.630000000000e+00,8.112031367074e-01
2.650000000000e+00,8.425790780867e-01
2.670000000000e+00,8.335339963647e-01
2.690000000000e+00,8.270367873400e-01
2.710000000000e+00,8.865482108019e-01
2.730000000000e+00,8.551576748606e-01
2.750000000000e+00,8.889923243734e-01
2.770000000000e+00,8.735290581350e-01
2.790000000000e+00,1.028885976236e+00
2.810000000000e+00,9.354274458161e-01
2.830000000000e+00,8.961707238892e-01
2.850000000000e+00,9.170950336681e-01
2.870000000000e+00,9.520476627283e-01
2.890000000000e+00,9.152991946895e-01
2.910000000000e+00,9.913080206387e-01
2.930000000000e+00,9.723964027408e-01
2.950000000000e+00,9.634110375790e-01
2.970000000000e+00,9.865005957815e-01
2.990000000000e+00,1.093709542134e+00
3.010000000000e+00,1.028696434898e+00
3.030000000000e+00,9.617788744738e-01
3.050000000000e+00,1.017000206394e+00
3.070000000000e+00,9.757378553943e-01
3.090000000000e+00,1.023845427602e+00
3.110000000000e+00,9.675165792812e-01
3.130000000000e+00,1.016883018344e+00
3.150000000000e+00,9.538433480127e-01
3.170000000000e+00,1.104179618854e+00
3.190000000000e+00,9.957339002624e-01
3.210000000000e+00,1.011557926062e+00
3.230000000000e+00,9.832290306851e-01
3.250000000000e+00,9.661947898904e-01
3.270000000000e+00,9.895163372282e-01
3.290000000000e+00,9.699867479924e-01
3.310000000000e+00,1.002319258478e+00
3.330000000000e+00,9.901123216278e-01
3.350000000000e+00,1.076491452760e+00
3.370000000000e+00,9.595098808972e-01
3.390000000000e+00,1.014974852737e+00
3.410000000000e+00,9.680242293700e-01
3.430000000000e+00,1.052986941255e+00
3.450000000000e+00,1.054958853644e+00
3.470000000000e+00,9.491283884946e-01
3.490000000000e+00,1.157192975573e+00
3.510000000000e+00,1.029166138303e+00
3.530000000000e+00,9.960762268534e-01
3.550000000000e+00,1.049881616665e+00
3.570000000000e+00,1.047161992039e+00
3.590000000000e+00,1.039408115673e+00
3.610000000000e+00,1.038254156313e+00
3.630000000000e+00,1.083494640590e+00
3.650000000000e+00,1.172380006504e+00
3.670000000000e+00,1.142555790685e+00
3.690000000000e+00,1.090579238535e+00
3.710000000000e+00,1.070694940936e+00
3.730000000000e+00,1.093137005040e+00
3.750000000000e+00,1.030337968228e+00
3.770000000000e+00,1.065058612672e+00
3.790000000000e+00,1.229210649830e+00
3.810000000000e+00,1.008798279288e+00
3.830000000000e+00,1.093077446759e+00
3.850000000000e+00,1.061082689020e+00
3.870000000000e+00,1.151391017991e+00
3.890000000000e+00,1.025849341476e+00
3.910000000000e+00,1.155166347555e+00
3.930000000000e+00,1.039242002834e+00
3.950000000000e+00,1.104742963302e+00
3.970000000000e+00,1.031056880968e+00
3.990000000000e+00,1.013510725800e+00
4.010000000000e+00,1.103093507108e+00
4.030000000000e+00,1.041926198428e+00
4.050000000000e+00,1.083392519777e+00
4.070000000000e+00,1.058445767469e+00
4.090000000000e+00,9.765817445854e-01
4.110000000000e+00,1.060827995731e+00
4.130000000000e+00,1.001488641834e+00
4.150000000000e+00,9.979843890140e-01
4.170000000000e+00,1.021811217654e+00
4.190000000000e+00,9.907890926792e-01
4.210000000000e+00,1.024052676937e+00
4.230000000000e+00,1.076706828850e+00
4.250000000000e+00,9.884625622342e-01
4.270000000000e+00,9.985629896226e-01
4.290000000000e+00,9.705256325748e-01
4.310000000000e+00,1.034095914282e+00
4.330000000000e+00,9.700983110514e-01
4.350000000000e+00,1.021037839592e+00
4.370000000000e+00,9.683491715177e-01
4.390000000000e+00,9.442921762798e-01
4.410000000000e+00,1.038040329823e+00
4.430000000000e+00,1.069436262853e+00
4.450000000000e+00,9.690231062290e-01
4.470000000000e+00,9.229766815547e-01
4.490000000000e+00,1.017191261247e+00
4.510000000000e+00,1.002689765912e+00
4.530000000000e+00,1.021342127634e+00
4.550000000000e+00,1.036118073736e+00
4.570000000000e+00,1.077882207117e+00
4.590000000000e+00,9.848050606735e-01
4.610000000000e+00,1.089071850048e+00
4.630000000000e+00,1.031077624796e+00
4.650000000000e+00,1.059707456695e+00
4.670000000000e+00,1.046841185437e+00
4.690000000000e+00,1.050368743603e+00
4.710000000000e+00,1.137859265129e+00
4.730000000000e+00,1.121816587237e+00
