redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,1.549021430446e+02
3.000000000000e-02,1.633967313236e+02
5.000000000000e-02,1.692558933016e+02
7.000000000000e-02,1.769526219508e+02
9.000000000000e-02,1.834304302326e+02
1.100000000000e-01,1.921717143866e+02
1.300000000000e-01,1.999278952325e+02
1.500000000000e-01,2.085792494239e+02
1.700000000000e-01,2.155257501924e+02
1.900000000000e-01,2.258187385067e+02
2.100000000000e-01,2.327967449832e+02
2.300000000000e-01,2.411219849095e+02
2.500000000000e-01,2.518766467522e+02
2.700000000000e-01,2.611931246864e+02
2.900000000000e-01,2.692909652554e+02
3.100000000000e-01,2.807728752830e+02
3.300000000000e-01,2.884593551104e+02
3.500000000000e-01,2.991130653748e+02
3.700000000000e-01,3.093161828399e+02
3.900000000000e-01,3.176509826935e+02
4.100000000000e-01,3.290217635314e+02
4.300000000000e-01,3.387797619348e+02
4.500000000000e-01,3.477457753667e+02
4.700000000000e-01,3.620415615965e+02
4.900000000000e-01,3.677629937307e+02
5.100000000000e-01,3.814152778621e+02
5.300000000000e-01,3.911691397908e+02
5.500000000000e-01,4.023076380788e+02
5.700000000000e-01,4.129155298040e+02
5.900000000000e-01,4.221834160727e+02
6.100000000000e-01,4.352808536382e+02
6.300000000000e-01,4.446528661142e+02
6.500000000000e-01,4.559593644660e+02
6.700000000000e-01,4.655952226864e+02
6.900000000000e-01,4.762920719121e+02
7.100000000000e-01,4.887628174887e+02
7.300000000000e-01,4.993856333712e+02
7.500000000000e-01,5.078079024963e+02
7.700000000000e-01,5.216073371281e+02
7.900000000000e-01,5.298019281503e+02
8.100000000000e-01,5.409707519184e+02
8.300000000000e-01,5.503011451044e+02
8.500000000000e-01,5.641285453579e+02
8.700000000000e-01,5.688829489306e+02
8.900000000000e-01,5.849412259558e+02
9.100000000000e-01,5.902103873539e+02
9.300000000000e-01,6.036254501566e+02
9.500000000000e-01,6.100868031876e+02
9.700000000000e-01,6.190478329079e+02
9.900000000000e-01,6.272960944703e+02
1.010000000000e+00,6.361596470985e+02
1.030000000000e+00,6.410757167084e+02
1.050000000000e+00,6.510980849646e+02
1.070000000000e+00,6.631362709846e+02
1.090000000000e+00,6.675791476782e+02
1.110000000000e+00,6.714683894720e+02
1.130000000000e+00,6.746618869195e+02
1.150000000000e+00,6.824360453492e+02
1.170000000000e+00,6.888826070293e+02
1.190000000000e+00,6.938973261240e+02
1.210000000000e+00,6.982542431999e+02
1.230000000000e+00,7.012853092641e+02
1.250000000000e+00,7.061316748272e+02
1.270000000000e+00,7.102466970309e+02
1.290000000000e+00,7.083166553674e+02
1.310000000000e+00,7.161484990155e+02
1.330000000000e+00,7.201760210347e+02
1.350000000000e+00,7.143483174886e+02
1.370000000000e+00,7.217764787254e+02
1.390000000000e+00,7.229125074823e+02
1.410000000000e+00,7.179328150430e+02
1.430000000000e+00,7.252224868320e+02
1.450000000000e+00,7.282558184823e+02
1.470000000000e+00,7.213203132002e+02
1.490000000000e+00,7.243074287099e+02
1.510000000000e+00,7.189627156800e+02
1.530000000000e+00,7.220606121847e+02
1.550000000000e+00,7.217568005703e+02
1.570000000000e+00,7.159762059525e+02
1.590000000000e+00,7.143858491636e+02
1.610000000000e+00,7.154979862772e+02
1.630000000000e+00,7.084504171121e+02
1.650000000000e+00,7.128560197901e+02
1.670000000000e+00,7.030154582989e+02
1.690000000000e+00,7.037974655474e+02
1.710000000000e+00,7.017773269197e+02
1.730000000000e+00,6.982587435515e+02
1.750000000000e+00,6.919196776112e+02
1.770000000000e+00,6.851634814486e+02
1.790000000000e+00,6.821093119091e+02
1.810000000000e+00,6.781950598606e+02
1.830000000000e+00,6.739198933129e+02
1.850000000000e+00,6.690282461936e+02
1.870000000000e+00,6.657341020145e+02
