redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,5.404222293782e+00
3.000000000000e-02,5.684042071671e+00
5.000000000000e-02,5.462321557367e+00
7.000000000000e-02,5.352312416227e+00
9.000000000000e-02,5.306785572859e+00
1.100000000000e-01,5.321638966051e+00
1.300000000000e-01,5.344239276904e+00
1.500000000000e-01,5.501101839685e+00
1.700000000000e-01,5.447951317977e+00
1.900000000000e-01,5.582221770547e+00
2.100000000000e-01,5.556469002714e+00
2.300000000000e-01,5.734991496139e+00
2.500000000000e-01,6.010271741791e+00
2.700000000000e-01,6.062314020021e+00
2.900000000000e-01,6.298945435994e+00
3.100000000000e-01,6.394317046392e+00
3.300000000000e-01,6.550036302793e+00
3.500000000000e-01,6.704083758572e+00
3.700000000000e-01,6.695380953591e+00
3.900000000000e-01,6.768689566883e+00
4.100000000000e-01,6.858457164712e+00
4.300000000000e-01,6.925748164763e+00
4.500000000000e-01,7.043806709975e+00
4.700000000000e-01,7.263051248932e+00
4.900000000000e-01,7.534831843718e+00
5.100000000000e-01,7.778571410001e+00
5.300000000000e-01,7.857679469521e+00
5.500000000000e-01,8.207665941802e+00
5.700000000000e-01,8.172872688286e+00
5.900000000000e-01,8.070984827538e+00
6.100000000000e-01,8.065095436585e+00
6.300000000000e-01,8.212272331193e+00
6.500000000000e-01,8.302298669865e+00
6.700000000000e-01,8.343577765382e+00
6.900000000000e-01,8.262442112016e+00
7.100000000000e-01,7.940399836092e+00
7.300000000000e-01,8.250511662414e+00
7.500000000000e-01,8.207399817963e+00
7.700000000000e-01,8.540625695140e+00
7.900000000000e-01,8.840811081218e+00
8.100000000000e-01,8.868878169748e+00
8.300000000000e-01,9.111334486737e+00
8.500000000000e-01,9.041968959644e+00
8.700000000000e-01,9.265976782113e+00
8.900000000000e-01,9.470566975772e+00
9.100000000000e-01,9.579621763592e+00
9.300000000000e-01,9.784377367714e+00
9.500000000000e-01,1.006997182898e+01
9.700000000000e-01,1.023960942656e+01
9.900000000000e-01,1.034129258167e+01
1.010000000000e+00,1.046731742595e+01
1.030000000000e+00,1.111731011082e+01
1.050000000000e+00,1.085388224352e+01
1.070000000000e+00,1.092146324638e+01
1.090000000000e+00,1.083670861157e+01
1.110000000000e+00,1.145022271746e+01
1.130000000000e+00,1.127838246312e+01
1.150000000000e+00,1.151735885454e+01
1.170000000000e+00,1.173388295795e+01
1.190000000000e+00,1.181955606550e+01
1.210000000000e+00,1.197209385815e+01
1.230000000000e+00,1.198243135786e+01
1.250000000000e+00,1.219988291786e+01
1.270000000000e+00,1.220910564115e+01
1.290000000000e+00,1.257652212133e+01
1.310000000000e+00,1.210585519295e+01
1.330000000000e+00,1.221503393574e+01
1.350000000000e+00,1.264145416669e+01
1.370000000000e+00,1.286107005420e+01
1.390000000000e+00,1.236457133503e+01
1.410000000000e+00,1.261847604943e+01
1.430000000000e+00,1.270336170903e+01
1.450000000000e+00,1.272478098236e+01
1.470000000000e+00,1.231737968216e+01
1.490000000000e+00,1.281067843975e+01
1.510000000000e+00,1.264373071336e+01
1.530000000000e+00,1.312578344637e+01
1.550000000000e+00,1.266179925651e+01
1.570000000000e+00,1.295806142272e+01
1.590000000000e+00,1.285081306995e+01
1.610000000000e+00,1.289246329178e+01
1.630000000000e+00,1.336294830136e+01
1.650000000000e+00,1.327908994442e+01
1.670000000000e+00,1.338432233620e+01
1.690000000000e+00,1.325240864358e+01
1.710000000000e+00,1.358984420150e+01
1.730000000000e+00,1.325632635954e+01
1.750000000000e+00,1.355408422700e+01
1.770000000000e+00,1.354171581039e+01
1.790000000000e+00,1.372674329854e+01
1.810000000000e+00,1.386424958226e+01
1.830000000000e+00,1.351913539213e+01
1.850000000000e+00,1.375208951781e+01
1.870000000000e+00,1.348566147589e+01
1.890000000000e+00,1.316888783321e+01
1.910000000000e+00,1.347102737011e+01
1.930000000000e+00,1.376128987181e+01
1.950000000000e+00,1.354329007130e+01
1.970000000000e+00,1.332035496501e+01
1.990000000000e+00,1.358887805921e+01
2.010000000000e+00,1.334207624469e+01
2.030000000000e+00,1.372572345691e+01
2.050000000000e+00,1.304451756807e+01
2.070000000000e+00,1.342343515371e+01
2.090000000000e+00,1.333013279341e+01
2.110000000000e+00,1.324777062378e+01
2.130000000000e+00,1.305371000535e+01
2.150000000000e+00,1.335569591978e+01
2.170000000000e+00,1.298688673544e+01
2.190000000000e+00,1.280654643649e+01
2.210000000000e+00,1.276556659950e+01
2.230000000000e+00,1.275143124109e+01
2.250000000000e+00,1.282354610082e+01
2.270000000000e+00,1.278073603942e+01
2.290000000000e+00,1.270046324056e+01
2.310000000000e+00,1.251194208006e+01
