redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,1.141440593433e+01
3.000000000000e-02,1.185592847592e+01
5.000000000000e-02,1.139111349638e+01
7.000000000000e-02,1.122369810771e+01
9.000000000000e-02,1.110363203321e+01
1.100000000000e-01,1.113542059809e+01
1.300000000000e-01,1.109271606702e+01
1.500000000000e-01,1.137715147274e+01
1.700000000000e-01,1.117034987650e+01
1.900000000000e-01,1.125749185781e+01
2.100000000000e-01,1.126674328829e+01
2.300000000000e-01,1.160012134261e+01
2.500000000000e-01,1.196157422931e+01
2.700000000000e-01,1.208589803668e+01
2.900000000000e-01,1.257956128531e+01
3.100000000000e-01,1.279572428180e+01
3.300000000000e-01,1.328599289738e+01
3.500000000000e-01,1.352259879991e+01
3.700000000000e-01,1.361610339301e+01
3.900000000000e-01,1.386011345027e+01
4.100000000000e-01,1.391994070427e+01
4.300000000000e-01,1.404168701502e+01
4.500000000000e-01,1.433271003108e+01
4.700000000000e-01,1.460626337482e+01
4.900000000000e-01,1.512347304606e+01
5.100000000000e-01,1.568882978260e+01
5.300000000000e-01,1.572215325841e+01
5.500000000000e-01,1.634804239240e+01
5.700000000000e-01,1.623332231948e+01
5.900000000000e-01,1.599373035679e+01
6.100000000000e-01,1.603444515470e+01
6.300000000000e-01,1.644953235927e+01
6.500000000000e-01,1.639277059876e+01
6.700000000000e-01,1.672448194434e+01
6.900000000000e-01,1.645384372568e+01
7.100000000000e-01,1.588634266382e+01
7.300000000000e-01,1.654665861937e+01
7.500000000000e-01,1.646155240632e+01
7.700000000000e-01,1.711730813609e+01
7.900000000000e-01,1.765642095592e+01
8.100000000000e-01,1.771959351550e+01
8.300000000000e-01,1.834301137867e+01
8.500000000000e-01,1.813438460900e+01
8.700000000000e-01,1.858683140431e+01
8.900000000000e-01,1.884463932864e+01
9.100000000000e-01,1.918327586928e+01
9.300000000000e-01,1.947031857691e+01
9.500000000000e-01,1.992203999381e+01
9.700000000000e-01,2.032669397790e+01
9.900000000000e-01,2.051390739936e+01
1.010000000000e+00,2.064002332753e+01
1.030000000000e+00,2.194781425025e+01
1.050000000000e+00,2.157284399719e+01
1.070000000000e+00,2.149100599548e+01
1.090000000000e+00,2.136775866011e+01
1.110000000000e+00,2.249917983249e+01
1.130000000000e+00,2.228650825920e+01
1.150000000000e+00,2.298818747728e+01
1.170000000000e+00,2.307109107471e+01
1.190000000000e+00,2.354639789226e+01
1.210000000000e+00,2.358436981380e+01
1.230000000000e+00,2.363110629869e+01
1.250000000000e+00,2.396832045212e+01
1.270000000000e+00,2.437911083265e+01
1.290000000000e+00,2.488894011274e+01
1.310000000000e+00,2.378710408176e+01
1.330000000000e+00,2.437580017701e+01
1.350000000000e+00,2.500780053837e+01
1.370000000000e+00,2.539565143705e+01
1.390000000000e+00,2.459788161250e+01
1.410000000000e+00,2.519353799276e+01
1.430000000000e+00,2.519294342963e+01
1.450000000000e+00,2.511007586024e+01
1.470000000000e+00,2.477058908302e+01
1.490000000000e+00,2.544920432935e+01
1.510000000000e+00,2.530321023938e+01
1.530000000000e+00,2.632973709857e+01
1.550000000000e+00,2.515464137177e+01
1.570000000000e+00,2.563987080330e+01
1.590000000000e+00,2.565915520995e+01
1.610000000000e+00,2.572657424380e+01
1.630000000000e+00,2.662253515318e+01
1.650000000000e+00,2.620076633795e+01
1.670000000000e+00,2.649441336972e+01
1.690000000000e+00,2.639727094572e+01
1.710000000000e+00,2.683508005990e+01
1.730000000000e+00,2.612383758393e+01
1.750000000000e+00,2.680454972561e+01
1.770000000000e+00,2.671224874618e+01
1.790000000000e+00,2.699669001853e+01
1.810000000000e+00,2.736798600343e+01
1.830000000000e+00,2.653304393876e+01
1.850000000000e+00,2.704814113643e+01
1.870000000000e+00,2.639430313600e+01
1.890000000000e+00,2.594153709523e+01
1.910000000000e+00,2.649932947375e+01
1.930000000000e+00,2.709818673787e+01
1.950000000000e+00,2.663259664595e+01
1.970000000000e+00,2.626263167975e+01
1.990000000000e+00,2.659821068993e+01
2.010000000000e+00,2.610943573876e+01
2.030000000000e+00,2.675353935521e+01
2.050000000000e+00,2.548058320699e+01
2.070000000000e+00,2.635009370232e+01
2.090000000000e+00,2.609997195991e+01
2.110000000000e+00,2.601912442511e+01
2.130000000000e+00,2.540421379046e+01
2.150000000000e+00,2.628806768725e+01
2.170000000000e+00,2.537588835368e+01
2.190000000000e+00,2.486523778677e+01
2.210000000000e+00,2.494171163404e+01
2.230000000000e+00,2.470949526183e+01
2.250000000000e+00,2.482360469255e+01
2.270000000000e+00,2.464576284205e+01
2.290000000000e+00,2.472581938731e+01
2.310000000000e+00,2.425716480673e+01
2.330000000000e+00,2.482323387625e+01
2.350000000000e+00,2.438747377266e+01
2.370000000000e+00,2.431529248083e+01
2.390000000000e+00,2.430857410187e+01
2.410000000000e+00,2.449109031960e+01
2.430000000000e+00,2.377293415959e+01
2.450000000000e+00,2.465293071372e+01
2.470000000000e+00,2.435011138900e+01
2.490000000000e+00,2.416573666285e+01
2.510000000000e+00,2.425992874148e+01
2.530000000000e+00,2.420420999855e+01
2.550000000000e+00,2.386296066565e+01
2.570000000000e+00,2.473909796644e+01
2.590000000000e+00,2.388398040810e+01
2.610000000000e+00,2.374013046217e+01
2.630000000000e+00,2.395467211098e+01
2.650000000000e+00,2.380526190267e+01
2.670000000000e+00,2.342627872113e+01
2.690000000000e+00,2.420674480379e+01
2.710000000000e+00,2.340954103342e+01
2.730000000000e+00,2.316063084612e+01
2.750000000000e+00,2.323200307289e+01
2.770000000000e+00,2.334855178519e+01
2.790000000000e+00,2.292168694190e+01
2.810000000000e+00,2.269752402998e+01
2.830000000000e+00,2.338593688059e+01
2.850000000000e+00,2.265306096072e+01
2.870000000000e+00,2.275984888301e+01
2.890000000000e+00,2.307655539912e+01
2.910000000000e+00,2.252689827166e+01
2.930000000000e+00,2.232243449961e+01
2.950000000000e+00,2.228612692961e+01
