redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,6.343542023343e+00
3.000000000000e-02,6.599868805386e+00
5.000000000000e-02,7.028125564564e+00
7.000000000000e-02,7.426317237979e+00
9.000000000000e-02,7.697611015596e+00
1.100000000000e-01,8.214457269099e+00
1.300000000000e-01,8.637490312405e+00
1.500000000000e-01,9.085964246035e+00
1.700000000000e-01,9.619488139106e+00
1.900000000000e-01,1.004023743577e+01
2.100000000000e-01,1.057500789089e+01
2.300000000000e-01,1.100765907829e+01
2.500000000000e-01,1.139742913781e+01
2.700000000000e-01,1.194963204484e+01
2.900000000000e-01,1.240328904450e+01
3.100000000000e-01,1.291426731742e+01
3.300000000000e-01,1.334951297078e+01
3.500000000000e-01,1.376126291075e+01
3.700000000000e-01,1.433767067566e+01
3.900000000000e-01,1.493680366231e+01
4.100000000000e-01,1.543189833266e+01
4.300000000000e-01,1.617304540347e+01
4.500000000000e-01,1.659642331353e+01
4.700000000000e-01,1.722176665742e+01
4.900000000000e-01,1.791853358410e+01
5.100000000000e-01,1.817897280463e+01
5.300000000000e-01,1.879761493991e+01
5.500000000000e-01,1.936775782826e+01
5.700000000000e-01,1.973211692200e+01
5.900000000000e-01,2.043897484944e+01
6.100000000000e-01,2.084668840253e+01
6.300000000000e-01,2.141301054703e+01
6.500000000000e-01,2.201060983249e+01
6.700000000000e-01,2.270249652114e+01
6.900000000000e-01,2.308580401954e+01
7.100000000000e-01,2.406343460857e+01
7.300000000000e-01,2.437950178895e+01
7.500000000000e-01,2.500530434526e+01
7.700000000000e-01,2.560638910995e+01
7.900000000000e-01,2.608409147353e+01
8.100000000000e-01,2.687629631315e+01
8.300000000000e-01,2.733748123757e+01
8.500000000000e-01,2.789366441692e+01
8.700000000000e-01,2.859845750157e+01
8.900000000000e-01,2.929226314892e+01
9.100000000000e-01,2.970792144321e+01
9.300000000000e-01,3.055005871452e+01
9.500000000000e-01,3.122001003244e+01
9.700000000000e-01,3.187492244836e+01
9.900000000000e-01,3.258982579263e+01
1.010000000000e+00,3.319927453400e+01
1.030000000000e+00,3.383308799461e+01
1.050000000000e+00,3.460799172433e+01
1.070000000000e+00,3.541338261625e+01
1.090000000000e+00,3.593312003715e+01
1.110000000000e+00,3.659569739817e+01
1.130000000000e+00,3.735993283936e+01
1.150000000000e+00,3.805439494937e+01
1.170000000000e+00,3.875618004688e+01
1.190000000000e+00,3.922616127754e+01
1.210000000000e+00,4.010904554722e+01
1.230000000000e+00,4.118694299776e+01
1.250000000000e+00,4.160019236374e+01
1.270000000000e+00,4.243338873713e+01
1.290000000000e+00,4.299541638256e+01
1.310000000000e+00,4.343100655331e+01
1.330000000000e+00,4.409099557975e+01
1.350000000000e+00,4.455326243142e+01
1.370000000000e+00,4.514807550799e+01
1.390000000000e+00,4.597041379566e+01
1.410000000000e+00,4.683814402736e+01
1.430000000000e+00,4.714022301654e+01
1.450000000000e+00,4.765905908852e+01
1.470000000000e+00,4.782767453349e+01
1.490000000000e+00,4.871131083039e+01
1.510000000000e+00,4.919576574117e+01
1.530000000000e+00,4.988726878148e+01
1.550000000000e+00,4.961671502274e+01
1.570000000000e+00,5.048273500630e+01
1.590000000000e+00,5.105056709353e+01
1.610000000000e+00,5.143361001138e+01
1.630000000000e+00,5.195102305114e+01
1.650000000000e+00,5.200667769097e+01
1.670000000000e+00,5.236163821027e+01
1.690000000000e+00,5.234293171883e+01
1.710000000000e+00,5.316453314951e+01
1.730000000000e+00,5.310481756038e+01
1.750000000000e+00,5.364366235201e+01
1.770000000000e+00,5.423311948473e+01
1.790000000000e+00,5.439467497937e+01
1.810000000000e+00,5.490783581944e+01
1.830000000000e+00,5.509194563980e+01
1.850000000000e+00,5.515402064253e+01
1.870000000000e+00,5.521762337615e+01
1.890000000000e+00,5.615062467297e+01
1.910000000000e+00,5.525284499997e+01
1.930000000000e+00,5.517919851900e+01
1.950000000000e+00,5.537437949626e+01
1.970000000000e+00,5.478622869789e+01
1.990000000000e+00,5.536929877784e+01
2.010000000000e+00,5.549258402655e+01
2.030000000000e+00,5.531276545689e+01
2.050000000000e+00,5.512863772916e+01
2.070000000000e+00,5.429547157567e+01
2.090000000000e+00,5.428929577302e+01
2.110000000000e+00,5.355435205387e+01
2.130000000000e+00,5.312369972533e+01
2.150000000000e+00,5.349296514398e+01
2.170000000000e+00,5.263423081254e+01
2.190000000000e+00,5.241423703450e+01
2.210000000000e+00,5.152534221093e+01
2.230000000000e+00,5.146592480630e+01
2.250000000000e+00,5.101993244316e+01
2.270000000000e+00,5.127427745833e+01
2.290000000000e+00,5.108715667793e+01
2.310000000000e+00,5.049835865180e+01
2.330000000000e+00,4.971650771606e+01
2.350000000000e+00,5.029255009035e+01
2.370000000000e+00,4.880850413242e+01
2.390000000000e+00,4.816447810387e+01
2.410000000000e+00,4.805036925024e+01
2.430000000000e+00,4.739771676605e+01
2.450000000000e+00,4.746037585566e+01
2.470000000000e+00,4.673055535591e+01
2.490000000000e+00,4.603321193853e+01
2.510000000000e+00,4.674855333381e+01
2.530000000000e+00,4.635866218822e+01
2.550000000000e+00,4.534159876474e+01
2.570000000000e+00,4.472105864455e+01
2.590000000000e+00,4.362279316974e+01
2.610000000000e+00,4.330485250216e+01
2.630000000000e+00,4.279123375155e+01
2.650000000000e+00,4.179734587498e+01
2.670000000000e+00,4.146954285222e+01
2.690000000000e+00,4.178325081800e+01
2.710000000000e+00,4.013807184353e+01
2.730000000000e+00,3.983869445811e+01
2.750000000000e+00,3.955900952175e+01
2.770000000000e+00,3.873402935016e+01
2.790000000000e+00,3.836710635281e+01
2.810000000000e+00,3.770270593982e+01
2.830000000000e+00,3.784146116157e+01
2.850000000000e+00,3.673974137157e+01
2.870000000000e+00,3.613736606464e+01
2.890000000000e+00,3.626320188204e+01
2.910000000000e+00,3.543606107343e+01
2.930000000000e+00,3.513217510521e+01
2.950000000000e+00,3.499267656440e+01
2.970000000000e+00,3.435034917028e+01
2.990000000000e+00,3.376217390614e+01
3.010000000000e+00,3.313338798401e+01
3.030000000000e+00,3.292690700641e+01
3.050000000000e+00,3.237250051128e+01
3.070000000000e+00,3.203968278928e+01
3.090000000000e+00,3.156658592219e+01
3.110000000000e+00,3.137742451699e+01
3.130000000000e+00,3.089663409286e+01
3.150000000000e+00,3.040592177848e+01
3.170000000000e+00,2.982589422669e+01
3.190000000000e+00,2.973732577322e+01
3.210000000000e+00,2.913471943844e+01
3.230000000000e+00,2.894989107831e+01
3.250000000000e+00,2.829688647905e+01
3.270000000000e+00,2.845750340485e+01
3.290000000000e+00,2.764127266194e+01
3.310000000000e+00,2.733553786135e+01
3.330000000000e+00,2.744689203051e+01
3.350000000000e+00,2.660926426303e+01
3.370000000000e+00,2.683731323457e+01
3.390000000000e+00,2.626213638375e+01
3.410000000000e+00,2.625022004978e+01
3.430000000000e+00,2.582732416337e+01
3.450000000000e+00,2.534983577283e+01
3.470000000000e+00,2.516745319412e+01
