redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,9.488328182642e-01
3.000000000000e-02,1.039181951630e+00
5.000000000000e-02,1.168179835446e+00
7.000000000000e-02,1.172079446995e+00
9.000000000000e-02,1.049952393525e+00
1.100000000000e-01,9.698976966216e-01
1.300000000000e-01,1.020359725741e+00
1.500000000000e-01,1.083472181419e+00
1.700000000000e-01,1.166188601137e+00
1.900000000000e-01,1.247012471438e+00
2.100000000000e-01,1.218330880133e+00
2.300000000000e-01,1.412039528905e+00
2.500000000000e-01,1.490555518281e+00
2.700000000000e-01,1.583445021915e+00
2.900000000000e-01,1.574754258476e+00
3.100000000000e-01,1.503973739814e+00
3.300000000000e-01,1.380821421651e+00
3.500000000000e-01,1.304483147060e+00
3.700000000000e-01,1.371078378446e+00
3.900000000000e-01,1.418528871796e+00
4.100000000000e-01,1.435504533296e+00
4.300000000000e-01,1.402663273086e+00
4.500000000000e-01,1.524955016835e+00
4.700000000000e-01,1.408769616188e+00
4.900000000000e-01,1.643167146357e+00
5.100000000000e-01,1.682658303153e+00
5.300000000000e-01,1.701323476627e+00
5.500000000000e-01,1.771280600736e+00
5.700000000000e-01,1.881081020033e+00
5.900000000000e-01,1.841467169563e+00
6.100000000000e-01,2.061048980053e+00
6.300000000000e-01,2.012751913017e+00
6.500000000000e-01,2.136528059180e+00
6.700000000000e-01,2.091243176358e+00
6.900000000000e-01,2.102022367870e+00
7.100000000000e-01,2.210883980048e+00
7.300000000000e-01,2.199963990863e+00
7.500000000000e-01,2.106766380410e+00
7.700000000000e-01,1.953304499249e+00
7.900000000000e-01,2.002106577084e+00
8.100000000000e-01,2.289141678366e+00
8.300000000000e-01,1.988045138862e+00
8.500000000000e-01,2.451646115937e+00
8.700000000000e-01,2.260355445071e+00
8.900000000000e-01,2.791074687277e+00
9.100000000000e-01,2.424614350132e+00
9.300000000000e-01,2.637509227906e+00
9.500000000000e-01,2.572604556131e+00
9.700000000000e-01,2.765976414658e+00
9.900000000000e-01,2.637515588257e+00
1.010000000000e+00,3.092529531670e+00
1.030000000000e+00,2.865732339662e+00
1.050000000000e+00,3.042833908465e+00
1.070000000000e+00,3.267813446766e+00
1.090000000000e+00,2.923079744187e+00
1.110000000000e+00,3.170996626650e+00
1.130000000000e+00,3.250197080669e+00
1.150000000000e+00,3.155932928779e+00
1.170000000000e+00,3.251859755628e+00
1.190000000000e+00,3.496504505407e+00
1.210000000000e+00,3.352929840451e+00
1.230000000000e+00,3.435638151342e+00
1.250000000000e+00,3.839566026424e+00
1.270000000000e+00,3.485142466367e+00
1.290000000000e+00,3.714377163473e+00
1.310000000000e+00,3.609487943627e+00
1.330000000000e+00,3.693654613255e+00
1.350000000000e+00,3.452359231795e+00
1.370000000000e+00,3.633249018975e+00
1.390000000000e+00,3.742801396944e+00
1.410000000000e+00,3.581000118956e+00
1.430000000000e+00,3.841036796991e+00
1.450000000000e+00,3.645764093372e+00
1.470000000000e+00,3.599834465069e+00
1.490000000000e+00,3.480254299106e+00
1.510000000000e+00,3.618607818270e+00
1.530000000000e+00,3.655434629030e+00
1.550000000000e+00,3.626610277581e+00
1.570000000000e+00,3.641491026437e+00
1.590000000000e+00,3.783624249877e+00
1.610000000000e+00,3.625194189553e+00
1.630000000000e+00,3.680845951606e+00
1.650000000000e+00,3.729422718134e+00
1.670000000000e+00,3.611000511550e+00
1.690000000000e+00,3.606611451537e+00
1.710000000000e+00,3.660739870302e+00
1.730000000000e+00,3.707146230800e+00
1.750000000000e+00,3.675969619595e+00
1.770000000000e+00,3.795665233248e+00
1.790000000000e+00,3.821816902590e+00
1.810000000000e+00,3.542688559869e+00
1.830000000000e+00,3.747597034638e+00
1.850000000000e+00,3.846794019678e+00
1.870000000000e+00,3.750032001193e+00
1.890000000000e+00,3.743738003988e+00
1.910000000000e+00,3.743011953087e+00
1.930000000000e+00,4.026975119749e+00
1.950000000000e+00,3.762041066224e+00
1.970000000000e+00,4.125553007655e+00
1.990000000000e+00,3.903248522743e+00
2.010000000000e+00,3.998439528799e+00
2.030000000000e+00,3.868043285883e+00
2.050000000000e+00,4.066179587302e+00
2.070000000000e+00,4.027394471779e+00
2.090000000000e+00,4.138447631855e+00
2.110000000000e+00,3.890197491727e+00
2.130000000000e+00,4.071290015484e+00
2.150000000000e+00,3.875178924244e+00
2.170000000000e+00,3.795813302536e+00
2.190000000000e+00,4.075620925093e+00
2.210000000000e+00,3.991392564592e+00
2.230000000000e+00,3.879944797760e+00
2.250000000000e+00,3.880899311286e+00
2.270000000000e+00,4.022903324203e+00
2.290000000000e+00,4.147687680173e+00
2.310000000000e+00,4.033789038827e+00
2.330000000000e+00,4.241333615806e+00
2.350000000000e+00,3.982783229991e+00
2.370000000000e+00,4.457147412444e+00
2.390000000000e+00,4.334582691995e+00
2.410000000000e+00,4.202004820508e+00
2.430000000000e+00,4.439074054395e+00
2.450000000000e+00,4.292476001192e+00
2.470000000000e+00,4.598665354760e+00
2.490000000000e+00,4.436977247733e+00
2.510000000000e+00,4.545531518823e+00
2.530000000000e+00,4.536355598509e+00
2.550000000000e+00,4.631089999294e+00
2.570000000000e+00,4.905396535586e+00
2.590000000000e+00,4.670247115700e+00
2.610000000000e+00,4.890564634643e+00
2.630000000000e+00,4.990741437595e+00
2.650000000000e+00,4.911320869114e+00
2.670000000000e+00,4.966614971918e+00
2.690000000000e+00,5.018697119434e+00
2.710000000000e+00,5.041297586053e+00
2.730000000000e+00,5.090176605396e+00
2.750000000000e+00,5.002132385847e+00
2.770000000000e+00,5.188995688826e+00
2.790000000000e+00,5.041675281118e+00
2.810000000000e+00,5.244033183456e+00
2.830000000000e+00,5.202099298149e+00
2.850000000000e+00,5.138404948489e+00
2.870000000000e+00,5.562974850947e+00
2.890000000000e+00,5.253963426686e+00
2.910000000000e+00,5.340563479780e+00
2.930000000000e+00,5.265905690088e+00
2.950000000000e+00,5.579483974380e+00
2.970000000000e+00,5.389498719226e+00
2.990000000000e+00,5.686784910937e+00
3.010000000000e+00,5.382864984789e+00
3.030000000000e+00,5.755341044520e+00
3.050000000000e+00,5.711240653115e+00
3.070000000000e+00,5.912282060623e+00
3.090000000000e+00,5.532520344745e+00
3.110000000000e+00,5.743514408163e+00
3.130000000000e+00,5.709238786964e+00
3.150000000000e+00,5.779193889372e+00
3.170000000000e+00,5.820710328994e+00
3.190000000000e+00,5.893951344154e+00
3.210000000000e+00,6.036087640628e+00
3.230000000000e+00,5.886267026485e+00
3.250000000000e+00,5.972747066676e+00
3.270000000000e+00,5.945177884545e+00
3.290000000000e+00,5.937998936398e+00
3.310000000000e+00,6.004829644884e+00
3.330000000000e+00,5.970792565881e+00
3.350000000000e+00,6.259532187583e+00
3.370000000000e+00,6.215658696130e+00
3.390000000000e+00,6.431201540267e+00
3.410000000000e+00,6.200831479887e+00
3.430000000000e+00,6.140206947858e+00
3.450000000000e+00,6.333536458317e+00
3.470000000000e+00,6.170630712632e+00
3.490000000000e+00,6.340716528636e+00
3.510000000000e+00,6.311881987536e+00
3.530000000000e+00,6.697460990447e+00
3.550000000000e+00,6.339263304050e+00
3.570000000000e+00,6.536805349390e+00
3.590000000000e+00,6.617529019559e+00
3.610000000000e+00,6.664767501936e+00
3.630000000000e+00,6.802545173789e+00
3.650000000000e+00,6.609438789153e+00
3.670000000000e+00,6.695303419117e+00
3.690000000000e+00,6.676157456035e+00
