redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,7.438933487378e-01
3.000000000000e-02,8.053026194184e-01
5.000000000000e-02,8.887374599629e-01
7.000000000000e-02,8.413812333198e-01
9.000000000000e-02,8.293700931848e-01
1.100000000000e-01,8.370818670313e-01
1.300000000000e-01,7.191920020507e-01
1.500000000000e-01,8.303566839541e-01
1.700000000000e-01,9.135705208849e-01
1.900000000000e-01,9.026288868061e-01
2.100000000000e-01,9.553194001898e-01
2.300000000000e-01,9.334970647990e-01
2.500000000000e-01,9.310839055216e-01
2.700000000000e-01,1.051453283307e+00
2.900000000000e-01,1.068467787901e+00
3.100000000000e-01,1.106543164303e+00
3.300000000000e-01,1.012512109869e+00
3.500000000000e-01,9.615857539801e-01
3.700000000000e-01,1.111802898648e+00
3.900000000000e-01,1.068159732036e+00
4.100000000000e-01,1.116948900352e+00
4.300000000000e-01,1.113994616461e+00
4.500000000000e-01,1.032555807951e+00
4.700000000000e-01,1.092635812635e+00
4.900000000000e-01,1.133745949766e+00
5.100000000000e-01,1.075612466425e+00
5.300000000000e-01,1.232006042193e+00
5.500000000000e-01,1.225452581955e+00
5.700000000000e-01,1.227456537838e+00
5.900000000000e-01,1.311535254430e+00
6.100000000000e-01,1.235766030183e+00
6.300000000000e-01,1.238823201285e+00
6.500000000000e-01,1.246940080838e+00
6.700000000000e-01,1.327592259787e+00
6.900000000000e-01,1.284641471085e+00
7.100000000000e-01,1.295538196768e+00
7.300000000000e-01,1.295664536945e+00
7.500000000000e-01,1.552571801558e+00
7.700000000000e-01,1.326246820264e+00
7.900000000000e-01,1.453819440213e+00
8.100000000000e-01,1.498159323463e+00
8.300000000000e-01,1.527870938962e+00
8.500000000000e-01,1.757930049891e+00
8.700000000000e-01,1.836238195724e+00
8.900000000000e-01,1.748059175859e+00
9.100000000000e-01,1.834380193464e+00
9.300000000000e-01,1.843139450543e+00
9.500000000000e-01,1.792955660959e+00
9.700000000000e-01,1.926690371064e+00
9.900000000000e-01,1.876939741473e+00
1.010000000000e+00,1.940998834983e+00
1.030000000000e+00,1.884408919244e+00
1.050000000000e+00,2.022688071987e+00
1.070000000000e+00,2.055087465900e+00
1.090000000000e+00,1.988273081500e+00
1.110000000000e+00,2.101705503848e+00
1.130000000000e+00,2.083810769371e+00
1.150000000000e+00,1.989413046444e+00
1.170000000000e+00,1.889020804747e+00
1.190000000000e+00,2.046569912551e+00
1.210000000000e+00,2.098227122641e+00
1.230000000000e+00,2.058688157553e+00
1.250000000000e+00,2.072633065744e+00
1.270000000000e+00,2.337621457915e+00
1.290000000000e+00,2.225637653043e+00
1.310000000000e+00,2.345211456331e+00
1.330000000000e+00,2.274725374659e+00
1.350000000000e+00,2.229403694707e+00
1.370000000000e+00,2.403639152163e+00
1.390000000000e+00,2.381817915250e+00
1.410000000000e+00,2.507211325132e+00
1.430000000000e+00,2.564646242244e+00
1.450000000000e+00,2.535351858612e+00
1.470000000000e+00,2.434639091326e+00
1.490000000000e+00,2.520161894240e+00
1.510000000000e+00,2.448860990485e+00
1.530000000000e+00,2.492890962212e+00
1.550000000000e+00,2.330981948146e+00
1.570000000000e+00,2.620779330630e+00
1.590000000000e+00,2.414994606108e+00
1.610000000000e+00,2.558208885811e+00
1.630000000000e+00,2.665643078947e+00
1.650000000000e+00,2.666741970336e+00
1.670000000000e+00,2.671301004596e+00
1.690000000000e+00,2.745476552216e+00
1.710000000000e+00,2.785108016418e+00
1.730000000000e+00,2.872508247266e+00
