redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,2.845717692323e-03
3.000000000000e-02,2.093364936011e-03
5.000000000000e-02,3.390444479889e-03
7.000000000000e-02,2.474368365985e-03
9.000000000000e-02,4.046749460585e-03
1.100000000000e-01,4.491087103629e-03
1.300000000000e-01,3.236734761187e-03
1.500000000000e-01,7.340363156097e-03
1.700000000000e-01,5.956464696285e-03
1.900000000000e-01,5.277181098996e-03
2.100000000000e-01,7.192075676421e-03
2.300000000000e-01,8.137015377739e-03
2.500000000000e-01,9.885406783696e-03
2.700000000000e-01,1.572013630696e-02
2.900000000000e-01,2.843701533042e-02
3.100000000000e-01,5.107764530981e-02
3.300000000000e-01,2.771009277783e-02
3.500000000000e-01,1.454599615935e-02
3.700000000000e-01,2.161001825024e-02
3.900000000000e-01,3.950461127856e-02
4.100000000000e-01,3.082174277695e-02
4.300000000000e-01,2.118634004904e-02
4.500000000000e-01,3.282333703468e-02
4.700000000000e-01,2.631081219022e-02
4.900000000000e-01,3.164960202136e-02
5.100000000000e-01,3.196168551825e-02
5.300000000000e-01,5.286782672806e-02
5.500000000000e-01,3.875241019277e-02
5.700000000000e-01,6.183526884186e-02
5.900000000000e-01,5.234570219254e-02
6.100000000000e-01,7.412820267937e-02
6.300000000000e-01,5.719809255039e-02
6.500000000000e-01,9.314584518807e-02
6.700000000000e-01,9.711634555414e-02
6.900000000000e-01,1.067917510339e-01
7.100000000000e-01,9.761629678407e-02
7.300000000000e-01,1.395559861884e-01
7.500000000000e-01,1.694465193548e-01
7.700000000000e-01,1.431956325618e-01
7.900000000000e-01,1.415321733949e-01
8.100000000000e-01,1.475320669510e-01
8.300000000000e-01,1.976859784606e-01
8.500000000000e-01,1.582519042684e-01
8.700000000000e-01,2.215448018192e-01
8.900000000000e-01,1.648605483404e-01
9.100000000000e-01,2.117214809101e-01
9.300000000000e-01,2.096396254167e-01
9.500000000000e-01,2.067354924251e-01
9.700000000000e-01,2.580579273976e-01
9.900000000000e-01,1.896540134422e-01
1.010000000000e+00,2.134728396818e-01
1.030000000000e+00,1.966747425972e-01
1.050000000000e+00,1.781885608866e-01
1.070000000000e+00,1.885059979888e-01
1.090000000000e+00,1.471903188182e-01
1.110000000000e+00,1.486312021382e-01
1.130000000000e+00,1.500481088562e-01
1.150000000000e+00,1.180152197149e-01
1.170000000000e+00,1.106472852774e-01
1.190000000000e+00,1.640150108042e-01
1.210000000000e+00,9.864859300627e-02
1.230000000000e+00,1.005586801164e-01
1.250000000000e+00,9.706162908762e-02
1.270000000000e+00,1.478763001653e-01
1.290000000000e+00,1.105370907031e-01
1.310000000000e+00,1.140289882848e-01
1.330000000000e+00,1.860810786470e-01
1.350000000000e+00,1.405342125821e-01
1.370000000000e+00,1.375801059071e-01
1.390000000000e+00,2.151003825170e-01
1.410000000000e+00,1.658319230477e-01
1.430000000000e+00,1.724133301898e-01
1.450000000000e+00,2.695782844131e-01
1.470000000000e+00,2.102049336839e-01
1.490000000000e+00,2.128562791232e-01
1.510000000000e+00,3.224950809624e-01
1.530000000000e+00,2.527079695291e-01
1.550000000000e+00,2.421087619313e-01
1.570000000000e+00,3.605399912839e-01
1.590000000000e+00,2.803130728618e-01
1.610000000000e+00,2.723091058470e-01
1.630000000000e+00,3.757155722030e-01
1.650000000000e+00,2.914172143841e-01
1.670000000000e+00,4.108460216796e-01
1.690000000000e+00,2.965626908546e-01
1.710000000000e+00,3.004402999588e-01
1.730000000000e+00,4.239868169113e-01
1.750000000000e+00,3.281802527905e-01
1.770000000000e+00,4.412736343632e-01
1.790000000000e+00,3.151762281986e-01
1.810000000000e+00,4.622266304985e-01
1.830000000000e+00,3.787727815602e-01
1.850000000000e+00,4.659588818089e-01
1.870000000000e+00,3.665168739674e-01
1.890000000000e+00,3.750454935623e-01
1.910000000000e+00,5.452262264319e-01
1.930000000000e+00,3.937492473502e-01
1.950000000000e+00,5.472497292963e-01
1.970000000000e+00,4.236536760560e-01
1.990000000000e+00,5.997117546637e-01
2.010000000000e+00,4.324678952472e-01
2.030000000000e+00,5.559855608747e-01
2.050000000000e+00,4.340103284271e-01
2.070000000000e+00,5.930453362744e-01
2.090000000000e+00,5.467259079543e-01
2.110000000000e+00,4.026405047795e-01
2.130000000000e+00,5.551435752353e-01
2.150000000000e+00,3.836769633257e-01
2.170000000000e+00,4.689063031601e-01
2.190000000000e+00,3.568224584436e-01
2.210000000000e+00,5.056559200706e-01
2.230000000000e+00,4.440495019150e-01
2.250000000000e+00,3.467901775107e-01
2.270000000000e+00,5.039065129175e-01
2.290000000000e+00,3.599639568753e-01
2.310000000000e+00,4.409149545725e-01
2.330000000000e+00,5.181962176398e-01
2.350000000000e+00,3.713250234774e-01
2.370000000000e+00,4.479025841985e-01
2.390000000000e+00,5.106192518198e-01
2.410000000000e+00,3.775459922058e-01
2.430000000000e+00,4.412559447696e-01
2.450000000000e+00,5.000262241712e-01
2.470000000000e+00,3.719550007697e-01
2.490000000000e+00,6.021690429317e-01
2.510000000000e+00,4.898422719826e-01
2.530000000000e+00,3.866453376385e-01
2.550000000000e+00,3.575330536022e-01
2.570000000000e+00,4.809689956305e-01
2.590000000000e+00,3.931284823596e-01
2.610000000000e+00,4.755861358099e-01
2.630000000000e+00,3.720781616408e-01
2.650000000000e+00,3.829249037028e-01
2.670000000000e+00,4.605918133168e-01
2.690000000000e+00,3.676298030813e-01
2.710000000000e+00,4.272277830969e-01
2.730000000000e+00,3.571389784836e-01
2.750000000000e+00,3.511677416450e-01
2.770000000000e+00,4.650588912596e-01
2.790000000000e+00,3.379817505270e-01
2.810000000000e+00,4.148308913333e-01
2.830000000000e+00,3.377608312379e-01
2.850000000000e+00,3.197197681027e-01
2.870000000000e+00,3.959791186320e-01
2.890000000000e+00,3.308034395696e-01
2.910000000000e+00,3.827298818022e-01
2.930000000000e+00,2.864547503415e-01
2.950000000000e+00,3.554454773127e-01
2.970000000000e+00,2.706290955086e-01
2.990000000000e+00,3.295347482921e-01
3.010000000000e+00,2.836649965869e-01
3.030000000000e+00,3.122881812549e-01
3.050000000000e+00,2.383224165383e-01
3.070000000000e+00,2.942138403753e-01
3.090000000000e+00,2.291653271563e-01
3.110000000000e+00,2.815291767666e-01
3.130000000000e+00,2.595047313705e-01
3.150000000000e+00,2.686550928686e-01
3.170000000000e+00,2.120537728546e-01
3.190000000000e+00,2.550046629017e-01
3.210000000000e+00,2.036649302950e-01
3.230000000000e+00,2.875909550497e-01
3.250000000000e+00,2.032833182111e-01
3.270000000000e+00,2.315538950977e-01
3.290000000000e+00,2.752568961946e-01
3.310000000000e+00,2.180880602571e-01
3.330000000000e+00,2.308052532450e-01
3.350000000000e+00,2.084540311691e-01
3.370000000000e+00,1.739145596210e-01
3.390000000000e+00,1.965566861025e-01
3.410000000000e+00,1.867243425644e-01
3.430000000000e+00,2.109688244800e-01
3.450000000000e+00,1.747760163022e-01
3.470000000000e+00,1.591142980662e-01
3.490000000000e+00,1.619201493379e-01
3.510000000000e+00,1.404408600227e-01
3.530000000000e+00,2.057999502607e-01
3.550000000000e+00,1.459055309298e-01
3.570000000000e+00,1.299724564317e-01
3.590000000000e+00,1.401139406506e-01
3.610000000000e+00,1.354726161536e-01
3.630000000000e+00,1.798177742150e-01
3.650000000000e+00,1.325563683387e-01
3.670000000000e+00,1.401034212314e-01
3.690000000000e+00,1.289988323466e-01
3.710000000000e+00,1.839059766727e-01
3.730000000000e+00,1.207524092049e-01
3.750000000000e+00,1.239890372092e-01
3.770000000000e+00,1.244734228570e-01
3.790000000000e+00,1.720450822951e-01
3.810000000000e+00,1.129452745222e-01
3.830000000000e+00,1.181715668543e-01
3.850000000000e+00,1.125875874486e-01
3.870000000000e+00,1.365715356754e-01
3.890000000000e+00,1.631820192419e-01
3.910000000000e+00,1.257804714457e-01
3.930000000000e+00,1.098568064677e-01
3.950000000000e+00,1.069065831497e-01
3.970000000000e+00,1.471422783494e-01
3.990000000000e+00,1.067709238944e-01
4.010000000000e+00,9.910289364276e-02
4.030000000000e+00,1.329322629631e-01
4.050000000000e+00,1.460664387751e-01
4.070000000000e+00,9.826902953826e-02
4.090000000000e+00,9.825825260445e-02
4.110000000000e+00,1.460871635091e-01
4.130000000000e+00,1.007281882404e-01
4.150000000000e+00,1.102715699444e-01
4.170000000000e+00,1.041036661076e-01
4.190000000000e+00,1.343692285394e-01
4.210000000000e+00,1.578940198306e-01
4.230000000000e+00,1.087835806298e-01
4.250000000000e+00,1.298449300234e-01
4.270000000000e+00,1.392319605203e-01
4.290000000000e+00,1.161822596609e-01
4.310000000000e+00,1.346866310044e-01
4.330000000000e+00,1.406135148292e-01
4.350000000000e+00,1.372048891630e-01
4.370000000000e+00,1.671723588685e-01
4.390000000000e+00,1.457660274100e-01
4.410000000000e+00,1.382367907592e-01
4.430000000000e+00,1.213480691083e-01
4.450000000000e+00,1.389679203750e-01
4.470000000000e+00,1.325195713435e-01
4.490000000000e+00,1.387562644888e-01
4.510000000000e+00,1.768948526528e-01
4.530000000000e+00,1.503248649037e-01
4.550000000000e+00,1.160469441881e-01
4.570000000000e+00,1.404870600131e-01
4.590000000000e+00,1.151958020468e-01
4.610000000000e+00,1.236326973929e-01
4.630000000000e+00,1.551443728079e-01
4.650000000000e+00,1.621123838602e-01
4.670000000000e+00,1.483125122254e-01
4.690000000000e+00,1.163198110513e-01
4.710000000000e+00,1.443154660857e-01
4.730000000000e+00,1.240114010367e-01
4.750000000000e+00,1.473239327404e-01
4.770000000000e+00,1.414372607370e-01
4.790000000000e+00,1.991954712899e-01
4.810000000000e+00,1.248153864781e-01
4.830000000000e+00,1.558956836125e-01
4.850000000000e+00,1.328998103851e-01
4.870000000000e+00,1.819124100841e-01
4.890000000000e+00,1.359601633216e-01
4.910000000000e+00,1.664996927247e-01
4.930000000000e+00,1.758170044930e-01
4.950000000000e+00,1.677716213764e-01
4.970000000000e+00,1.400718284482e-01
4.990000000000e+00,1.955362988516e-01
5.010000000000e+00,1.447366812084e-01
5.030000000000e+00,1.692657925003e-01
5.050000000000e+00,1.753560044176e-01
5.070000000000e+00,1.698404788747e-01
5.090000000000e+00,1.652783062019e-01
5.110000000000e+00,1.767611169661e-01
5.130000000000e+00,1.657029949250e-01
5.150000000000e+00,1.482126190274e-01
5.170000000000e+00,1.930225206942e-01
5.190000000000e+00,1.470363120452e-01
5.210000000000e+00,1.992786526915e-01
5.230000000000e+00,1.512312013225e-01
5.250000000000e+00,1.714780711745e-01
5.270000000000e+00,1.671524896405e-01
5.290000000000e+00,2.060285809173e-01
5.310000000000e+00,2.045198167308e-01
5.330000000000e+00,1.886364187699e-01
5.350000000000e+00,1.725156973097e-01
5.370000000000e+00,1.670328878717e-01
5.390000000000e+00,1.662740948084e-01
5.410000000000e+00,2.208132601690e-01
5.430000000000e+00,1.645706350600e-01
5.450000000000e+00,1.750916710084e-01
5.470000000000e+00,1.850853697253e-01
5.490000000000e+00,1.604401427950e-01
5.510000000000e+00,2.219211856872e-01
5.530000000000e+00,1.858977175317e-01
5.550000000000e+00,1.654282355356e-01
5.570000000000e+00,1.922724752731e-01
5.590000000000e+00,1.729889702735e-01
5.610000000000e+00,2.203505752255e-01
5.630000000000e+00,1.896815130217e-01
5.650000000000e+00,1.832570884380e-01
5.670000000000e+00,1.849277909433e-01
5.690000000000e+00,2.310912873011e-01
5.710000000000e+00,1.738533626599e-01
5.730000000000e+00,2.128785408964e-01
5.750000000000e+00,1.814992986834e-01
5.770000000000e+00,1.937360175924e-01
5.790000000000e+00,2.318783542245e-01
5.810000000000e+00,1.951719471726e-01
5.830000000000e+00,1.791080353130e-01
5.850000000000e+00,2.235434390926e-01
5.870000000000e+00,2.066156751621e-01
5.890000000000e+00,2.105544519024e-01
5.910000000000e+00,1.841249103742e-01
5.930000000000e+00,2.097514476613e-01
5.950000000000e+00,1.974014304668e-01
5.970000000000e+00,2.177596464496e-01
5.990000000000e+00,2.084990346168e-01
6.010000000000e+00,1.963837199304e-01
6.030000000000e+00,2.095644276825e-01
6.050000000000e+00,2.127146971714e-01
6.070000000000e+00,1.904845503621e-01
6.090000000000e+00,1.987192872728e-01
6.110000000000e+00,2.130920093152e-01
6.130000000000e+00,2.067446673078e-01
6.150000000000e+00,1.871936002993e-01
6.170000000000e+00,1.888870984385e-01
6.190000000000e+00,2.396953042295e-01
6.210000000000e+00,1.970454282273e-01
6.230000000000e+00,2.030582674010e-01
6.250000000000e+00,2.166693046813e-01
6.270000000000e+00,1.822936407647e-01
6.290000000000e+00,2.081172097116e-01
6.310000000000e+00,1.943277920504e-01
6.330000000000e+00,1.944595263497e-01
6.350000000000e+00,1.765326008796e-01
6.370000000000e+00,1.992039233173e-01
6.390000000000e+00,1.946315956038e-01
6.410000000000e+00,1.759805428855e-01
6.430000000000e+00,1.724535923222e-01
6.450000000000e+00,2.096407397328e-01
6.470000000000e+00,1.593145269403e-01
6.490000000000e+00,1.801102493140e-01
6.510000000000e+00,1.766780423355e-01
6.530000000000e+00,1.842558355383e-01
6.550000000000e+00,1.782983316103e-01
6.570000000000e+00,1.676742076390e-01
6.590000000000e+00,1.570839374903e-01
6.610000000000e+00,1.899187961530e-01
6.630000000000e+00,1.506067996571e-01
6.650000000000e+00,1.803639713540e-01
6.670000000000e+00,1.898875474264e-01
6.690000000000e+00,1.520639652162e-01
6.710000000000e+00,1.641803588978e-01
6.730000000000e+00,1.516570952266e-01
6.750000000000e+00,1.428217144939e-01
6.770000000000e+00,1.675793605359e-01
6.790000000000e+00,1.351295578974e-01
6.810000000000e+00,1.598153663306e-01
6.830000000000e+00,1.394006934363e-01
6.850000000000e+00,1.586525984996e-01
6.870000000000e+00,1.454637662463e-01
6.890000000000e+00,1.572630809509e-01
6.910000000000e+00,1.427312564118e-01
6.930000000000e+00,1.330316116160e-01
6.950000000000e+00,1.325216267364e-01
6.970000000000e+00,1.392116560322e-01
6.990000000000e+00,1.232337266751e-01
7.010000000000e+00,1.388461369730e-01
7.030000000000e+00,1.436173882478e-01
7.050000000000e+00,1.315034837820e-01
7.070000000000e+00,1.114609111953e-01
7.090000000000e+00,1.225075754907e-01
7.110000000000e+00,1.237019947344e-01
7.130000000000e+00,1.323696063343e-01
7.150000000000e+00,1.237607681480e-01
7.170000000000e+00,1.101927924086e-01
7.190000000000e+00,1.139318855781e-01
7.210000000000e+00,1.136967123830e-01
7.230000000000e+00,1.079859734013e-01
7.250000000000e+00,1.090513462701e-01
7.270000000000e+00,1.096768020721e-01
7.290000000000e+00,1.105811392908e-01
7.310000000000e+00,1.001568756275e-01
7.330000000000e+00,1.076609385794e-01
7.350000000000e+00,1.247874187129e-01
7.370000000000e+00,1.277863260272e-01
7.390000000000e+00,9.418170075753e-02
7.410000000000e+00,1.029471971026e-01
7.430000000000e+00,1.006149939989e-01
7.450000000000e+00,9.811714216742e-02
7.470000000000e+00,1.000400457646e-01
7.490000000000e+00,9.828044893606e-02
7.510000000000e+00,1.177417528245e-01
7.530000000000e+00,9.374089497784e-02
7.550000000000e+00,9.270229432373e-02
7.570000000000e+00,9.045079921227e-02
7.590000000000e+00,1.095521139104e-01
7.610000000000e+00,9.143578446021e-02
7.630000000000e+00,8.945336086636e-02
7.650000000000e+00,1.067679102195e-01
7.670000000000e+00,8.691550892680e-02
7.690000000000e+00,8.630150866340e-02
7.710000000000e+00,9.187473037771e-02
7.730000000000e+00,9.711489785323e-02
7.750000000000e+00,8.587343264240e-02
7.770000000000e+00,8.469512600956e-02
7.790000000000e+00,8.467371174921e-02
7.810000000000e+00,9.710926589427e-02
7.830000000000e+00,8.368936169291e-02
7.850000000000e+00,8.449132106533e-02
7.870000000000e+00,8.529801678033e-02
7.890000000000e+00,8.423101008119e-02
7.910000000000e+00,8.414171503343e-02
7.930000000000e+00,9.628113549536e-02
7.950000000000e+00,8.359686472385e-02
7.970000000000e+00,1.010181595066e-01
7.990000000000e+00,9.203641248307e-02
8.010000000000e+00,9.405001561538e-02
8.030000000000e+00,8.326493152106e-02
8.050000000000e+00,8.493198217842e-02
8.070000000000e+00,8.334115702088e-02
8.090000000000e+00,8.822526033853e-02
8.110000000000e+00,8.113856577649e-02
8.130000000000e+00,7.851823371453e-02
8.150000000000e+00,8.916578515237e-02
8.170000000000e+00,7.773876345381e-02
8.190000000000e+00,8.018001867966e-02
8.210000000000e+00,9.867229996728e-02
8.230000000000e+00,9.945824324357e-02
8.250000000000e+00,7.485368925442e-02
8.270000000000e+00,7.784474100092e-02
8.290000000000e+00,7.531554553869e-02
8.310000000000e+00,7.236348088798e-02
8.330000000000e+00,7.531273650690e-02
8.350000000000e+00,7.105335890670e-02
8.370000000000e+00,7.360902235460e-02
8.390000000000e+00,7.171637460487e-02
8.410000000000e+00,7.383775547406e-02
8.430000000000e+00,7.734471723516e-02
8.450000000000e+00,8.018204555542e-02
8.470000000000e+00,8.004956816754e-02
8.490000000000e+00,6.729596613634e-02
8.510000000000e+00,6.246679796412e-02
8.530000000000e+00,6.586324016000e-02
8.550000000000e+00,6.159111081187e-02
8.570000000000e+00,6.494333845549e-02
8.590000000000e+00,6.097211155457e-02
8.610000000000e+00,6.211298391804e-02
8.630000000000e+00,6.074249877449e-02
8.650000000000e+00,7.233512422518e-02
8.670000000000e+00,6.681401700500e-02
8.690000000000e+00,5.832932701727e-02
8.710000000000e+00,6.619933981819e-02
8.730000000000e+00,5.788011149067e-02
8.750000000000e+00,5.497838615128e-02
8.770000000000e+00,5.662686164682e-02
8.790000000000e+00,6.307588332487e-02
8.810000000000e+00,5.746168880169e-02
8.830000000000e+00,5.591030666078e-02
8.850000000000e+00,5.414266098268e-02
8.870000000000e+00,6.018717984264e-02
8.890000000000e+00,6.077154961237e-02
8.910000000000e+00,5.240537326054e-02
8.930000000000e+00,6.319354678263e-02
8.950000000000e+00,5.640263019771e-02
8.970000000000e+00,5.289734118001e-02
8.990000000000e+00,5.362531446409e-02
9.010000000000e+00,5.275841057276e-02
9.030000000000e+00,5.123268673375e-02
9.050000000000e+00,6.358288192277e-02
9.070000000000e+00,5.691314206208e-02
9.090000000000e+00,5.529770393896e-02
9.110000000000e+00,5.748163115894e-02
9.130000000000e+00,5.218213020600e-02
9.150000000000e+00,5.924314720299e-02
9.170000000000e+00,6.578722822305e-02
9.190000000000e+00,5.709211941233e-02
9.210000000000e+00,6.368209573596e-02
9.230000000000e+00,5.632504871609e-02
9.250000000000e+00,5.549160773998e-02
9.270000000000e+00,7.166230757005e-02
9.290000000000e+00,6.478369041668e-02
9.310000000000e+00,5.823296318382e-02
9.330000000000e+00,6.848531689943e-02
9.350000000000e+00,6.373109002146e-02
9.370000000000e+00,6.827716194872e-02
9.390000000000e+00,6.995447622489e-02
9.410000000000e+00,7.066561591877e-02
9.430000000000e+00,7.572148202051e-02
9.450000000000e+00,6.489316059687e-02
9.470000000000e+00,7.189520752857e-02
9.490000000000e+00,7.863632157467e-02
9.510000000000e+00,6.786808225113e-02
9.530000000000e+00,8.041887797456e-02
9.550000000000e+00,7.674421459369e-02
9.570000000000e+00,6.944708734123e-02
9.590000000000e+00,8.429694358554e-02
9.610000000000e+00,7.514727515662e-02
9.630000000000e+00,8.146594135351e-02
9.650000000000e+00,8.422473765634e-02
9.670000000000e+00,7.655936638995e-02
9.690000000000e+00,8.589033706698e-02
9.710000000000e+00,8.261151418484e-02
9.730000000000e+00,8.730158144123e-02
9.750000000000e+00,8.304754129602e-02
9.770000000000e+00,7.844878099608e-02
9.790000000000e+00,9.434847990810e-02
9.810000000000e+00,8.898475003198e-02
9.830000000000e+00,9.069912279329e-02
9.850000000000e+00,9.428338289623e-02
9.870000000000e+00,9.010672790094e-02
9.890000000000e+00,8.908390762564e-02
9.910000000000e+00,9.354581285288e-02
9.930000000000e+00,9.354460154150e-02
9.950000000000e+00,1.033757844660e-01
9.970000000000e+00,9.903421767964e-02
9.990000000000e+00,9.700533728796e-02
1.001000000000e+01,9.692515519025e-02
1.003000000000e+01,9.087573353611e-02
1.005000000000e+01,1.011693420029e-01
1.007000000000e+01,1.000414238559e-01
1.009000000000e+01,9.411847808022e-02
1.011000000000e+01,1.040726816492e-01
1.013000000000e+01,9.763012016733e-02
1.015000000000e+01,9.981269778183e-02
1.017000000000e+01,1.078099668950e-01
1.019000000000e+01,1.093408951277e-01
1.021000000000e+01,1.039121039077e-01
1.023000000000e+01,1.024047269541e-01
