redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,1.970441229664e+00
3.000000000000e-02,2.030665355253e+00
5.000000000000e-02,1.967883664148e+00
7.000000000000e-02,1.768520584895e+00
9.000000000000e-02,1.699925583673e+00
1.100000000000e-01,1.658544154336e+00
1.300000000000e-01,1.592112865093e+00
1.500000000000e-01,1.700920145138e+00
1.700000000000e-01,1.961318608004e+00
1.900000000000e-01,1.856575332345e+00
2.100000000000e-01,2.267426750764e+00
2.300000000000e-01,2.183790179214e+00
2.500000000000e-01,2.356313597544e+00
2.700000000000e-01,2.354286041233e+00
2.900000000000e-01,2.358023232226e+00
3.100000000000e-01,2.477850589944e+00
3.300000000000e-01,2.491026345095e+00
3.500000000000e-01,2.596757338881e+00
3.700000000000e-01,2.986754459540e+00
3.900000000000e-01,2.986911560764e+00
4.100000000000e-01,3.058865136900e+00
4.300000000000e-01,3.082667483075e+00
4.500000000000e-01,3.258527929294e+00
4.700000000000e-01,3.002883773362e+00
4.900000000000e-01,3.364334041603e+00
5.100000000000e-01,3.336224166605e+00
5.300000000000e-01,3.261099551089e+00
5.500000000000e-01,3.177497901010e+00
5.700000000000e-01,3.576824713808e+00
5.900000000000e-01,3.334530932278e+00
6.100000000000e-01,3.308353202226e+00
6.300000000000e-01,3.214843561945e+00
6.500000000000e-01,3.062711144337e+00
6.700000000000e-01,3.266163478931e+00
6.900000000000e-01,3.030699412657e+00
7.100000000000e-01,3.211413177378e+00
7.300000000000e-01,3.069945581817e+00
7.500000000000e-01,3.361171378562e+00
7.700000000000e-01,3.184933279285e+00
7.900000000000e-01,3.245767187780e+00
8.100000000000e-01,3.112726344616e+00
8.300000000000e-01,3.456054669794e+00
8.500000000000e-01,3.453765256610e+00
8.700000000000e-01,3.842118689520e+00
8.900000000000e-01,3.510362536919e+00
9.100000000000e-01,3.767931202420e+00
9.300000000000e-01,3.746109212940e+00
9.500000000000e-01,3.655480350845e+00
9.700000000000e-01,3.705575087976e+00
9.900000000000e-01,3.894007189784e+00
1.010000000000e+00,3.809331875461e+00
1.030000000000e+00,3.792909311095e+00
1.050000000000e+00,3.839568369597e+00
1.070000000000e+00,4.056640333384e+00
1.090000000000e+00,4.066477414782e+00
1.110000000000e+00,4.159487341468e+00
1.130000000000e+00,4.133678138317e+00
1.150000000000e+00,4.033823131035e+00
1.170000000000e+00,4.161730318659e+00
1.190000000000e+00,4.077609264757e+00
1.210000000000e+00,4.382213604623e+00
1.230000000000e+00,4.256062706977e+00
1.250000000000e+00,4.587038132578e+00
1.270000000000e+00,4.425630742223e+00
1.290000000000e+00,4.706660552883e+00
1.310000000000e+00,4.571689099097e+00
1.330000000000e+00,4.725259144742e+00
1.350000000000e+00,4.921536904631e+00
1.370000000000e+00,4.825991978201e+00
1.390000000000e+00,4.916766270651e+00
1.410000000000e+00,4.830765873078e+00
1.430000000000e+00,4.914500175970e+00
1.450000000000e+00,5.036427502985e+00
1.470000000000e+00,4.971966992405e+00
1.490000000000e+00,4.861367519946e+00
1.510000000000e+00,4.952915963257e+00
1.530000000000e+00,5.183903679259e+00
1.550000000000e+00,5.130797833382e+00
1.570000000000e+00,5.335856072258e+00
1.590000000000e+00,5.223759359995e+00
1.610000000000e+00,5.536046787613e+00
1.630000000000e+00,5.215788077891e+00
1.650000000000e+00,5.224538536356e+00
1.670000000000e+00,5.483166485376e+00
1.690000000000e+00,5.283703308192e+00
1.710000000000e+00,5.217977120764e+00
1.730000000000e+00,5.420294459552e+00
1.750000000000e+00,5.558956329301e+00
1.770000000000e+00,5.506495118299e+00
1.790000000000e+00,4.995873682604e+00
1.810000000000e+00,5.553500852177e+00
1.830000000000e+00,5.539059146939e+00
1.850000000000e+00,5.172314835268e+00
1.870000000000e+00,5.598630111378e+00
1.890000000000e+00,5.156553691099e+00
1.910000000000e+00,5.655479040305e+00
1.930000000000e+00,5.487024094529e+00
1.950000000000e+00,5.439363449782e+00
1.970000000000e+00,5.479202490009e+00
1.990000000000e+00,5.723721608969e+00
2.010000000000e+00,5.219109685701e+00
2.030000000000e+00,5.602397692484e+00
2.050000000000e+00,5.499335064380e+00
2.070000000000e+00,5.371790245705e+00
2.090000000000e+00,5.576682084093e+00
2.110000000000e+00,5.218591859978e+00
2.130000000000e+00,5.280465618446e+00
2.150000000000e+00,5.457172635516e+00
2.170000000000e+00,5.304029291238e+00
2.190000000000e+00,5.213824685171e+00
2.210000000000e+00,5.391842763136e+00
2.230000000000e+00,4.947416916244e+00
2.250000000000e+00,5.106740841665e+00
2.270000000000e+00,5.372928707272e+00
2.290000000000e+00,5.000362299102e+00
2.310000000000e+00,5.397512575171e+00
2.330000000000e+00,5.155871938904e+00
2.350000000000e+00,5.029673050578e+00
2.370000000000e+00,5.432146137363e+00
2.390000000000e+00,5.479605162892e+00
2.410000000000e+00,5.149338164019e+00
2.430000000000e+00,5.308050892651e+00
2.450000000000e+00,5.245482097591e+00
2.470000000000e+00,5.565316356718e+00
2.490000000000e+00,5.535429745510e+00
2.510000000000e+00,5.574873623306e+00
2.530000000000e+00,5.239321548063e+00
2.550000000000e+00,5.302362789784e+00
2.570000000000e+00,5.663627875022e+00
2.590000000000e+00,5.480482098214e+00
2.610000000000e+00,5.587410495438e+00
2.630000000000e+00,5.538856400750e+00
2.650000000000e+00,5.667740439406e+00
2.670000000000e+00,5.622325696108e+00
2.690000000000e+00,5.818597443819e+00
2.710000000000e+00,5.538002357351e+00
2.730000000000e+00,5.851910909693e+00
2.750000000000e+00,5.758641222627e+00
2.770000000000e+00,5.861021457352e+00
2.790000000000e+00,5.492613955323e+00
2.810000000000e+00,5.911693779589e+00
2.830000000000e+00,5.670468035683e+00
2.850000000000e+00,5.674789911869e+00
2.870000000000e+00,5.981138825282e+00
2.890000000000e+00,5.785365138728e+00
2.910000000000e+00,5.802191878895e+00
2.930000000000e+00,5.805886119427e+00
2.950000000000e+00,5.797211487935e+00
2.970000000000e+00,5.993604579491e+00
2.990000000000e+00,5.858675423519e+00
3.010000000000e+00,5.696951821400e+00
3.030000000000e+00,6.040023960202e+00
3.050000000000e+00,5.875669620683e+00
3.070000000000e+00,6.273607499012e+00
3.090000000000e+00,5.708364021099e+00
3.110000000000e+00,5.875990658173e+00
3.130000000000e+00,5.942540549342e+00
3.150000000000e+00,5.849881275738e+00
3.170000000000e+00,6.105666809002e+00
3.190000000000e+00,6.061156027378e+00
3.210000000000e+00,6.277189064680e+00
3.230000000000e+00,5.892476803487e+00
3.250000000000e+00,5.841478664146e+00
3.270000000000e+00,6.049132079611e+00
3.290000000000e+00,6.000554320965e+00
3.310000000000e+00,5.933407154976e+00
3.330000000000e+00,5.902654400306e+00
3.350000000000e+00,5.943190554466e+00
3.370000000000e+00,6.151228530629e+00
3.390000000000e+00,6.123784272408e+00
3.410000000000e+00,6.051974067486e+00
3.430000000000e+00,5.726885064391e+00
3.450000000000e+00,5.810028510171e+00
3.470000000000e+00,5.804433380323e+00
3.490000000000e+00,5.801288169325e+00
3.510000000000e+00,5.783299680580e+00
3.530000000000e+00,5.929740510706e+00
3.550000000000e+00,5.583553881689e+00
3.570000000000e+00,5.750446961563e+00
3.590000000000e+00,5.730244417001e+00
3.610000000000e+00,5.806213214360e+00
3.630000000000e+00,5.662374298093e+00
3.650000000000e+00,5.689424776663e+00
3.670000000000e+00,5.699331370787e+00
3.690000000000e+00,5.822389424351e+00
3.710000000000e+00,5.495810951276e+00
3.730000000000e+00,5.678465386416e+00
3.750000000000e+00,5.550143047084e+00
3.770000000000e+00,5.827045122393e+00
3.790000000000e+00,5.773131389917e+00
3.810000000000e+00,5.607048601894e+00
3.830000000000e+00,5.665857981153e+00
3.850000000000e+00,5.746567008272e+00
3.870000000000e+00,5.757431363531e+00
3.890000000000e+00,5.528089952812e+00
3.910000000000e+00,5.645149954536e+00
3.930000000000e+00,5.596881210137e+00
3.950000000000e+00,5.894988302860e+00
3.970000000000e+00,5.691168688346e+00
3.990000000000e+00,5.688312454398e+00
4.010000000000e+00,5.876371416318e+00
4.030000000000e+00,5.487234392181e+00
4.050000000000e+00,5.600052738815e+00
4.070000000000e+00,5.968206443734e+00
4.090000000000e+00,5.551200295286e+00
4.110000000000e+00,5.787710528355e+00
4.130000000000e+00,5.549353338719e+00
4.150000000000e+00,5.670895349420e+00
4.170000000000e+00,5.755438009805e+00
4.190000000000e+00,5.455334554409e+00
4.210000000000e+00,5.655320633078e+00
4.230000000000e+00,5.549263912535e+00
4.250000000000e+00,5.747745294139e+00
4.270000000000e+00,5.690145415249e+00
4.290000000000e+00,5.570338704121e+00
4.310000000000e+00,5.478517986478e+00
4.330000000000e+00,5.667110386949e+00
4.350000000000e+00,5.815419197821e+00
4.370000000000e+00,5.594808533183e+00
4.390000000000e+00,5.635615628817e+00
4.410000000000e+00,5.550582379303e+00
4.430000000000e+00,5.536290569160e+00
4.450000000000e+00,5.476117946333e+00
4.470000000000e+00,5.590365653101e+00
4.490000000000e+00,5.284556003696e+00
4.510000000000e+00,5.842541293212e+00
4.530000000000e+00,5.180426984020e+00
4.550000000000e+00,5.515732836579e+00
4.570000000000e+00,5.572656782031e+00
4.590000000000e+00,5.402750734734e+00
4.610000000000e+00,5.376873905086e+00
4.630000000000e+00,5.468480517920e+00
4.650000000000e+00,5.266391241086e+00
4.670000000000e+00,5.263006086688e+00
4.690000000000e+00,5.372667417135e+00
4.710000000000e+00,5.317215229045e+00
4.730000000000e+00,5.168657171022e+00
4.750000000000e+00,5.377170245749e+00
4.770000000000e+00,5.305468255654e+00
4.790000000000e+00,5.392270447018e+00
4.810000000000e+00,5.083456314175e+00
4.830000000000e+00,5.552537716099e+00
4.850000000000e+00,5.019373722620e+00
4.870000000000e+00,5.157641679634e+00
4.890000000000e+00,5.159321143707e+00
4.910000000000e+00,5.209747778399e+00
4.930000000000e+00,5.142979469945e+00
4.950000000000e+00,4.999900011410e+00
4.970000000000e+00,5.177612416613e+00
4.990000000000e+00,5.040518000553e+00
5.010000000000e+00,5.036509273236e+00
5.030000000000e+00,5.151188707195e+00
5.050000000000e+00,5.155259662156e+00
5.070000000000e+00,4.797758141796e+00
5.090000000000e+00,5.091057827918e+00
5.110000000000e+00,5.234434790608e+00
5.130000000000e+00,5.018556495985e+00
5.150000000000e+00,5.096893295819e+00
5.170000000000e+00,4.978203074516e+00
5.190000000000e+00,4.888429908142e+00
5.210000000000e+00,5.018296630771e+00
5.230000000000e+00,4.903094731191e+00
5.250000000000e+00,4.833917923035e+00
5.270000000000e+00,4.810706947950e+00
5.290000000000e+00,5.181196101689e+00
5.310000000000e+00,4.941458703941e+00
5.330000000000e+00,4.966753270458e+00
5.350000000000e+00,4.721395704841e+00
5.370000000000e+00,4.859281722758e+00
5.390000000000e+00,4.920259179311e+00
5.410000000000e+00,4.800742165673e+00
5.430000000000e+00,4.762179498037e+00
5.450000000000e+00,4.700889314732e+00
5.470000000000e+00,4.891386129676e+00
5.490000000000e+00,4.737851050902e+00
5.510000000000e+00,4.772888692664e+00
5.530000000000e+00,4.686268391122e+00
5.550000000000e+00,4.748155418251e+00
5.570000000000e+00,4.838659814091e+00
5.590000000000e+00,4.830217851171e+00
5.610000000000e+00,4.789404466042e+00
5.630000000000e+00,4.694587751101e+00
5.650000000000e+00,4.729288540882e+00
5.670000000000e+00,4.719647276892e+00
5.690000000000e+00,4.885201704332e+00
5.710000000000e+00,4.685003688472e+00
5.730000000000e+00,4.621997130927e+00
5.750000000000e+00,4.618447192045e+00
5.770000000000e+00,4.682823138011e+00
5.790000000000e+00,4.718669129348e+00
5.810000000000e+00,4.576007743051e+00
5.830000000000e+00,4.683617513092e+00
5.850000000000e+00,4.709332087813e+00
5.870000000000e+00,4.489304097975e+00
5.890000000000e+00,4.622890539423e+00
5.910000000000e+00,4.730840356403e+00
5.930000000000e+00,4.701788860640e+00
5.950000000000e+00,4.720719365789e+00
5.970000000000e+00,4.739894742308e+00
5.990000000000e+00,4.538436015071e+00
