redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,8.483292908046e-02
3.000000000000e-02,5.568892804898e-02
5.000000000000e-02,6.108758076545e-02
7.000000000000e-02,6.194487154536e-02
9.000000000000e-02,6.933101634643e-02
1.100000000000e-01,6.891915920160e-02
1.300000000000e-01,1.168425714447e-01
1.500000000000e-01,8.290416919689e-02
1.700000000000e-01,8.685985326134e-02
1.900000000000e-01,9.232220185680e-02
2.100000000000e-01,9.972919211399e-02
2.300000000000e-01,1.044713712654e-01
2.500000000000e-01,1.594743254663e-01
2.700000000000e-01,1.315130131043e-01
2.900000000000e-01,1.267302917212e-01
3.100000000000e-01,1.491772341521e-01
3.300000000000e-01,1.631623278729e-01
3.500000000000e-01,2.270026430981e-01
3.700000000000e-01,1.839833918232e-01
3.900000000000e-01,2.221286393304e-01
4.100000000000e-01,2.335643947094e-01
4.300000000000e-01,3.098630550489e-01
4.500000000000e-01,2.576346126743e-01
4.700000000000e-01,2.711939546160e-01
4.900000000000e-01,3.007652199124e-01
5.100000000000e-01,3.970293755909e-01
5.300000000000e-01,3.196996551320e-01
5.500000000000e-01,3.124942398356e-01
5.700000000000e-01,2.878243378862e-01
5.900000000000e-01,3.705432201759e-01
6.100000000000e-01,2.622554142775e-01
6.300000000000e-01,2.495546918526e-01
6.500000000000e-01,2.822783984602e-01
6.700000000000e-01,2.070865186132e-01
6.900000000000e-01,1.879144267671e-01
7.100000000000e-01,2.638716945824e-01
7.300000000000e-01,2.004843009788e-01
7.500000000000e-01,1.906035106647e-01
7.700000000000e-01,2.785609420829e-01
7.900000000000e-01,2.204759328178e-01
8.100000000000e-01,2.080014403410e-01
8.300000000000e-01,2.995698261486e-01
8.500000000000e-01,2.438285665407e-01
8.700000000000e-01,3.142712974349e-01
8.900000000000e-01,2.328186123832e-01
9.100000000000e-01,2.694541115720e-01
9.300000000000e-01,3.378232937640e-01
9.500000000000e-01,2.883218140894e-01
9.700000000000e-01,3.543098192785e-01
9.900000000000e-01,3.081934133591e-01
1.010000000000e+00,3.194010397218e-01
1.030000000000e+00,3.821171529181e-01
1.050000000000e+00,2.932411920772e-01
1.070000000000e+00,3.984294473349e-01
1.090000000000e+00,3.606476206396e-01
1.110000000000e+00,4.717743825258e-01
1.130000000000e+00,3.841199828640e-01
1.150000000000e+00,4.364606595623e-01
1.170000000000e+00,4.061079610491e-01
1.190000000000e+00,4.545852194465e-01
1.210000000000e+00,4.618121515511e-01
1.230000000000e+00,4.377087439834e-01
1.250000000000e+00,4.794337914272e-01
1.270000000000e+00,5.296276128678e-01
1.290000000000e+00,4.961070224150e-01
1.310000000000e+00,4.781815515397e-01
1.330000000000e+00,5.848966002916e-01
1.350000000000e+00,5.565399211183e-01
1.370000000000e+00,5.773640938370e-01
1.390000000000e+00,5.306515092428e-01
1.410000000000e+00,5.361403685619e-01
1.430000000000e+00,5.963652193348e-01
1.450000000000e+00,6.135189383958e-01
1.470000000000e+00,5.488906957744e-01
1.490000000000e+00,6.054559297943e-01
1.510000000000e+00,6.166050761712e-01
1.530000000000e+00,5.591900823451e-01
1.550000000000e+00,6.175333188640e-01
1.570000000000e+00,6.155370825116e-01
1.590000000000e+00,6.076687883780e-01
1.610000000000e+00,6.128986978008e-01
1.630000000000e+00,6.115080777234e-01
