redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,2.199061944219e+02
3.000000000000e-02,2.308445334594e+02
5.000000000000e-02,2.415253979486e+02
7.000000000000e-02,2.527838627474e+02
9.000000000000e-02,2.646905726123e+02
1.100000000000e-01,2.767364244498e+02
1.300000000000e-01,2.888333378460e+02
1.500000000000e-01,3.008721989639e+02
1.700000000000e-01,3.127995599991e+02
1.900000000000e-01,3.270383289496e+02
2.100000000000e-01,3.399298534187e+02
2.300000000000e-01,3.544597696856e+02
2.500000000000e-01,3.679391496751e+02
2.700000000000e-01,3.826411920887e+02
2.900000000000e-01,3.963036804332e+02
3.100000000000e-01,4.108925483085e+02
3.300000000000e-01,4.259306933975e+02
3.500000000000e-01,4.397467911499e+02
3.700000000000e-01,4.574177197220e+02
3.900000000000e-01,4.729235548978e+02
4.100000000000e-01,4.859316515236e+02
4.300000000000e-01,5.045546971954e+02
4.500000000000e-01,5.213057876536e+02
4.700000000000e-01,5.364714319679e+02
4.900000000000e-01,5.501801845226e+02
5.100000000000e-01,5.706054535196e+02
5.300000000000e-01,5.861923765357e+02
5.500000000000e-01,6.037403507298e+02
5.700000000000e-01,6.212637818563e+02
5.900000000000e-01,6.393483352163e+02
6.100000000000e-01,6.559623871831e+02
6.300000000000e-01,6.739833803582e+02
6.500000000000e-01,6.949967292007e+02
6.700000000000e-01,7.123538070856e+02
6.900000000000e-01,7.306269924010e+02
7.100000000000e-01,7.486550883433e+02
7.300000000000e-01,7.700032430291e+02
7.500000000000e-01,7.868181986411e+02
7.700000000000e-01,8.062741719128e+02
7.900000000000e-01,8.236025102641e+02
8.100000000000e-01,8.458665761197e+02
8.300000000000e-01,8.611045721615e+02
8.500000000000e-01,8.840783985308e+02
8.700000000000e-01,9.025467977305e+02
8.900000000000e-01,9.153299828801e+02
9.100000000000e-01,9.372756026609e+02
9.300000000000e-01,9.586548377438e+02
9.500000000000e-01,9.779579216777e+02
9.700000000000e-01,9.937740906477e+02
9.900000000000e-01,1.013965113284e+03
1.010000000000e+00,1.030158539667e+03
1.030000000000e+00,1.047473278561e+03
1.050000000000e+00,1.069085798319e+03
1.070000000000e+00,1.083766317452e+03
1.090000000000e+00,1.103479532387e+03
1.110000000000e+00,1.123484059884e+03
1.130000000000e+00,1.136091672860e+03
1.150000000000e+00,1.158102094447e+03
1.170000000000e+00,1.170947887786e+03
1.190000000000e+00,1.185614355968e+03
1.210000000000e+00,1.204594148412e+03
1.230000000000e+00,1.220020438903e+03
1.250000000000e+00,1.235214025330e+03
1.270000000000e+00,1.250067989043e+03
1.290000000000e+00,1.265985120634e+03
1.310000000000e+00,1.275518758791e+03
1.330000000000e+00,1.287135514622e+03
1.350000000000e+00,1.298956840596e+03
1.370000000000e+00,1.312108971543e+03
1.390000000000e+00,1.326676599047e+03
1.410000000000e+00,1.334078841450e+03
1.430000000000e+00,1.343389368434e+03
1.450000000000e+00,1.354072412859e+03
1.470000000000e+00,1.363085607865e+03
1.490000000000e+00,1.372817358591e+03
1.510000000000e+00,1.380034784756e+03
1.530000000000e+00,1.381870760157e+03
1.550000000000e+00,1.389022098322e+03
1.570000000000e+00,1.394282176688e+03
1.590000000000e+00,1.401223031025e+03
1.610000000000e+00,1.401869468125e+03
1.630000000000e+00,1.405611672930e+03
1.650000000000e+00,1.401995457775e+03
1.670000000000e+00,1.408823314374e+03
1.690000000000e+00,1.406816007215e+03
1.710000000000e+00,1.408970111749e+03
1.730000000000e+00,1.398793385123e+03
1.750000000000e+00,1.405841181173e+03
1.770000000000e+00,1.401196653521e+03
1.790000000000e+00,1.395947903246e+03
1.810000000000e+00,1.394843606786e+03
1.830000000000e+00,1.384033942980e+03
1.850000000000e+00,1.378727887436e+03
1.870000000000e+00,1.373929430895e+03
1.890000000000e+00,1.366277848505e+03
1.910000000000e+00,1.359694604647e+03
1.930000000000e+00,1.344731158133e+03
1.950000000000e+00,1.338687241835e+03
1.970000000000e+00,1.329804047098e+03
1.990000000000e+00,1.319132714817e+03
2.010000000000e+00,1.307379766694e+03
2.030000000000e+00,1.290759154806e+03
2.050000000000e+00,1.279787451377e+03
2.070000000000e+00,1.271379149265e+03
2.090000000000e+00,1.259244549905e+03
2.110000000000e+00,1.240323339261e+03
2.130000000000e+00,1.226904860999e+03
2.150000000000e+00,1.215752161089e+03
2.170000000000e+00,1.195402035098e+03
2.190000000000e+00,1.181762641974e+03
2.210000000000e+00,1.166507276662e+03
2.230000000000e+00,1.151173741197e+03
2.250000000000e+00,1.129064030929e+03
2.270000000000e+00,1.119159456325e+03
2.290000000000e+00,1.095137142078e+03
2.310000000000e+00,1.082124642487e+03
2.330000000000e+00,1.064722911321e+03
2.350000000000e+00,1.048054949393e+03
2.370000000000e+00,1.028885328977e+03
2.390000000000e+00,1.013928117382e+03
2.410000000000e+00,9.983900802659e+02
2.430000000000e+00,9.805660280739e+02
2.450000000000e+00,9.579520216041e+02
2.470000000000e+00,9.402801577078e+02
2.490000000000e+00,9.277997540489e+02
2.510000000000e+00,9.055339796995e+02
2.530000000000e+00,8.890229788178e+02
2.550000000000e+00,8.743583112570e+02
2.570000000000e+00,8.579715606678e+02
2.590000000000e+00,8.401169141935e+02
2.610000000000e+00,8.223121305786e+02
2.630000000000e+00,8.080212545441e+02
2.650000000000e+00,7.944356247230e+02
2.670000000000e+00,7.750717055570e+02
2.690000000000e+00,7.579046446080e+02
2.710000000000e+00,7.410506920242e+02
2.730000000000e+00,7.277052856156e+02
2.750000000000e+00,7.122192022592e+02
2.770000000000e+00,6.981825050039e+02
2.790000000000e+00,6.840542963071e+02
2.810000000000e+00,6.686269252346e+02
2.830000000000e+00,6.538213635643e+02
2.850000000000e+00,6.385764721103e+02
2.870000000000e+00,6.277543607712e+02
2.890000000000e+00,6.121287386915e+02
2.910000000000e+00,5.957268071358e+02
2.930000000000e+00,5.856910801809e+02
2.950000000000e+00,5.691640455906e+02
2.970000000000e+00,5.629091784611e+02
2.990000000000e+00,5.480512242000e+02
3.010000000000e+00,5.366793970263e+02
3.030000000000e+00,5.232927924938e+02
3.050000000000e+00,5.102762579951e+02
3.070000000000e+00,5.024375674767e+02
3.090000000000e+00,4.899650906356e+02
3.110000000000e+00,4.789720081591e+02
3.130000000000e+00,4.679432718313e+02
3.150000000000e+00,4.591257072903e+02
3.170000000000e+00,4.447790430638e+02
3.190000000000e+00,4.403316585520e+02
3.210000000000e+00,4.284373227774e+02
3.230000000000e+00,4.183374640030e+02
3.250000000000e+00,4.092643345434e+02
3.270000000000e+00,4.015809308277e+02
3.290000000000e+00,3.924631292350e+02
3.310000000000e+00,3.826593523881e+02
3.330000000000e+00,3.753631038180e+02
3.350000000000e+00,3.682354168826e+02
3.370000000000e+00,3.592877093513e+02
3.390000000000e+00,3.539929122438e+02
3.410000000000e+00,3.429459801871e+02
3.430000000000e+00,3.365257993436e+02
3.450000000000e+00,3.305780380508e+02
3.470000000000e+00,3.210436597650e+02
3.490000000000e+00,3.158960895315e+02
3.510000000000e+00,3.090920175692e+02
3.530000000000e+00,3.018641371255e+02
3.550000000000e+00,2.959401129984e+02
3.570000000000e+00,2.909423732681e+02
3.590000000000e+00,2.845182457904e+02
3.610000000000e+00,2.790539335814e+02
3.630000000000e+00,2.707523472869e+02
3.650000000000e+00,2.688384497942e+02
3.670000000000e+00,2.605869186312e+02
3.690000000000e+00,2.557710887565e+02
3.710000000000e+00,2.496385332776e+02
3.730000000000e+00,2.458759190128e+02
3.750000000000e+00,2.414937836596e+02
3.770000000000e+00,2.350300280302e+02
3.790000000000e+00,2.304035486497e+02
3.810000000000e+00,2.271891247262e+02
3.830000000000e+00,2.216654306350e+02
