redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,1.705901563864e+02
3.000000000000e-02,1.794411048035e+02
5.000000000000e-02,1.858279370628e+02
7.000000000000e-02,1.934999317681e+02
9.000000000000e-02,2.011830099766e+02
1.100000000000e-01,2.083979523394e+02
1.300000000000e-01,2.157386265773e+02
1.500000000000e-01,2.237210586016e+02
1.700000000000e-01,2.323448445238e+02
1.900000000000e-01,2.393059733567e+02
2.100000000000e-01,2.485495528323e+02
2.300000000000e-01,2.569748136099e+02
2.500000000000e-01,2.641038941599e+02
2.700000000000e-01,2.719288181096e+02
2.900000000000e-01,2.798130049700e+02
3.100000000000e-01,2.879132110334e+02
3.300000000000e-01,2.974745984630e+02
3.500000000000e-01,3.060636030491e+02
3.700000000000e-01,3.133343562335e+02
3.900000000000e-01,3.225195673530e+02
4.100000000000e-01,3.295684975302e+02
4.300000000000e-01,3.383255167428e+02
4.500000000000e-01,3.463622117379e+02
4.700000000000e-01,3.553855999054e+02
4.900000000000e-01,3.632751813065e+02
5.100000000000e-01,3.697801045492e+02
5.300000000000e-01,3.798817745652e+02
5.500000000000e-01,3.859673195593e+02
5.700000000000e-01,3.935754839540e+02
5.900000000000e-01,4.029253149370e+02
6.100000000000e-01,4.104619683870e+02
6.300000000000e-01,4.183105453043e+02
6.500000000000e-01,4.224147157242e+02
6.700000000000e-01,4.332633860876e+02
6.900000000000e-01,4.407329902987e+02
7.100000000000e-01,4.480147271370e+02
7.300000000000e-01,4.539808753920e+02
7.500000000000e-01,4.623024051718e+02
7.700000000000e-01,4.670119011337e+02
7.900000000000e-01,4.731679923684e+02
8.100000000000e-01,4.827267196157e+02
8.300000000000e-01,4.876044086579e+02
8.500000000000e-01,4.925577383169e+02
8.700000000000e-01,5.026295775765e+02
8.900000000000e-01,5.069603852052e+02
9.100000000000e-01,5.110862742915e+02
9.300000000000e-01,5.184396918574e+02
9.500000000000e-01,5.227404108470e+02
9.700000000000e-01,5.291458558062e+02
9.900000000000e-01,5.333622603256e+02
1.010000000000e+00,5.372083937533e+02
1.030000000000e+00,5.440173189407e+02
1.050000000000e+00,5.498541535716e+02
1.070000000000e+00,5.507846439480e+02
1.090000000000e+00,5.570383149064e+02
1.110000000000e+00,5.592797015865e+02
1.130000000000e+00,5.642692351754e+02
1.150000000000e+00,5.671611501632e+02
1.170000000000e+00,5.710870275573e+02
1.190000000000e+00,5.755116005599e+02
1.210000000000e+00,5.746785013506e+02
1.230000000000e+00,5.790707240196e+02
1.250000000000e+00,5.814060767001e+02
1.270000000000e+00,5.833443221676e+02
1.290000000000e+00,5.877825873155e+02
1.310000000000e+00,5.849037371940e+02
1.330000000000e+00,5.875212354693e+02
