redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,4.209538884065e+00
3.000000000000e-02,4.460502225401e+00
5.000000000000e-02,4.577039053738e+00
7.000000000000e-02,4.715297519199e+00
9.000000000000e-02,4.794619994000e+00
1.100000000000e-01,4.898234033999e+00
1.300000000000e-01,4.982648181047e+00
1.500000000000e-01,4.928960155732e+00
1.700000000000e-01,4.971034537451e+00
1.900000000000e-01,5.067448164788e+00
2.100000000000e-01,5.041648479874e+00
2.300000000000e-01,5.157103608316e+00
2.500000000000e-01,5.207562081254e+00
2.700000000000e-01,5.347095007160e+00
2.900000000000e-01,5.171780541424e+00
3.100000000000e-01,5.477369484182e+00
3.300000000000e-01,5.572820633770e+00
3.500000000000e-01,5.890737648944e+00
3.700000000000e-01,6.112203096045e+00
3.900000000000e-01,6.096675152710e+00
4.100000000000e-01,5.833667240414e+00
4.300000000000e-01,6.225420425808e+00
4.500000000000e-01,6.135976143977e+00
4.700000000000e-01,6.430630460110e+00
4.900000000000e-01,6.329610444179e+00
5.100000000000e-01,5.911474364090e+00
5.300000000000e-01,6.363013584045e+00
5.500000000000e-01,6.230899793704e+00
5.700000000000e-01,5.965829531315e+00
5.900000000000e-01,6.569807809980e+00
6.100000000000e-01,6.236813445608e+00
6.300000000000e-01,6.374909777516e+00
6.500000000000e-01,6.411679946487e+00
6.700000000000e-01,6.731337231011e+00
6.900000000000e-01,6.566892773878e+00
7.100000000000e-01,6.480528374909e+00
7.300000000000e-01,6.846118474189e+00
7.500000000000e-01,7.160485225817e+00
7.700000000000e-01,7.298572868699e+00
7.900000000000e-01,7.110285532734e+00
8.100000000000e-01,7.483953805313e+00
8.300000000000e-01,7.826348355331e+00
8.500000000000e-01,7.628244244268e+00
8.700000000000e-01,7.892865690076e+00
8.900000000000e-01,8.227305385772e+00
9.100000000000e-01,8.023091144366e+00
9.300000000000e-01,8.114927687669e+00
9.500000000000e-01,8.981774197084e+00
9.700000000000e-01,8.223212151255e+00
9.900000000000e-01,8.129279777451e+00
1.010000000000e+00,8.505667800701e+00
1.030000000000e+00,8.378896045017e+00
1.050000000000e+00,8.172917093426e+00
1.070000000000e+00,8.709838331602e+00
1.090000000000e+00,9.043370062817e+00
1.110000000000e+00,8.191093617370e+00
1.130000000000e+00,8.610055599807e+00
1.150000000000e+00,8.760822413408e+00
1.170000000000e+00,8.751172438797e+00
1.190000000000e+00,8.434561771852e+00
1.210000000000e+00,8.731205424907e+00
1.230000000000e+00,7.828888438451e+00
1.250000000000e+00,8.568205737783e+00
1.270000000000e+00,8.305906331277e+00
1.290000000000e+00,8.355275270682e+00
1.310000000000e+00,8.644551211945e+00
1.330000000000e+00,8.335387313097e+00
1.350000000000e+00,8.174894213487e+00
1.370000000000e+00,8.232022341496e+00
1.390000000000e+00,8.335328196932e+00
1.410000000000e+00,8.224703586071e+00
1.430000000000e+00,8.219823706593e+00
1.450000000000e+00,8.900291771571e+00
1.470000000000e+00,7.864914708835e+00
1.490000000000e+00,8.102918960126e+00
1.510000000000e+00,8.482252807942e+00
1.530000000000e+00,8.113237058501e+00
1.550000000000e+00,8.373650594361e+00
1.570000000000e+00,7.751814878359e+00
1.590000000000e+00,8.351298359084e+00
1.610000000000e+00,8.076391601954e+00
1.630000000000e+00,8.351146315742e+00
1.650000000000e+00,7.931066971896e+00
1.670000000000e+00,8.750309679196e+00
1.690000000000e+00,8.377026005703e+00
1.710000000000e+00,9.069288580899e+00
1.730000000000e+00,8.492352916332e+00
1.750000000000e+00,8.279892879682e+00
