redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,5.660059055067e+01
3.000000000000e-02,5.696188808137e+01
5.000000000000e-02,5.720567835480e+01
7.000000000000e-02,5.877159240641e+01
9.000000000000e-02,5.903180416340e+01
1.100000000000e-01,5.839782820226e+01
1.300000000000e-01,5.942538934560e+01
1.500000000000e-01,5.874494792362e+01
1.700000000000e-01,6.048817470761e+01
1.900000000000e-01,6.020159709127e+01
2.100000000000e-01,6.115645288487e+01
2.300000000000e-01,6.061058075723e+01
2.500000000000e-01,6.222887224393e+01
2.700000000000e-01,6.247361292758e+01
2.900000000000e-01,6.225976333806e+01
3.100000000000e-01,6.244809366768e+01
3.300000000000e-01,6.243928012073e+01
3.500000000000e-01,6.187161178831e+01
3.700000000000e-01,6.220940705195e+01
3.900000000000e-01,6.183357953113e+01
4.100000000000e-01,6.251079448355e+01
4.300000000000e-01,6.206521324970e+01
4.500000000000e-01,6.122009572301e+01
4.700000000000e-01,6.172815972797e+01
4.900000000000e-01,6.160414282393e+01
5.100000000000e-01,6.144356078636e+01
5.300000000000e-01,6.077839560481e+01
5.500000000000e-01,6.104482861529e+01
5.700000000000e-01,6.127970907126e+01
5.900000000000e-01,5.992522337621e+01
6.100000000000e-01,6.001365122689e+01
6.300000000000e-01,5.958269685774e+01
6.500000000000e-01,5.976783760171e+01
6.700000000000e-01,5.925763260602e+01
6.900000000000e-01,5.857092823306e+01
7.100000000000e-01,5.900181110006e+01
7.300000000000e-01,5.866184825115e+01
7.500000000000e-01,5.864234602576e+01
7.700000000000e-01,5.792761271958e+01
7.900000000000e-01,5.765224354895e+01
8.100000000000e-01,5.862062808522e+01
8.300000000000e-01,5.734939985572e+01
8.500000000000e-01,5.848040233198e+01
8.700000000000e-01,5.698089805665e+01
8.900000000000e-01,5.733129787088e+01
9.100000000000e-01,5.839178484884e+01
9.300000000000e-01,5.779603790386e+01
9.500000000000e-01,5.770751804402e+01
9.700000000000e-01,5.855116503164e+01
9.900000000000e-01,5.753858541575e+01
1.010000000000e+00,5.761184622717e+01
1.030000000000e+00,5.795886254929e+01
1.050000000000e+00,5.612860124083e+01
1.070000000000e+00,5.701629014275e+01
1.090000000000e+00,5.671193890961e+01
1.110000000000e+00,5.593967278218e+01
1.130000000000e+00,5.605438480194e+01
1.150000000000e+00,5.527672795189e+01
1.170000000000e+00,5.491477063395e+01
1.190000000000e+00,5.487637785371e+01
1.210000000000e+00,5.450076776248e+01
1.230000000000e+00,5.446019259338e+01
1.250000000000e+00,5.451337358504e+01
1.270000000000e+00,5.367146341657e+01
1.290000000000e+00,5.373662931544e+01
1.310000000000e+00,5.349000927537e+01
1.330000000000e+00,5.337009105992e+01
1.350000000000e+00,5.340052009390e+01
1.370000000000e+00,5.201928747869e+01
1.390000000000e+00,5.238393657793e+01
1.410000000000e+00,5.153411927596e+01
1.430000000000e+00,5.069268596516e+01
1.450000000000e+00,5.100970817591e+01
1.470000000000e+00,5.078459573757e+01
1.490000000000e+00,4.941493234612e+01
1.510000000000e+00,5.047784219551e+01
1.530000000000e+00,4.896869173236e+01
1.550000000000e+00,4.892622911549e+01
1.570000000000e+00,4.910373621387e+01
1.590000000000e+00,4.770688521404e+01
1.610000000000e+00,4.790280285340e+01
1.630000000000e+00,4.809049999233e+01
1.650000000000e+00,4.712800871388e+01
1.670000000000e+00,4.702321499847e+01
1.690000000000e+00,4.635767345318e+01
1.710000000000e+00,4.677113781930e+01
1.730000000000e+00,4.600310071560e+01
1.750000000000e+00,4.605048051796e+01
1.770000000000e+00,4.464855457054e+01
1.790000000000e+00,4.445037137339e+01
1.810000000000e+00,4.533801390325e+01
1.830000000000e+00,4.392180780067e+01
1.850000000000e+00,4.366671840302e+01
1.870000000000e+00,4.431527374070e+01
1.890000000000e+00,4.345954685472e+01
1.910000000000e+00,4.255858928781e+01
1.930000000000e+00,4.248145476919e+01
1.950000000000e+00,4.216283790123e+01
1.970000000000e+00,4.216611049856e+01
1.990000000000e+00,4.156903673915e+01
2.010000000000e+00,4.219198946023e+01
2.030000000000e+00,4.055533985872e+01
2.050000000000e+00,4.125819696511e+01
2.070000000000e+00,4.068954746600e+01
2.090000000000e+00,4.038877013460e+01
2.110000000000e+00,4.021827609032e+01
2.130000000000e+00,3.978690884136e+01
2.150000000000e+00,3.945011089503e+01
2.170000000000e+00,3.944189996721e+01
2.190000000000e+00,3.891583869708e+01
2.210000000000e+00,3.836016542540e+01
2.230000000000e+00,3.877043128965e+01
2.250000000000e+00,3.794626717677e+01
2.270000000000e+00,3.812549942886e+01
2.290000000000e+00,3.728637277243e+01
