redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,3.857498791462e+02
3.000000000000e-02,3.973807781058e+02
5.000000000000e-02,4.072360311262e+02
7.000000000000e-02,4.196214627961e+02
9.000000000000e-02,4.312204353938e+02
1.100000000000e-01,4.434332816046e+02
1.300000000000e-01,4.549315306961e+02
1.500000000000e-01,4.683152718414e+02
1.700000000000e-01,4.760515801028e+02
1.900000000000e-01,4.885209763892e+02
2.100000000000e-01,5.006848618070e+02
2.300000000000e-01,5.127210616932e+02
2.500000000000e-01,5.244563287828e+02
2.700000000000e-01,5.334274527273e+02
2.900000000000e-01,5.445145614131e+02
3.100000000000e-01,5.575630776258e+02
3.300000000000e-01,5.645834707693e+02
3.500000000000e-01,5.803513496727e+02
3.700000000000e-01,5.865501276736e+02
3.900000000000e-01,5.990715922239e+02
4.100000000000e-01,6.108789315815e+02
4.300000000000e-01,6.171975577051e+02
4.500000000000e-01,6.304875516613e+02
4.700000000000e-01,6.422808113036e+02
4.900000000000e-01,6.504431428535e+02
5.100000000000e-01,6.586726989858e+02
5.300000000000e-01,6.723614758433e+02
5.500000000000e-01,6.785570864559e+02
5.700000000000e-01,6.901689875916e+02
5.900000000000e-01,6.989037344642e+02
6.100000000000e-01,7.104947998810e+02
6.300000000000e-01,7.134239039757e+02
6.500000000000e-01,7.274012136805e+02
6.700000000000e-01,7.323356174099e+02
6.900000000000e-01,7.408243155341e+02
7.100000000000e-01,7.492526824145e+02
7.300000000000e-01,7.541805093821e+02
7.500000000000e-01,7.652202233446e+02
7.700000000000e-01,7.695732383956e+02
7.900000000000e-01,7.790169579743e+02
8.100000000000e-01,7.808785805806e+02
8.300000000000e-01,7.849859552627e+02
8.500000000000e-01,7.958202484870e+02
8.700000000000e-01,7.983879852261e+02
8.900000000000e-01,7.996697962086e+02
9.100000000000e-01,8.100830897252e+02
9.300000000000e-01,8.075507362096e+02
9.500000000000e-01,8.197774695875e+02
9.700000000000e-01,8.157769395263e+02
9.900000000000e-01,8.245621412727e+02
1.010000000000e+00,8.194975519130e+02
1.030000000000e+00,8.234262803487e+02
1.050000000000e+00,8.253530225257e+02
1.070000000000e+00,8.306235719787e+02
1.090000000000e+00,8.267162932517e+02
1.110000000000e+00,8.289012121330e+02
1.130000000000e+00,8.296166786431e+02
1.150000000000e+00,8.261474878903e+02
1.170000000000e+00,8.273933454758e+02
1.190000000000e+00,8.226273774708e+02
1.210000000000e+00,8.304858050081e+02
1.230000000000e+00,8.235843496531e+02
1.250000000000e+00,8.208543911835e+02
1.270000000000e+00,8.159992890930e+02
1.290000000000e+00,8.211558173315e+02
1.310000000000e+00,8.123618001510e+02
1.330000000000e+00,8.107089766479e+02
1.350000000000e+00,8.096111390929e+02
1.370000000000e+00,8.066324345323e+02
1.390000000000e+00,8.032520299228e+02
1.410000000000e+00,8.009104649274e+02
1.430000000000e+00,7.952094427103e+02
1.450000000000e+00,7.902607530538e+02
1.470000000000e+00,7.886408694973e+02
1.490000000000e+00,7.803775575017e+02
1.510000000000e+00,7.799349644125e+02
1.530000000000e+00,7.698190933316e+02
1.550000000000e+00,7.706051428624e+02
1.570000000000e+00,7.643051583752e+02
1.590000000000e+00,7.527235384596e+02
1.610000000000e+00,7.461129215382e+02
1.630000000000e+00,7.456360289116e+02
1.650000000000e+00,7.361388566964e+02
1.670000000000e+00,7.281227467784e+02
1.690000000000e+00,7.249855117821e+02
1.710000000000e+00,7.133416535317e+02
1.730000000000e+00,7.078156497805e+02
1.750000000000e+00,6.965434285886e+02
1.770000000000e+00,6.905023325713e+02
1.790000000000e+00,6.860303628922e+02
1.810000000000e+00,6.727548130538e+02
1.830000000000e+00,6.688247385915e+02
1.850000000000e+00,6.578695804423e+02
1.870000000000e+00,6.520742170217e+02
1.890000000000e+00,6.437741612958e+02
1.910000000000e+00,6.334833455186e+02
1.930000000000e+00,6.239639916302e+02
1.950000000000e+00,6.167179716301e+02
1.970000000000e+00,6.126822561808e+02
1.990000000000e+00,6.045823408487e+02
2.010000000000e+00,5.904044395654e+02
2.030000000000e+00,5.877450593747e+02
2.050000000000e+00,5.778915063113e+02
2.070000000000e+00,5.690308968398e+02
2.090000000000e+00,5.565213483828e+02
2.110000000000e+00,5.593157554962e+02
2.130000000000e+00,5.478572652997e+02
2.150000000000e+00,5.409562685084e+02
2.170000000000e+00,5.300957538966e+02
2.190000000000e+00,5.213936915371e+02
2.210000000000e+00,5.171024331115e+02
2.230000000000e+00,5.064267879823e+02
2.250000000000e+00,5.067926576769e+02
2.270000000000e+00,4.941456207180e+02
2.290000000000e+00,4.892050993310e+02
2.310000000000e+00,4.832671178925e+02
2.330000000000e+00,4.762920547253e+02
2.350000000000e+00,4.722325355019e+02
2.370000000000e+00,4.652486578726e+02
2.390000000000e+00,4.553148880213e+02
2.410000000000e+00,4.553945233065e+02
2.430000000000e+00,4.477438692631e+02
2.450000000000e+00,4.408987830486e+02
2.470000000000e+00,4.395986691318e+02
2.490000000000e+00,4.298446985350e+02
2.510000000000e+00,4.259509247471e+02
2.530000000000e+00,4.240993950770e+02
2.550000000000e+00,4.156314997371e+02
2.570000000000e+00,4.119307149552e+02
2.590000000000e+00,4.064919280323e+02
2.610000000000e+00,3.998287562020e+02
2.630000000000e+00,4.002305187387e+02
2.650000000000e+00,3.931313090169e+02
2.670000000000e+00,3.899174815872e+02
2.690000000000e+00,3.885700882490e+02
2.710000000000e+00,3.815712860178e+02
2.730000000000e+00,3.781461013496e+02
2.750000000000e+00,3.742560390264e+02
2.770000000000e+00,3.715000480506e+02
2.790000000000e+00,3.655706343281e+02
2.810000000000e+00,3.599465849663e+02
2.830000000000e+00,3.586255812729e+02
2.850000000000e+00,3.579454996515e+02
2.870000000000e+00,3.540173799195e+02
2.890000000000e+00,3.516647407318e+02
2.910000000000e+00,3.494934803695e+02
2.930000000000e+00,3.443036576086e+02
2.950000000000e+00,3.395857882665e+02
2.970000000000e+00,3.374750616258e+02
2.990000000000e+00,3.326616707012e+02
3.010000000000e+00,3.297329363593e+02
3.030000000000e+00,3.272321188649e+02
3.050000000000e+00,3.256043931970e+02
3.070000000000e+00,3.229609402138e+02
3.090000000000e+00,3.211271097564e+02
3.110000000000e+00,3.154596653454e+02
3.130000000000e+00,3.159954199845e+02
3.150000000000e+00,3.120931420525e+02
3.170000000000e+00,3.107128346254e+02
3.190000000000e+00,3.083547609578e+02
3.210000000000e+00,3.072868713001e+02
3.230000000000e+00,3.030891298225e+02
3.250000000000e+00,3.015848105635e+02
3.270000000000e+00,2.999633724389e+02
3.290000000000e+00,2.968204522141e+02
3.310000000000e+00,2.949915293001e+02
3.330000000000e+00,2.920935495893e+02
3.350000000000e+00,2.924194233552e+02
3.370000000000e+00,2.886184488203e+02
3.390000000000e+00,2.855516166195e+02
3.410000000000e+00,2.850845556390e+02
3.430000000000e+00,2.837350558030e+02
3.450000000000e+00,2.799201654089e+02
3.470000000000e+00,2.764673775646e+02
3.490000000000e+00,2.809497198241e+02
3.510000000000e+00,2.735531452621e+02
3.530000000000e+00,2.729263864349e+02
3.550000000000e+00,2.710879067704e+02
3.570000000000e+00,2.678485837993e+02
3.590000000000e+00,2.673317030543e+02
3.610000000000e+00,2.633875102466e+02
3.630000000000e+00,2.619428087625e+02
3.650000000000e+00,2.589186479018e+02
3.670000000000e+00,2.586043384174e+02
3.690000000000e+00,2.557648223607e+02
3.710000000000e+00,2.542467926925e+02
3.730000000000e+00,2.524464487777e+02
3.750000000000e+00,2.506778846120e+02
3.770000000000e+00,2.472581413141e+02
3.790000000000e+00,2.443910866494e+02
3.810000000000e+00,2.429988270048e+02
3.830000000000e+00,2.412454995930e+02
3.850000000000e+00,2.388498400543e+02
3.870000000000e+00,2.363490392650e+02
3.890000000000e+00,2.344957027975e+02
3.910000000000e+00,2.328556507660e+02
3.930000000000e+00,2.283536054399e+02
3.950000000000e+00,2.285000066772e+02
3.970000000000e+00,2.262237553826e+02
3.990000000000e+00,2.231403424383e+02
4.010000000000e+00,2.203875141377e+02
4.030000000000e+00,2.193769568243e+02
4.050000000000e+00,2.149886742702e+02
4.070000000000e+00,2.148193605317e+02
4.090000000000e+00,2.108106732395e+02
4.110000000000e+00,2.088863278427e+02
4.130000000000e+00,2.078068188747e+02
4.150000000000e+00,2.045685154889e+02
4.170000000000e+00,2.023632056183e+02
4.190000000000e+00,1.994084119183e+02
4.210000000000e+00,1.975687583476e+02
4.230000000000e+00,1.956924064819e+02
4.250000000000e+00,1.927977062771e+02
4.270000000000e+00,1.889714556584e+02
4.290000000000e+00,1.869395320763e+02
4.310000000000e+00,1.851520056326e+02
4.330000000000e+00,1.833843509159e+02
4.350000000000e+00,1.788225166023e+02
4.370000000000e+00,1.776362879215e+02
4.390000000000e+00,1.748026329417e+02
4.410000000000e+00,1.723436632686e+02
4.430000000000e+00,1.691455572239e+02
4.450000000000e+00,1.671021313568e+02
4.470000000000e+00,1.640557750655e+02
4.490000000000e+00,1.626131383825e+02
4.510000000000e+00,1.600928839648e+02
4.530000000000e+00,1.573111797159e+02
4.550000000000e+00,1.544263420517e+02
4.570000000000e+00,1.520107506021e+02
4.590000000000e+00,1.500153308354e+02
4.610000000000e+00,1.488860727689e+02
4.630000000000e+00,1.455427949151e+02
4.650000000000e+00,1.418240464118e+02
4.670000000000e+00,1.401839221178e+02
4.690000000000e+00,1.384948967081e+02
4.710000000000e+00,1.365430385184e+02
4.730000000000e+00,1.336645348524e+02
4.750000000000e+00,1.312789098585e+02
4.770000000000e+00,1.280683987368e+02
4.790000000000e+00,1.273180677032e+02
4.810000000000e+00,1.248048234806e+02
4.830000000000e+00,1.222423006011e+02
4.850000000000e+00,1.204617081047e+02
4.870000000000e+00,1.175880905176e+02
4.890000000000e+00,1.158556831520e+02
4.910000000000e+00,1.138882229491e+02
4.930000000000e+00,1.123435116620e+02
4.950000000000e+00,1.095741750166e+02
4.970000000000e+00,1.076773986576e+02
4.990000000000e+00,1.057825779587e+02
5.010000000000e+00,1.043431422612e+02
5.030000000000e+00,1.017444733497e+02
5.050000000000e+00,9.941878992409e+01
5.070000000000e+00,9.815415148967e+01
5.090000000000e+00,9.655283603113e+01
5.110000000000e+00,9.389181639075e+01
5.130000000000e+00,9.248573175249e+01
5.150000000000e+00,9.092059800887e+01
5.170000000000e+00,8.842674642162e+01
5.190000000000e+00,8.812452074921e+01
5.210000000000e+00,8.581831166571e+01
5.230000000000e+00,8.336642690497e+01
5.250000000000e+00,8.176939178630e+01
5.270000000000e+00,8.097462656526e+01
5.290000000000e+00,7.964094559646e+01
5.310000000000e+00,7.725066887016e+01
5.330000000000e+00,7.493362421752e+01
5.350000000000e+00,7.466840224406e+01
5.370000000000e+00,7.260307239713e+01
5.390000000000e+00,7.183906191942e+01
5.410000000000e+00,6.969034800266e+01
5.430000000000e+00,6.782259903469e+01
5.450000000000e+00,6.696130549329e+01
5.470000000000e+00,6.488674466147e+01
5.490000000000e+00,6.390545697431e+01
5.510000000000e+00,6.304431584889e+01
5.530000000000e+00,6.066171367375e+01
5.550000000000e+00,5.910740220348e+01
5.570000000000e+00,5.894493073116e+01
5.590000000000e+00,5.686625011340e+01
5.610000000000e+00,5.552245153658e+01
5.630000000000e+00,5.439759831130e+01
5.650000000000e+00,5.296486832842e+01
5.670000000000e+00,5.222669154895e+01
5.690000000000e+00,5.054614537676e+01
5.710000000000e+00,4.848295966844e+01
5.730000000000e+00,4.807395149633e+01
5.750000000000e+00,4.630930687539e+01
5.770000000000e+00,4.531612184270e+01
5.790000000000e+00,4.440808626071e+01
5.810000000000e+00,4.259080068214e+01
5.830000000000e+00,4.189321534771e+01
5.850000000000e+00,4.097328535923e+01
5.870000000000e+00,3.964154567530e+01
5.890000000000e+00,3.897377575755e+01
5.910000000000e+00,3.689817637534e+01
5.930000000000e+00,3.632507595974e+01
5.950000000000e+00,3.475340003175e+01
5.970000000000e+00,3.350178352470e+01
5.990000000000e+00,3.290960438324e+01
6.010000000000e+00,3.239535712999e+01
6.030000000000e+00,3.123760424430e+01
6.050000000000e+00,3.004834616251e+01
6.070000000000e+00,2.903011207007e+01
6.090000000000e+00,2.769838425178e+01
6.110000000000e+00,2.723782531629e+01
6.130000000000e+00,2.634303786266e+01
6.150000000000e+00,2.542892862246e+01
6.170000000000e+00,2.447479837954e+01
6.190000000000e+00,2.363330864360e+01
6.210000000000e+00,2.286112433272e+01
6.230000000000e+00,2.187045847549e+01
