redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,2.130083889315e+02
3.000000000000e-02,2.180367907628e+02
5.000000000000e-02,2.231124038185e+02
7.000000000000e-02,2.272061214412e+02
9.000000000000e-02,2.326003380036e+02
1.100000000000e-01,2.364610531918e+02
1.300000000000e-01,2.418911569007e+02
1.500000000000e-01,2.468317664845e+02
1.700000000000e-01,2.503929376628e+02
1.900000000000e-01,2.549625589233e+02
2.100000000000e-01,2.582355834400e+02
2.300000000000e-01,2.624996965874e+02
2.500000000000e-01,2.647129406740e+02
2.700000000000e-01,2.682915501188e+02
2.900000000000e-01,2.709337425771e+02
3.100000000000e-01,2.736391215305e+02
3.300000000000e-01,2.766134149626e+02
3.500000000000e-01,2.784893747719e+02
3.700000000000e-01,2.827815745841e+02
3.900000000000e-01,2.830709397372e+02
4.100000000000e-01,2.868580315878e+02
4.300000000000e-01,2.887597990308e+02
4.500000000000e-01,2.922061143784e+02
4.700000000000e-01,2.938778457958e+02
4.900000000000e-01,2.979926490638e+02
5.100000000000e-01,2.994576230617e+02
5.300000000000e-01,3.008008057382e+02
5.500000000000e-01,3.050162719974e+02
5.700000000000e-01,3.055089804941e+02
5.900000000000e-01,3.070459376257e+02
6.100000000000e-01,3.093112543527e+02
6.300000000000e-01,3.111479506406e+02
6.500000000000e-01,3.111410840663e+02
6.700000000000e-01,3.128138072267e+02
6.900000000000e-01,3.104579076098e+02
7.100000000000e-01,3.141515576193e+02
7.300000000000e-01,3.146507894856e+02
7.500000000000e-01,3.138675464157e+02
7.700000000000e-01,3.184998874110e+02
7.900000000000e-01,3.159793613459e+02
8.100000000000e-01,3.176499743797e+02
8.300000000000e-01,3.186088611578e+02
8.500000000000e-01,3.193270821110e+02
8.700000000000e-01,3.211093891401e+02
8.900000000000e-01,3.205568393517e+02
9.100000000000e-01,3.209651938110e+02
9.300000000000e-01,3.211520661451e+02
9.500000000000e-01,3.234420606332e+02
9.700000000000e-01,3.210357135172e+02
9.900000000000e-01,3.246825742470e+02
1.010000000000e+00,3.233969602180e+02
1.030000000000e+00,3.241528899594e+02
1.050000000000e+00,3.240501462379e+02
1.070000000000e+00,3.208416592428e+02
1.090000000000e+00,3.244111946733e+02
1.110000000000e+00,3.219733900034e+02
1.130000000000e+00,3.241983687131e+02
1.150000000000e+00,3.215817286120e+02
1.170000000000e+00,3.243609849872e+02
1.190000000000e+00,3.211642606749e+02
1.210000000000e+00,3.208385062891e+02
1.230000000000e+00,3.213884035925e+02
1.250000000000e+00,3.218046700720e+02
1.270000000000e+00,3.206387184588e+02
1.290000000000e+00,3.221630980545e+02
1.310000000000e+00,3.193629110855e+02
1.330000000000e+00,3.211227417267e+02
1.350000000000e+00,3.194631055722e+02
1.370000000000e+00,3.176836196632e+02
1.390000000000e+00,3.181734737030e+02
1.410000000000e+00,3.164947209636e+02
1.430000000000e+00,3.176621332917e+02
1.450000000000e+00,3.146843181493e+02
1.470000000000e+00,3.164193767294e+02
1.490000000000e+00,3.091901345313e+02
1.510000000000e+00,3.128292512377e+02
1.530000000000e+00,3.114446210404e+02
1.550000000000e+00,3.102965568925e+02
1.570000000000e+00,3.059187812404e+02
1.590000000000e+00,3.063385012520e+02
1.610000000000e+00,3.035766014516e+02
1.630000000000e+00,3.032277825765e+02
1.650000000000e+00,2.993228853773e+02
1.670000000000e+00,3.017333710928e+02
1.690000000000e+00,2.981447505755e+02
1.710000000000e+00,2.943123811534e+02
1.730000000000e+00,2.925219310510e+02
1.750000000000e+00,2.914627599007e+02
1.770000000000e+00,2.887345943888e+02
1.790000000000e+00,2.862397811799e+02
1.810000000000e+00,2.847766427905e+02
1.830000000000e+00,2.832700086204e+02
1.850000000000e+00,2.792591767794e+02
1.870000000000e+00,2.763261601468e+02
1.890000000000e+00,2.764592173439e+02
1.910000000000e+00,2.706994946131e+02
1.930000000000e+00,2.718700902974e+02
1.950000000000e+00,2.661227338353e+02
1.970000000000e+00,2.657904957469e+02
1.990000000000e+00,2.630156216228e+02
2.010000000000e+00,2.603164381602e+02
2.030000000000e+00,2.585610541626e+02
2.050000000000e+00,2.543203815775e+02
2.070000000000e+00,2.529739526839e+02
2.090000000000e+00,2.506251185731e+02
2.110000000000e+00,2.493045708041e+02
2.130000000000e+00,2.454691972464e+02
2.150000000000e+00,2.433964373290e+02
2.170000000000e+00,2.407345990978e+02
2.190000000000e+00,2.392189165317e+02
2.210000000000e+00,2.381420438005e+02
2.230000000000e+00,2.345010934064e+02
2.250000000000e+00,2.296588923574e+02
2.270000000000e+00,2.284127543754e+02
2.290000000000e+00,2.259918337396e+02
2.310000000000e+00,2.243035559398e+02
2.330000000000e+00,2.212283051348e+02
2.350000000000e+00,2.182101333810e+02
2.370000000000e+00,2.174836343666e+02
2.390000000000e+00,2.128981825038e+02
2.410000000000e+00,2.116778265608e+02
2.430000000000e+00,2.093071281436e+02
2.450000000000e+00,2.074308832063e+02
2.470000000000e+00,2.053852069336e+02
2.490000000000e+00,2.008365633766e+02
2.510000000000e+00,2.003442392333e+02
2.530000000000e+00,1.983830268651e+02
2.550000000000e+00,1.972606337610e+02
2.570000000000e+00,1.937250890033e+02
2.590000000000e+00,1.920846982339e+02
2.610000000000e+00,1.888880192799e+02
2.630000000000e+00,1.889285636284e+02
2.650000000000e+00,1.866447590303e+02
2.670000000000e+00,1.854860889828e+02
2.690000000000e+00,1.810008645415e+02
2.710000000000e+00,1.817723217139e+02
2.730000000000e+00,1.779167109526e+02
2.750000000000e+00,1.776102582813e+02
2.770000000000e+00,1.747238098995e+02
2.790000000000e+00,1.736446385006e+02
2.810000000000e+00,1.707777781687e+02
2.830000000000e+00,1.700531070192e+02
2.850000000000e+00,1.682308947302e+02
2.870000000000e+00,1.655990547839e+02
2.890000000000e+00,1.647542225011e+02
2.910000000000e+00,1.635594175457e+02
2.930000000000e+00,1.617172091037e+02
2.950000000000e+00,1.593996215983e+02
2.970000000000e+00,1.591639049515e+02
2.990000000000e+00,1.565294732358e+02
3.010000000000e+00,1.556454358191e+02
3.030000000000e+00,1.531234469623e+02
