redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,1.040594433434e+02
3.000000000000e-02,1.096289739467e+02
5.000000000000e-02,1.137757319656e+02
7.000000000000e-02,1.192267370943e+02
9.000000000000e-02,1.251630909668e+02
1.100000000000e-01,1.296406915396e+02
1.300000000000e-01,1.343616415017e+02
1.500000000000e-01,1.402132810599e+02
1.700000000000e-01,1.456235610301e+02
1.900000000000e-01,1.518948046093e+02
2.100000000000e-01,1.585392834562e+02
2.300000000000e-01,1.630765650785e+02
2.500000000000e-01,1.688768710277e+02
2.700000000000e-01,1.742553869609e+02
2.900000000000e-01,1.815526752014e+02
3.100000000000e-01,1.874820580123e+02
3.300000000000e-01,1.949713484343e+02
3.500000000000e-01,1.997765324814e+02
3.700000000000e-01,2.080935921535e+02
3.900000000000e-01,2.139264107522e+02
4.100000000000e-01,2.206943186392e+02
4.300000000000e-01,2.290460244728e+02
4.500000000000e-01,2.343746272978e+02
4.700000000000e-01,2.434409891979e+02
4.900000000000e-01,2.497937840302e+02
5.100000000000e-01,2.579599318718e+02
5.300000000000e-01,2.650914478515e+02
5.500000000000e-01,2.728804691879e+02
5.700000000000e-01,2.804611844963e+02
5.900000000000e-01,2.884116693825e+02
6.100000000000e-01,2.941983531229e+02
6.300000000000e-01,3.035828910495e+02
6.500000000000e-01,3.103474156700e+02
6.700000000000e-01,3.199421241768e+02
6.900000000000e-01,3.258853722584e+02
7.100000000000e-01,3.337725300088e+02
7.300000000000e-01,3.409522151667e+02
7.500000000000e-01,3.497764551151e+02
7.700000000000e-01,3.552176254114e+02
7.900000000000e-01,3.653721684864e+02
8.100000000000e-01,3.731308621583e+02
8.300000000000e-01,3.819905718912e+02
8.500000000000e-01,3.883945712936e+02
8.700000000000e-01,3.951141542700e+02
8.900000000000e-01,4.052919864804e+02
9.100000000000e-01,4.125887430914e+02
9.300000000000e-01,4.221693319488e+02
9.500000000000e-01,4.283987026576e+02
9.700000000000e-01,4.395418797300e+02
9.900000000000e-01,4.441522779674e+02
1.010000000000e+00,4.534861629138e+02
1.030000000000e+00,4.586844579454e+02
1.050000000000e+00,4.698022376726e+02
1.070000000000e+00,4.742475798532e+02
1.090000000000e+00,4.834051817374e+02
1.110000000000e+00,4.920255989304e+02
1.130000000000e+00,4.993355519896e+02
1.150000000000e+00,5.069298451803e+02
1.170000000000e+00,5.095609111105e+02
1.190000000000e+00,5.208142449608e+02
1.210000000000e+00,5.269726871190e+02
1.230000000000e+00,5.348875582887e+02
1.250000000000e+00,5.408351240527e+02
1.270000000000e+00,5.477766297896e+02
1.290000000000e+00,5.514077760566e+02
1.310000000000e+00,5.581937925795e+02
1.330000000000e+00,5.656496290063e+02
1.350000000000e+00,5.712261985660e+02
1.370000000000e+00,5.771407346934e+02
1.390000000000e+00,5.792295101793e+02
1.410000000000e+00,5.884759161742e+02
1.430000000000e+00,5.886648934097e+02
1.450000000000e+00,5.969299103366e+02
1.470000000000e+00,5.987257310834e+02
