redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,8.653921191130e-01
3.000000000000e-02,7.988652699173e-01
5.000000000000e-02,7.820883517141e-01
7.000000000000e-02,7.221028373323e-01
9.000000000000e-02,7.094625878713e-01
1.100000000000e-01,7.431863117334e-01
1.300000000000e-01,7.202887345787e-01
1.500000000000e-01,8.065482523378e-01
1.700000000000e-01,8.638809313067e-01
1.900000000000e-01,9.020281809291e-01
2.100000000000e-01,9.953806934724e-01
2.300000000000e-01,9.973820563190e-01
2.500000000000e-01,1.015976988364e+00
2.700000000000e-01,1.029386166174e+00
2.900000000000e-01,9.937233963831e-01
3.100000000000e-01,8.666224478312e-01
3.300000000000e-01,7.346178142996e-01
3.500000000000e-01,7.679814199211e-01
3.700000000000e-01,7.324734546843e-01
3.900000000000e-01,7.664387461751e-01
4.100000000000e-01,7.886827020447e-01
4.300000000000e-01,8.450394932090e-01
4.500000000000e-01,9.236426058592e-01
4.700000000000e-01,1.028648574290e+00
4.900000000000e-01,1.066308360404e+00
5.100000000000e-01,1.173182515805e+00
5.300000000000e-01,1.120534019733e+00
5.500000000000e-01,1.157547908873e+00
5.700000000000e-01,1.049702021113e+00
5.900000000000e-01,1.033459810367e+00
6.100000000000e-01,1.169057929135e+00
6.300000000000e-01,1.047983764182e+00
6.500000000000e-01,1.043902223194e+00
6.700000000000e-01,1.007334097939e+00
6.900000000000e-01,1.117721638130e+00
7.100000000000e-01,1.159729393840e+00
7.300000000000e-01,1.260132122071e+00
7.500000000000e-01,1.316561552589e+00
7.700000000000e-01,1.369769015532e+00
7.900000000000e-01,1.469160110710e+00
8.100000000000e-01,1.422613423105e+00
8.300000000000e-01,1.605980582428e+00
8.500000000000e-01,1.443615072870e+00
8.700000000000e-01,1.431477131733e+00
8.900000000000e-01,1.634031464643e+00
9.100000000000e-01,1.385495734762e+00
9.300000000000e-01,1.594716593995e+00
9.500000000000e-01,1.641322568077e+00
9.700000000000e-01,1.585093926431e+00
9.900000000000e-01,1.728297391180e+00
1.010000000000e+00,1.790277258901e+00
1.030000000000e+00,1.501386875904e+00
1.050000000000e+00,1.550556344236e+00
1.070000000000e+00,1.559090082610e+00
1.090000000000e+00,1.671027443996e+00
1.110000000000e+00,1.684394272780e+00
1.130000000000e+00,1.713922192217e+00
1.150000000000e+00,1.671389198812e+00
1.170000000000e+00,1.746068653102e+00
1.190000000000e+00,1.713465667612e+00
1.210000000000e+00,1.718047685437e+00
1.230000000000e+00,2.034979728434e+00
1.250000000000e+00,1.790731873807e+00
1.270000000000e+00,1.887486051454e+00
1.290000000000e+00,1.862123442285e+00
1.310000000000e+00,1.957437155194e+00
1.330000000000e+00,1.794449218442e+00
1.350000000000e+00,1.964860292275e+00
1.370000000000e+00,1.663015401898e+00
1.390000000000e+00,1.730306668484e+00
1.410000000000e+00,1.877974085282e+00
1.430000000000e+00,1.732314858675e+00
1.450000000000e+00,1.888370900106e+00
1.470000000000e+00,1.908796637361e+00
1.490000000000e+00,1.752038638461e+00
1.510000000000e+00,1.788100504881e+00
1.530000000000e+00,2.058699524261e+00
1.550000000000e+00,1.832861872006e+00
1.570000000000e+00,1.859083959175e+00
1.590000000000e+00,2.119259441550e+00
1.610000000000e+00,1.948562645905e+00
1.630000000000e+00,2.016535321001e+00
1.650000000000e+00,2.004238344062e+00
1.670000000000e+00,2.001010669311e+00
1.690000000000e+00,2.036087865924e+00
1.710000000000e+00,2.244022484864e+00
1.730000000000e+00,2.107181921852e+00
1.750000000000e+00,2.083808643774e+00
1.770000000000e+00,2.452403162429e+00
1.790000000000e+00,1.992363226901e+00
1.810000000000e+00,2.333327725145e+00
1.830000000000e+00,2.239849731124e+00
1.850000000000e+00,2.543616250473e+00
1.870000000000e+00,2.242425416227e+00
1.890000000000e+00,2.344027327982e+00
1.910000000000e+00,2.248058055258e+00
1.930000000000e+00,2.614365590927e+00
1.950000000000e+00,2.291807579967e+00
1.970000000000e+00,2.424077223235e+00
1.990000000000e+00,2.296814854839e+00
2.010000000000e+00,2.465915624805e+00
2.030000000000e+00,2.408672608156e+00
2.050000000000e+00,2.668184767770e+00
2.070000000000e+00,2.290154084458e+00
2.090000000000e+00,2.598033407004e+00
2.110000000000e+00,2.550520122890e+00
2.130000000000e+00,2.698822670315e+00
2.150000000000e+00,2.444055044468e+00
2.170000000000e+00,2.759989262085e+00
