redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,1.652525209318e+01
3.000000000000e-02,1.638781978730e+01
5.000000000000e-02,1.626616349989e+01
7.000000000000e-02,1.615873538456e+01
9.000000000000e-02,1.633610361257e+01
1.100000000000e-01,1.647449993103e+01
1.300000000000e-01,1.658012023469e+01
1.500000000000e-01,1.630843391502e+01
1.700000000000e-01,1.643760580443e+01
1.900000000000e-01,1.641057330973e+01
2.100000000000e-01,1.729171036990e+01
2.300000000000e-01,1.771596697574e+01
2.500000000000e-01,1.796042252228e+01
2.700000000000e-01,1.816209215683e+01
2.900000000000e-01,1.847397354903e+01
3.100000000000e-01,1.846013365240e+01
3.300000000000e-01,1.860512481860e+01
3.500000000000e-01,1.851378344664e+01
3.700000000000e-01,1.832075800589e+01
3.900000000000e-01,1.890569086063e+01
4.100000000000e-01,1.860124765540e+01
4.300000000000e-01,1.884279543593e+01
4.500000000000e-01,1.880289322961e+01
4.700000000000e-01,1.918819649092e+01
4.900000000000e-01,1.967449654542e+01
5.100000000000e-01,1.960680908854e+01
5.300000000000e-01,1.960581025618e+01
5.500000000000e-01,2.026772377730e+01
5.700000000000e-01,2.041650099337e+01
5.900000000000e-01,2.025884592675e+01
6.100000000000e-01,2.068450359147e+01
6.300000000000e-01,2.100632424020e+01
6.500000000000e-01,2.120931984138e+01
6.700000000000e-01,2.156480773902e+01
6.900000000000e-01,2.144062580236e+01
7.100000000000e-01,2.224818291612e+01
7.300000000000e-01,2.197308151047e+01
7.500000000000e-01,2.203811708054e+01
7.700000000000e-01,2.272729044325e+01
7.900000000000e-01,2.274427609713e+01
8.100000000000e-01,2.300990217974e+01
8.300000000000e-01,2.310118696120e+01
8.500000000000e-01,2.293134760130e+01
8.700000000000e-01,2.279465640809e+01
8.900000000000e-01,2.356247702308e+01
9.100000000000e-01,2.320760875885e+01
9.300000000000e-01,2.349622169768e+01
9.500000000000e-01,2.373939758737e+01
9.700000000000e-01,2.402575826515e+01
9.900000000000e-01,2.419140504147e+01
1.010000000000e+00,2.440333208316e+01
1.030000000000e+00,2.394857912207e+01
1.050000000000e+00,2.417579048018e+01
1.070000000000e+00,2.472039289896e+01
1.090000000000e+00,2.424507655773e+01
1.110000000000e+00,2.482133692198e+01
1.130000000000e+00,2.428035859195e+01
1.150000000000e+00,2.435621691666e+01
1.170000000000e+00,2.517833014621e+01
1.190000000000e+00,2.447903431903e+01
1.210000000000e+00,2.495674425532e+01
1.230000000000e+00,2.531701560231e+01
1.250000000000e+00,2.454684324983e+01
1.270000000000e+00,2.477702140998e+01
1.290000000000e+00,2.519286681029e+01
1.310000000000e+00,2.488263472788e+01
1.330000000000e+00,2.502698659943e+01
1.350000000000e+00,2.455647523825e+01
1.370000000000e+00,2.464337489720e+01
1.390000000000e+00,2.559383245437e+01
1.410000000000e+00,2.449620287616e+01
1.430000000000e+00,2.446958976687e+01
1.450000000000e+00,2.461833556649e+01
1.470000000000e+00,2.459444715549e+01
1.490000000000e+00,2.406801582376e+01
1.510000000000e+00,2.449314126996e+01
1.530000000000e+00,2.470930866748e+01
1.550000000000e+00,2.405286235490e+01
1.570000000000e+00,2.410502791024e+01
1.590000000000e+00,2.436520920034e+01
1.610000000000e+00,2.419372121977e+01
1.630000000000e+00,2.362833463426e+01
1.650000000000e+00,2.477689495828e+01
1.670000000000e+00,2.351154381191e+01
1.690000000000e+00,2.372554358365e+01
1.710000000000e+00,2.407642417196e+01
1.730000000000e+00,2.396543150449e+01
1.750000000000e+00,2.297822385570e+01
1.770000000000e+00,2.419027276937e+01
1.790000000000e+00,2.279378980376e+01
1.810000000000e+00,2.320833517669e+01
1.830000000000e+00,2.347973818136e+01
1.850000000000e+00,2.343443700189e+01
1.870000000000e+00,2.272711589550e+01
1.890000000000e+00,2.302446291554e+01
1.910000000000e+00,2.293766560718e+01
1.930000000000e+00,2.310779353103e+01
1.950000000000e+00,2.300695641137e+01
1.970000000000e+00,2.341794867278e+01
1.990000000000e+00,2.296890191150e+01
2.010000000000e+00,2.302783433613e+01
2.030000000000e+00,2.327296132973e+01
2.050000000000e+00,2.324268789073e+01
2.070000000000e+00,2.292873156881e+01
2.090000000000e+00,2.314846052861e+01
2.110000000000e+00,2.291804057378e+01
2.130000000000e+00,2.331457978368e+01
2.150000000000e+00,2.252397499497e+01
2.170000000000e+00,2.273068685341e+01
2.190000000000e+00,2.271771774632e+01
2.210000000000e+00,2.274730848111e+01
2.230000000000e+00,2.251296477010e+01
2.250000000000e+00,2.270576558282e+01
2.270000000000e+00,2.227588386463e+01
2.290000000000e+00,2.283745411105e+01
2.310000000000e+00,2.265143256310e+01
2.330000000000e+00,2.252175287351e+01
2.350000000000e+00,2.201884584070e+01
2.370000000000e+00,2.274691084637e+01
2.390000000000e+00,2.225287228624e+01
2.410000000000e+00,2.204246067702e+01
2.430000000000e+00,2.222802482030e+01
2.450000000000e+00,2.234065098204e+01
2.470000000000e+00,2.194589973260e+01
2.490000000000e+00,2.193688459188e+01
2.510000000000e+00,2.195426663152e+01
2.530000000000e+00,2.168646332031e+01
2.550000000000e+00,2.142244304773e+01
2.570000000000e+00,2.147150959712e+01
2.590000000000e+00,2.121054550201e+01
2.610000000000e+00,2.130052611007e+01
2.630000000000e+00,2.094314307237e+01
2.650000000000e+00,2.052865160881e+01
2.670000000000e+00,2.099952791063e+01
2.690000000000e+00,2.015814493704e+01
2.710000000000e+00,1.980415152295e+01
2.730000000000e+00,2.023447052886e+01
2.750000000000e+00,2.041770675821e+01
2.770000000000e+00,1.996693786942e+01
2.790000000000e+00,1.978390441940e+01
2.810000000000e+00,1.989830622379e+01
2.830000000000e+00,1.959583970872e+01
2.850000000000e+00,1.965400089890e+01
2.870000000000e+00,1.915381219088e+01
2.890000000000e+00,1.965757835376e+01
2.910000000000e+00,1.922988746280e+01
2.930000000000e+00,1.934338240208e+01
2.950000000000e+00,1.887988123125e+01
2.970000000000e+00,1.880930082245e+01
2.990000000000e+00,1.881879402557e+01
3.010000000000e+00,1.891166101903e+01
3.030000000000e+00,1.856780011366e+01
3.050000000000e+00,1.845272878527e+01
3.070000000000e+00,1.886003600776e+01
3.090000000000e+00,1.846440043889e+01
3.110000000000e+00,1.831797957941e+01
3.130000000000e+00,1.826985065323e+01
3.150000000000e+00,1.840947106830e+01
3.170000000000e+00,1.793085978466e+01
3.190000000000e+00,1.807934689144e+01
3.210000000000e+00,1.775484212262e+01
3.230000000000e+00,1.823387279446e+01
3.250000000000e+00,1.801886289900e+01
3.270000000000e+00,1.784065093216e+01
3.290000000000e+00,1.751068748574e+01
3.310000000000e+00,1.752098172536e+01
3.330000000000e+00,1.738699859430e+01
3.350000000000e+00,1.746242632006e+01
3.370000000000e+00,1.751605350320e+01
3.390000000000e+00,1.698343820003e+01
3.410000000000e+00,1.698885813909e+01
3.430000000000e+00,1.681234034960e+01
3.450000000000e+00,1.673965047803e+01
3.470000000000e+00,1.681843513023e+01
3.490000000000e+00,1.677321259539e+01
3.510000000000e+00,1.648687799191e+01
3.530000000000e+00,1.627214467159e+01
3.550000000000e+00,1.599493255168e+01
3.570000000000e+00,1.596993885046e+01
3.590000000000e+00,1.567564843029e+01
3.610000000000e+00,1.569238314114e+01
3.630000000000e+00,1.576855130975e+01
3.650000000000e+00,1.513549191456e+01
3.670000000000e+00,1.514388225533e+01
3.690000000000e+00,1.526823259047e+01
3.710000000000e+00,1.454611102062e+01
3.730000000000e+00,1.501472263596e+01
3.750000000000e+00,1.477537090949e+01
3.770000000000e+00,1.458280268782e+01
3.790000000000e+00,1.415695372224e+01
3.810000000000e+00,1.413748461464e+01
3.830000000000e+00,1.427450612569e+01
3.850000000000e+00,1.396931341335e+01
3.870000000000e+00,1.385953883884e+01
3.890000000000e+00,1.384279834603e+01
3.910000000000e+00,1.354914152304e+01
3.930000000000e+00,1.339032727358e+01
3.950000000000e+00,1.363522112581e+01
3.970000000000e+00,1.339184536011e+01
3.990000000000e+00,1.336782813925e+01
4.010000000000e+00,1.284898544725e+01
4.030000000000e+00,1.295063891913e+01
4.050000000000e+00,1.281026672142e+01
4.070000000000e+00,1.293518164160e+01
4.090000000000e+00,1.258940193255e+01
4.110000000000e+00,1.276549579624e+01
4.130000000000e+00,1.231737714220e+01
4.150000000000e+00,1.247212666240e+01
4.170000000000e+00,1.238282290264e+01
4.190000000000e+00,1.201805848437e+01
4.210000000000e+00,1.213451124284e+01
4.230000000000e+00,1.195938905250e+01
4.250000000000e+00,1.191329520457e+01
