redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,2.372068576256e-01
3.000000000000e-02,2.390377067553e-01
5.000000000000e-02,2.847261196893e-01
7.000000000000e-02,3.041058571124e-01
9.000000000000e-02,3.096031104434e-01
1.100000000000e-01,4.209751777364e-01
1.300000000000e-01,4.137647321710e-01
1.500000000000e-01,4.452536028118e-01
1.700000000000e-01,4.821863733059e-01
1.900000000000e-01,4.093317270642e-01
2.100000000000e-01,3.637339122447e-01
2.300000000000e-01,3.695587362228e-01
2.500000000000e-01,2.557112803105e-01
2.700000000000e-01,3.090976824009e-01
2.900000000000e-01,3.016546851420e-01
3.100000000000e-01,3.711051924226e-01
3.300000000000e-01,2.996296356900e-01
3.500000000000e-01,3.335164010636e-01
3.700000000000e-01,4.100063516667e-01
3.900000000000e-01,3.382627662130e-01
4.100000000000e-01,4.908235131737e-01
4.300000000000e-01,6.092228442481e-01
4.500000000000e-01,6.389174600914e-01
4.700000000000e-01,6.601011555584e-01
4.900000000000e-01,6.120575851087e-01
5.100000000000e-01,6.398326518703e-01
5.300000000000e-01,6.318739023523e-01
5.500000000000e-01,7.358633868178e-01
5.700000000000e-01,7.525663269743e-01
5.900000000000e-01,7.511431482828e-01
6.100000000000e-01,8.103661057028e-01
6.300000000000e-01,7.766100439813e-01
6.500000000000e-01,6.087991810499e-01
6.700000000000e-01,5.621517087652e-01
6.900000000000e-01,5.241552057870e-01
7.100000000000e-01,4.751062504957e-01
7.300000000000e-01,4.023383843113e-01
7.500000000000e-01,3.149743087553e-01
7.700000000000e-01,3.431790385990e-01
7.900000000000e-01,3.885755911212e-01
8.100000000000e-01,4.679209886391e-01
8.300000000000e-01,4.550175880313e-01
8.500000000000e-01,5.016052070251e-01
8.700000000000e-01,5.213126765107e-01
8.900000000000e-01,5.180131197286e-01
9.100000000000e-01,5.983559540743e-01
9.300000000000e-01,5.725969119446e-01
9.500000000000e-01,6.120676366409e-01
9.700000000000e-01,5.969198125778e-01
9.900000000000e-01,5.587149021742e-01
1.010000000000e+00,5.001705170765e-01
1.030000000000e+00,5.688416904001e-01
1.050000000000e+00,5.534891313888e-01
1.070000000000e+00,5.717000664991e-01
1.090000000000e+00,6.137224247464e-01
1.110000000000e+00,6.420917067412e-01
1.130000000000e+00,6.429406949297e-01
