redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,9.971477527870e+00
3.000000000000e-02,1.018451044529e+01
5.000000000000e-02,1.039136153967e+01
7.000000000000e-02,1.038301655958e+01
9.000000000000e-02,1.047134205144e+01
1.100000000000e-01,1.048949363442e+01
1.300000000000e-01,1.069872801726e+01
1.500000000000e-01,1.068899163489e+01
1.700000000000e-01,1.073295936771e+01
1.900000000000e-01,1.114543033211e+01
2.100000000000e-01,1.159076011872e+01
2.300000000000e-01,1.176887830482e+01
2.500000000000e-01,1.226785767015e+01
2.700000000000e-01,1.241342129220e+01
2.900000000000e-01,1.248818149548e+01
3.100000000000e-01,1.264392345904e+01
3.300000000000e-01,1.266901966058e+01
3.500000000000e-01,1.273921611079e+01
3.700000000000e-01,1.261579596312e+01
3.900000000000e-01,1.278565728002e+01
4.100000000000e-01,1.304239262963e+01
4.300000000000e-01,1.297705432163e+01
4.500000000000e-01,1.321345960087e+01
4.700000000000e-01,1.379084128324e+01
4.900000000000e-01,1.417130286508e+01
5.100000000000e-01,1.415260902633e+01
5.300000000000e-01,1.492107621084e+01
5.500000000000e-01,1.480021025614e+01
5.700000000000e-01,1.524773740386e+01
5.900000000000e-01,1.524826543965e+01
6.100000000000e-01,1.609229040950e+01
6.300000000000e-01,1.683491023797e+01
6.500000000000e-01,1.644464100484e+01
6.700000000000e-01,1.745532000534e+01
6.900000000000e-01,1.766383634959e+01
7.100000000000e-01,1.762245850304e+01
7.300000000000e-01,1.756462268925e+01
7.500000000000e-01,1.741076829218e+01
7.700000000000e-01,1.798263303985e+01
7.900000000000e-01,1.823659070030e+01
8.100000000000e-01,1.777175057133e+01
8.300000000000e-01,1.884314550663e+01
8.500000000000e-01,1.918671323125e+01
8.700000000000e-01,1.908720084257e+01
8.900000000000e-01,1.965330890598e+01
9.100000000000e-01,1.980987992707e+01
9.300000000000e-01,1.949632889444e+01
9.500000000000e-01,1.992863826355e+01
9.700000000000e-01,1.991350978732e+01
9.900000000000e-01,1.976878258461e+01
1.010000000000e+00,1.975734522161e+01
1.030000000000e+00,2.000024094732e+01
1.050000000000e+00,2.039967400371e+01
1.070000000000e+00,1.974466295831e+01
1.090000000000e+00,2.083436825262e+01
1.110000000000e+00,2.033318858361e+01
1.130000000000e+00,2.010086082209e+01
1.150000000000e+00,2.063359233479e+01
1.170000000000e+00,2.014829376670e+01
1.190000000000e+00,2.027073111831e+01
1.210000000000e+00,2.095653323502e+01
1.230000000000e+00,2.036380904457e+01
1.250000000000e+00,2.145567604604e+01
1.270000000000e+00,2.153958034774e+01
1.290000000000e+00,2.134775137656e+01
1.310000000000e+00,2.169924079952e+01
1.330000000000e+00,2.266817732927e+01
1.350000000000e+00,2.235049624600e+01
1.370000000000e+00,2.257624096059e+01
1.390000000000e+00,2.286460198894e+01
1.410000000000e+00,2.281050330814e+01
1.430000000000e+00,2.294457871197e+01
1.450000000000e+00,2.284069418054e+01
1.470000000000e+00,2.268879167539e+01
1.490000000000e+00,2.287176285512e+01
1.510000000000e+00,2.249375813501e+01
1.530000000000e+00,2.320977144936e+01
1.550000000000e+00,2.263628887495e+01
1.570000000000e+00,2.361701178671e+01
1.590000000000e+00,2.347137948892e+01
1.610000000000e+00,2.310044954163e+01
1.630000000000e+00,2.343008609516e+01
1.650000000000e+00,2.342959357988e+01
1.670000000000e+00,2.279709742213e+01
1.690000000000e+00,2.364001463268e+01
1.710000000000e+00,2.299029580766e+01
1.730000000000e+00,2.376417589478e+01
1.750000000000e+00,2.363133668614e+01
1.770000000000e+00,2.316535880070e+01
1.790000000000e+00,2.357138954652e+01
1.810000000000e+00,2.367239908816e+01
