redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,1.509037979732e+02
3.000000000000e-02,1.577238243939e+02
5.000000000000e-02,1.638913059050e+02
7.000000000000e-02,1.723479980431e+02
9.000000000000e-02,1.800699031588e+02
1.100000000000e-01,1.860805159502e+02
1.300000000000e-01,1.949250031064e+02
1.500000000000e-01,2.034030850109e+02
1.700000000000e-01,2.107474033820e+02
1.900000000000e-01,2.178671986202e+02
2.100000000000e-01,2.276681309642e+02
2.300000000000e-01,2.356319394666e+02
2.500000000000e-01,2.435150879875e+02
2.700000000000e-01,2.542418522087e+02
2.900000000000e-01,2.621028164867e+02
3.100000000000e-01,2.711907712467e+02
3.300000000000e-01,2.793648302760e+02
3.500000000000e-01,2.895981612507e+02
3.700000000000e-01,2.974665306280e+02
3.900000000000e-01,3.081642029115e+02
4.100000000000e-01,3.169074859783e+02
4.300000000000e-01,3.281319279334e+02
4.500000000000e-01,3.371760698584e+02
4.700000000000e-01,3.467099249074e+02
4.900000000000e-01,3.576851039068e+02
5.100000000000e-01,3.687273043868e+02
5.300000000000e-01,3.776749079277e+02
5.500000000000e-01,3.893549065719e+02
5.700000000000e-01,4.005230843207e+02
5.900000000000e-01,4.115903733947e+02
6.100000000000e-01,4.215280530108e+02
6.300000000000e-01,4.312245032986e+02
6.500000000000e-01,4.433351442682e+02
6.700000000000e-01,4.538685400752e+02
6.900000000000e-01,4.656172603509e+02
7.100000000000e-01,4.761467029378e+02
7.300000000000e-01,4.868834811736e+02
7.500000000000e-01,4.993717866165e+02
7.700000000000e-01,5.069825069408e+02
7.900000000000e-01,5.224683920862e+02
8.100000000000e-01,5.310787700296e+02
8.300000000000e-01,5.390600226727e+02
8.500000000000e-01,5.517470686873e+02
8.700000000000e-01,5.623260489982e+02
8.900000000000e-01,5.731749414560e+02
9.100000000000e-01,5.829587352316e+02
9.300000000000e-01,5.931737684223e+02
9.500000000000e-01,6.020910264308e+02
9.700000000000e-01,6.126532201498e+02
9.900000000000e-01,6.227153926591e+02
1.010000000000e+00,6.298206293920e+02
1.030000000000e+00,6.397384586914e+02
1.050000000000e+00,6.428529769352e+02
1.070000000000e+00,6.525669693124e+02
1.090000000000e+00,6.639199398078e+02
1.110000000000e+00,6.746928102770e+02
1.130000000000e+00,6.742030219217e+02
1.150000000000e+00,6.829358816899e+02
1.170000000000e+00,6.907525758341e+02
1.190000000000e+00,6.966011212176e+02
1.210000000000e+00,6.985120125327e+02
1.230000000000e+00,7.077320762358e+02
1.250000000000e+00,7.118514196114e+02
1.270000000000e+00,7.161448927767e+02
1.290000000000e+00,7.194744208442e+02
1.310000000000e+00,7.234707053869e+02
1.330000000000e+00,7.278024979547e+02
1.350000000000e+00,7.332651321273e+02
