redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,1.106917423354e+01
3.000000000000e-02,1.182408150976e+01
5.000000000000e-02,1.170251280796e+01
7.000000000000e-02,1.207299112313e+01
9.000000000000e-02,1.168042616902e+01
1.100000000000e-01,1.180922116382e+01
1.300000000000e-01,1.235199415872e+01
1.500000000000e-01,1.212085421316e+01
1.700000000000e-01,1.225251757803e+01
1.900000000000e-01,1.324977493246e+01
2.100000000000e-01,1.358160759802e+01
2.300000000000e-01,1.382585330744e+01
2.500000000000e-01,1.394069772242e+01
2.700000000000e-01,1.436855995433e+01
2.900000000000e-01,1.444313331511e+01
3.100000000000e-01,1.423966657598e+01
3.300000000000e-01,1.394971482623e+01
3.500000000000e-01,1.427468140819e+01
3.700000000000e-01,1.469266735410e+01
3.900000000000e-01,1.446721241816e+01
4.100000000000e-01,1.466907479087e+01
4.300000000000e-01,1.446169622975e+01
4.500000000000e-01,1.561202475031e+01
4.700000000000e-01,1.544651381787e+01
4.900000000000e-01,1.613051452381e+01
5.100000000000e-01,1.660546541839e+01
5.300000000000e-01,1.751137433681e+01
5.500000000000e-01,1.766329824850e+01
5.700000000000e-01,1.792260550673e+01
5.900000000000e-01,1.904055991255e+01
6.100000000000e-01,1.971304771031e+01
6.300000000000e-01,1.996137497887e+01
6.500000000000e-01,2.049817809066e+01
6.700000000000e-01,2.031478827308e+01
6.900000000000e-01,2.028583759945e+01
7.100000000000e-01,1.997847658093e+01
7.300000000000e-01,2.132374607924e+01
7.500000000000e-01,2.106442033579e+01
7.700000000000e-01,2.137795881041e+01
7.900000000000e-01,2.098045759099e+01
8.100000000000e-01,2.120049779115e+01
8.300000000000e-01,2.185406666754e+01
8.500000000000e-01,2.241579293341e+01
8.700000000000e-01,2.285022893900e+01
8.900000000000e-01,2.356979078251e+01
9.100000000000e-01,2.367432600765e+01
9.300000000000e-01,2.357801181664e+01
9.500000000000e-01,2.436013683272e+01
9.700000000000e-01,2.438565440255e+01
9.900000000000e-01,2.367446219677e+01
1.010000000000e+00,2.454072920162e+01
1.030000000000e+00,2.441840297267e+01
1.050000000000e+00,2.575492713284e+01
1.070000000000e+00,2.525757897165e+01
1.090000000000e+00,2.519778283710e+01
1.110000000000e+00,2.480669295209e+01
1.130000000000e+00,2.613773319503e+01
1.150000000000e+00,2.582685085540e+01
1.170000000000e+00,2.628497200421e+01
1.190000000000e+00,2.616885490710e+01
1.210000000000e+00,2.661035416970e+01
1.230000000000e+00,2.584687480158e+01
1.250000000000e+00,2.674117064943e+01
1.270000000000e+00,2.650381245451e+01
1.290000000000e+00,2.777247865463e+01
1.310000000000e+00,2.745646814556e+01
1.330000000000e+00,2.643425346348e+01
1.350000000000e+00,2.748131879155e+01
1.370000000000e+00,2.722660146751e+01
1.390000000000e+00,2.784420461035e+01
1.410000000000e+00,2.751977241017e+01
1.430000000000e+00,2.764156187452e+01
1.450000000000e+00,2.910723916993e+01
1.470000000000e+00,2.849105683641e+01
1.490000000000e+00,2.858137071345e+01
1.510000000000e+00,2.858533338824e+01
1.530000000000e+00,2.911214527882e+01
1.550000000000e+00,2.809359530749e+01
1.570000000000e+00,2.927956734608e+01
1.590000000000e+00,2.946406432509e+01
1.610000000000e+00,2.900205829027e+01
1.630000000000e+00,2.966973961582e+01
1.650000000000e+00,2.839186259738e+01
1.670000000000e+00,2.977719524729e+01
1.690000000000e+00,2.991848230883e+01
1.710000000000e+00,2.926643643561e+01
1.730000000000e+00,3.006707364750e+01
1.750000000000e+00,2.950185065098e+01
1.770000000000e+00,2.996393175329e+01
1.790000000000e+00,2.996648271686e+01
1.810000000000e+00,2.963670040405e+01
1.830000000000e+00,2.997071138736e+01
1.850000000000e+00,2.999787301819e+01
1.870000000000e+00,2.995329097582e+01
1.890000000000e+00,2.976234969367e+01
1.910000000000e+00,3.030358528731e+01
1.930000000000e+00,2.938901695829e+01
1.950000000000e+00,3.005915199145e+01
1.970000000000e+00,2.949416482516e+01
1.990000000000e+00,3.083900019470e+01
2.010000000000e+00,2.920152326983e+01
2.030000000000e+00,2.979372075199e+01
2.050000000000e+00,3.070780775652e+01
2.070000000000e+00,3.007135458275e+01
2.090000000000e+00,2.990019195004e+01
2.110000000000e+00,3.072613694465e+01
2.130000000000e+00,3.013276505614e+01
2.150000000000e+00,3.002145083758e+01
2.170000000000e+00,3.029923303098e+01
2.190000000000e+00,2.989856905639e+01
2.210000000000e+00,2.999288774444e+01
2.230000000000e+00,2.957943604862e+01
2.250000000000e+00,2.959979615635e+01
2.270000000000e+00,2.980526522479e+01
2.290000000000e+00,2.936896305391e+01
2.310000000000e+00,2.965977762120e+01
2.330000000000e+00,2.956352704392e+01
2.350000000000e+00,3.037212934600e+01
2.370000000000e+00,2.967524313866e+01
2.390000000000e+00,2.861860869901e+01
2.410000000000e+00,2.905713942275e+01
2.430000000000e+00,2.896337012976e+01
2.450000000000e+00,2.868470179316e+01
2.470000000000e+00,2.849930664847e+01
2.490000000000e+00,2.909151454695e+01
2.510000000000e+00,2.973023338694e+01
2.530000000000e+00,2.905957295310e+01
2.550000000000e+00,2.892993395745e+01
2.570000000000e+00,2.849201331289e+01
2.590000000000e+00,2.902988841911e+01
2.610000000000e+00,2.960811240127e+01
2.630000000000e+00,2.842229809993e+01
2.650000000000e+00,2.795666447256e+01
2.670000000000e+00,2.907888288366e+01
2.690000000000e+00,2.813058138092e+01
2.710000000000e+00,2.830671596345e+01
2.730000000000e+00,2.730900227414e+01
2.750000000000e+00,2.782113387577e+01
2.770000000000e+00,2.734600038994e+01
2.790000000000e+00,2.801706188282e+01
2.810000000000e+00,2.668769668275e+01
2.830000000000e+00,2.734774115610e+01
2.850000000000e+00,2.715770429267e+01
2.870000000000e+00,2.723047269780e+01
2.890000000000e+00,2.662922685738e+01
2.910000000000e+00,2.650491130200e+01
2.930000000000e+00,2.614219717013e+01
2.950000000000e+00,2.624346526832e+01
2.970000000000e+00,2.591923604937e+01
2.990000000000e+00,2.626248087953e+01
3.010000000000e+00,2.584902854636e+01
3.030000000000e+00,2.550262104570e+01
3.050000000000e+00,2.560339859759e+01
3.070000000000e+00,2.521018018280e+01
3.090000000000e+00,2.468272979989e+01
3.110000000000e+00,2.514381694742e+01
3.130000000000e+00,2.467249074706e+01
3.150000000000e+00,2.488585557529e+01
3.170000000000e+00,2.436075650228e+01
3.190000000000e+00,2.494109414935e+01
3.210000000000e+00,2.366043010265e+01
3.230000000000e+00,2.417845978313e+01
3.250000000000e+00,2.426218973186e+01
3.270000000000e+00,2.382942335860e+01
3.290000000000e+00,2.362708879402e+01
3.310000000000e+00,2.331660433302e+01
3.330000000000e+00,2.289281324319e+01
3.350000000000e+00,2.385662113417e+01
3.370000000000e+00,2.298877967931e+01
3.390000000000e+00,2.277034117786e+01
3.410000000000e+00,2.283285930034e+01
3.430000000000e+00,2.255193794747e+01
3.450000000000e+00,2.246358168348e+01
3.470000000000e+00,2.246011141021e+01
3.490000000000e+00,2.241484060617e+01
3.510000000000e+00,2.223547204793e+01
3.530000000000e+00,2.208827487211e+01
3.550000000000e+00,2.180086032189e+01
3.570000000000e+00,2.206449368410e+01
3.590000000000e+00,2.158662001364e+01
3.610000000000e+00,2.175018695561e+01
3.630000000000e+00,2.162884290876e+01
3.650000000000e+00,2.134054949720e+01
3.670000000000e+00,2.138829595730e+01
3.690000000000e+00,2.133048772010e+01
3.710000000000e+00,2.078365800879e+01
3.730000000000e+00,2.081909359355e+01
