redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,5.319990412418e+00
3.000000000000e-02,5.602617467409e+00
5.000000000000e-02,5.715808013401e+00
7.000000000000e-02,5.736014134080e+00
9.000000000000e-02,5.929253536590e+00
1.100000000000e-01,5.968346749552e+00
1.300000000000e-01,6.409016322245e+00
1.500000000000e-01,6.293151465673e+00
1.700000000000e-01,6.400751400010e+00
1.900000000000e-01,6.486942606675e+00
2.100000000000e-01,6.507623779322e+00
2.300000000000e-01,6.678534748393e+00
2.500000000000e-01,6.820267281269e+00
2.700000000000e-01,7.082581289784e+00
2.900000000000e-01,7.214531478951e+00
3.100000000000e-01,7.161574649067e+00
3.300000000000e-01,7.391035272710e+00
3.500000000000e-01,7.375205168170e+00
3.700000000000e-01,7.361040966473e+00
3.900000000000e-01,7.449440409362e+00
4.100000000000e-01,7.441889010327e+00
4.300000000000e-01,7.639837493630e+00
4.500000000000e-01,7.684988636429e+00
4.700000000000e-01,7.557963559480e+00
4.900000000000e-01,7.998817493499e+00
5.100000000000e-01,7.915107190197e+00
5.300000000000e-01,8.028608170087e+00
5.500000000000e-01,8.334246319005e+00
5.700000000000e-01,8.544505673784e+00
5.900000000000e-01,8.788294411873e+00
6.100000000000e-01,8.964835578767e+00
6.300000000000e-01,9.076276915531e+00
6.500000000000e-01,9.365673420044e+00
6.700000000000e-01,9.044296288217e+00
6.900000000000e-01,9.594635243016e+00
7.100000000000e-01,9.218723026440e+00
7.300000000000e-01,9.566912075014e+00
7.500000000000e-01,9.675853746842e+00
7.700000000000e-01,1.012630405709e+01
7.900000000000e-01,1.044450916915e+01
8.100000000000e-01,1.013839075124e+01
8.300000000000e-01,1.055478130522e+01
8.500000000000e-01,1.064737539502e+01
8.700000000000e-01,1.111548745674e+01
8.900000000000e-01,1.080567972943e+01
9.100000000000e-01,1.107298430881e+01
9.300000000000e-01,1.144964983206e+01
9.500000000000e-01,1.111979854314e+01
9.700000000000e-01,1.153197987051e+01
9.900000000000e-01,1.087200558749e+01
1.010000000000e+00,1.133335846506e+01
1.030000000000e+00,1.121658488414e+01
1.050000000000e+00,1.145922096188e+01
1.070000000000e+00,1.101860028334e+01
1.090000000000e+00,1.178755367567e+01
1.110000000000e+00,1.153285862534e+01
1.130000000000e+00,1.153217561084e+01
1.150000000000e+00,1.137880109752e+01
1.170000000000e+00,1.167279911743e+01
1.190000000000e+00,1.174707186597e+01
1.210000000000e+00,1.157294771300e+01
1.230000000000e+00,1.167745207878e+01
1.250000000000e+00,1.217171941975e+01
1.270000000000e+00,1.257746435514e+01
1.290000000000e+00,1.215208424907e+01
1.310000000000e+00,1.271058674680e+01
1.330000000000e+00,1.237789981137e+01
1.350000000000e+00,1.271789057135e+01
1.370000000000e+00,1.264432360883e+01
1.390000000000e+00,1.272477595880e+01
1.410000000000e+00,1.251042572141e+01
1.430000000000e+00,1.258748155105e+01
1.450000000000e+00,1.257691629318e+01
1.470000000000e+00,1.240427708212e+01
1.490000000000e+00,1.322282464222e+01
1.510000000000e+00,1.268432909138e+01
1.530000000000e+00,1.304592552532e+01
1.550000000000e+00,1.315480027194e+01
1.570000000000e+00,1.272594266907e+01
1.590000000000e+00,1.361723795280e+01
1.610000000000e+00,1.332682517920e+01
1.630000000000e+00,1.289920363092e+01
1.650000000000e+00,1.311979449834e+01
1.670000000000e+00,1.331860354340e+01
1.690000000000e+00,1.284173590606e+01
1.710000000000e+00,1.339072925827e+01
1.730000000000e+00,1.305285722515e+01
1.750000000000e+00,1.288372818067e+01
1.770000000000e+00,1.350385129599e+01
1.790000000000e+00,1.275285929350e+01
1.810000000000e+00,1.328426359175e+01
1.830000000000e+00,1.283265601823e+01
1.850000000000e+00,1.326155215527e+01
1.870000000000e+00,1.293113380616e+01
