redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,3.827055317135e+01
3.000000000000e-02,3.906114343237e+01
5.000000000000e-02,3.864408315212e+01
7.000000000000e-02,3.993568502491e+01
9.000000000000e-02,4.087164955715e+01
1.100000000000e-01,4.139515329496e+01
1.300000000000e-01,4.182545454190e+01
1.500000000000e-01,4.146171018940e+01
1.700000000000e-01,4.231863935976e+01
1.900000000000e-01,4.239429762986e+01
2.100000000000e-01,4.287436587823e+01
2.300000000000e-01,4.283463549601e+01
2.500000000000e-01,4.431146332464e+01
2.700000000000e-01,4.454869746838e+01
2.900000000000e-01,4.634341004550e+01
3.100000000000e-01,4.692227272847e+01
3.300000000000e-01,4.775935396562e+01
3.500000000000e-01,4.951514201944e+01
3.700000000000e-01,4.986286752550e+01
3.900000000000e-01,5.110953708022e+01
4.100000000000e-01,5.256340060894e+01
4.300000000000e-01,5.232363493212e+01
4.500000000000e-01,5.424974750787e+01
4.700000000000e-01,5.479914901354e+01
4.900000000000e-01,5.578698034011e+01
5.100000000000e-01,5.561121953767e+01
5.300000000000e-01,5.530041288474e+01
5.500000000000e-01,5.539013066943e+01
5.700000000000e-01,5.529099656766e+01
5.900000000000e-01,5.558048159891e+01
6.100000000000e-01,5.650839990851e+01
6.300000000000e-01,5.626981300604e+01
6.500000000000e-01,5.702846713814e+01
6.700000000000e-01,5.784566632844e+01
6.900000000000e-01,5.721343003941e+01
7.100000000000e-01,5.837697748764e+01
7.300000000000e-01,5.892868727514e+01
7.500000000000e-01,5.961281549515e+01
7.700000000000e-01,5.950674059300e+01
7.900000000000e-01,6.002940299396e+01
8.100000000000e-01,5.993737761926e+01
8.300000000000e-01,6.184774670600e+01
8.500000000000e-01,6.184502114522e+01
8.700000000000e-01,6.225051350944e+01
8.900000000000e-01,6.285232161527e+01
9.100000000000e-01,6.223416443763e+01
9.300000000000e-01,6.297752961643e+01
9.500000000000e-01,6.394612479924e+01
9.700000000000e-01,6.310672517965e+01
9.900000000000e-01,6.464517840513e+01
1.010000000000e+00,6.413305039750e+01
1.030000000000e+00,6.457499085821e+01
1.050000000000e+00,6.483547089344e+01
1.070000000000e+00,6.373615634528e+01
1.090000000000e+00,6.593131702228e+01
1.110000000000e+00,6.438930731814e+01
1.130000000000e+00,6.571677799765e+01
