redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,2.069491029106e+02
3.000000000000e-02,2.176288336586e+02
5.000000000000e-02,2.284788953439e+02
7.000000000000e-02,2.400149805379e+02
9.000000000000e-02,2.516815336299e+02
1.100000000000e-01,2.636131509384e+02
1.300000000000e-01,2.759725006969e+02
1.500000000000e-01,2.885667589931e+02
1.700000000000e-01,3.012500174701e+02
1.900000000000e-01,3.145300782460e+02
2.100000000000e-01,3.280811027146e+02
2.300000000000e-01,3.423644672519e+02
2.500000000000e-01,3.570764525237e+02
2.700000000000e-01,3.709650321252e+02
2.900000000000e-01,3.856478970011e+02
3.100000000000e-01,4.014729486046e+02
3.300000000000e-01,4.168534601071e+02
3.500000000000e-01,4.331480454702e+02
3.700000000000e-01,4.482906994815e+02
3.900000000000e-01,4.648997532608e+02
4.100000000000e-01,4.823368429062e+02
4.300000000000e-01,4.991126527386e+02
4.500000000000e-01,5.166149017915e+02
4.700000000000e-01,5.339459046103e+02
4.900000000000e-01,5.524637450420e+02
5.100000000000e-01,5.705930922556e+02
5.300000000000e-01,5.884161505792e+02
5.500000000000e-01,6.085815268595e+02
5.700000000000e-01,6.270780626398e+02
5.900000000000e-01,6.461181862049e+02
6.100000000000e-01,6.657023778899e+02
6.300000000000e-01,6.852200158956e+02
6.500000000000e-01,7.056565540554e+02
6.700000000000e-01,7.260606375239e+02
6.900000000000e-01,7.459035638987e+02
7.100000000000e-01,7.686205274261e+02
7.300000000000e-01,7.878749129295e+02
7.500000000000e-01,8.094000243363e+02
7.700000000000e-01,8.304181913992e+02
7.900000000000e-01,8.524178338889e+02
8.100000000000e-01,8.749246577710e+02
8.300000000000e-01,8.968221839932e+02
8.500000000000e-01,9.193362613073e+02
8.700000000000e-01,9.407454378637e+02
8.900000000000e-01,9.644292362631e+02
9.100000000000e-01,9.861112723165e+02
9.300000000000e-01,1.009753711068e+03
9.500000000000e-01,1.031480643192e+03
9.700000000000e-01,1.054596636629e+03
9.900000000000e-01,1.077303481385e+03
1.010000000000e+00,1.099421017203e+03
1.030000000000e+00,1.120445476191e+03
1.050000000000e+00,1.142789007320e+03
1.070000000000e+00,1.167533670778e+03
1.090000000000e+00,1.188416312568e+03
1.110000000000e+00,1.212785674968e+03
1.130000000000e+00,1.233039740967e+03
1.150000000000e+00,1.255922907171e+03
1.170000000000e+00,1.277858324554e+03
1.190000000000e+00,1.298758815823e+03
1.210000000000e+00,1.320535819741e+03
1.230000000000e+00,1.342220383354e+03
1.250000000000e+00,1.364339618204e+03
1.270000000000e+00,1.383696132615e+03
1.290000000000e+00,1.404041896972e+03
1.310000000000e+00,1.423489069028e+03
1.330000000000e+00,1.442082115107e+03
1.350000000000e+00,1.462343301881e+03
1.370000000000e+00,1.478648063667e+03
1.390000000000e+00,1.498439285587e+03
1.410000000000e+00,1.514298780624e+03
1.430000000000e+00,1.531524951805e+03
1.450000000000e+00,1.548870670067e+03
1.470000000000e+00,1.565121632429e+03
1.490000000000e+00,1.580457500066e+03
1.510000000000e+00,1.595807910349e+03
1.530000000000e+00,1.611581258206e+03
1.550000000000e+00,1.628664405437e+03
1.570000000000e+00,1.641055334771e+03
1.590000000000e+00,1.654297261135e+03
1.610000000000e+00,1.670097773636e+03
1.630000000000e+00,1.677636618396e+03
1.650000000000e+00,1.692833147430e+03
1.670000000000e+00,1.702510974168e+03
1.690000000000e+00,1.718364341919e+03
1.710000000000e+00,1.735540842623e+03
1.730000000000e+00,1.747786979299e+03
1.750000000000e+00,1.747653592854e+03
1.770000000000e+00,1.739728311416e+03
1.790000000000e+00,1.742683707220e+03
1.810000000000e+00,1.738441490905e+03
1.830000000000e+00,1.739085808058e+03
1.850000000000e+00,1.735911862583e+03
1.870000000000e+00,1.738914065892e+03
1.890000000000e+00,1.739430064805e+03
1.910000000000e+00,1.739731076430e+03
1.930000000000e+00,1.746256621679e+03
1.950000000000e+00,1.760455498805e+03
1.970000000000e+00,1.759169881223e+03
1.990000000000e+00,1.759052810033e+03
2.010000000000e+00,1.747340540670e+03
2.030000000000e+00,1.739748890987e+03
2.050000000000e+00,1.742441345538e+03
2.070000000000e+00,1.729093188364e+03
2.090000000000e+00,1.721707687084e+03
2.110000000000e+00,1.719494105775e+03
2.130000000000e+00,1.708101468792e+03
2.150000000000e+00,1.700072960688e+03
2.170000000000e+00,1.687588688868e+03
2.190000000000e+00,1.677712143762e+03
2.210000000000e+00,1.664972757792e+03
2.230000000000e+00,1.644704663301e+03
2.250000000000e+00,1.614829509175e+03
2.270000000000e+00,1.584793667144e+03
2.290000000000e+00,1.566724537861e+03
2.310000000000e+00,1.547234006275e+03
2.330000000000e+00,1.534145706076e+03
2.350000000000e+00,1.518686847152e+03
2.370000000000e+00,1.503025617449e+03
2.390000000000e+00,1.487657098376e+03
2.410000000000e+00,1.473725450421e+03
2.430000000000e+00,1.456104274378e+03
2.450000000000e+00,1.439110896281e+03
2.470000000000e+00,1.420335099804e+03
2.490000000000e+00,1.404502376217e+03
2.510000000000e+00,1.389251143485e+03
2.530000000000e+00,1.371115177464e+03
2.550000000000e+00,1.354736757997e+03
2.570000000000e+00,1.340989910529e+03
2.590000000000e+00,1.322560782866e+03
2.610000000000e+00,1.303967068993e+03
2.630000000000e+00,1.286823914379e+03
2.650000000000e+00,1.271000539447e+03
2.670000000000e+00,1.254332333503e+03
2.690000000000e+00,1.238143861149e+03
2.710000000000e+00,1.219791560214e+03
2.730000000000e+00,1.204088140915e+03
2.750000000000e+00,1.188723873408e+03
2.770000000000e+00,1.171406180523e+03
2.790000000000e+00,1.153728046373e+03
2.810000000000e+00,1.139078141742e+03
2.830000000000e+00,1.121725320679e+03
2.850000000000e+00,1.105831285349e+03
2.870000000000e+00,1.089686791441e+03
2.890000000000e+00,1.075038096989e+03
2.910000000000e+00,1.059763215236e+03
2.930000000000e+00,1.044485373257e+03
2.950000000000e+00,1.030493843915e+03
2.970000000000e+00,1.016090872715e+03
2.990000000000e+00,9.988116469920e+02
3.010000000000e+00,9.835736724869e+02
3.030000000000e+00,9.683020355430e+02
