redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,4.491628789064e-01
3.000000000000e-02,5.669298570837e-01
5.000000000000e-02,6.834879591093e-01
7.000000000000e-02,7.826840768987e-01
9.000000000000e-02,9.311067444303e-01
1.100000000000e-01,1.025582766799e+00
1.300000000000e-01,1.108798941926e+00
1.500000000000e-01,1.025721934666e+00
1.700000000000e-01,7.900329636424e-01
1.900000000000e-01,6.428052214976e-01
2.100000000000e-01,5.536163220490e-01
2.300000000000e-01,5.094821259599e-01
2.500000000000e-01,5.638431854432e-01
2.700000000000e-01,6.468352047352e-01
2.900000000000e-01,7.214025577511e-01
3.100000000000e-01,7.466226126384e-01
3.300000000000e-01,6.885580560859e-01
3.500000000000e-01,5.857007622274e-01
3.700000000000e-01,4.764390416105e-01
3.900000000000e-01,4.122009100210e-01
4.100000000000e-01,4.454644119342e-01
4.300000000000e-01,5.317747071848e-01
4.500000000000e-01,6.302683134109e-01
4.700000000000e-01,7.072858942842e-01
4.900000000000e-01,6.959238615783e-01
5.100000000000e-01,6.911053984130e-01
5.300000000000e-01,6.295033066346e-01
5.500000000000e-01,5.940085787733e-01
5.700000000000e-01,6.550439340277e-01
5.900000000000e-01,6.765538680368e-01
6.100000000000e-01,6.730465559078e-01
6.300000000000e-01,7.096616326288e-01
6.500000000000e-01,6.364080063692e-01
6.700000000000e-01,7.031428104012e-01
6.900000000000e-01,6.288914608998e-01
7.100000000000e-01,7.468484801490e-01
7.300000000000e-01,6.967574302090e-01
7.500000000000e-01,7.709320799054e-01
7.700000000000e-01,7.750576094798e-01
7.900000000000e-01,7.169834535009e-01
8.100000000000e-01,8.851706023596e-01
8.300000000000e-01,7.519142760953e-01
8.500000000000e-01,8.500596446312e-01
8.700000000000e-01,8.941250144346e-01
8.900000000000e-01,9.074435689133e-01
9.100000000000e-01,9.551269218470e-01
9.300000000000e-01,9.507390094969e-01
9.500000000000e-01,1.003807203484e+00
9.700000000000e-01,1.010229900105e+00
9.900000000000e-01,1.016105246665e+00
1.010000000000e+00,1.141139894051e+00
1.030000000000e+00,9.644707942223e-01
1.050000000000e+00,1.029097521735e+00
1.070000000000e+00,1.042173049973e+00
1.090000000000e+00,9.935653645695e-01
1.110000000000e+00,1.156923719880e+00
1.130000000000e+00,1.114004257941e+00
1.150000000000e+00,1.148103973823e+00
1.170000000000e+00,1.200124172773e+00
1.190000000000e+00,1.284695425867e+00
1.210000000000e+00,1.376981819007e+00
1.230000000000e+00,1.448366419005e+00
1.250000000000e+00,1.394477850981e+00
1.270000000000e+00,1.622533317674e+00
1.290000000000e+00,1.722880536954e+00
1.310000000000e+00,1.843247339230e+00
1.330000000000e+00,2.096680071072e+00
1.350000000000e+00,2.052783817784e+00
1.370000000000e+00,2.049211166634e+00
1.390000000000e+00,2.068866648847e+00
1.410000000000e+00,2.113074112312e+00
1.430000000000e+00,1.999126255428e+00
1.450000000000e+00,1.984043954684e+00
1.470000000000e+00,1.903404867098e+00
1.490000000000e+00,1.911865242274e+00
1.510000000000e+00,1.811444024029e+00
1.530000000000e+00,1.957470704123e+00
1.550000000000e+00,1.790750741718e+00
1.570000000000e+00,1.935172684432e+00
1.590000000000e+00,1.970732266304e+00
1.610000000000e+00,1.926785416213e+00
1.630000000000e+00,1.944797041766e+00
1.650000000000e+00,2.027125362124e+00
1.670000000000e+00,1.876873142470e+00
1.690000000000e+00,1.838129905042e+00
1.710000000000e+00,1.868890233829e+00
1.730000000000e+00,1.878281816282e+00
1.750000000000e+00,1.838666381126e+00
1.770000000000e+00,1.919714324055e+00
1.790000000000e+00,1.840307619795e+00
1.810000000000e+00,2.004747022410e+00
1.830000000000e+00,1.917280854430e+00
1.850000000000e+00,1.887581837335e+00
1.870000000000e+00,1.871145959211e+00
1.890000000000e+00,1.918704919795e+00
1.910000000000e+00,1.920758045520e+00
1.930000000000e+00,1.862575402655e+00
1.950000000000e+00,1.903507289211e+00
1.970000000000e+00,1.822217442633e+00
1.990000000000e+00,1.874600161784e+00
2.010000000000e+00,2.063134315663e+00
2.030000000000e+00,1.872436495211e+00
2.050000000000e+00,1.971084387457e+00
2.070000000000e+00,1.887435186644e+00
2.090000000000e+00,2.141496885167e+00
2.110000000000e+00,1.913730682923e+00
2.130000000000e+00,1.886143174080e+00
2.150000000000e+00,1.957780333487e+00
2.170000000000e+00,2.016798966964e+00
2.190000000000e+00,2.051255223029e+00
2.210000000000e+00,2.004500231886e+00
2.230000000000e+00,2.044649343407e+00
2.250000000000e+00,1.900244827738e+00
2.270000000000e+00,2.164766955031e+00
2.290000000000e+00,2.068530541703e+00
2.310000000000e+00,1.922488530192e+00
2.330000000000e+00,2.047328575042e+00
2.350000000000e+00,2.139890309900e+00
2.370000000000e+00,2.053028798799e+00
2.390000000000e+00,1.982520904543e+00
2.410000000000e+00,2.117323331503e+00
2.430000000000e+00,1.939795911362e+00
2.450000000000e+00,2.191780759321e+00
2.470000000000e+00,1.967994374139e+00
2.490000000000e+00,2.134060894053e+00
2.510000000000e+00,2.120966867016e+00
2.530000000000e+00,2.151926893725e+00
2.550000000000e+00,2.046511417601e+00
2.570000000000e+00,2.205434642723e+00
2.590000000000e+00,2.272416322757e+00
2.610000000000e+00,2.145877383361e+00
2.630000000000e+00,2.307696760964e+00
2.650000000000e+00,2.237961724603e+00
2.670000000000e+00,2.356249596213e+00
2.690000000000e+00,2.309470604078e+00
2.710000000000e+00,2.331699199702e+00
2.730000000000e+00,2.277721844303e+00
2.750000000000e+00,2.593964035067e+00
2.770000000000e+00,2.455160354203e+00
2.790000000000e+00,2.335429139002e+00
2.810000000000e+00,2.370882812408e+00
2.830000000000e+00,2.441019555853e+00
2.850000000000e+00,2.295689650752e+00
2.870000000000e+00,2.528972734478e+00
2.890000000000e+00,2.500684391571e+00
2.910000000000e+00,2.256420068987e+00
2.930000000000e+00,2.439066349231e+00
2.950000000000e+00,2.611447850635e+00
2.970000000000e+00,2.321086994588e+00
2.990000000000e+00,2.440156409032e+00
3.010000000000e+00,2.405274976808e+00
3.030000000000e+00,2.269457249491e+00
3.050000000000e+00,2.476508191346e+00
3.070000000000e+00,2.228034251697e+00
3.090000000000e+00,2.302993185925e+00
3.110000000000e+00,2.427878647696e+00
3.130000000000e+00,2.290445470890e+00
3.150000000000e+00,2.349144661318e+00
3.170000000000e+00,2.139777132863e+00
3.190000000000e+00,2.179944128221e+00
3.210000000000e+00,2.163304438613e+00
3.230000000000e+00,2.229029009954e+00
3.250000000000e+00,2.231275606086e+00
3.270000000000e+00,2.173619407432e+00
3.290000000000e+00,2.334901262424e+00
3.310000000000e+00,2.030847571377e+00
3.330000000000e+00,2.172686669955e+00
3.350000000000e+00,2.144192627964e+00
3.370000000000e+00,2.186206230754e+00
3.390000000000e+00,2.033041202987e+00
3.410000000000e+00,2.148741944276e+00
3.430000000000e+00,2.175303348605e+00
3.450000000000e+00,2.035807876426e+00
3.470000000000e+00,2.126027732202e+00
3.490000000000e+00,2.047998134355e+00
3.510000000000e+00,2.086814302824e+00
3.530000000000e+00,2.176962468456e+00
3.550000000000e+00,2.061824881696e+00
3.570000000000e+00,2.112608710317e+00
3.590000000000e+00,2.048963854738e+00
3.610000000000e+00,1.932457645446e+00
3.630000000000e+00,2.079284544089e+00
3.650000000000e+00,1.943627640854e+00
3.670000000000e+00,2.069952847012e+00
3.690000000000e+00,1.929035694614e+00
3.710000000000e+00,2.087946612952e+00
3.730000000000e+00,1.915380775775e+00
3.750000000000e+00,2.001606465505e+00
3.770000000000e+00,1.924896913133e+00
3.790000000000e+00,1.933027533256e+00
3.810000000000e+00,1.873907511336e+00
3.830000000000e+00,1.929695821954e+00
3.850000000000e+00,2.009955969908e+00
3.870000000000e+00,1.829105448261e+00
3.890000000000e+00,1.890043269494e+00
3.910000000000e+00,1.872950090862e+00
3.930000000000e+00,1.814475428855e+00
3.950000000000e+00,1.851950373042e+00
3.970000000000e+00,1.872582408976e+00
3.990000000000e+00,1.766843434177e+00
4.010000000000e+00,1.909281011924e+00
4.030000000000e+00,1.851153142739e+00
4.050000000000e+00,1.806009380558e+00
4.070000000000e+00,1.806048609496e+00
4.090000000000e+00,1.814762350553e+00
4.110000000000e+00,1.782834403398e+00
4.130000000000e+00,2.030572239141e+00
4.150000000000e+00,1.712586085596e+00
4.170000000000e+00,1.865826483056e+00
4.190000000000e+00,1.820170566478e+00
4.210000000000e+00,1.806721244647e+00
4.230000000000e+00,1.807534780014e+00
