redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,1.246730344971e+01
3.000000000000e-02,1.317041510460e+01
5.000000000000e-02,1.332704092276e+01
7.000000000000e-02,1.378251176745e+01
9.000000000000e-02,1.392666751239e+01
1.100000000000e-01,1.399740537010e+01
1.300000000000e-01,1.399364039862e+01
1.500000000000e-01,1.365839623619e+01
1.700000000000e-01,1.399216057966e+01
1.900000000000e-01,1.426311795077e+01
2.100000000000e-01,1.416111795335e+01
2.300000000000e-01,1.494376396346e+01
2.500000000000e-01,1.495853835102e+01
2.700000000000e-01,1.562453218202e+01
2.900000000000e-01,1.620124800520e+01
3.100000000000e-01,1.601005631547e+01
3.300000000000e-01,1.609151294347e+01
3.500000000000e-01,1.669731380282e+01
3.700000000000e-01,1.645620377057e+01
3.900000000000e-01,1.668241978691e+01
4.100000000000e-01,1.711556971453e+01
4.300000000000e-01,1.734762255644e+01
4.500000000000e-01,1.731064808040e+01
4.700000000000e-01,1.757946567966e+01
4.900000000000e-01,1.777275025681e+01
5.100000000000e-01,1.830299681905e+01
5.300000000000e-01,1.817139256546e+01
5.500000000000e-01,1.840286010374e+01
5.700000000000e-01,1.937758634762e+01
5.900000000000e-01,1.964142275155e+01
6.100000000000e-01,1.982982976611e+01
6.300000000000e-01,2.019640163311e+01
6.500000000000e-01,2.095633507690e+01
6.700000000000e-01,2.065810138981e+01
6.900000000000e-01,2.108824289607e+01
7.100000000000e-01,2.107380143783e+01
7.300000000000e-01,2.191153419047e+01
7.500000000000e-01,2.188996481025e+01
7.700000000000e-01,2.279541233478e+01
7.900000000000e-01,2.274362138573e+01
8.100000000000e-01,2.279125325610e+01
8.300000000000e-01,2.368704107864e+01
8.500000000000e-01,2.295313111903e+01
8.700000000000e-01,2.326490957405e+01
8.900000000000e-01,2.291623918022e+01
9.100000000000e-01,2.334513091238e+01
9.300000000000e-01,2.347922183808e+01
9.500000000000e-01,2.374264366281e+01
9.700000000000e-01,2.367533124400e+01
9.900000000000e-01,2.353362173241e+01
1.010000000000e+00,2.436451016476e+01
1.030000000000e+00,2.412855547852e+01
1.050000000000e+00,2.406222610700e+01
1.070000000000e+00,2.446350223100e+01
1.090000000000e+00,2.477295865171e+01
1.110000000000e+00,2.481628330801e+01
1.130000000000e+00,2.473266168592e+01
1.150000000000e+00,2.468853483558e+01
1.170000000000e+00,2.542265820768e+01
1.190000000000e+00,2.534921625167e+01
1.210000000000e+00,2.475483366172e+01
1.230000000000e+00,2.544668035405e+01
1.250000000000e+00,2.582338082257e+01
1.270000000000e+00,2.561170691323e+01
1.290000000000e+00,2.554490077611e+01
1.310000000000e+00,2.578378737717e+01
1.330000000000e+00,2.635426259077e+01
1.350000000000e+00,2.622441250916e+01
1.370000000000e+00,2.549317226382e+01
1.390000000000e+00,2.579148655019e+01
1.410000000000e+00,2.663373710927e+01
1.430000000000e+00,2.621822122231e+01
1.450000000000e+00,2.597563594410e+01
1.470000000000e+00,2.585247206234e+01
1.490000000000e+00,2.625842218700e+01
1.510000000000e+00,2.635728127598e+01
1.530000000000e+00,2.698565260580e+01
1.550000000000e+00,2.601807883359e+01
1.570000000000e+00,2.644877194860e+01
1.590000000000e+00,2.635967847836e+01
1.610000000000e+00,2.671210783964e+01
1.630000000000e+00,2.732706929275e+01
1.650000000000e+00,2.637881095762e+01
1.670000000000e+00,2.719247048839e+01
1.690000000000e+00,2.613670457383e+01
1.710000000000e+00,2.652800700930e+01
1.730000000000e+00,2.670973800688e+01
1.750000000000e+00,2.716585806911e+01
1.770000000000e+00,2.620114195001e+01
1.790000000000e+00,2.712907725356e+01
1.810000000000e+00,2.676288908205e+01
1.830000000000e+00,2.619536454500e+01
1.850000000000e+00,2.622885660102e+01
1.870000000000e+00,2.631035663658e+01
1.890000000000e+00,2.593188948718e+01
1.910000000000e+00,2.540346033756e+01
1.930000000000e+00,2.584313903759e+01
1.950000000000e+00,2.551520052351e+01
1.970000000000e+00,2.534494896445e+01
1.990000000000e+00,2.495605435820e+01
2.010000000000e+00,2.483960133650e+01
2.030000000000e+00,2.460479125554e+01
2.050000000000e+00,2.496250179786e+01
2.070000000000e+00,2.457949555892e+01
2.090000000000e+00,2.411199719460e+01
2.110000000000e+00,2.420064840817e+01
2.130000000000e+00,2.469185891742e+01
