redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,9.441088912523e+00
3.000000000000e-02,9.974396915284e+00
5.000000000000e-02,1.009975042534e+01
7.000000000000e-02,1.044903727233e+01
9.000000000000e-02,1.055253750841e+01
1.100000000000e-01,1.061209974423e+01
1.300000000000e-01,1.060055812053e+01
1.500000000000e-01,1.034189261803e+01
1.700000000000e-01,1.059145882294e+01
1.900000000000e-01,1.079192887131e+01
2.100000000000e-01,1.071970941980e+01
2.300000000000e-01,1.130647422953e+01
2.500000000000e-01,1.132131013426e+01
2.700000000000e-01,1.181623333024e+01
2.900000000000e-01,1.224903575468e+01
3.100000000000e-01,1.210049690251e+01
3.300000000000e-01,1.216435445047e+01
3.500000000000e-01,1.261787196136e+01
3.700000000000e-01,1.242933920268e+01
3.900000000000e-01,1.259992581109e+01
4.100000000000e-01,1.292115087712e+01
4.300000000000e-01,1.310789359598e+01
4.500000000000e-01,1.307153474017e+01
4.700000000000e-01,1.327597208433e+01
4.900000000000e-01,1.341471090649e+01
5.100000000000e-01,1.382007999472e+01
5.300000000000e-01,1.372338453482e+01
5.500000000000e-01,1.389747309417e+01
5.700000000000e-01,1.462007067716e+01
5.900000000000e-01,1.483706040210e+01
6.100000000000e-01,1.496809262700e+01
6.300000000000e-01,1.523948214979e+01
6.500000000000e-01,1.582108139499e+01
6.700000000000e-01,1.559700271428e+01
6.900000000000e-01,1.592243856887e+01
7.100000000000e-01,1.591916559413e+01
7.300000000000e-01,1.656187382197e+01
7.500000000000e-01,1.654210051835e+01
7.700000000000e-01,1.722289130695e+01
7.900000000000e-01,1.718712975379e+01
8.100000000000e-01,1.721895675763e+01
8.300000000000e-01,1.789082110738e+01
8.500000000000e-01,1.733948690521e+01
8.700000000000e-01,1.756914493353e+01
8.900000000000e-01,1.732011143051e+01
9.100000000000e-01,1.763000102828e+01
9.300000000000e-01,1.774512082979e+01
9.500000000000e-01,1.791907941196e+01
9.700000000000e-01,1.786903076584e+01
9.900000000000e-01,1.775028998317e+01
1.010000000000e+00,1.837306256548e+01
1.030000000000e+00,1.820268506022e+01
1.050000000000e+00,1.815345334803e+01
1.070000000000e+00,1.847080499287e+01
1.090000000000e+00,1.868575773834e+01
1.110000000000e+00,1.872703469492e+01
1.130000000000e+00,1.865539476100e+01
1.150000000000e+00,1.864071220065e+01
1.170000000000e+00,1.917463297635e+01
1.190000000000e+00,1.913866076464e+01
1.210000000000e+00,1.869618808799e+01
1.230000000000e+00,1.919794155606e+01
1.250000000000e+00,1.949228081855e+01
1.270000000000e+00,1.933270060842e+01
1.290000000000e+00,1.928669257395e+01
1.310000000000e+00,1.946539258246e+01
1.330000000000e+00,1.989211780369e+01
1.350000000000e+00,1.981570309377e+01
1.370000000000e+00,1.924380404351e+01
1.390000000000e+00,1.950114503568e+01
1.410000000000e+00,2.010204830631e+01
1.430000000000e+00,1.980720064949e+01
1.450000000000e+00,1.961916846194e+01
1.470000000000e+00,1.952597114714e+01
1.490000000000e+00,1.982261418861e+01
1.510000000000e+00,1.990783649169e+01
1.530000000000e+00,2.038121692981e+01
1.550000000000e+00,1.965566577004e+01
1.570000000000e+00,1.999850752667e+01
1.590000000000e+00,1.992160449084e+01
1.610000000000e+00,2.018454294179e+01
1.630000000000e+00,2.066459020374e+01
1.650000000000e+00,1.995367067909e+01
1.670000000000e+00,2.055655316489e+01
1.690000000000e+00,1.975256819391e+01
1.710000000000e+00,2.006854673194e+01
1.730000000000e+00,2.019994838857e+01
1.750000000000e+00,2.056001672937e+01
1.770000000000e+00,1.981071383445e+01
1.790000000000e+00,2.053486159219e+01
1.810000000000e+00,2.025286196056e+01
1.830000000000e+00,1.982254400392e+01
1.850000000000e+00,1.983564108465e+01
1.870000000000e+00,1.990883240406e+01
1.890000000000e+00,1.961226594245e+01
1.910000000000e+00,1.922476204600e+01
1.930000000000e+00,1.955006553015e+01
1.950000000000e+00,1.929690107078e+01
1.970000000000e+00,1.916529210773e+01
1.990000000000e+00,1.889604245873e+01
2.010000000000e+00,1.878916261762e+01
2.030000000000e+00,1.860872984505e+01
2.050000000000e+00,1.888957330457e+01
2.070000000000e+00,1.859852611509e+01
2.090000000000e+00,1.825411588358e+01
2.110000000000e+00,1.833071406325e+01
2.130000000000e+00,1.869897239757e+01
2.150000000000e+00,1.764379784193e+01
2.170000000000e+00,1.786651791415e+01
2.190000000000e+00,1.803291405928e+01
2.210000000000e+00,1.772888900370e+01
2.230000000000e+00,1.778624367113e+01
2.250000000000e+00,1.773437420017e+01
2.270000000000e+00,1.729893069752e+01
2.290000000000e+00,1.748935183126e+01
2.310000000000e+00,1.731260060921e+01
2.330000000000e+00,1.748596411913e+01
2.350000000000e+00,1.743416447110e+01
2.370000000000e+00,1.784014846137e+01
2.390000000000e+00,1.735408197013e+01
2.410000000000e+00,1.769333690185e+01
2.430000000000e+00,1.713354953012e+01
2.450000000000e+00,1.741765240583e+01
2.470000000000e+00,1.707652946060e+01
2.490000000000e+00,1.748361471157e+01
2.510000000000e+00,1.717030524293e+01
2.530000000000e+00,1.724987372818e+01
2.550000000000e+00,1.704610670311e+01
2.570000000000e+00,1.711879289239e+01
2.590000000000e+00,1.697803005377e+01
2.610000000000e+00,1.746697913752e+01
2.630000000000e+00,1.677151951873e+01
2.650000000000e+00,1.708040064716e+01
2.670000000000e+00,1.736900103812e+01
2.690000000000e+00,1.669881085223e+01
2.710000000000e+00,1.705600218905e+01
2.730000000000e+00,1.699313184974e+01
2.750000000000e+00,1.726381410811e+01
2.770000000000e+00,1.691833685021e+01
2.790000000000e+00,1.733769155001e+01
2.810000000000e+00,1.709902837306e+01
2.830000000000e+00,1.716762734654e+01
2.850000000000e+00,1.723886368002e+01
2.870000000000e+00,1.693530187942e+01
2.890000000000e+00,1.717434789017e+01
2.910000000000e+00,1.695067419380e+01
2.930000000000e+00,1.738061575026e+01
2.950000000000e+00,1.682284339943e+01
2.970000000000e+00,1.729787335324e+01
2.990000000000e+00,1.738188929623e+01
3.010000000000e+00,1.701992165981e+01
3.030000000000e+00,1.696957920598e+01
3.050000000000e+00,1.733755740019e+01
3.070000000000e+00,1.751136560656e+01
3.090000000000e+00,1.711818907031e+01
3.110000000000e+00,1.749625898352e+01
3.130000000000e+00,1.700326704479e+01
3.150000000000e+00,1.737872407622e+01
3.170000000000e+00,1.734972644705e+01
3.190000000000e+00,1.766050789523e+01
3.210000000000e+00,1.750312866280e+01
3.230000000000e+00,1.715986936518e+01
3.250000000000e+00,1.756134007913e+01
3.270000000000e+00,1.715948978032e+01
3.290000000000e+00,1.726680916263e+01
3.310000000000e+00,1.749065969330e+01
3.330000000000e+00,1.763941587609e+01
3.350000000000e+00,1.722041710263e+01
3.370000000000e+00,1.717596549413e+01
3.390000000000e+00,1.713856203885e+01
3.410000000000e+00,1.758960193315e+01
3.430000000000e+00,1.728958596753e+01
3.450000000000e+00,1.696217162909e+01
3.470000000000e+00,1.691089064067e+01
3.490000000000e+00,1.726897758741e+01
3.510000000000e+00,1.706199760888e+01
3.530000000000e+00,1.680503629773e+01
3.550000000000e+00,1.655663345990e+01
3.570000000000e+00,1.670653131540e+01
3.590000000000e+00,1.666919753647e+01
3.610000000000e+00,1.647773505759e+01
3.630000000000e+00,1.669444946454e+01
3.650000000000e+00,1.643229138823e+01
3.670000000000e+00,1.615313410217e+01
3.690000000000e+00,1.591100310238e+01
3.710000000000e+00,1.635960213540e+01
3.730000000000e+00,1.607569415466e+01
3.750000000000e+00,1.602876140962e+01
3.770000000000e+00,1.555002912151e+01
3.790000000000e+00,1.578843867498e+01
3.810000000000e+00,1.572471411059e+01
3.830000000000e+00,1.539274046949e+01
3.850000000000e+00,1.531628987298e+01
3.870000000000e+00,1.507042384834e+01
3.890000000000e+00,1.515081501366e+01
3.910000000000e+00,1.502448879430e+01
3.930000000000e+00,1.484208060586e+01
3.950000000000e+00,1.485653079279e+01
3.970000000000e+00,1.455251155942e+01
3.990000000000e+00,1.448256050952e+01
4.010000000000e+00,1.417939639421e+01
4.030000000000e+00,1.436726255239e+01
4.050000000000e+00,1.400938422171e+01
4.070000000000e+00,1.393517631272e+01
4.090000000000e+00,1.372679273044e+01
4.110000000000e+00,1.394277056048e+01
4.130000000000e+00,1.350592242575e+01
4.150000000000e+00,1.371188405416e+01
4.170000000000e+00,1.307537411195e+01
4.190000000000e+00,1.318753865794e+01
4.210000000000e+00,1.299372764860e+01
4.230000000000e+00,1.263624649798e+01
4.250000000000e+00,1.280355316237e+01
4.270000000000e+00,1.265881449461e+01
4.290000000000e+00,1.244086787392e+01
4.310000000000e+00,1.236048110649e+01
4.330000000000e+00,1.204059930508e+01
4.350000000000e+00,1.207787093363e+01
4.370000000000e+00,1.188818015465e+01
4.390000000000e+00,1.174606114288e+01
4.410000000000e+00,1.158791572083e+01
4.430000000000e+00,1.161372390444e+01
4.450000000000e+00,1.131865449094e+01
4.470000000000e+00,1.116924960809e+01
4.490000000000e+00,1.138178485012e+01
4.510000000000e+00,1.102981203995e+01
4.530000000000e+00,1.100583241749e+01
4.550000000000e+00,1.086111511229e+01
4.570000000000e+00,1.075798712545e+01
4.590000000000e+00,1.062318773352e+01
4.610000000000e+00,1.084446936858e+01
4.630000000000e+00,1.062853538503e+01
4.650000000000e+00,1.037024391559e+01
4.670000000000e+00,1.031212444548e+01
4.690000000000e+00,1.032916990085e+01
4.710000000000e+00,1.028355434222e+01
4.730000000000e+00,1.021801903094e+01
4.750000000000e+00,9.959596853059e+00
