redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,1.358510971526e+01
3.000000000000e-02,1.350370863425e+01
5.000000000000e-02,1.361881992302e+01
7.000000000000e-02,1.321838039804e+01
9.000000000000e-02,1.312856315823e+01
1.100000000000e-01,1.324289030614e+01
1.300000000000e-01,1.362370846165e+01
1.500000000000e-01,1.390837293757e+01
1.700000000000e-01,1.432258735908e+01
1.900000000000e-01,1.469454611435e+01
2.100000000000e-01,1.462417206404e+01
2.300000000000e-01,1.509198137008e+01
2.500000000000e-01,1.554346251024e+01
2.700000000000e-01,1.568741091609e+01
2.900000000000e-01,1.592493313984e+01
3.100000000000e-01,1.606774480298e+01
3.300000000000e-01,1.636263714737e+01
3.500000000000e-01,1.663684903746e+01
3.700000000000e-01,1.634881919381e+01
3.900000000000e-01,1.662733766366e+01
4.100000000000e-01,1.657474722876e+01
4.300000000000e-01,1.703955416934e+01
4.500000000000e-01,1.712975609768e+01
4.700000000000e-01,1.773189941080e+01
4.900000000000e-01,1.764948829798e+01
5.100000000000e-01,1.832736689495e+01
5.300000000000e-01,1.832737504288e+01
5.500000000000e-01,1.833817132282e+01
5.700000000000e-01,1.884462552532e+01
5.900000000000e-01,1.848986882787e+01
6.100000000000e-01,1.902521079303e+01
6.300000000000e-01,1.910657742996e+01
6.500000000000e-01,1.914330079011e+01
6.700000000000e-01,1.938912202344e+01
6.900000000000e-01,1.906934204268e+01
7.100000000000e-01,1.896685403263e+01
7.300000000000e-01,1.912623195429e+01
7.500000000000e-01,1.946838518657e+01
7.700000000000e-01,1.984136602092e+01
7.900000000000e-01,2.002357031254e+01
8.100000000000e-01,2.066534530489e+01
8.300000000000e-01,2.076299328137e+01
8.500000000000e-01,2.133353414213e+01
8.700000000000e-01,2.198486433309e+01
8.900000000000e-01,2.161038870156e+01
9.100000000000e-01,2.208679406199e+01
9.300000000000e-01,2.200293297664e+01
9.500000000000e-01,2.200283216938e+01
9.700000000000e-01,2.230851106376e+01
9.900000000000e-01,2.190564640589e+01
1.010000000000e+00,2.209452565509e+01
1.030000000000e+00,2.215932258784e+01
1.050000000000e+00,2.213074349526e+01
1.070000000000e+00,2.232220033770e+01
1.090000000000e+00,2.268043302656e+01
1.110000000000e+00,2.245491829346e+01
1.130000000000e+00,2.343074079072e+01
1.150000000000e+00,2.242313410439e+01
1.170000000000e+00,2.371226785656e+01
1.190000000000e+00,2.360813511893e+01
1.210000000000e+00,2.365096313870e+01
1.230000000000e+00,2.331598254410e+01
1.250000000000e+00,2.406978797131e+01
1.270000000000e+00,2.392277209174e+01
1.290000000000e+00,2.376100589656e+01
1.310000000000e+00,2.442300230999e+01
1.330000000000e+00,2.436101601170e+01
1.350000000000e+00,2.381022368837e+01
1.370000000000e+00,2.458264302335e+01
1.390000000000e+00,2.453285794542e+01
1.410000000000e+00,2.466377799597e+01
1.430000000000e+00,2.475629913633e+01
1.450000000000e+00,2.477711788616e+01
1.470000000000e+00,2.489075901395e+01
1.490000000000e+00,2.520059868783e+01
1.510000000000e+00,2.451299091414e+01
1.530000000000e+00,2.492939166428e+01
1.550000000000e+00,2.432844634220e+01
1.570000000000e+00,2.462307832601e+01
1.590000000000e+00,2.438476965365e+01
1.610000000000e+00,2.459920420783e+01
1.630000000000e+00,2.429812586475e+01
1.650000000000e+00,2.478599503278e+01
1.670000000000e+00,2.410163234958e+01
1.690000000000e+00,2.427948653493e+01
1.710000000000e+00,2.463735571147e+01
1.730000000000e+00,2.456954009078e+01
1.750000000000e+00,2.438861831375e+01
1.770000000000e+00,2.452423186892e+01
1.790000000000e+00,2.456792720398e+01
1.810000000000e+00,2.440827375330e+01
1.830000000000e+00,2.445737853618e+01
1.850000000000e+00,2.497623156331e+01
1.870000000000e+00,2.404237172790e+01
1.890000000000e+00,2.473661171546e+01
1.910000000000e+00,2.381702109581e+01
1.930000000000e+00,2.425236700112e+01
1.950000000000e+00,2.414417469713e+01
1.970000000000e+00,2.426432666161e+01
1.990000000000e+00,2.376487787604e+01
2.010000000000e+00,2.466234608468e+01
2.030000000000e+00,2.401873742830e+01
2.050000000000e+00,2.366663293445e+01
2.070000000000e+00,2.409272761205e+01
2.090000000000e+00,2.399539260963e+01
2.110000000000e+00,2.330949969413e+01
2.130000000000e+00,2.416128484778e+01
2.150000000000e+00,2.387795365211e+01
2.170000000000e+00,2.324693871824e+01
2.190000000000e+00,2.368511610317e+01
2.210000000000e+00,2.374255978659e+01
2.230000000000e+00,2.346902724111e+01
2.250000000000e+00,2.350349531641e+01
2.270000000000e+00,2.250741380676e+01
2.290000000000e+00,2.308652959258e+01
2.310000000000e+00,2.338111759701e+01
2.330000000000e+00,2.237781228371e+01
2.350000000000e+00,2.303411872520e+01
2.370000000000e+00,2.251146630885e+01
2.390000000000e+00,2.276185153239e+01
2.410000000000e+00,2.185625449701e+01
2.430000000000e+00,2.302611924112e+01
2.450000000000e+00,2.285206833565e+01
2.470000000000e+00,2.194095701550e+01
2.490000000000e+00,2.252123976188e+01
2.510000000000e+00,2.169041770383e+01
2.530000000000e+00,2.242348142395e+01
2.550000000000e+00,2.248107352280e+01
2.570000000000e+00,2.227447315176e+01
2.590000000000e+00,2.212942073316e+01
2.610000000000e+00,2.218181180243e+01
2.630000000000e+00,2.240231395659e+01
2.650000000000e+00,2.216709491522e+01
2.670000000000e+00,2.168438937483e+01
2.690000000000e+00,2.225806536888e+01
2.710000000000e+00,2.204673491439e+01
2.730000000000e+00,2.217348037175e+01
2.750000000000e+00,2.189839878525e+01
2.770000000000e+00,2.186442341950e+01
2.790000000000e+00,2.238626865163e+01
2.810000000000e+00,2.200634464529e+01
2.830000000000e+00,2.203419812469e+01
2.850000000000e+00,2.204601761510e+01
2.870000000000e+00,2.232831363693e+01
2.890000000000e+00,2.217578346738e+01
2.910000000000e+00,2.190063597206e+01
2.930000000000e+00,2.246927577439e+01
