redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,5.659144208327e+00
3.000000000000e-02,5.510518052340e+00
5.000000000000e-02,5.561021150075e+00
7.000000000000e-02,5.728803459491e+00
9.000000000000e-02,5.797359521954e+00
1.100000000000e-01,6.048259176235e+00
1.300000000000e-01,6.210759744563e+00
1.500000000000e-01,6.598601224565e+00
1.700000000000e-01,6.817534680829e+00
1.900000000000e-01,6.872366361330e+00
2.100000000000e-01,7.035046347941e+00
2.300000000000e-01,7.534406876276e+00
2.500000000000e-01,7.564385961508e+00
2.700000000000e-01,7.698238189533e+00
2.900000000000e-01,7.646744031129e+00
3.100000000000e-01,7.943405167489e+00
3.300000000000e-01,8.034334003091e+00
3.500000000000e-01,7.920324048697e+00
3.700000000000e-01,8.045854094387e+00
3.900000000000e-01,7.729014636370e+00
4.100000000000e-01,7.964867603977e+00
4.300000000000e-01,8.001425539975e+00
4.500000000000e-01,8.131207142268e+00
4.700000000000e-01,8.004347695701e+00
4.900000000000e-01,8.243763319364e+00
5.100000000000e-01,7.931152868670e+00
5.300000000000e-01,7.885432843929e+00
5.500000000000e-01,7.999908142128e+00
5.700000000000e-01,8.075444937494e+00
5.900000000000e-01,8.008040117179e+00
6.100000000000e-01,8.482376633707e+00
6.300000000000e-01,8.473497538187e+00
6.500000000000e-01,8.601156365418e+00
6.700000000000e-01,8.505474577162e+00
6.900000000000e-01,8.554859258066e+00
7.100000000000e-01,8.566638223524e+00
7.300000000000e-01,8.563327505107e+00
7.500000000000e-01,8.482108920833e+00
7.700000000000e-01,8.646573309490e+00
7.900000000000e-01,9.023889553166e+00
8.100000000000e-01,8.824689340322e+00
8.300000000000e-01,9.096678674376e+00
8.500000000000e-01,9.080260962260e+00
8.700000000000e-01,9.294836499049e+00
8.900000000000e-01,9.015064772808e+00
9.100000000000e-01,9.542676193889e+00
9.300000000000e-01,9.458753840163e+00
9.500000000000e-01,9.966720815866e+00
9.700000000000e-01,1.009635711446e+01
9.900000000000e-01,1.033385737797e+01
1.010000000000e+00,1.109565257035e+01
1.030000000000e+00,1.081575046842e+01
1.050000000000e+00,1.083598863543e+01
1.070000000000e+00,1.094884342832e+01
1.090000000000e+00,1.089149399959e+01
1.110000000000e+00,1.086483039374e+01
1.130000000000e+00,1.089853605716e+01
1.150000000000e+00,1.136483921198e+01
1.170000000000e+00,1.134164655679e+01
1.190000000000e+00,1.142396695947e+01
1.210000000000e+00,1.160168603757e+01
1.230000000000e+00,1.160852206777e+01
1.250000000000e+00,1.198585318506e+01
1.270000000000e+00,1.148404160800e+01
1.290000000000e+00,1.213847487803e+01
1.310000000000e+00,1.195084092274e+01
1.330000000000e+00,1.202627598385e+01
1.350000000000e+00,1.220997512756e+01
1.370000000000e+00,1.247377712552e+01
1.390000000000e+00,1.206580583955e+01
1.410000000000e+00,1.275747203447e+01
1.430000000000e+00,1.275943330223e+01
1.450000000000e+00,1.296184020784e+01
1.470000000000e+00,1.281826067801e+01
1.490000000000e+00,1.319411530470e+01
1.510000000000e+00,1.316152260202e+01
1.530000000000e+00,1.286704069912e+01
1.550000000000e+00,1.306652426713e+01
1.570000000000e+00,1.346280879415e+01
1.590000000000e+00,1.297177773563e+01
1.610000000000e+00,1.326809727163e+01
1.630000000000e+00,1.355330021859e+01
1.650000000000e+00,1.335694248352e+01
1.670000000000e+00,1.365826865911e+01
1.690000000000e+00,1.353208173807e+01
1.710000000000e+00,1.364067766175e+01
1.730000000000e+00,1.387707310716e+01
1.750000000000e+00,1.353421888975e+01
1.770000000000e+00,1.401869386775e+01
1.790000000000e+00,1.415496705977e+01
1.810000000000e+00,1.385203930512e+01
1.830000000000e+00,1.373647576502e+01
1.850000000000e+00,1.366009947890e+01
1.870000000000e+00,1.427333844179e+01
1.890000000000e+00,1.398629700294e+01
1.910000000000e+00,1.400722696910e+01
1.930000000000e+00,1.434671376064e+01
1.950000000000e+00,1.411185744305e+01
1.970000000000e+00,1.417565010258e+01
1.990000000000e+00,1.409773983197e+01
