redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,1.140979803075e+01
3.000000000000e-02,1.127443891174e+01
5.000000000000e-02,1.129657096918e+01
7.000000000000e-02,1.160754823222e+01
9.000000000000e-02,1.179777174047e+01
1.100000000000e-01,1.217442916142e+01
1.300000000000e-01,1.252854877616e+01
1.500000000000e-01,1.327151089155e+01
1.700000000000e-01,1.368242459539e+01
1.900000000000e-01,1.388023397296e+01
2.100000000000e-01,1.408561758543e+01
2.300000000000e-01,1.506600899646e+01
2.500000000000e-01,1.495612977679e+01
2.700000000000e-01,1.543303936053e+01
2.900000000000e-01,1.532544415564e+01
3.100000000000e-01,1.598691242802e+01
3.300000000000e-01,1.641379452734e+01
3.500000000000e-01,1.626126438793e+01
3.700000000000e-01,1.659044259585e+01
3.900000000000e-01,1.612294582739e+01
4.100000000000e-01,1.668024694380e+01
4.300000000000e-01,1.671287814755e+01
4.500000000000e-01,1.694522783676e+01
4.700000000000e-01,1.670486656397e+01
4.900000000000e-01,1.717218789564e+01
5.100000000000e-01,1.671821730602e+01
5.300000000000e-01,1.643598823602e+01
5.500000000000e-01,1.688855294477e+01
5.700000000000e-01,1.715015757385e+01
5.900000000000e-01,1.684378756012e+01
6.100000000000e-01,1.809071263213e+01
6.300000000000e-01,1.784494255250e+01
6.500000000000e-01,1.836196236014e+01
6.700000000000e-01,1.791824906910e+01
6.900000000000e-01,1.821361485615e+01
7.100000000000e-01,1.829329496661e+01
7.300000000000e-01,1.830304955304e+01
7.500000000000e-01,1.805667519288e+01
7.700000000000e-01,1.846616779644e+01
7.900000000000e-01,1.914522127308e+01
8.100000000000e-01,1.903026166705e+01
8.300000000000e-01,1.929048180183e+01
8.500000000000e-01,1.950914467404e+01
8.700000000000e-01,1.984011614755e+01
8.900000000000e-01,1.923555626376e+01
9.100000000000e-01,2.048845405475e+01
9.300000000000e-01,2.036760708479e+01
9.500000000000e-01,2.108342867384e+01
9.700000000000e-01,2.155077237140e+01
9.900000000000e-01,2.200858413512e+01
1.010000000000e+00,2.339551981694e+01
1.030000000000e+00,2.266542634051e+01
1.050000000000e+00,2.320427379234e+01
1.070000000000e+00,2.325079508433e+01
1.090000000000e+00,2.295206911577e+01
1.110000000000e+00,2.283224643633e+01
1.130000000000e+00,2.291991568213e+01
1.150000000000e+00,2.422581776363e+01
1.170000000000e+00,2.398134626880e+01
1.190000000000e+00,2.420511564960e+01
1.210000000000e+00,2.478312373615e+01
1.230000000000e+00,2.454951976184e+01
1.250000000000e+00,2.522223521617e+01
1.270000000000e+00,2.449714325324e+01
1.290000000000e+00,2.548846896496e+01
1.310000000000e+00,2.513351656003e+01
1.330000000000e+00,2.569586722340e+01
1.350000000000e+00,2.576251404718e+01
1.370000000000e+00,2.606880348443e+01
1.390000000000e+00,2.535210938877e+01
1.410000000000e+00,2.648992869229e+01
1.430000000000e+00,2.674676554147e+01
1.450000000000e+00,2.694262554501e+01
1.470000000000e+00,2.653752925815e+01
1.490000000000e+00,2.723252410195e+01
1.510000000000e+00,2.718519568998e+01
1.530000000000e+00,2.639878819702e+01
1.550000000000e+00,2.689091759159e+01
1.570000000000e+00,2.761660132409e+01
1.590000000000e+00,2.654894924969e+01
1.610000000000e+00,2.733687037141e+01
1.630000000000e+00,2.737276756611e+01
1.650000000000e+00,2.721417928151e+01
1.670000000000e+00,2.794796603426e+01
1.690000000000e+00,2.732614782946e+01
1.710000000000e+00,2.782279134993e+01
1.730000000000e+00,2.800263128149e+01
1.750000000000e+00,2.721459773265e+01
1.770000000000e+00,2.872948265583e+01
1.790000000000e+00,2.817567096260e+01
1.810000000000e+00,2.767167951607e+01
1.830000000000e+00,2.763700239126e+01
1.850000000000e+00,2.746144735946e+01
1.870000000000e+00,2.845055990870e+01
1.890000000000e+00,2.779784134118e+01
1.910000000000e+00,2.798815690787e+01
1.930000000000e+00,2.849513504115e+01
1.950000000000e+00,2.800865878095e+01
1.970000000000e+00,2.768263958490e+01
1.990000000000e+00,2.801196633394e+01
2.010000000000e+00,2.831275217818e+01
2.030000000000e+00,2.873549056471e+01
2.050000000000e+00,2.792317792104e+01
2.070000000000e+00,2.887699836889e+01
2.090000000000e+00,2.826331989375e+01
2.110000000000e+00,2.835240132561e+01
2.130000000000e+00,2.889304307608e+01
2.150000000000e+00,2.798296493989e+01
2.170000000000e+00,2.856134315073e+01
2.190000000000e+00,2.937467063265e+01
2.210000000000e+00,2.740390628131e+01
2.230000000000e+00,2.888131970961e+01
2.250000000000e+00,2.793275746956e+01
2.270000000000e+00,2.832718035921e+01
2.290000000000e+00,2.753182838456e+01
2.310000000000e+00,2.814212510414e+01
2.330000000000e+00,2.817142609490e+01
2.350000000000e+00,2.790622626086e+01
2.370000000000e+00,2.754209278547e+01
