redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,3.404722432516e+01
3.000000000000e-02,3.552715585637e+01
5.000000000000e-02,3.663889138305e+01
7.000000000000e-02,3.855336873974e+01
9.000000000000e-02,3.907878005973e+01
1.100000000000e-01,4.037302081942e+01
1.300000000000e-01,4.245202127514e+01
1.500000000000e-01,4.315222816390e+01
1.700000000000e-01,4.443734377567e+01
1.900000000000e-01,4.560455621935e+01
2.100000000000e-01,4.742272601809e+01
2.300000000000e-01,4.696417542225e+01
2.500000000000e-01,5.020474694486e+01
2.700000000000e-01,5.021527633798e+01
2.900000000000e-01,5.148542498904e+01
3.100000000000e-01,5.249683754881e+01
3.300000000000e-01,5.283996175389e+01
3.500000000000e-01,5.476092525498e+01
3.700000000000e-01,5.510007726992e+01
3.900000000000e-01,5.640977938341e+01
4.100000000000e-01,5.679000145591e+01
4.300000000000e-01,5.794071591183e+01
4.500000000000e-01,5.801724386215e+01
4.700000000000e-01,5.975272117188e+01
4.900000000000e-01,5.989941192456e+01
5.100000000000e-01,6.163689036161e+01
5.300000000000e-01,6.168234290783e+01
5.500000000000e-01,6.223176173936e+01
5.700000000000e-01,6.263844858391e+01
5.900000000000e-01,6.348414005242e+01
6.100000000000e-01,6.381076264605e+01
6.300000000000e-01,6.459426259449e+01
6.500000000000e-01,6.443115322770e+01
6.700000000000e-01,6.646441214377e+01
6.900000000000e-01,6.592714934419e+01
7.100000000000e-01,6.755795458777e+01
7.300000000000e-01,6.767763934178e+01
7.500000000000e-01,6.743138096572e+01
7.700000000000e-01,6.914912941462e+01
7.900000000000e-01,6.917642178279e+01
8.100000000000e-01,6.866028106445e+01
8.300000000000e-01,6.970337670016e+01
8.500000000000e-01,7.031938421922e+01
8.700000000000e-01,7.027250011727e+01
8.900000000000e-01,7.128281563116e+01
9.100000000000e-01,7.050703919229e+01
9.300000000000e-01,7.045892899358e+01
9.500000000000e-01,6.972905203350e+01
9.700000000000e-01,7.183666834212e+01
9.900000000000e-01,7.234109097756e+01
1.010000000000e+00,6.902817228894e+01
1.030000000000e+00,7.123425162096e+01
1.050000000000e+00,7.079467058065e+01
1.070000000000e+00,6.824397727492e+01
1.090000000000e+00,6.959730403282e+01
1.110000000000e+00,7.043771309958e+01
1.130000000000e+00,6.774159414767e+01
1.150000000000e+00,6.827897134353e+01
1.170000000000e+00,6.856162161096e+01
1.190000000000e+00,6.767873120687e+01
1.210000000000e+00,6.731259962401e+01
1.230000000000e+00,6.652881171139e+01
1.250000000000e+00,6.602488164322e+01
1.270000000000e+00,6.525980228854e+01
1.290000000000e+00,6.467196833415e+01
1.310000000000e+00,6.472640987795e+01
1.330000000000e+00,6.362966435641e+01
1.350000000000e+00,6.277722362888e+01
1.370000000000e+00,6.292686866209e+01
1.390000000000e+00,6.144633037341e+01
1.410000000000e+00,6.128451782780e+01
1.430000000000e+00,5.967683271979e+01
1.450000000000e+00,5.986629492746e+01
1.470000000000e+00,6.029832184512e+01
1.490000000000e+00,5.804107518518e+01
1.510000000000e+00,5.718053241343e+01
1.530000000000e+00,5.672573509170e+01
1.550000000000e+00,5.600430657348e+01
1.570000000000e+00,5.546291395822e+01
1.590000000000e+00,5.514011987078e+01
1.610000000000e+00,5.325377617841e+01
1.630000000000e+00,5.272514245925e+01
1.650000000000e+00,5.240536780778e+01
1.670000000000e+00,5.124343980143e+01
1.690000000000e+00,5.087464710303e+01
1.710000000000e+00,5.082412589583e+01
