redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,2.968837930508e-01
3.000000000000e-02,2.967770905860e-01
5.000000000000e-02,2.964755077469e-01
7.000000000000e-02,2.813806124480e-01
9.000000000000e-02,2.889479806538e-01
1.100000000000e-01,2.740857934663e-01
1.300000000000e-01,2.739872429168e-01
1.500000000000e-01,2.244213988019e-01
1.700000000000e-01,2.059857374167e-01
1.900000000000e-01,2.115085231577e-01
2.100000000000e-01,1.699132853373e-01
2.300000000000e-01,1.552529262044e-01
2.500000000000e-01,1.131638754686e-01
2.700000000000e-01,8.011020617063e-02
2.900000000000e-01,6.220403021297e-02
3.100000000000e-01,5.275924866306e-02
3.300000000000e-01,5.807527572650e-02
3.500000000000e-01,7.295177553540e-02
3.700000000000e-01,1.231735402828e-01
3.900000000000e-01,1.366048370036e-01
4.100000000000e-01,1.405107836137e-01
4.300000000000e-01,1.209574755686e-01
4.500000000000e-01,1.418709979580e-01
4.700000000000e-01,1.759278022448e-01
4.900000000000e-01,1.976017762556e-01
5.100000000000e-01,2.501541602241e-01
5.300000000000e-01,2.625005749831e-01
5.500000000000e-01,3.359345947542e-01
5.700000000000e-01,3.353412033857e-01
5.900000000000e-01,3.714243335846e-01
6.100000000000e-01,3.569127937040e-01
6.300000000000e-01,3.898698664619e-01
6.500000000000e-01,3.605250025027e-01
6.700000000000e-01,4.578614617240e-01
6.900000000000e-01,4.745352008513e-01
7.100000000000e-01,5.223085000071e-01
7.300000000000e-01,5.728576142354e-01
7.500000000000e-01,6.370026151745e-01
7.700000000000e-01,6.796129591705e-01
7.900000000000e-01,6.878759414476e-01
8.100000000000e-01,7.448594734345e-01
8.300000000000e-01,7.461074922448e-01
8.500000000000e-01,7.447504761196e-01
8.700000000000e-01,7.337608765439e-01
8.900000000000e-01,7.325390758506e-01
9.100000000000e-01,7.233255028724e-01
9.300000000000e-01,7.438230767818e-01
9.500000000000e-01,7.827148199639e-01
9.700000000000e-01,7.231496825065e-01
9.900000000000e-01,7.597993983977e-01
1.010000000000e+00,7.043817903665e-01
1.030000000000e+00,7.708158074769e-01
1.050000000000e+00,7.255948115280e-01
1.070000000000e+00,7.473623072375e-01
1.090000000000e+00,6.624706086009e-01
1.110000000000e+00,6.721579325094e-01
1.130000000000e+00,5.822708107948e-01
1.150000000000e+00,6.771462020575e-01
1.170000000000e+00,5.229749137869e-01
1.190000000000e+00,5.920387386010e-01
1.210000000000e+00,4.787924363661e-01
1.230000000000e+00,5.621783309320e-01
1.250000000000e+00,4.179440778288e-01
1.270000000000e+00,4.844163781230e-01
1.290000000000e+00,3.747463805778e-01
1.310000000000e+00,4.384110383018e-01
1.330000000000e+00,4.647303531019e-01
1.350000000000e+00,3.735147412599e-01
1.370000000000e+00,4.232943965152e-01
1.390000000000e+00,3.601495098935e-01
1.410000000000e+00,4.329000470491e-01
1.430000000000e+00,4.216350681891e-01
1.450000000000e+00,3.043061774818e-01
1.470000000000e+00,4.887027822119e-01
1.490000000000e+00,4.410141128713e-01
1.510000000000e+00,3.604385625699e-01
1.530000000000e+00,4.461217082166e-01
1.550000000000e+00,4.683292391038e-01
1.570000000000e+00,4.378523401430e-01
1.590000000000e+00,5.245137555665e-01
1.610000000000e+00,5.535656777149e-01
1.630000000000e+00,6.019732311044e-01
1.650000000000e+00,5.035668014866e-01
1.670000000000e+00,6.049767355776e-01
1.690000000000e+00,5.558115212225e-01
1.710000000000e+00,5.873124951868e-01
1.730000000000e+00,5.577145479925e-01
1.750000000000e+00,4.695510038731e-01
1.770000000000e+00,4.764666611579e-01
1.790000000000e+00,4.418717888603e-01
1.810000000000e+00,4.236755672969e-01
1.830000000000e+00,3.720002013840e-01
1.850000000000e+00,3.465380748095e-01
1.870000000000e+00,3.254495373195e-01
1.890000000000e+00,2.842149959988e-01
1.910000000000e+00,2.780656921293e-01
1.930000000000e+00,2.700104760885e-01
1.950000000000e+00,2.652630905991e-01
1.970000000000e+00,2.773070116945e-01
