redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,1.137435322133e+02
3.000000000000e-02,1.191073289278e+02
5.000000000000e-02,1.251553779670e+02
7.000000000000e-02,1.312464810587e+02
9.000000000000e-02,1.374962574540e+02
1.100000000000e-01,1.441948751583e+02
1.300000000000e-01,1.508331066266e+02
1.500000000000e-01,1.576715217514e+02
1.700000000000e-01,1.643971039077e+02
1.900000000000e-01,1.712987871043e+02
2.100000000000e-01,1.786270024671e+02
2.300000000000e-01,1.860732794765e+02
2.500000000000e-01,1.932408086586e+02
2.700000000000e-01,2.015790136823e+02
2.900000000000e-01,2.093485326605e+02
3.100000000000e-01,2.174722527019e+02
3.300000000000e-01,2.250836859063e+02
3.500000000000e-01,2.341239780577e+02
3.700000000000e-01,2.422088661281e+02
3.900000000000e-01,2.505314273593e+02
4.100000000000e-01,2.599979411840e+02
4.300000000000e-01,2.683681601431e+02
4.500000000000e-01,2.771320772142e+02
4.700000000000e-01,2.862168688953e+02
4.900000000000e-01,2.955682074130e+02
5.100000000000e-01,3.057351499029e+02
5.300000000000e-01,3.148108023464e+02
5.500000000000e-01,3.253798815838e+02
5.700000000000e-01,3.346980245968e+02
5.900000000000e-01,3.446370726911e+02
6.100000000000e-01,3.555004844758e+02
6.300000000000e-01,3.650412318034e+02
6.500000000000e-01,3.764066285021e+02
6.700000000000e-01,3.868718452054e+02
6.900000000000e-01,3.966153131198e+02
7.100000000000e-01,4.073859215272e+02
7.300000000000e-01,4.193037473824e+02
7.500000000000e-01,4.299038313622e+02
7.700000000000e-01,4.403350565873e+02
7.900000000000e-01,4.523904130821e+02
8.100000000000e-01,4.633102714264e+02
8.300000000000e-01,4.743213838394e+02
8.500000000000e-01,4.872949399588e+02
8.700000000000e-01,4.973298226462e+02
8.900000000000e-01,5.095914041221e+02
9.100000000000e-01,5.219289554357e+02
9.300000000000e-01,5.332332765761e+02
9.500000000000e-01,5.435666070660e+02
9.700000000000e-01,5.572548584236e+02
9.900000000000e-01,5.680053901589e+02
1.010000000000e+00,5.792955155330e+02
1.030000000000e+00,5.906862999717e+02
1.050000000000e+00,6.028245656930e+02
1.070000000000e+00,6.147021352687e+02
1.090000000000e+00,6.262684154833e+02
1.110000000000e+00,6.367995977721e+02
1.130000000000e+00,6.487925270551e+02
1.150000000000e+00,6.593793853539e+02
1.170000000000e+00,6.709191299483e+02
1.190000000000e+00,6.832029646745e+02
1.210000000000e+00,6.918619623822e+02
1.230000000000e+00,7.026181026364e+02
1.250000000000e+00,7.144443802409e+02
1.270000000000e+00,7.241559033466e+02
1.290000000000e+00,7.343090462727e+02
1.310000000000e+00,7.453640366036e+02
1.330000000000e+00,7.546693631778e+02
1.350000000000e+00,7.626553050374e+02
1.370000000000e+00,7.723495063834e+02
1.390000000000e+00,7.813112182453e+02
1.410000000000e+00,7.895451007844e+02
1.430000000000e+00,7.986908520138e+02
1.450000000000e+00,8.063767132265e+02
1.470000000000e+00,8.147087522535e+02
1.490000000000e+00,8.234104040649e+02
1.510000000000e+00,8.310053019399e+02
1.530000000000e+00,8.369639241285e+02
1.550000000000e+00,8.456282508778e+02
1.570000000000e+00,8.542105468890e+02
1.590000000000e+00,8.596489204331e+02
