redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,2.545364260446e-01
3.000000000000e-02,3.066689615024e-01
5.000000000000e-02,3.387190439488e-01
7.000000000000e-02,3.435702116907e-01
9.000000000000e-02,4.310274296186e-01
1.100000000000e-01,4.688259870654e-01
1.300000000000e-01,5.377808579747e-01
1.500000000000e-01,5.555343591168e-01
1.700000000000e-01,4.870176646825e-01
1.900000000000e-01,4.712976291838e-01
2.100000000000e-01,4.239875155137e-01
2.300000000000e-01,3.503605179549e-01
2.500000000000e-01,4.048451868984e-01
2.700000000000e-01,3.862669244157e-01
2.900000000000e-01,4.280084848057e-01
3.100000000000e-01,4.922909085583e-01
3.300000000000e-01,5.681708356687e-01
3.500000000000e-01,5.064488696149e-01
3.700000000000e-01,4.742602309089e-01
3.900000000000e-01,4.971233688878e-01
4.100000000000e-01,4.777909945640e-01
4.300000000000e-01,4.818292326359e-01
4.500000000000e-01,4.525950114740e-01
4.700000000000e-01,4.096291954883e-01
4.900000000000e-01,4.517549045514e-01
5.100000000000e-01,4.037076688718e-01
5.300000000000e-01,4.278080889977e-01
5.500000000000e-01,4.397953885962e-01
5.700000000000e-01,4.796802021521e-01
5.900000000000e-01,4.578332011615e-01
6.100000000000e-01,5.137590252730e-01
6.300000000000e-01,5.387681904146e-01
6.500000000000e-01,5.238998976601e-01
6.700000000000e-01,5.520775937263e-01
6.900000000000e-01,5.967186228697e-01
7.100000000000e-01,6.332613054648e-01
7.300000000000e-01,5.613781107430e-01
7.500000000000e-01,4.934904675433e-01
7.700000000000e-01,4.345344189945e-01
7.900000000000e-01,4.854506352958e-01
8.100000000000e-01,4.756357158539e-01
8.300000000000e-01,5.322104213215e-01
8.500000000000e-01,4.734066955886e-01
8.700000000000e-01,4.459663306566e-01
8.900000000000e-01,4.482493569200e-01
9.100000000000e-01,4.651647179892e-01
9.300000000000e-01,4.435466301574e-01
9.500000000000e-01,3.770302179737e-01
9.700000000000e-01,3.792558969168e-01
9.900000000000e-01,5.047371926512e-01
1.010000000000e+00,3.438364055689e-01
1.030000000000e+00,3.934298749513e-01
1.050000000000e+00,3.358813189538e-01
1.070000000000e+00,4.587012727657e-01
1.090000000000e+00,3.469386771386e-01
1.110000000000e+00,4.166408257871e-01
1.130000000000e+00,4.961987380386e-01
1.150000000000e+00,4.589999057843e-01
1.170000000000e+00,4.803152126445e-01
1.190000000000e+00,5.224523107286e-01
1.210000000000e+00,6.133978236473e-01
1.230000000000e+00,5.691852252663e-01
1.250000000000e+00,6.628576711114e-01
1.270000000000e+00,6.269972484169e-01
1.290000000000e+00,7.318886183463e-01
1.310000000000e+00,7.050364283934e-01
1.330000000000e+00,6.620413542300e-01
1.350000000000e+00,8.902426203599e-01
1.370000000000e+00,7.184710737662e-01
1.390000000000e+00,6.596735181407e-01
1.410000000000e+00,8.103321648894e-01
1.430000000000e+00,6.911633400252e-01
