redshift,MRD_Gpc-3_yr-1
1.000000000000e-02,5.236082448675e+00
3.000000000000e-02,5.387394617181e+00
5.000000000000e-02,5.570732567361e+00
7.000000000000e-02,5.417607935297e+00
9.000000000000e-02,5.461671441666e+00
1.100000000000e-01,5.442462401418e+00
1.300000000000e-01,5.538702183280e+00
1.500000000000e-01,5.455282948130e+00
1.700000000000e-01,5.728066971000e+00
1.900000000000e-01,5.902199448805e+00
2.100000000000e-01,5.696677158839e+00
2.300000000000e-01,5.870362386918e+00
2.500000000000e-01,6.032328905532e+00
2.700000000000e-01,6.324611512447e+00
2.900000000000e-01,6.314301843939e+00
3.100000000000e-01,6.301641195412e+00
3.300000000000e-01,6.431251948242e+00
3.500000000000e-01,6.448446850958e+00
3.700000000000e-01,6.737240987635e+00
3.900000000000e-01,6.723505628921e+00
4.100000000000e-01,6.606964195270e+00
4.300000000000e-01,7.036393295088e+00
4.500000000000e-01,6.923957919055e+00
4.700000000000e-01,7.089001286691e+00
4.900000000000e-01,7.101573038186e+00
5.100000000000e-01,7.293332410543e+00
5.300000000000e-01,7.369922059572e+00
5.500000000000e-01,7.327842513003e+00
5.700000000000e-01,7.834372440245e+00
5.900000000000e-01,7.682343473043e+00
6.100000000000e-01,8.098154312245e+00
6.300000000000e-01,8.208106295059e+00
6.500000000000e-01,8.031614153882e+00
6.700000000000e-01,8.214484866286e+00
6.900000000000e-01,8.360222298769e+00
7.100000000000e-01,8.107202386725e+00
7.300000000000e-01,8.409543731388e+00
7.500000000000e-01,8.668982678097e+00
7.700000000000e-01,8.653159789085e+00
7.900000000000e-01,9.262511929855e+00
8.100000000000e-01,9.075666810772e+00
8.300000000000e-01,9.433954887256e+00
8.500000000000e-01,9.320182437798e+00
8.700000000000e-01,9.683625067451e+00
8.900000000000e-01,9.506419061802e+00
9.100000000000e-01,9.557406788307e+00
9.300000000000e-01,9.861697512370e+00
9.500000000000e-01,9.893228305179e+00
9.700000000000e-01,9.646220202963e+00
9.900000000000e-01,9.881188088103e+00
1.010000000000e+00,9.844651864337e+00
1.030000000000e+00,9.970560608142e+00
1.050000000000e+00,1.022665037779e+01
1.070000000000e+00,1.020760621556e+01
1.090000000000e+00,1.019774049136e+01
1.110000000000e+00,1.032722909302e+01
1.130000000000e+00,1.027292185839e+01
1.150000000000e+00,1.042552943052e+01
1.170000000000e+00,1.038406726901e+01
1.190000000000e+00,1.049700812696e+01
1.210000000000e+00,1.026387408427e+01
1.230000000000e+00,1.054375069913e+01
1.250000000000e+00,1.042476833127e+01
1.270000000000e+00,1.050610738004e+01
1.290000000000e+00,1.082343139348e+01
1.310000000000e+00,1.053478612973e+01
1.330000000000e+00,1.055040118684e+01
1.350000000000e+00,1.061511734020e+01
1.370000000000e+00,1.094685305188e+01
1.390000000000e+00,1.076821527451e+01
1.410000000000e+00,1.104288372416e+01
1.430000000000e+00,1.074918453658e+01
1.450000000000e+00,1.137282251970e+01
1.470000000000e+00,1.063159321864e+01
1.490000000000e+00,1.092559590351e+01
1.510000000000e+00,1.123750341623e+01
1.530000000000e+00,1.125264308649e+01
1.550000000000e+00,1.108877530820e+01
1.570000000000e+00,1.089581126044e+01
1.590000000000e+00,1.126966168797e+01
1.610000000000e+00,1.118485100512e+01
1.630000000000e+00,1.136151549050e+01
1.650000000000e+00,1.102527357452e+01
1.670000000000e+00,1.130750719719e+01
1.690000000000e+00,1.150941100388e+01
1.710000000000e+00,1.162871756750e+01
1.730000000000e+00,1.129593721028e+01
1.750000000000e+00,1.139212344878e+01
1.770000000000e+00,1.176530537185e+01
1.790000000000e+00,1.169551533678e+01
1.810000000000e+00,1.202541201828e+01
1.830000000000e+00,1.156655676548e+01
1.850000000000e+00,1.232588426868e+01
1.870000000000e+00,1.218290805820e+01
1.890000000000e+00,1.191932879681e+01
1.910000000000e+00,1.196750393509e+01
1.930000000000e+00,1.284690742750e+01
1.950000000000e+00,1.232451018370e+01
1.970000000000e+00,1.243926581200e+01
1.990000000000e+00,1.253896734433e+01
2.010000000000e+00,1.271946675224e+01
2.030000000000e+00,1.273885501023e+01
2.050000000000e+00,1.255263879069e+01
2.070000000000e+00,1.261152369307e+01
2.090000000000e+00,1.317216252566e+01
2.110000000000e+00,1.269061520245e+01
2.130000000000e+00,1.311285341078e+01
2.150000000000e+00,1.242766053888e+01
2.170000000000e+00,1.279197617020e+01
2.190000000000e+00,1.307494375983e+01
2.210000000000e+00,1.286194128006e+01
2.230000000000e+00,1.271774141587e+01
2.250000000000e+00,1.257895633681e+01
2.270000000000e+00,1.301101402402e+01
2.290000000000e+00,1.253898224377e+01
2.310000000000e+00,1.257671087862e+01
2.330000000000e+00,1.265581033267e+01
2.350000000000e+00,1.195650209467e+01
2.370000000000e+00,1.250736228888e+01
2.390000000000e+00,1.225874311343e+01
2.410000000000e+00,1.270825166487e+01
2.430000000000e+00,1.198726586163e+01
2.450000000000e+00,1.205615259680e+01
2.470000000000e+00,1.223701026394e+01
2.490000000000e+00,1.171880779368e+01
2.510000000000e+00,1.192339300542e+01
2.530000000000e+00,1.234086961000e+01
2.550000000000e+00,1.176582304757e+01
2.570000000000e+00,1.183759642475e+01
2.590000000000e+00,1.195988656398e+01
2.610000000000e+00,1.151038340890e+01
2.630000000000e+00,1.160909643746e+01
2.650000000000e+00,1.209742275753e+01
2.670000000000e+00,1.131726287816e+01
2.690000000000e+00,1.220102440846e+01
2.710000000000e+00,1.176509595867e+01
2.730000000000e+00,1.149495816916e+01
2.750000000000e+00,1.184658703655e+01
2.770000000000e+00,1.167770589275e+01
2.790000000000e+00,1.159979741168e+01
2.810000000000e+00,1.128576618218e+01
2.830000000000e+00,1.169495964857e+01
2.850000000000e+00,1.129057637919e+01
2.870000000000e+00,1.138039571395e+01
2.890000000000e+00,1.164277069050e+01
2.910000000000e+00,1.134010290974e+01
2.930000000000e+00,1.149923547392e+01
2.950000000000e+00,1.121637009283e+01
2.970000000000e+00,1.148020330810e+01
2.990000000000e+00,1.119595661544e+01
3.010000000000e+00,1.118351179988e+01
3.030000000000e+00,1.124342812413e+01
3.050000000000e+00,1.106937378146e+01
3.070000000000e+00,1.125754123351e+01
3.090000000000e+00,1.135524532099e+01
3.110000000000e+00,1.071072548877e+01
3.130000000000e+00,1.099005733150e+01
3.150000000000e+00,1.092761766794e+01
3.170000000000e+00,1.091363355984e+01
3.190000000000e+00,1.060676796707e+01
3.210000000000e+00,1.053941197424e+01
3.230000000000e+00,1.112502523566e+01
3.250000000000e+00,1.044305271181e+01
3.270000000000e+00,1.050716847259e+01
3.290000000000e+00,1.033034890683e+01
3.310000000000e+00,1.020606523738e+01
3.330000000000e+00,1.044197579916e+01
3.350000000000e+00,1.024369044683e+01
3.370000000000e+00,9.945089266330e+00
3.390000000000e+00,1.007637741738e+01
3.410000000000e+00,1.013864410782e+01
3.430000000000e+00,9.742796680496e+00
3.450000000000e+00,9.853757752316e+00
3.470000000000e+00,9.698784695682e+00
3.490000000000e+00,9.940306371906e+00
3.510000000000e+00,9.594982589111e+00
3.530000000000e+00,9.521603151857e+00
3.550000000000e+00,9.512922898310e+00
3.570000000000e+00,9.491425570548e+00
3.590000000000e+00,9.403104987367e+00
3.610000000000e+00,9.245782876019e+00
3.630000000000e+00,9.303743772868e+00
3.650000000000e+00,9.055260870375e+00
3.670000000000e+00,9.065041322785e+00
3.690000000000e+00,8.843006277542e+00
3.710000000000e+00,9.024314011869e+00
3.730000000000e+00,8.866357115347e+00
3.750000000000e+00,8.903972129154e+00
3.770000000000e+00,8.612662682724e+00
3.790000000000e+00,8.602308142337e+00
3.810000000000e+00,8.480358684849e+00
3.830000000000e+00,8.397035985589e+00
3.850000000000e+00,8.562505694090e+00
3.870000000000e+00,8.303070294250e+00
3.890000000000e+00,8.325373910247e+00
3.910000000000e+00,8.176949165271e+00
